RevisionColumn,GenderID,NUTS,periods,Units,ValueColumn
"r_6","0","BG333","2019","perc","10.1"
"r_6","0","BG34","2019","perc","4"
"r_6","0","BG341","2019","perc","3.6"
"r_6","0","BG342","2019","perc","6.5"
"r_6","0","BG344","2019","perc","(1.4)"
"r_6","0","BG343","2019","perc","9"
"r_6","0","BG41","2019","perc","2.3"
"r_6","0","BG413","2019","perc","4.1"
"r_6","0","BG415","2019","perc","(2.6)"
"r_6","0","BG414","2019","perc","8.2"
"r_6","0","BG412","2019","perc","(0.4)"
"r_6","0","BG411","2019","perc","1.6"
"r_6","0","BG42","2019","perc","3"
"r_6","0","BG425","2019","perc","(2.0)"
"r_6","0","BG423","2019","perc","5.1"
"r_6","0","BG421","2019","perc","2.4"
"r_6","0","BG424","2019","perc","8.8"
"r_6","0","BG422","2019","perc","(0.4)"
"r_6","1","BG","2019","perc","4.5"
"r_6","1","BG31","2019","perc","12"
"r_6","1","BG311","2019","perc","21.1"
"r_6","1","BG313","2019","perc","8.9"
"r_6","1","BG315","2019","perc","(7.3)"
"r_6","1","BG312","2019","perc","23.6"
"r_6","1","BG314","2019","perc","7.5"
"r_6","1","BG32","2019","perc","5.5"
"r_6","1","BG321","2019","perc","(2.2)"
"r_6","1","BG322","2019","perc","(6.7)"
"r_6","1","BG324","2019","perc","(10.0)"
"r_6","1","BG323","2019","perc","(3.4)"
"r_6","1","BG325","2019","perc","11.4"
"r_6","1","BG33","2019","perc","5.4"
"r_6","1","BG331","2019","perc","(2.3)"
"r_6","1","BG332","2019","perc","7.5"
"r_6","1","BG334","2019","perc","(8.4)"
"r_6","1","BG333","2019","perc","9.5"
"r_6","1","BG34","2019","perc","4.5"
"r_6","1","BG341","2019","perc","4.2"
"r_6","1","BG342","2019","perc","7.2"
"r_6","1","BG344","2019","perc","(1.5)"
"r_6","1","BG343","2019","perc","(9.3)"
"r_6","1","BG41","2019","perc","2.5"
"r_6","1","BG413","2019","perc","3.9"
"r_6","1","BG415","2019","perc","(3.7)"
"r_6","1","BG414","2019","perc","9.4"
"r_6","1","BG412","2019","perc","(0.4)"
"r_6","1","BG411","2019","perc","1.9"
"r_6","1","BG42","2019","perc","3.2"
"r_6","1","BG425","2019","perc","(2.2)"
"r_6","1","BG423","2019","perc","(4.3)"
"r_6","1","BG421","2019","perc","2.7"
"r_6","1","BG424","2019","perc","11.2"
"r_6","1","BG422","2019","perc","(0.4)"
"r_6","2","BG","2019","perc","3.9"
"r_6","2","BG31","2019","perc","9.4"
"r_6","2","BG311","2019","perc","(16.6)"
"r_6","2","BG313","2019","perc","(6.2)"
"r_6","2","BG315","2019","perc","(5.6)"
"r_6","2","BG312","2019","perc","15.9"
"r_6","2","BG314","2019","perc","8.3"
"r_6","2","BG32","2019","perc","4.7"
"r_6","2","BG321","2019","perc","(1.8)"
"r_6","2","BG322","2019","perc","(1.9)"
"r_6","2","BG324","2019","perc","(9.1)"
"r_6","2","BG323","2019","perc","(2.8)"
"r_6","2","BG325","2019","perc","15.8"
"r_6","2","BG33","2019","perc","6.7"
"r_6","2","BG331","2019","perc","3.8"
"r_6","2","BG332","2019","perc","(6.3)"
"r_6","2","BG334","2019","perc","(13.2)"
"r_6","2","BG333","2019","perc","10.8"
"r_6","2","BG34","2019","perc","3.4"
"r_6","2","BG341","2019","perc","(2.9)"
"r_6","2","BG342","2019","perc","(5.5)"
"r_6","2","BG344","2019","perc","(1.3)"
"r_6","2","BG343","2019","perc","(8.6)"
"r_6","2","BG41","2019","perc","2"
"r_6","2","BG413","2019","perc","4.4"
"r_6","2","BG415","2019","perc","(1.3)"
"r_6","2","BG414","2019","perc","(6.9)"
"r_6","2","BG412","2019","perc","(0.4)"
"r_6","2","BG411","2019","perc","1.3"
"r_6","2","BG42","2019","perc","2.8"
"r_6","2","BG425","2019","perc","(1.8)"
"r_6","2","BG423","2019","perc","6.2"
"r_6","2","BG421","2019","perc","2"
"r_6","2","BG424","2019","perc","(6.1)"
"r_6","2","BG422","2019","perc","(0.4)"
"r_7","0","BG","2003","perc","13.7"
"r_7","0","BG","2004","perc","12"
"r_7","0","BG","2005","perc","10.1"
"r_7","0","BG","2006","perc","9"
"r_7","0","BG","2007","perc","6.9"
"r_7","0","BG","2008","perc","5.6"
"r_7","0","BG","2009","perc","6.8"
"r_7","0","BG","2010","perc","10.3"
"r_7","0","BG","2011","perc","11.3"
"r_7","0","BG","2012","perc","12.3"
"r_7","0","BG","2013","perc","12.9"
"r_7","0","BG","2014","perc","11.4"
"r_7","0","BG","2015","perc","9.1"
"r_7","0","BG","2016","perc","7.6"
"r_7","0","BG","2017","perc","6.2"
"r_7","0","BG31","2003","perc","14"
"r_7","0","BG31","2004","perc","12.7"
"r_7","0","BG31","2005","perc","12.5"
"r_7","0","BG31","2006","perc","11"
"r_7","0","BG31","2007","perc","9"
"r_7","0","BG31","2008","perc","7.1"
"r_7","0","BG31","2009","perc","8"
"r_7","0","BG31","2010","perc","11.2"
"r_7","0","BG31","2011","perc","12.8"
"r_7","0","BG31","2012","perc","12.3"
"r_7","0","BG31","2013","perc","14"
"r_7","0","BG31","2014","perc","14.2"
"r_7","0","BG31","2015","perc","12.1"
"r_7","0","BG31","2016","perc","10.6"
"r_7","0","BG31","2017","perc","11.3"
"r_7","0","BG311","2003","perc","20"
"r_7","0","BG311","2004","perc","24.7"
"r_7","0","BG311","2005","perc","22.5"
"r_7","0","BG311","2006","perc","14.2"
"r_7","0","BG311","2007","perc","13.4"
"r_7","0","BG311","2008","perc","12.9"
"r_7","0","BG311","2009","perc","13"
"r_7","0","BG311","2010","perc","13"
"r_7","0","BG311","2011","perc","19.8"
"r_7","0","BG311","2012","perc","17.4"
"r_7","0","BG311","2013","perc","17.7"
"r_7","0","BG311","2014","perc","22.2"
"r_7","0","BG311","2015","perc","18.8"
"r_7","0","BG311","2016","perc","16.3"
"r_7","0","BG311","2017","perc","19.2"
"r_7","0","BG313","2003","perc","16.4"
"r_7","0","BG313","2004","perc","12.5"
"r_7","0","BG313","2005","perc","12.4"
"r_7","0","BG313","2006","perc","11.7"
"r_7","0","BG313","2007","perc","10"
"r_7","0","BG313","2008","perc","9"
"r_7","0","BG313","2009","perc","7.9"
"r_7","0","BG313","2010","perc","8.9"
"r_7","0","BG313","2011","perc","9.3"
"r_7","0","BG313","2012","perc","9.4"
"r_7","0","BG313","2013","perc","14.9"
"r_7","0","BG313","2014","perc","18.1"
"r_7","0","BG313","2015","perc","17.7"
"r_7","0","BG313","2016","perc","13.6"
"r_7","0","BG313","2017","perc","11.1"
"r_7","0","BG315","2003","perc","13.3"
"r_7","0","BG315","2004","perc","10.3"
"r_7","0","BG315","2005","perc","18.9"
"r_7","0","BG315","2006","perc","14.7"
"r_7","0","BG315","2007","perc","7.6"
"r_7","0","BG315","2008","perc","(3.9)"
"r_7","0","BG315","2009","perc","(3.0)"
"r_7","0","BG315","2010","perc","8.4"
"r_7","0","BG315","2011","perc","12.2"
"r_7","0","BG315","2012","perc","13.4"
"r_7","0","BG315","2013","perc","10.7"
"r_7","0","BG315","2014","perc","10.2"
"r_7","0","BG315","2015","perc","9.2"
"r_7","0","BG315","2016","perc","(7.8)"
"r_7","0","BG315","2017","perc","8.7"
"r_7","0","BG312","2003","perc","14.4"
"r_7","0","BG312","2004","perc","10.9"
"r_7","0","BG312","2005","perc","9.2"
"r_7","0","BG312","2006","perc","10.9"
