RevisionColumn,GenderID,Units,periods,ValueColumn
"r_21","1","hours","2020Q3","40.3"
"r_21","2","hours","2020Q3","39.5"
"r_22","0","hours","2020Q4","39.1"
"r_22","1","hours","2020Q4","39.5"
"r_22","2","hours","2020Q4","38.7"
"r_31","0","hours","2023Q1","39.4"
"r_31","1","hours","2023Q1","39.6"
"r_31","2","hours","2023Q1","39.1"
"r_32","0","hours","2023Q2","38.3"
"r_32","1","hours","2023Q2","38.4"
"r_32","2","hours","2023Q2","38.1"
"r_33","0","hours","2023Q3","39.3"
"r_33","1","hours","2023Q3","39.5"
"r_33","2","hours","2023Q3","39"
"r_34","0","hours","2022Q1","39.7"
"r_34","1","hours","2022Q1","39.9"
"r_34","2","hours","2022Q1","39.5"
"r_35","0","hours","2022Q2","38.5"
"r_35","1","hours","2022Q2","38.9"
"r_35","2","hours","2022Q2","38.2"
"r_36","0","hours","2022Q3","39.4"
"r_36","1","hours","2022Q3","39.8"
"r_36","2","hours","2022Q3","39"
"r_37","0","hours","2022Q4","39"
"r_37","1","hours","2022Q4","39.2"
"r_37","2","hours","2022Q4","38.8"
"r_38","0","hours","2023Q4","38.9"
"r_38","1","hours","2023Q4","39"
"r_38","2","hours","2023Q4","38.7"
"r_39","0","hours","2024Q1","39.3"
"r_39","1","hours","2024Q1","39.4"
"r_39","2","hours","2024Q1","39.1"
"r_40","0","hours","2021Q1","40"
"r_40","1","hours","2021Q1","40.3"
"r_40","2","hours","2021Q1","39.6"
"r_41","0","hours","2021Q2","38.8"
"r_41","1","hours","2021Q2","39.1"
"r_41","2","hours","2021Q2","38.4"
"r_42","0","hours","2021Q3","39.9"
"r_42","1","hours","2021Q3","40.2"
"r_42","2","hours","2021Q3","39.5"
"r_43","0","hours","2021Q4","39.3"
"r_43","1","hours","2021Q4","39.5"
"r_43","2","hours","2021Q4","39.1"
"r_44","0","hours","2024Q2","38.4"
"r_44","1","hours","2024Q2","38.6"
"r_44","2","hours","2024Q2","38.3"
"r_45","0","hours","2024Q3","39.2"
"r_45","1","hours","2024Q3","39.4"
"r_45","2","hours","2024Q3","39"
"r_46","0","hours","2024Q4","38.9"
"r_46","1","hours","2024Q4","39"
"r_46","2","hours","2024Q4","38.8"
"r_47","0","hours","2025Q1","38.9"
"r_47","1","hours","2025Q1","39"
"r_47","2","hours","2025Q1","38.7"
"r_48","0","hours","2025Q2","38.1"
"r_48","1","hours","2025Q2","38.2"
"r_48","2","hours","2025Q2","37.9"
"r_49","0","hours","2025Q3","38.9"
"r_49","1","hours","2025Q3","39.1"
"r_49","2","hours","2025Q3","38.7"
