RevisionColumn,periods,Units,Indicators,ValueColumn
"r_3","2009","1000BGN","3.1.2.5.1.1.4","27155"
"r_3","2010","1000BGN","3.1.2.5.1.1.4","41645"
"r_3","2011","1000BGN","3.1.2.5.1.1.4","163083"
"r_3","2012","1000BGN","3.1.2.5.1.1.4","95591"
"r_3","2013","1000BGN","3.1.2.5.1.1.4","99486"
"r_3","2014","1000BGN","3.1.2.5.1.1.4","78163"
"r_3","2015","1000BGN","3.1.2.5.1.1.4","136986"
"r_3","2016","1000BGN","3.1.2.5.1.1.4","134438"
"r_3","2017","1000BGN","3.1.2.5.1.1.4","134523"
"r_3","2018","1000BGN","3.1.2.5.1.1.4","186897"
"r_3","2019","1000BGN","3.1.2.5.1.1.4","152872"
"r_3","2020","1000BGN","3.1.2.5.1.1.4","102827"
"r_3","2005","1000BGN","3.1.2.5.1.1.5","1889"
"r_3","2006","1000BGN","3.1.2.5.1.1.5","2029"
"r_3","2007","1000BGN","3.1.2.5.1.1.5","4937"
"r_3","2008","1000BGN","3.1.2.5.1.1.5","978"
"r_3","2009","1000BGN","3.1.2.5.1.1.5","2760"
"r_3","2010","1000BGN","3.1.2.5.1.1.5","4369"
"r_3","2011","1000BGN","3.1.2.5.1.1.5","1498"
"r_3","2012","1000BGN","3.1.2.5.1.1.5","6588"
"r_3","2013","1000BGN","3.1.2.5.1.1.5",".."
"r_3","2014","1000BGN","3.1.2.5.1.1.5",".."
"r_3","2015","1000BGN","3.1.2.5.1.1.5",".."
"r_3","2016","1000BGN","3.1.2.5.1.1.5","9520"
"r_3","2017","1000BGN","3.1.2.5.1.1.5","9866"
"r_3","2018","1000BGN","3.1.2.5.1.1.5","15097"
"r_3","2019","1000BGN","3.1.2.5.1.1.5","10267"
"r_3","2020","1000BGN","3.1.2.5.1.1.5","6309"
"r_3","2005","1000BGN","3.1.2.5.1.1.6","19778"
"r_3","2006","1000BGN","3.1.2.5.1.1.6","48881"
"r_3","2007","1000BGN","3.1.2.5.1.1.6","462347"
"r_3","2008","1000BGN","3.1.2.5.1.1.6","27678"
"r_3","2009","1000BGN","3.1.2.5.1.1.6","26554"
"r_3","2010","1000BGN","3.1.2.5.1.1.6","37476"
"r_3","2011","1000BGN","3.1.2.5.1.1.6","161724"
"r_3","2012","1000BGN","3.1.2.5.1.1.6","88582"
"r_3","2013","1000BGN","3.1.2.5.1.1.6","93049"
"r_3","2014","1000BGN","3.1.2.5.1.1.6","71214"
"r_3","2015","1000BGN","3.1.2.5.1.1.6","127761"
"r_3","2016","1000BGN","3.1.2.5.1.1.6","124880"
"r_3","2017","1000BGN","3.1.2.5.1.1.6","124919"
"r_3","2018","1000BGN","3.1.2.5.1.1.6","171743"
"r_3","2019","1000BGN","3.1.2.5.1.1.6","142420"
"r_3","2020","1000BGN","3.1.2.5.1.1.6","96346"
"r_3","2005","1000BGN","3.1.2.5.1.1","115509"
"r_3","2006","1000BGN","3.1.2.5.1.1","197298"
"r_3","2007","1000BGN","3.1.2.5.1.1","1056261"
"r_3","2008","1000BGN","3.1.2.5.1.1","1321129"
"r_3","2009","1000BGN","3.1.2.5.1.1","838563"
"r_3","2010","1000BGN","3.1.2.5.1.1","826576"
"r_3","2011","1000BGN","3.1.2.5.1.1","1070372"
"r_3","2012","1000BGN","3.1.2.5.1.1","761335"
"r_3","2013","1000BGN","3.1.2.5.1.1","801245"
"r_3","2014","1000BGN","3.1.2.5.1.1","871185"
"r_3","2015","1000BGN","3.1.2.5.1.1","1019184"
"r_3","2016","1000BGN","3.1.2.5.1.1","1015033"
"r_3","2017","1000BGN","3.1.2.5.1.1","1563366"
"r_3","2018","1000BGN","3.1.2.5.1.1","1569855"
"r_3","2019","1000BGN","3.1.2.5.1.1","1314038"
"r_3","2020","1000BGN","3.1.2.5.1.1","2168869"
"r_3","2005","1000BGN","3.1.2.5.1.2.1","113337"
