RevisionColumn,NUTS,Units,periods,GenderID,ValueColumn
"r_2","BG","1000cp","2011Q3","1","1583.9"
"r_2","BG","1000cp","2011Q3","2","1413.3"
"r_2","BG","1000cp","2011Q4","0","2935.6"
"r_2","BG","1000cp","2011Q4","1","1532.6"
"r_2","BG","1000cp","2011Q4","2","1403"
"r_2","BG","1000cp","2012Q1","0","2815.9"
"r_2","BG","1000cp","2012Q1","1","1467.9"
"r_2","BG","1000cp","2012Q1","2","1348"
"r_2","BG","1000cp","2012Q2","0","2875.4"
"r_2","BG","1000cp","2012Q2","1","1506.2"
"r_2","BG","1000cp","2012Q2","2","1369.2"
"r_2","BG","1000cp","2012Q3","0","2978.4"
"r_2","BG","1000cp","2012Q3","1","1560.3"
"r_2","BG","1000cp","2012Q3","2","1418"
"r_2","BG","1000cp","2012Q4","0","2909.9"
"r_2","BG","1000cp","2012Q4","1","1534.3"
"r_2","BG","1000cp","2012Q4","2","1375.7"
"r_2","BG","1000cp","2013Q1","0","2815.4"
"r_2","BG","1000cp","2013Q1","1","1474.8"
"r_2","BG","1000cp","2013Q1","2","1340.7"
"r_2","BG","1000cp","2013Q2","0","2897.1"
"r_2","BG","1000cp","2013Q2","1","1513.8"
"r_2","BG","1000cp","2013Q2","2","1383.2"
"r_2","BG","1000cp","2013Q3","0","2965"
"r_2","BG","1000cp","2013Q3","1","1560.7"
"r_2","BG","1000cp","2013Q3","2","1404.3"
"r_2","BG","1000cp","2013Q4","0","2880.2"
"r_2","BG","1000cp","2013Q4","1","1522.6"
"r_2","BG","1000cp","2013Q4","2","1357.6"
"r_2","BG","1000cp","2014Q1","0","2842.3"
"r_2","BG","1000cp","2014Q1","1","1500.1"
"r_2","BG","1000cp","2014Q1","2","1342.2"
"r_2","BG","1000cp","2014Q2","0","2926.3"
"r_2","BG","1000cp","2014Q2","1","1541.9"
"r_2","BG","1000cp","2014Q2","2","1384.4"
"r_2","BG","1000cp","2014Q3","0","3007.2"
"r_2","BG","1000cp","2014Q3","1","1589.9"
"r_2","BG","1000cp","2014Q3","2","1417.2"
"r_2","BG","1000cp","2014Q4","0","2934"
"r_2","BG","1000cp","2014Q4","1","1541.4"
"r_2","BG","1000cp","2014Q4","2","1392.6"
"r_2","BG","1000cp","2015Q1","0","2894.8"
"r_2","BG","1000cp","2015Q1","1","1527.4"
"r_2","BG","1000cp","2015Q1","2","1367.4"
"r_2","BG","1000cp","2015Q2","0","2955.5"
"r_2","BG","1000cp","2015Q2","1","1560.2"
"r_2","BG","1000cp","2015Q2","2","1395.3"
"r_2","BG","1000cp","2015Q3","0","3044.1"
"r_2","BG","1000cp","2015Q3","1","1608.6"
"r_2","BG","1000cp","2015Q3","2","1435.6"
"r_2","BG","1000cp","2015Q4","0","2999.6"
"r_2","BG","1000cp","2015Q4","1","1590.6"
"r_2","BG","1000cp","2015Q4","2","1409"
"r_2","BG31","1000cp","2003Q1","0","307.3"
"r_2","BG31","1000cp","2003Q1","1","156.5"
"r_2","BG31","1000cp","2003Q1","2","150.8"
"r_2","BG31","1000cp","2003Q2","0","311.7"
"r_2","BG31","1000cp","2003Q2","1","163.4"
"r_2","BG31","1000cp","2003Q2","2","148.3"
"r_2","BG31","1000cp","2003Q3","0","311.6"
"r_2","BG31","1000cp","2003Q3","1","167.9"
"r_2","BG31","1000cp","2003Q3","2","143.7"
"r_2","BG31","1000cp","2003Q4","0","303.6"
"r_2","BG31","1000cp","2003Q4","1","160.8"
"r_2","BG31","1000cp","2003Q4","2","142.7"
"r_2","BG31","1000cp","2004Q1","0","298.8"
"r_2","BG31","1000cp","2004Q1","1","156.4"
"r_2","BG31","1000cp","2004Q1","2","142.4"
"r_2","BG31","1000cp","2004Q2","0","316.5"
"r_2","BG31","1000cp","2004Q2","1","169"
"r_2","BG31","1000cp","2004Q2","2","147.5"
"r_2","BG31","1000cp","2004Q3","0","323.6"
"r_2","BG31","1000cp","2004Q3","1","170.4"
"r_2","BG31","1000cp","2004Q3","2","153.1"
"r_2","BG31","1000cp","2004Q4","0","315.1"
"r_2","BG31","1000cp","2004Q4","1","165"
"r_2","BG31","1000cp","2004Q4","2","150.1"
"r_2","BG31","1000cp","2005Q1","0","291.7"
"r_2","BG31","1000cp","2005Q1","1","152.3"
"r_2","BG31","1000cp","2005Q1","2","139.4"
"r_2","BG31","1000cp","2005Q2","0","317.3"
"r_2","BG31","1000cp","2005Q2","1","167.2"
"r_2","BG31","1000cp","2005Q2","2","150.1"
"r_2","BG31","1000cp","2005Q3","0","328"
"r_2","BG31","1000cp","2005Q3","1","169.5"
"r_2","BG31","1000cp","2005Q3","2","158.5"
"r_2","BG31","1000cp","2005Q4","0","309.1"
"r_2","BG31","1000cp","2005Q4","1","164.1"
"r_2","BG31","1000cp","2005Q4","2","145"
"r_2","BG31","1000cp","2006Q1","0","301.7"
"r_2","BG31","1000cp","2006Q1","1","160.3"
"r_2","BG31","1000cp","2006Q1","2","141.4"
"r_2","BG31","1000cp","2006Q2","0","325.8"
"r_2","BG31","1000cp","2006Q2","1","171.6"
"r_2","BG31","1000cp","2006Q2","2","154.2"
"r_2","BG31","1000cp","2006Q3","0","332"
"r_2","BG31","1000cp","2006Q3","1","179.9"
"r_2","BG31","1000cp","2006Q3","2","152.1"
"r_2","BG31","1000cp","2006Q4","0","339.8"
"r_2","BG31","1000cp","2006Q4","1","185.8"
"r_2","BG31","1000cp","2006Q4","2","154"
"r_2","BG31","1000cp","2007Q1","0","325.5"
"r_2","BG31","1000cp","2007Q1","1","172.8"
"r_2","BG31","1000cp","2007Q1","2","152.7"
"r_2","BG31","1000cp","2007Q2","0","343"
"r_2","BG31","1000cp","2007Q2","1","180.6"
"r_2","BG31","1000cp","2007Q2","2","162.5"
"r_2","BG31","1000cp","2007Q3","0","350.1"
"r_2","BG31","1000cp","2007Q3","1","188.4"
"r_2","BG31","1000cp","2007Q3","2","161.8"
"r_2","BG31","1000cp","2007Q4","0","352.4"
"r_2","BG31","1000cp","2007Q4","1","190.5"
"r_2","BG31","1000cp","2007Q4","2","161.9"
"r_2","BG31","1000cp","2008Q1","0","346.7"
"r_2","BG31","1000cp","2008Q1","1","180"
"r_2","BG31","1000cp","2008Q1","2","166.7"
"r_2","BG31","1000cp","2008Q2","0","352.7"
"r_2","BG31","1000cp","2008Q2","1","184.8"
"r_2","BG31","1000cp","2008Q2","2","167.9"
"r_2","BG31","1000cp","2008Q3","0","361.6"
"r_2","BG31","1000cp","2008Q3","1","190.9"
"r_2","BG31","1000cp","2008Q3","2","170.8"
"r_2","BG31","1000cp","2008Q4","0","359.8"
"r_2","BG31","1000cp","2008Q4","1","189.3"
"r_2","BG31","1000cp","2008Q4","2","170.5"
"r_2","BG31","1000cp","2009Q1","0","342.9"
"r_2","BG31","1000cp","2009Q1","1","179.1"
"r_2","BG31","1000cp","2009Q1","2","163.9"
"r_2","BG31","1000cp","2009Q2","0","334.1"
"r_2","BG31","1000cp","2009Q2","1","174.4"
"r_2","BG31","1000cp","2009Q2","2","159.7"
"r_2","BG31","1000cp","2009Q3","0","338.2"
"r_2","BG31","1000cp","2009Q3","1","176.7"
"r_2","BG31","1000cp","2009Q3","2","161.4"
"r_2","BG31","1000cp","2009Q4","0","334.5"
"r_2","BG31","1000cp","2009Q4","1","174.9"
"r_2","BG31","1000cp","2009Q4","2","159.6"
"r_2","BG31","1000cp","2010Q1","0","308.5"
"r_2","BG31","1000cp","2010Q1","1","163.7"
"r_2","BG31","1000cp","2010Q1","2","144.8"
"r_2","BG31","1000cp","2010Q2","0","307.9"
"r_2","BG31","1000cp","2010Q2","1","165"
"r_2","BG31","1000cp","2010Q2","2","142.9"
"r_2","BG31","1000cp","2010Q3","0","302.1"
