RevisionColumn,EKATTE,Units,Edu_schYear,ValueColumn
"r_1","BG","num","2000/2001","18693"
"r_1","BG","num","2001/2002","18637"
"r_1","BG","num","2002/2003","18276"
"r_1","BG","num","2003/2004","18675"
"r_1","BG","num","2004/2005","18893"
"r_1","BG","num","2005/2006","19254"
"r_1","BG","num","2006/2007","19305"
"r_1","BG","num","2007/2008","19456"
"r_1","BG","num","2008/2009","19348"
"r_1","BG","num","2009/2010","19466"
"r_1","BG","num","2010/2011","19579"
"r_1","BG","num","2011/2012","19729"
"r_1","BG","num","2012/2013","20015"
"r_1","BG","num","2013/2014","20269"
"r_1","BG","num","2014/2015","20542"
"r_1","BG3","num","2000/2001","10173"
"r_1","BG3","num","2001/2002","10102"
"r_1","BG3","num","2002/2003","9898"
"r_1","BG3","num","2003/2004","10111"
"r_1","BG3","num","2004/2005","10205"
"r_1","BG3","num","2005/2006","9577"
"r_1","BG3","num","2006/2007","9559"
"r_1","BG3","num","2007/2008","9595"
"r_1","BG3","num","2008/2009","10266"
"r_1","BG3","num","2009/2010","10263"
"r_1","BG3","num","2010/2011","10246"
"r_1","BG3","num","2011/2012","10253"
"r_1","BG3","num","2012/2013","10297"
"r_1","BG3","num","2013/2014","10370"
"r_1","BG3","num","2014/2015","10477"
"r_1","BG31","num","2000/2001","2531"
"r_1","BG31","num","2001/2002","2508"
"r_1","BG31","num","2002/2003","2474"
"r_1","BG31","num","2003/2004","2515"
"r_1","BG31","num","2004/2005","2537"
"r_1","BG31","num","2005/2006","1385"
"r_1","BG31","num","2006/2007","1377"
"r_1","BG31","num","2007/2008","1386"
"r_1","BG31","num","2008/2009","2485"
"r_1","BG31","num","2009/2010","2446"
"r_1","BG31","num","2010/2011","2378"
"r_1","BG31","num","2011/2012","2356"
"r_1","BG31","num","2012/2013","2339"
"r_1","BG31","num","2013/2014","2303"
"r_1","BG31","num","2014/2015","2299"
"r_1","VID","num","2000/2001","301"
"r_1","VID","num","2001/2002","295"
"r_1","VID","num","2002/2003","291"
"r_1","VID","num","2003/2004","309"
"r_1","VID","num","2004/2005","307"
"r_1","VID","num","2005/2006","309"
"r_1","VID","num","2006/2007","314"
"r_1","VID","num","2007/2008","316"
"r_1","VID","num","2008/2009","310"
"r_1","VID","num","2009/2010","298"
"r_1","VID","num","2010/2011","290"
"r_1","VID","num","2011/2012","289"
"r_1","VID","num","2012/2013","280"
"r_1","VID","num","2013/2014","275"
"r_1","VID","num","2014/2015","274"
"r_1","VID01","num","2000/2001","15"
"r_1","VID01","num","2001/2002","14"
"r_1","VID01","num","2002/2003","13"
"r_1","VID01","num","2003/2004","13"
"r_1","VID01","num","2004/2005","13"
"r_1","VID01","num","2005/2006","13"
"r_1","VID01","num","2006/2007","14"
"r_1","VID01","num","2007/2008","17"
"r_1","VID01","num","2008/2009","17"
"r_1","VID01","num","2009/2010","15"
"r_1","VID01","num","2010/2011","15"
"r_1","VID01","num","2011/2012","15"
"r_1","VID01","num","2012/2013","14"
"r_1","VID01","num","2013/2014","14"
"r_1","VID01","num","2014/2015","14"
"r_1","VID03","num","2000/2001","6"
"r_1","VID03","num","2001/2002","5"
"r_1","VID03","num","2002/2003","4"
"r_1","VID03","num","2003/2004","4"
"r_1","VID03","num","2004/2005","4"
"r_1","VID03","num","2005/2006","4"
"r_1","VID03","num","2006/2007","4"
"r_1","VID03","num","2007/2008","4"
"r_1","VID03","num","2008/2009","4"
"r_1","VID03","num","2009/2010","4"
"r_1","VID03","num","2010/2011","4"
"r_1","VID03","num","2011/2012","4"
"r_1","VID03","num","2012/2013","4"
"r_1","VID03","num","2013/2014","4"
"r_1","VID03","num","2014/2015","4"
"r_1","VID06","num","2000/2001","23"
"r_1","VID06","num","2001/2002","23"
"r_1","VID06","num","2002/2003","22"
"r_1","VID06","num","2003/2004","22"
"r_1","VID06","num","2004/2005","21"
"r_1","VID06","num","2005/2006","21"
"r_1","VID06","num","2006/2007","19"
"r_1","VID06","num","2007/2008","19"
"r_1","VID06","num","2008/2009","21"
"r_1","VID06","num","2009/2010","21"
"r_1","VID06","num","2010/2011","19"
"r_1","VID06","num","2011/2012","19"
"r_1","VID06","num","2012/2013","18"
"r_1","VID06","num","2013/2014","18"
"r_1","VID06","num","2014/2015","18"
"r_1","VID09","num","2000/2001","189"
"r_1","VID09","num","2001/2002","188"
"r_1","VID09","num","2002/2003","189"
"r_1","VID09","num","2003/2004","204"
"r_1","VID09","num","2004/2005","205"
"r_1","VID09","num","2005/2006","207"
"r_1","VID09","num","2006/2007","208"
"r_1","VID09","num","2007/2008","207"
"r_1","VID09","num","2008/2009","203"
"r_1","VID09","num","2009/2010","195"
"r_1","VID09","num","2010/2011","191"
"r_1","VID09","num","2011/2012","188"
"r_1","VID09","num","2012/2013","185"
"r_1","VID09","num","2013/2014","179"
"r_1","VID09","num","2014/2015","178"
"r_1","VID15","num","2000/2001","9"
"r_1","VID15","num","2001/2002","7"
"r_1","VID15","num","2002/2003","7"
"r_1","VID15","num","2003/2004","6"
"r_1","VID15","num","2004/2005","6"
"r_1","VID15","num","2005/2006","6"
"r_1","VID15","num","2006/2007","7"
"r_1","VID15","num","2007/2008","7"
"r_1","VID15","num","2008/2009","7"
"r_1","VID15","num","2009/2010","7"
"r_1","VID15","num","2010/2011","6"
"r_1","VID15","num","2011/2012","7"
"r_1","VID15","num","2012/2013","7"
"r_1","VID15","num","2013/2014","7"
"r_1","VID15","num","2014/2015","5"
"r_1","VID16","num","2000/2001","16"
"r_1","VID16","num","2001/2002","15"
"r_1","VID16","num","2002/2003","15"
"r_1","VID16","num","2003/2004","18"
"r_1","VID16","num","2004/2005","16"
"r_1","VID16","num","2005/2006","17"
"r_1","VID16","num","2006/2007","18"
"r_1","VID16","num","2007/2008","18"
"r_1","VID16","num","2008/2009","13"
"r_1","VID16","num","2009/2010","12"
"r_1","VID16","num","2010/2011","12"
"r_1","VID16","num","2011/2012","14"
"r_1","VID16","num","2012/2013","13"
"r_1","VID16","num","2013/2014","14"
"r_1","VID16","num","2014/2015","18"
"r_1","VID22","num","2000/2001","9"
"r_1","VID22","num","2001/2002","9"
"r_1","VID22","num","2002/2003","8"
"r_1","VID22","num","2003/2004","8"
"r_1","VID22","num","2004/2005","8"
"r_1","VID22","num","2005/2006","8"
"r_1","VID22","num","2006/2007","11"
"r_1","VID22","num","2007/2008","11"
"r_1","VID22","num","2008/2009","11"
"r_1","VID22","num","2009/2010","11"
"r_1","VID22","num","2010/2011","10"
"r_1","VID22","num","2011/2012","10"
"r_1","VID22","num","2012/2013","10"
"r_1","VID22","num","2013/2014","11"
"r_1","VID22","num","2014/2015","10"
"r_1","VID25","num","2000/2001","4"
"r_1","VID25","num","2001/2002","4"
"r_1","VID25","num","2002/2003","4"
"r_1","VID25","num","2003/2004","4"
"r_1","VID25","num","2004/2005","4"
"r_1","VID25","num","2005/2006","4"
"r_1","VID25","num","2006/2007","4"
"r_1","VID25","num","2007/2008","4"
"r_1","VID25","num","2008/2009","4"
"r_1","VID25","num","2009/2010","4"
"r_1","VID25","num","2010/2011","4"
"r_1","VID25","num","2011/2012","4"
"r_1","VID25","num","2012/2013","4"
"r_1","VID25","num","2013/2014","4"
"r_1","VID25","num","2014/2015","4"
"r_1","VID30","num","2000/2001","14"
"r_1","VID30","num","2001/2002","14"
"r_1","VID30","num","2002/2003","13"
"r_1","VID30","num","2003/2004","12"
"r_1","VID30","num","2004/2005","12"
"r_1","VID30","num","2005/2006","11"
"r_1","VID30","num","2006/2007","11"
"r_1","VID30","num","2007/2008","11"
"r_1","VID30","num","2008/2009","11"
"r_1","VID30","num","2009/2010","10"
"r_1","VID30","num","2010/2011","10"
"r_1","VID30","num","2011/2012","9"
"r_1","VID30","num","2012/2013","10"
"r_1","VID30","num","2013/2014","10"
"r_1","VID30","num","2014/2015","9"
"r_1","VID33","num","2000/2001","12"
"r_1","VID33","num","2001/2002","12"
"r_1","VID33","num","2002/2003","12"
"r_1","VID33","num","2003/2004","14"
"r_1","VID33","num","2004/2005","14"
"r_1","VID33","num","2005/2006","14"
