RevisionColumn,periods,Indicators,Units,Countries_TOUR,ValueColumn
"r_3","2015X","3.5.2.1.2","num","GR","10456"
"r_3","2015X","3.5.2.2.2","num","DK","1987"
"r_3","2015X","3.5.2.1.2","num","DK","617"
"r_3","2015X","3.5.2.2.2","num","EE","625"
"r_3","2015X","3.5.2.1.2","num","EE","205"
"r_3","2015X","3.5.2.2.2","num","IE","1200"
"r_3","2015X","3.5.2.1.2","num","IE","541"
"r_3","2015X","3.5.2.2.2","num","ES","4056"
"r_3","2015X","3.5.2.1.2","num","ES","1907"
"r_3","2015X","3.5.2.2.2","num","IT","12602"
"r_3","2015X","3.5.2.1.2","num","IT","5483"
"r_3","2015X","3.5.2.2.2","num","CY","2054"
"r_3","2015X","3.5.2.1.2","num","CY","642"
"r_3","2015X","3.5.2.2.2","num","LV","886"
"r_3","2015X","3.5.2.1.2","num","LV","232"
"r_3","2015X","3.5.2.2.2","num","LT","632"
"r_3","2015X","3.5.2.1.2","num","LT","245"
"r_3","2015X","3.5.2.2.2","num","LU","245"
"r_3","2015X","3.5.2.1.2","num","LU","99"
"r_3","2015X","3.5.2.2.2","num","MT","344"
"r_3","2015X","3.5.2.1.2","num","MT","152"
"r_3","2015X","3.5.2.2.2","num","NL","4592"
"r_3","2015X","3.5.2.1.2","num","NL","1817"
"r_3","2015X","3.5.2.2.2","num","GB","17000"
"r_3","2015X","3.5.2.1.2","num","GB","7161"
"r_3","2015X","3.5.2.2.2","num","PL","6263"
"r_3","2015X","3.5.2.1.2","num","PL","2052"
"r_3","2015X","3.5.2.2.2","num","PT","1176"
"r_3","2015X","3.5.2.1.2","num","PT","375"
"r_3","2015X","3.5.2.2.2","num","RO","16536"
"r_3","2015X","3.5.2.1.2","num","RO","6328"
"r_3","2015X","3.5.2.2.2","num","SK","772"
"r_3","2015X","3.5.2.1.2","num","SK","360"
"r_3","2015X","3.5.2.2.2","num","SI","1972"
"r_3","2015X","3.5.2.1.2","num","SI","1088"
"r_3","2015X","3.5.2.2.2","num","HU","2391"
"r_3","2015X","3.5.2.1.2","num","HU","1480"
"r_3","2015X","3.5.2.2.2","num","FI","3061"
"r_3","2015X","3.5.2.1.2","num","FI","802"
"r_3","2015X","3.5.2.2.2","num","FR","8654"
"r_3","2015X","3.5.2.1.2","num","FR","3859"
"r_3","2015X","3.5.2.2.2","num","HR","1393"
"r_3","2015X","3.5.2.1.2","num","HR","674"
"r_3","2015X","3.5.2.2.2","num","CZ","2621"
"r_3","2015X","3.5.2.1.2","num","CZ","1116"
"r_3","2015X","3.5.2.2.2","num","SE","4232"
"r_3","2015X","3.5.2.1.2","num","SE","1262"
"r_3","2015X","3.5.2.2.2","num","OTH_EUR","56394"
"r_3","2015X","3.5.2.1.2","num","OTH_EUR","27804"
"r_3","2015X","3.5.2.2.2","num","MK","19336"
"r_3","2015X","3.5.2.1.2","num","MK","9137"
"r_3","2015X","3.5.2.2.2","num","NO","1928"
