RevisionColumn,Age10_LFS,Units,periods,GenderID,ValueColumn
"r_3","15 - 24","1000cp","2018Q2","2","(4.9)"
"r_3","25 - 34","1000cp","2018Q2","0","16.9"
"r_3","25 - 34","1000cp","2018Q2","1","9.4"
"r_3","25 - 34","1000cp","2018Q2","2","7.5"
"r_3","35 - 44","1000cp","2018Q2","0","19.7"
"r_3","35 - 44","1000cp","2018Q2","1","9.3"
"r_3","35 - 44","1000cp","2018Q2","2","10.3"
"r_3","45 - 54","1000cp","2018Q2","0","15.6"
"r_3","45 - 54","1000cp","2018Q2","1","7.9"
"r_3","45 - 54","1000cp","2018Q2","2","7.8"
"r_3","55+","1000cp","2018Q2","0","25.6"
"r_3","55+","1000cp","2018Q2","1","11.5"
"r_3","55+","1000cp","2018Q2","2","14.1"
"r_3","0","1000cp","2018Q3","0","82.3"
"r_3","0","1000cp","2018Q3","1","43.2"
"r_3","0","1000cp","2018Q3","2","39.2"
"r_3","15 - 64","1000cp","2018Q3","0","78.8"
"r_3","15 - 64","1000cp","2018Q3","1","41.5"
"r_3","15 - 64","1000cp","2018Q3","2","37.3"
"r_3","15 - 24","1000cp","2018Q3","0","14.1"
"r_3","15 - 24","1000cp","2018Q3","1","9.2"
"r_3","15 - 24","1000cp","2018Q3","2","(4.9)"
"r_3","25 - 34","1000cp","2018Q3","0","13.9"
"r_3","25 - 34","1000cp","2018Q3","1","7.2"
"r_3","25 - 34","1000cp","2018Q3","2","6.8"
"r_3","35 - 44","1000cp","2018Q3","0","20.3"
"r_3","35 - 44","1000cp","2018Q3","1","11.1"
"r_3","35 - 44","1000cp","2018Q3","2","9.2"
"r_3","45 - 54","1000cp","2018Q3","0","12.3"
"r_3","45 - 54","1000cp","2018Q3","1","6.2"
"r_3","45 - 54","1000cp","2018Q3","2","6.1"
"r_3","55+","1000cp","2018Q3","0","21.8"
"r_3","55+","1000cp","2018Q3","1","9.5"
"r_3","55+","1000cp","2018Q3","2","12.2"
"r_3","0","1000cp","2018Q4","0","73.6"
"r_3","0","1000cp","2018Q4","1","41.4"
"r_3","0","1000cp","2018Q4","2","32.2"
"r_3","15 - 64","1000cp","2018Q4","0","71"
"r_3","15 - 64","1000cp","2018Q4","1","39.8"
"r_3","15 - 64","1000cp","2018Q4","2","31.3"
"r_3","15 - 24","1000cp","2018Q4","0","11.5"
"r_3","15 - 24","1000cp","2018Q4","1","7.4"
"r_3","15 - 24","1000cp","2018Q4","2","(4.1)"
"r_3","25 - 34","1000cp","2018Q4","0","13.7"
"r_3","25 - 34","1000cp","2018Q4","1","8.8"
"r_3","25 - 34","1000cp","2018Q4","2","(5.0)"
"r_3","35 - 44","1000cp","2018Q4","0","15.9"
"r_3","35 - 44","1000cp","2018Q4","1","9.5"
"r_3","35 - 44","1000cp","2018Q4","2","6.4"
"r_3","45 - 54","1000cp","2018Q4","0","13.4"
"r_3","45 - 54","1000cp","2018Q4","1","6.7"
"r_3","45 - 54","1000cp","2018Q4","2","6.7"
"r_3","55+","1000cp","2018Q4","0","19.1"
"r_3","55+","1000cp","2018Q4","1","9"
"r_3","55+","1000cp","2018Q4","2","10"
"r_3","0","1000cp","2019Q1","0","65.8"
"r_3","0","1000cp","2019Q1","1","35.4"
"r_3","0","1000cp","2019Q1","2","30.4"
"r_3","15 - 64","1000cp","2019Q1","0","63.6"
"r_3","15 - 64","1000cp","2019Q1","1","33.2"
"r_3","15 - 64","1000cp","2019Q1","2","30.4"
"r_3","15 - 24","1000cp","2019Q1","0","11.1"
"r_3","15 - 24","1000cp","2019Q1","1","6.7"
"r_3","15 - 24","1000cp","2019Q1","2","(4.3)"
"r_3","25 - 34","1000cp","2019Q1","0","9.9"
"r_3","25 - 34","1000cp","2019Q1","1","(4.2)"
"r_3","25 - 34","1000cp","2019Q1","2","5.7"
"r_3","35 - 44","1000cp","2019Q1","0","14.4"
"r_3","35 - 44","1000cp","2019Q1","1","8.1"
"r_3","35 - 44","1000cp","2019Q1","2","6.3"
"r_3","45 - 54","1000cp","2019Q1","0","14.7"
"r_3","45 - 54","1000cp","2019Q1","1","8.1"
"r_3","45 - 54","1000cp","2019Q1","2","6.7"
"r_3","55+","1000cp","2019Q1","0","15.7"
"r_3","55+","1000cp","2019Q1","1","8.3"
"r_3","55+","1000cp","2019Q1","2","7.4"
"r_3","0","1000cp","2019Q2","0","63.3"
"r_3","0","1000cp","2019Q2","1","33"
"r_3","0","1000cp","2019Q2","2","30.3"
"r_3","15 - 64","1000cp","2019Q2","0","61.2"
"r_3","15 - 64","1000cp","2019Q2","1","31.8"
"r_3","15 - 64","1000cp","2019Q2","2","29.4"
"r_3","15 - 24","1000cp","2019Q2","0","9.9"
"r_3","15 - 24","1000cp","2019Q2","1","6.4"
"r_3","15 - 24","1000cp","2019Q2","2","(3.5)"
"r_3","25 - 34","1000cp","2019Q2","0","13.7"
"r_3","25 - 34","1000cp","2019Q2","1","6.8"
"r_3","25 - 34","1000cp","2019Q2","2","6.9"
"r_3","35 - 44","1000cp","2019Q2","0","14.9"
"r_3","35 - 44","1000cp","2019Q2","1","7.1"
"r_3","35 - 44","1000cp","2019Q2","2","7.8"
"r_3","45 - 54","1000cp","2019Q2","0","9"
"r_3","45 - 54","1000cp","2019Q2","1","5.2"
"r_3","45 - 54","1000cp","2019Q2","2","(3.8)"
"r_3","55+","1000cp","2019Q2","0","15.8"
"r_3","55+","1000cp","2019Q2","1","7.4"
"r_3","55+","1000cp","2019Q2","2","8.4"
"r_4","0","1000cp","2019Q3","0","63.3"
"r_4","0","1000cp","2019Q3","1","32.6"
"r_4","0","1000cp","2019Q3","2","30.7"
"r_4","15 - 64","1000cp","2019Q3","0","61.4"
"r_4","15 - 64","1000cp","2019Q3","1","31.7"
"r_4","15 - 64","1000cp","2019Q3","2","29.8"
"r_4","15 - 24","1000cp","2019Q3","0","11.7"
"r_4","15 - 24","1000cp","2019Q3","1","7.4"
"r_4","15 - 24","1000cp","2019Q3","2","(4.3)"
"r_4","25 - 34","1000cp","2019Q3","0","11.6"
"r_4","25 - 34","1000cp","2019Q3","1","5.7"
"r_4","25 - 34","1000cp","2019Q3","2","5.9"
"r_4","35 - 44","1000cp","2019Q3","0","15"
"r_4","35 - 44","1000cp","2019Q3","1","8.2"
"r_4","35 - 44","1000cp","2019Q3","2","6.8"
"r_4","45 - 54","1000cp","2019Q3","0","9.8"
"r_4","45 - 54","1000cp","2019Q3","1","5.1"
"r_4","45 - 54","1000cp","2019Q3","2","(4.7)"
"r_4","55+","1000cp","2019Q3","0","15.1"
"r_4","55+","1000cp","2019Q3","1","6.1"
"r_4","55+","1000cp","2019Q3","2","9"
"r_5","0","1000cp","2019Q4","0","63"
"r_5","0","1000cp","2019Q4","1","31.3"
"r_5","0","1000cp","2019Q4","2","31.6"
"r_5","15 - 64","1000cp","2019Q4","0","60.6"
"r_5","15 - 64","1000cp","2019Q4","1","29.6"
"r_5","15 - 64","1000cp","2019Q4","2","31"
"r_5","15 - 24","1000cp","2019Q4","0","10.8"
"r_5","15 - 24","1000cp","2019Q4","1","7.4"
"r_5","15 - 24","1000cp","2019Q4","2","(3.5)"
"r_5","25 - 34","1000cp","2019Q4","0","10.5"
"r_5","25 - 34","1000cp","2019Q4","1","(5.4)"
"r_5","25 - 34","1000cp","2019Q4","2","(5.1)"
"r_5","35 - 44","1000cp","2019Q4","0","11"
"r_5","35 - 44","1000cp","2019Q4","1","(5.2)"
"r_5","35 - 44","1000cp","2019Q4","2","(5.8)"
"r_5","45 - 54","1000cp","2019Q4","0","13.4"
"r_5","45 - 54","1000cp","2019Q4","1","(5.6)"
"r_5","45 - 54","1000cp","2019Q4","2","7.8"
"r_5","55+","1000cp","2019Q4","0","17.3"
"r_5","55+","1000cp","2019Q4","1","7.8"
"r_5","55+","1000cp","2019Q4","2","9.5"
"r_6","0","1000cp","2020Q1","0","69.2"
"r_6","0","1000cp","2020Q1","1","35.9"
"r_6","0","1000cp","2020Q1","2","33.3"
"r_6","15 - 64","1000cp","2020Q1","0","67.4"
"r_6","15 - 64","1000cp","2020Q1","1","34.8"
"r_6","15 - 64","1000cp","2020Q1","2","32.6"
"r_6","15 - 24","1000cp","2020Q1","0","13.6"
"r_6","15 - 24","1000cp","2020Q1","1","10.2"
"r_6","15 - 24","1000cp","2020Q1","2","(3.4)"
"r_6","25 - 34","1000cp","2020Q1","0","11.7"
"r_6","25 - 34","1000cp","2020Q1","1","(6.2)"
"r_6","25 - 34","1000cp","2020Q1","2","(5.5)"
"r_6","35 - 44","1000cp","2020Q1","0","12.5"
"r_6","35 - 44","1000cp","2020Q1","1","(5.3)"
"r_6","35 - 44","1000cp","2020Q1","2","7.2"
"r_6","45 - 54","1000cp","2020Q1","0","15.1"
"r_6","45 - 54","1000cp","2020Q1","1","(6.6)"
"r_6","45 - 54","1000cp","2020Q1","2","8.5"
"r_6","55+","1000cp","2020Q1","0","16.2"
"r_6","55+","1000cp","2020Q1","1","7.6"
"r_6","55+","1000cp","2020Q1","2","8.6"
"r_7","0","1000cp","2020Q2","0","60.5"
"r_7","0","1000cp","2020Q2","1","31.7"
"r_7","0","1000cp","2020Q2","2","28.8"
"r_7","15 - 64","1000cp","2020Q2","0","58.2"
"r_7","15 - 64","1000cp","2020Q2","1","30.3"
"r_7","15 - 64","1000cp","2020Q2","2","27.9"
"r_7","15 - 24","1000cp","2020Q2","0","8.2"
"r_7","15 - 24","1000cp","2020Q2","1","(5.8)"
"r_7","15 - 24","1000cp","2020Q2","2","(2.4)"
"r_7","25 - 34","1000cp","2020Q2","0","16.8"
"r_7","25 - 34","1000cp","2020Q2","1","9.1"
"r_7","25 - 34","1000cp","2020Q2","2","7.7"
"r_7","35 - 44","1000cp","2020Q2","0","11.7"
"r_7","35 - 44","1000cp","2020Q2","1","(5.6)"
"r_7","35 - 44","1000cp","2020Q2","2","(6.1)"
"r_7","45 - 54","1000cp","2020Q2","0","12.3"
"r_7","45 - 54","1000cp","2020Q2","1","(5.5)"
"r_7","45 - 54","1000cp","2020Q2","2","(6.8)"
"r_7","55+","1000cp","2020Q2","0","11.5"
"r_7","55+","1000cp","2020Q2","1","(5.7)"
"r_7","55+","1000cp","2020Q2","2","(5.8)"
"r_8","0","1000cp","2020Q3","0","61.2"
"r_8","0","1000cp","2020Q3","1","33.1"
"r_8","0","1000cp","2020Q3","2","28.1"
"r_8","15 - 64","1000cp","2020Q3","0","58.6"
"r_8","15 - 64","1000cp","2020Q3","1","32"
"r_8","15 - 64","1000cp","2020Q3","2","26.6"
"r_8","15 - 24","1000cp","2020Q3","0","8.7"
"r_8","15 - 24","1000cp","2020Q3","1","6.1"
"r_8","15 - 24","1000cp","2020Q3","2","(2.6)"
"r_8","25 - 34","1000cp","2020Q3","0","14.2"
"r_8","25 - 34","1000cp","2020Q3","1","8.1"
"r_8","25 - 34","1000cp","2020Q3","2","6.1"
"r_8","35 - 44","1000cp","2020Q3","0","10.7"
"r_8","35 - 44","1000cp","2020Q3","1","(5.6)"
"r_8","35 - 44","1000cp","2020Q3","2","(5.0)"
"r_8","45 - 54","1000cp","2020Q3","0","13.3"
"r_8","45 - 54","1000cp","2020Q3","1","7.3"
"r_8","45 - 54","1000cp","2020Q3","2","6"
"r_8","55+","1000cp","2020Q3","0","14.3"
"r_8","55+","1000cp","2020Q3","1","6"
"r_8","55+","1000cp","2020Q3","2","8.3"
"r_9","0","1000cp","2020Q4","0","64.4"
"r_9","0","1000cp","2020Q4","1","34.8"
"r_9","0","1000cp","2020Q4","2","29.6"
"r_9","15 - 64","1000cp","2020Q4","0","62.1"
"r_9","15 - 64","1000cp","2020Q4","1","33.6"
"r_9","15 - 64","1000cp","2020Q4","2","28.5"
"r_9","15 - 24","1000cp","2020Q4","0","9.2"
"r_9","15 - 24","1000cp","2020Q4","1","6.5"
"r_9","15 - 24","1000cp","2020Q4","2","(2.6)"
"r_9","25 - 34","1000cp","2020Q4","0","11.8"
"r_9","25 - 34","1000cp","2020Q4","1","8.2"
"r_9","25 - 34","1000cp","2020Q4","2","(3.6)"
"r_9","35 - 44","1000cp","2020Q4","0","13.1"
"r_9","35 - 44","1000cp","2020Q4","1","6.3"
"r_9","35 - 44","1000cp","2020Q4","2","6.9"
"r_9","45 - 54","1000cp","2020Q4","0","13.5"
"r_9","45 - 54","1000cp","2020Q4","1","6.3"
"r_9","45 - 54","1000cp","2020Q4","2","7.2"
"r_9","55+","1000cp","2020Q4","0","16.9"
"r_9","55+","1000cp","2020Q4","1","7.5"
"r_9","55+","1000cp","2020Q4","2","9.4"
"r_18","0","1000cp","2023Q1","0","44.9"
"r_18","0","1000cp","2023Q1","1","25.5"
"r_18","0","1000cp","2023Q1","2","19.4"
"r_18","15 - 64","1000cp","2023Q1","0","43.6"
"r_18","15 - 64","1000cp","2023Q1","1","24.6"
"r_18","15 - 64","1000cp","2023Q1","2","19"
"r_18","15 - 24","1000cp","2023Q1","0","7.9"
"r_18","15 - 24","1000cp","2023Q1","1","(4.8)"
"r_18","15 - 24","1000cp","2023Q1","2","(3.2)"
"r_18","25 - 34","1000cp","2023Q1","0","9"
"r_18","25 - 34","1000cp","2023Q1","1","6.2"
"r_18","25 - 34","1000cp","2023Q1","2","(2.8)"
"r_18","35 - 44","1000cp","2023Q1","0","9"
"r_18","35 - 44","1000cp","2023Q1","1","(5.2)"
"r_18","35 - 44","1000cp","2023Q1","2","(3.7)"
"r_18","45 - 54","1000cp","2023Q1","0","8.8"
"r_18","45 - 54","1000cp","2023Q1","1","(4.4)"
"r_18","45 - 54","1000cp","2023Q1","2","(4.4)"
"r_18","55+","1000cp","2023Q1","0","10.2"
