RevisionColumn,periods,Units,GenderID,NUTS,ValueColumn
"r_2","2004Q1","1000cp","1","BG42","41"
"r_2","2004Q1","1000cp","2","BG42","31.1"
"r_2","2004Q2","1000cp","0","BG","406.1"
"r_2","2004Q2","1000cp","1","BG","222.7"
"r_2","2004Q2","1000cp","2","BG","183.4"
"r_2","2004Q2","1000cp","0","BG31","45.9"
"r_2","2004Q2","1000cp","1","BG31","28.2"
"r_2","2004Q2","1000cp","2","BG31","17.7"
"r_2","2004Q2","1000cp","0","BG32","60.4"
"r_2","2004Q2","1000cp","1","BG32","37.1"
"r_2","2004Q2","1000cp","2","BG32","23.3"
"r_2","2004Q2","1000cp","0","BG33","78.9"
"r_2","2004Q2","1000cp","1","BG33","37.4"
"r_2","2004Q2","1000cp","2","BG33","41.5"
"r_2","2004Q2","1000cp","0","BG34","63.8"
"r_2","2004Q2","1000cp","1","BG34","34.2"
"r_2","2004Q2","1000cp","2","BG34","29.7"
"r_2","2004Q2","1000cp","0","BG41","91.9"
"r_2","2004Q2","1000cp","1","BG41","47.5"
"r_2","2004Q2","1000cp","2","BG41","44.4"
"r_2","2004Q2","1000cp","0","BG42","65.1"
"r_2","2004Q2","1000cp","1","BG42","38.3"
"r_2","2004Q2","1000cp","2","BG42","26.9"
"r_2","2004Q3","1000cp","0","BG","373"
"r_2","2004Q3","1000cp","1","BG","207.3"
"r_2","2004Q3","1000cp","2","BG","165.8"
"r_2","2004Q3","1000cp","0","BG31","45.5"
"r_2","2004Q3","1000cp","1","BG31","27.2"
"r_2","2004Q3","1000cp","2","BG31","18.3"
"r_2","2004Q3","1000cp","0","BG32","52.8"
"r_2","2004Q3","1000cp","1","BG32","29.7"
"r_2","2004Q3","1000cp","2","BG32","23.1"
"r_2","2004Q3","1000cp","0","BG33","65.1"
"r_2","2004Q3","1000cp","1","BG33","34.4"
"r_2","2004Q3","1000cp","2","BG33","30.7"
"r_2","2004Q3","1000cp","0","BG34","51.4"
"r_2","2004Q3","1000cp","1","BG34","26.6"
"r_2","2004Q3","1000cp","2","BG34","24.8"
"r_2","2004Q3","1000cp","0","BG41","93.7"
"r_2","2004Q3","1000cp","1","BG41","52.6"
"r_2","2004Q3","1000cp","2","BG41","41.1"
"r_2","2004Q3","1000cp","0","BG42","64.5"
"r_2","2004Q3","1000cp","1","BG42","36.8"
"r_2","2004Q3","1000cp","2","BG42","27.7"
"r_2","2004Q4","1000cp","0","BG","391"
"r_2","2004Q4","1000cp","1","BG","220"
"r_2","2004Q4","1000cp","2","BG","170.9"
"r_2","2004Q4","1000cp","0","BG31","45.6"
"r_2","2004Q4","1000cp","1","BG31","26.5"
"r_2","2004Q4","1000cp","2","BG31","19.2"
"r_2","2004Q4","1000cp","0","BG32","49.3"
"r_2","2004Q4","1000cp","1","BG32","29.3"
"r_2","2004Q4","1000cp","2","BG32","20"
"r_2","2004Q4","1000cp","0","BG33","69.9"
"r_2","2004Q4","1000cp","1","BG33","36.6"
"r_2","2004Q4","1000cp","2","BG33","33.4"
"r_2","2004Q4","1000cp","0","BG34","46.8"
"r_2","2004Q4","1000cp","1","BG34","26.4"
"r_2","2004Q4","1000cp","2","BG34","20.4"
"r_2","2004Q4","1000cp","0","BG41","92.6"
"r_2","2004Q4","1000cp","1","BG41","52.1"
"r_2","2004Q4","1000cp","2","BG41","40.5"
"r_2","2004Q4","1000cp","0","BG42","86.7"
"r_2","2004Q4","1000cp","1","BG42","49.3"
"r_2","2004Q4","1000cp","2","BG42","37.4"
"r_2","2005Q1","1000cp","0","BG","362.3"
