RevisionColumn,SILC_HHType,Units,periods,ValueColumn
"r_4","7","perc_pop_fig","2016","28.9"
"r_4","8","perc_pop_fig","2016","16"
"r_4","9","perc_pop_fig","2016","12.7"
"r_4","10","perc_pop_fig","2016","10.8"
"r_4","11","perc_pop_fig","2016","26.7"
"r_4","12","perc_pop_fig","2016","47.4"
"r_4","13","perc_pop_fig","2016","12.4"
"r_4","14","perc_pop_fig","2016","22.7"
"r_4","15","perc_pop_fig","2016","70.5"
"r_4","16","perc_pop_fig","2016","28.8"
"r_5","3","perc_pop_fig","2017","22"
"r_5","4","perc_pop_fig","2017","25.7"
"r_5","5","perc_pop_fig","2017","55"
"r_5","6","perc_pop_fig","2017","51.4"
"r_5","7","perc_pop_fig","2017","31.2"
"r_5","8","perc_pop_fig","2017","12.6"
"r_5","9","perc_pop_fig","2017","20"
"r_5","10","perc_pop_fig","2017","12.2"
"r_5","11","perc_pop_fig","2017","24.8"
"r_5","12","perc_pop_fig","2017","35.7"
"r_5","13","perc_pop_fig","2017","12"
"r_5","14","perc_pop_fig","2017","21.7"
"r_5","15","perc_pop_fig","2017","65"
"r_5","16","perc_pop_fig","2017","28.2"
"r_6","3","perc_pop_fig","2018","20.5"
"r_6","4","perc_pop_fig","2018","25.3"
"r_6","5","perc_pop_fig","2018","49.3"
"r_6","6","perc_pop_fig","2018","46.3"
"r_6","7","perc_pop_fig","2018","30"
"r_6","8","perc_pop_fig","2018","13.3"
"r_6","9","perc_pop_fig","2018","16.8"
"r_6","10","perc_pop_fig","2018","9.5"
"r_6","11","perc_pop_fig","2018","23.4"
"r_6","12","perc_pop_fig","2018","30"
"r_6","13","perc_pop_fig","2018","12"
"r_6","14","perc_pop_fig","2018","19.7"
"r_6","15","perc_pop_fig","2018","51.2"
"r_6","16","perc_pop_fig","2018","27.4"
"r_7","3","perc_pop_fig","2019","23.2"
"r_7","4","perc_pop_fig","2019","25.9"
"r_7","5","perc_pop_fig","2019","56.9"
"r_7","6","perc_pop_fig","2019","50.3"
"r_7","7","perc_pop_fig","2019","35.8"
"r_7","8","perc_pop_fig","2019","13.5"
"r_7","9","perc_pop_fig","2019","21.4"
"r_7","10","perc_pop_fig","2019","9.8"
"r_7","11","perc_pop_fig","2019","22.1"
"r_7","12","perc_pop_fig","2019","41.4"
"r_7","13","perc_pop_fig","2019","10.7"
"r_7","14","perc_pop_fig","2019","16.9"
"r_7","15","perc_pop_fig","2019","62.3"
"r_7","16","perc_pop_fig","2019","22.8"
