RevisionColumn,NUTS,GenderID,SILC_Age,Units,periods,ValueColumn
"r_3","BG421","0","4","1000cp","2015","47.7"
"r_3","BG421","0","4","perc_pop_fig","2015","12.3"
"r_3","BG424","0","4","1000cp","2015","12.5"
"r_3","BG424","0","4","perc_pop_fig","2015","20"
"r_3","BG422","0","4","1000cp","2015","16.5"
"r_3","BG422","0","4","perc_pop_fig","2015","13"
"r_4","BG","0","1","1000cp","2016","180.8"
"r_4","BG","0","1","perc_pop_fig","2016","15.1"
"r_4","BG","0","4","1000cp","2016","437.4"
"r_4","BG","0","4","perc_pop_fig","2016","11"
"r_4","BG","1","4","1000cp","2016","221.9"
"r_4","BG","1","4","perc_pop_fig","2016","10.9"
"r_4","BG","2","4","1000cp","2016","215.5"
"r_4","BG","2","4","perc_pop_fig","2016","11.1"
"r_4","BG","0","5","1000cp","2016","618.2"
"r_4","BG","0","5","perc_pop_fig","2016","11.9"
"r_4","BG","1","5","1000cp","2016","309.1"
"r_4","BG","1","5","perc_pop_fig","2016","11.7"
"r_4","BG","2","5","1000cp","2016","309.2"
"r_4","BG","2","5","perc_pop_fig","2016","12.2"
"r_4","BG31","0","1","1000cp","2016","34.7"
"r_4","BG31","0","1","perc_pop_fig","2016","27"
"r_4","BG31","0","4","1000cp","2016","68.2"
"r_4","BG31","0","4","perc_pop_fig","2016","17"
"r_4","BG31","0","5","1000cp","2016","102.9"
"r_4","BG31","0","5","perc_pop_fig","2016","19.4"
"r_4","BG311","0","4","1000cp","2016","14.3"
"r_4","BG311","0","4","perc_pop_fig","2016","31.4"
"r_4","BG313","0","4","1000cp","2016","10.6"
"r_4","BG313","0","4","perc_pop_fig","2016","11.9"
"r_4","BG315","0","4","1000cp","2016","8.2"
"r_4","BG315","0","4","perc_pop_fig","2016","11.9"
"r_4","BG312","0","4","1000cp","2016","19.8"
"r_4","BG312","0","4","perc_pop_fig","2016","26.8"
"r_4","BG314","0","4","1000cp","2016","14.5"
"r_4","BG314","0","4","perc_pop_fig","2016","11.8"
"r_4","BG32","0","1","1000cp","2016","23.6"
"r_4","BG32","0","1","perc_pop_fig","2016","16.9"
"r_4","BG32","0","4","1000cp","2016","50.2"
"r_4","BG32","0","4","perc_pop_fig","2016","11.6"
"r_4","BG32","0","5","1000cp","2016","73.8"
"r_4","BG32","0","5","perc_pop_fig","2016","12.9"
"r_4","BG321","0","4","1000cp","2016","22.2"
"r_4","BG321","0","4","perc_pop_fig","2016","18.1"
"r_4","BG322","0","4","1000cp","2016","2.5"
"r_4","BG322","0","4","perc_pop_fig","2016","4.5"
"r_4","BG324","0","4","1000cp","2016","10.5"
"r_4","BG324","0","4","perc_pop_fig","2016","15.6"
"r_4","BG323","0","4","1000cp","2016","10.4"
"r_4","BG323","0","4","perc_pop_fig","2016","8.6"
"r_4","BG325","0","4","1000cp","2016","4.5"
"r_4","BG325","0","4","perc_pop_fig","2016","6.9"
"r_4","BG33","0","1","1000cp","2016","27.3"
"r_4","BG33","0","1","perc_pop_fig","2016","17.7"
"r_4","BG33","0","4","1000cp","2016","61"
"r_4","BG33","0","4","perc_pop_fig","2016","11.7"
"r_4","BG33","0","5","1000cp","2016","88.2"
"r_4","BG33","0","5","perc_pop_fig","2016","13.1"
"r_4","BG331","0","4","1000cp","2016","28.4"
"r_4","BG331","0","4","perc_pop_fig","2016","11.7"
"r_4","BG332","0","4","1000cp","2016","7.6"
"r_4","BG332","0","4","perc_pop_fig","2016","7.1"
"r_4","BG334","0","4","1000cp","2016","10.2"
"r_4","BG334","0","4","perc_pop_fig","2016","15.2"
"r_4","BG333","0","4","1000cp","2016","14.7"
"r_4","BG333","0","4","perc_pop_fig","2016","14.7"
"r_4","BG34","0","1","1000cp","2016","28.5"
"r_4","BG34","0","1","perc_pop_fig","2016","14.9"
"r_4","BG34","0","4","1000cp","2016","51.1"
"r_4","BG34","0","4","perc_pop_fig","2016","8.8"
"r_4","BG34","0","5","1000cp","2016","79.7"
"r_4","BG34","0","5","perc_pop_fig","2016","10.3"
"r_4","BG341","0","4","1000cp","2016","15.8"
"r_4","BG341","0","4","perc_pop_fig","2016","6.6"
"r_4","BG342","0","4","1000cp","2016","21.7"
"r_4","BG342","0","4","perc_pop_fig","2016","22.3"
"r_4","BG344","0","4","1000cp","2016","11.2"
"r_4","BG344","0","4","perc_pop_fig","2016","6.4"
"r_4","BG343","0","4","1000cp","2016","1.9"
"r_4","BG343","0","4","perc_pop_fig","2016","2.8"
"r_4","BG41","0","1","1000cp","2016","23.2"
"r_4","BG41","0","1","perc_pop_fig","2016","7"
"r_4","BG41","0","4","1000cp","2016","90.2"
"r_4","BG41","0","4","perc_pop_fig","2016","7.3"
"r_4","BG41","0","5","1000cp","2016","113.4"
"r_4","BG41","0","5","perc_pop_fig","2016","7.2"
"r_4","BG413","0","4","1000cp","2016","12.3"
"r_4","BG413","0","4","perc_pop_fig","2016","6.8"
"r_4","BG415","0","4","1000cp","2016","5.4"
"r_4","BG415","0","4","perc_pop_fig","2016","9"
"r_4","BG414","0","4","1000cp","2016","13"
"r_4","BG414","0","4","perc_pop_fig","2016","18.5"
"r_4","BG412","0","4","1000cp","2016","14.8"
"r_4","BG412","0","4","perc_pop_fig","2016","11.4"
"r_4","BG411","0","4","1000cp","2016","44.7"
"r_4","BG411","0","4","perc_pop_fig","2016","5.6"
"r_4","BG42","0","1","1000cp","2016","43.6"
"r_4","BG42","0","1","perc_pop_fig","2016","17.2"
"r_4","BG42","0","4","1000cp","2016","118.2"
"r_4","BG42","0","4","perc_pop_fig","2016","14.5"
"r_4","BG42","0","5","1000cp","2016","161.8"
"r_4","BG42","0","5","perc_pop_fig","2016","15.1"
"r_4","BG425","0","4","1000cp","2016","8.4"
"r_4","BG425","0","4","perc_pop_fig","2016","9.4"
"r_4","BG423","0","4","1000cp","2016","31.9"
"r_4","BG423","0","4","perc_pop_fig","2016","20.6"
"r_4","BG421","0","4","1000cp","2016","49.3"
"r_4","BG421","0","4","perc_pop_fig","2016","12.6"
"r_4","BG424","0","4","1000cp","2016","9.6"
"r_4","BG424","0","4","perc_pop_fig","2016","15.9"
"r_4","BG422","0","4","1000cp","2016","19.2"
"r_4","BG422","0","4","perc_pop_fig","2016","16.2"
"r_5","BG","0","1","1000cp","2017","161.4"
"r_5","BG","0","1","perc_pop_fig","2017","13.3"
"r_5","BG","0","4","1000cp","2017","409.7"
"r_5","BG","0","4","perc_pop_fig","2017","10.5"
"r_5","BG","1","4","1000cp","2017","220.2"
"r_5","BG","1","4","perc_pop_fig","2017","11"
"r_5","BG","2","4","1000cp","2017","189.5"
"r_5","BG","2","4","perc_pop_fig","2017","9.8"
"r_5","BG","0","5","1000cp","2017","571.1"
"r_5","BG","0","5","perc_pop_fig","2017","11.1"
"r_5","BG","1","5","1000cp","2017","299.7"
"r_5","BG","1","5","perc_pop_fig","2017","11.4"
"r_5","BG","2","5","1000cp","2017","271.4"
"r_5","BG","2","5","perc_pop_fig","2017","10.8"
"r_5","BG31","0","1","1000cp","2017","37"
"r_5","BG31","0","1","perc_pop_fig","2017","27"
"r_5","BG31","0","4","1000cp","2017","65.4"
"r_5","BG31","0","4","perc_pop_fig","2017","17.1"
"r_5","BG31","0","5","1000cp","2017","102.4"
"r_5","BG31","0","5","perc_pop_fig","2017","19.7"
"r_5","BG311","0","4","1000cp","2017","10.1"
"r_5","BG311","0","4","perc_pop_fig","2017","22.1"
"r_5","BG313","0","4","1000cp","2017","11.7"
"r_5","BG313","0","4","perc_pop_fig","2017","14.2"
"r_5","BG315","0","4","1000cp","2017","11.5"
"r_5","BG315","0","4","perc_pop_fig","2017","17.3"
"r_5","BG312","0","4","1000cp","2017","21.2"
"r_5","BG312","0","4","perc_pop_fig","2017","30.9"
"r_5","BG314","0","4","1000cp","2017","10.9"
"r_5","BG314","0","4","perc_pop_fig","2017","9.2"
"r_5","BG32","0","1","1000cp","2017","15.5"
"r_5","BG32","0","1","perc_pop_fig","2017","11.2"
"r_5","BG32","0","4","1000cp","2017","53.4"
"r_5","BG32","0","4","perc_pop_fig","2017","12.6"
