RevisionColumn,periods,Units,GenderID,NUTS,ValueColumn
"r_2","2004Q2","perc","0","BG32","14.8"
"r_2","2004Q2","perc","1","BG32","16.6"
"r_2","2004Q2","perc","2","BG32","12.5"
"r_2","2004Q2","perc","0","BG33","17.6"
"r_2","2004Q2","perc","1","BG33","15.5"
"r_2","2004Q2","perc","2","BG33","20.1"
"r_2","2004Q2","perc","0","BG34","13.1"
"r_2","2004Q2","perc","1","BG34","12.9"
"r_2","2004Q2","perc","2","BG34","13.2"
"r_2","2004Q2","perc","0","BG41","9.3"
"r_2","2004Q2","perc","1","BG41","9.3"
"r_2","2004Q2","perc","2","BG41","9.2"
"r_2","2004Q2","perc","0","BG42","9.7"
"r_2","2004Q2","perc","1","BG42","10.6"
"r_2","2004Q2","perc","2","BG42","8.6"
"r_2","2004Q3","perc","0","BG","11"
"r_2","2004Q3","perc","1","BG","11.5"
"r_2","2004Q3","perc","2","BG","10.4"
"r_2","2004Q3","perc","0","BG31","12.1"
"r_2","2004Q3","perc","1","BG31","13.4"
"r_2","2004Q3","perc","2","BG31","10.6"
"r_2","2004Q3","perc","0","BG32","12.9"
"r_2","2004Q3","perc","1","BG32","13.5"
"r_2","2004Q3","perc","2","BG32","12.1"
"r_2","2004Q3","perc","0","BG33","14.7"
"r_2","2004Q3","perc","1","BG33","14.4"
"r_2","2004Q3","perc","2","BG33","15.1"
"r_2","2004Q3","perc","0","BG34","10.5"
"r_2","2004Q3","perc","1","BG34","10"
"r_2","2004Q3","perc","2","BG34","11.2"
"r_2","2004Q3","perc","0","BG41","9.4"
"r_2","2004Q3","perc","1","BG41","10.2"
"r_2","2004Q3","perc","2","BG41","8.5"
"r_2","2004Q3","perc","0","BG42","9.5"
"r_2","2004Q3","perc","1","BG42","10.2"
"r_2","2004Q3","perc","2","BG42","8.7"
"r_2","2004Q4","perc","0","BG","11.8"
"r_2","2004Q4","perc","1","BG","12.5"
"r_2","2004Q4","perc","2","BG","11.1"
"r_2","2004Q4","perc","0","BG31","12.5"
