RevisionColumn,periods,Units,Age10_LFS,GenderID,ValueColumn
"r_17","2003Q3","perc","25 - 34","1","13.2"
"r_17","2003Q3","perc","35 - 44","1","9.7"
"r_17","2003Q3","perc","45 - 54","1","11.4"
"r_17","2003Q3","perc","55 - 64","1","9.9"
"r_17","2003Q3","perc","65+","1","(0.9)"
"r_17","2003Q3","perc","0","2","12.6"
"r_17","2003Q3","perc","15 - 64","2","12.7"
"r_17","2003Q3","perc","20 - 64","2","12.3"
"r_17","2003Q3","perc","15 - 29","2","18.3"
"r_17","2003Q3","perc","15 - 24","2","23.5"
"r_17","2003Q3","perc","25 - 34","2","13.6"
"r_17","2003Q3","perc","35 - 44","2","10.5"
"r_17","2003Q3","perc","45 - 54","2","11.2"
"r_17","2003Q3","perc","55 - 64","2","10.6"
"r_17","2003Q3","perc","65+","2","(2.9)"
"r_17","2003Q4","perc","0","0","12.7"
"r_17","2003Q4","perc","15 - 64","0","12.9"
"r_17","2003Q4","perc","20 - 64","0","12.5"
"r_17","2003Q4","perc","15 - 29","0","20"
"r_17","2003Q4","perc","15 - 24","0","27.7"
"r_17","2003Q4","perc","25 - 34","0","13.8"
"r_17","2003Q4","perc","35 - 44","0","9.7"
"r_17","2003Q4","perc","45 - 54","0","11.1"
"r_17","2003Q4","perc","55 - 64","0","10.7"
"r_17","2003Q4","perc","65+","0","(1.6)"
"r_17","2003Q4","perc","0","1","13"
"r_17","2003Q4","perc","15 - 64","1","13.2"
"r_17","2003Q4","perc","20 - 64","1","12.8"
"r_17","2003Q4","perc","15 - 29","1","21.4"
"r_17","2003Q4","perc","15 - 24","1","30.3"
"r_17","2003Q4","perc","25 - 34","1","14.3"
"r_17","2003Q4","perc","35 - 44","1","9.8"
"r_17","2003Q4","perc","45 - 54","1","10.9"
"r_17","2003Q4","perc","55 - 64","1","9.9"
"r_17","2003Q4","perc","65+","1","(0.5)"
"r_17","2003Q4","perc","0","2","12.4"
"r_17","2003Q4","perc","15 - 64","2","12.5"
"r_17","2003Q4","perc","20 - 64","2","12.2"
"r_17","2003Q4","perc","15 - 29","2","18.2"
"r_17","2003Q4","perc","15 - 24","2","24.6"
"r_17","2003Q4","perc","25 - 34","2","13.3"
"r_17","2003Q4","perc","35 - 44","2","9.6"
"r_17","2003Q4","perc","45 - 54","2","11.3"
"r_17","2003Q4","perc","55 - 64","2","11.8"
"r_17","2003Q4","perc","65+","2","(4.1)"
"r_17","2004Q1","perc","0","0","13.3"
