RevisionColumn,NUTS,GenderID,SILC_Age,Units,periods,ValueColumn
"r_8","BG414","0","0","perc_pop_fig","2018","26.1"
"r_8","BG414","1","0","1000cp","2018","13.2"
"r_8","BG414","1","0","perc_pop_fig","2018","22.2"
"r_8","BG414","2","0","1000cp","2018","18.7"
"r_8","BG414","2","0","perc_pop_fig","2018","29.8"
"r_8","BG412","0","0","1000cp","2018","75.4"
"r_8","BG412","0","0","perc_pop_fig","2018","32.6"
"r_8","BG412","1","0","1000cp","2018","38.7"
"r_8","BG412","1","0","perc_pop_fig","2018","34"
"r_8","BG412","2","0","1000cp","2018","36.7"
"r_8","BG412","2","0","perc_pop_fig","2018","31.2"
"r_8","BG411","0","0","1000cp","2018","349.7"
"r_8","BG411","0","0","perc_pop_fig","2018","26.3"
"r_8","BG411","1","0","1000cp","2018","154.4"
"r_8","BG411","1","0","perc_pop_fig","2018","24.2"
"r_8","BG411","2","0","1000cp","2018","195.3"
"r_8","BG411","2","0","perc_pop_fig","2018","28.3"
"r_8","BG42","0","0","1000cp","2018","489.5"
"r_8","BG42","0","0","perc_pop_fig","2018","34.4"
"r_8","BG42","1","0","1000cp","2018","225.1"
"r_8","BG42","1","0","perc_pop_fig","2018","32.6"
"r_8","BG42","2","0","1000cp","2018","264.5"
"r_8","BG42","2","0","perc_pop_fig","2018","36.2"
"r_8","BG42","0","1","1000cp","2018","98.6"
"r_8","BG42","0","1","perc_pop_fig","2018","37.8"
"r_8","BG42","0","2","1000cp","2018","277"
"r_8","BG42","0","2","perc_pop_fig","2018","31.3"
"r_8","BG42","1","2","1000cp","2018","146.1"
"r_8","BG42","1","2","perc_pop_fig","2018","32.4"
"r_8","BG42","2","2","1000cp","2018","130.9"
"r_8","BG42","2","2","perc_pop_fig","2018","30.1"
"r_8","BG42","0","3","1000cp","2018","113.9"
"r_8","BG42","0","3","perc_pop_fig","2018","41.3"
"r_8","BG42","1","3","1000cp","2018","34.2"
"r_8","BG42","1","3","perc_pop_fig","2018","31.2"
"r_8","BG42","2","3","1000cp","2018","79.7"
"r_8","BG42","2","3","perc_pop_fig","2018","48"
"r_8","BG425","0","0","1000cp","2018","48.8"
"r_8","BG425","0","0","perc_pop_fig","2018","32.2"
"r_8","BG425","1","0","1000cp","2018","23.1"
"r_8","BG425","1","0","perc_pop_fig","2018","30.6"
"r_8","BG425","2","0","1000cp","2018","25.7"
"r_8","BG425","2","0","perc_pop_fig","2018","33.8"
"r_8","BG423","0","0","1000cp","2018","101.6"
