RevisionColumn,GenderID,SILC_Age,Units,periods,ValueColumn
"r_11","1","2","perc_pop_fig","2023","12.9"
"r_11","2","2","perc_pop_fig","2023","10.4"
"r_11","0","3","perc_pop_fig","2023","4.6"
"r_11","1","3","perc_pop_fig","2023","5.5"
"r_11","2","3","perc_pop_fig","2023","3.4"
"r_12","0","9","perc_pop_fig","2024","11.8"
"r_12","1","9","perc_pop_fig","2024","13"
"r_12","2","9","perc_pop_fig","2024","10.4"
"r_12","0","2","perc_pop_fig","2024","12.1"
"r_12","1","2","perc_pop_fig","2024","13.2"
"r_12","2","2","perc_pop_fig","2024","10.7"
"r_12","0","3","perc_pop_fig","2024","6.4"
"r_12","1","3","perc_pop_fig","2024","8.1"
"r_12","2","3","perc_pop_fig","2024","4.2"
