RevisionColumn,NKPD2011_CLS,Units,periods,GenderID,ValueColumn
"r_2","2","1000cp","2011Q2","2","321.6"
"r_2","2","1000cp","2011Q3","0","446.5"
"r_2","2","1000cp","2011Q3","1","130"
"r_2","2","1000cp","2011Q3","2","316.5"
"r_2","2","1000cp","2011Q4","0","448.1"
"r_2","2","1000cp","2011Q4","1","134.9"
"r_2","2","1000cp","2011Q4","2","313.2"
"r_2","2","1000cp","2012Q1","0","448"
"r_2","2","1000cp","2012Q1","1","139.3"
"r_2","2","1000cp","2012Q1","2","308.7"
"r_2","2","1000cp","2012Q2","0","445"
"r_2","2","1000cp","2012Q2","1","134.5"
"r_2","2","1000cp","2012Q2","2","310.5"
"r_2","2","1000cp","2012Q3","0","440.7"
"r_2","2","1000cp","2012Q3","1","137.1"
"r_2","2","1000cp","2012Q3","2","303.7"
"r_2","2","1000cp","2012Q4","0","462.8"
"r_2","2","1000cp","2012Q4","1","154.2"
"r_2","2","1000cp","2012Q4","2","308.5"
"r_2","2","1000cp","2013Q1","0","454.3"
"r_2","2","1000cp","2013Q1","1","145.2"
"r_2","2","1000cp","2013Q1","2","309.1"
"r_2","2","1000cp","2013Q2","0","454.9"
"r_2","2","1000cp","2013Q2","1","144.7"
"r_2","2","1000cp","2013Q2","2","310.2"
"r_2","2","1000cp","2013Q3","0","457.3"
"r_2","2","1000cp","2013Q3","1","145.4"
"r_2","2","1000cp","2013Q3","2","311.9"
"r_2","2","1000cp","2013Q4","0","468.7"
"r_2","2","1000cp","2013Q4","1","149"
"r_2","2","1000cp","2013Q4","2","319.7"
"r_2","2","1000cp","2014Q1","0","485.5"
"r_2","2","1000cp","2014Q1","1","155.7"
"r_2","2","1000cp","2014Q1","2","329.8"
"r_2","2","1000cp","2014Q2","0","503.9"
"r_2","2","1000cp","2014Q2","1","174"
"r_2","2","1000cp","2014Q2","2","329.9"
"r_2","2","1000cp","2014Q3","0","491.5"
"r_2","2","1000cp","2014Q3","1","158.8"
"r_2","2","1000cp","2014Q3","2","332.7"
"r_2","2","1000cp","2014Q4","0","504.9"
"r_2","2","1000cp","2014Q4","1","152.9"
"r_2","2","1000cp","2014Q4","2","351.9"
"r_2","2","1000cp","2015Q1","0","518.2"
"r_2","2","1000cp","2015Q1","1","165.2"
"r_2","2","1000cp","2015Q1","2","353.1"
"r_2","2","1000cp","2015Q2","0","509"
"r_2","2","1000cp","2015Q2","1","171"
"r_2","2","1000cp","2015Q2","2","338"
"r_2","2","1000cp","2015Q3","0","510.5"
"r_2","2","1000cp","2015Q3","1","166.9"
"r_2","2","1000cp","2015Q3","2","343.6"
"r_2","2","1000cp","2015Q4","0","519.4"
"r_2","2","1000cp","2015Q4","1","167.9"
"r_2","2","1000cp","2015Q4","2","351.5"
"r_2","3","1000cp","2011Q1","0","229.2"
"r_2","3","1000cp","2011Q1","1","124.7"
"r_2","3","1000cp","2011Q1","2","104.5"
"r_2","3","1000cp","2011Q2","0","243.9"
"r_2","3","1000cp","2011Q2","1","134.1"
"r_2","3","1000cp","2011Q2","2","109.7"
"r_2","3","1000cp","2011Q3","0","244.7"
"r_2","3","1000cp","2011Q3","1","132"
"r_2","3","1000cp","2011Q3","2","112.7"
"r_2","3","1000cp","2011Q4","0","240"
"r_2","3","1000cp","2011Q4","1","125.7"
"r_2","3","1000cp","2011Q4","2","114.3"
"r_2","3","1000cp","2012Q1","0","233.5"
"r_2","3","1000cp","2012Q1","1","125.9"
"r_2","3","1000cp","2012Q1","2","107.6"
"r_2","3","1000cp","2012Q2","0","233.5"
"r_2","3","1000cp","2012Q2","1","120.4"
"r_2","3","1000cp","2012Q2","2","113.1"
"r_2","3","1000cp","2012Q3","0","241.2"
"r_2","3","1000cp","2012Q3","1","126.7"
"r_2","3","1000cp","2012Q3","2","114.4"
"r_2","3","1000cp","2012Q4","0","248.7"
"r_2","3","1000cp","2012Q4","1","130.8"
"r_2","3","1000cp","2012Q4","2","117.9"
"r_2","3","1000cp","2013Q1","0","246.1"
"r_2","3","1000cp","2013Q1","1","126.7"
"r_2","3","1000cp","2013Q1","2","119.4"
"r_2","3","1000cp","2013Q2","0","251.6"
"r_2","3","1000cp","2013Q2","1","129.4"
"r_2","3","1000cp","2013Q2","2","122.2"
"r_2","3","1000cp","2013Q3","0","265.1"
"r_2","3","1000cp","2013Q3","1","141.7"
"r_2","3","1000cp","2013Q3","2","123.4"
"r_2","3","1000cp","2013Q4","0","261.2"
"r_2","3","1000cp","2013Q4","1","148.8"
"r_2","3","1000cp","2013Q4","2","112.4"
"r_2","3","1000cp","2014Q1","0","262.3"
"r_2","3","1000cp","2014Q1","1","142.9"
"r_2","3","1000cp","2014Q1","2","119.4"
"r_2","3","1000cp","2014Q2","0","276.6"
"r_2","3","1000cp","2014Q2","1","144.2"
"r_2","3","1000cp","2014Q2","2","132.5"
"r_2","3","1000cp","2014Q3","0","268.1"
"r_2","3","1000cp","2014Q3","1","147.1"
"r_2","3","1000cp","2014Q3","2","121.1"
"r_2","3","1000cp","2014Q4","0","266.8"
"r_2","3","1000cp","2014Q4","1","148.6"
"r_2","3","1000cp","2014Q4","2","118.2"
"r_2","3","1000cp","2015Q1","0","287.1"
"r_2","3","1000cp","2015Q1","1","156.2"
"r_2","3","1000cp","2015Q1","2","130.8"
"r_2","3","1000cp","2015Q2","0","288.3"
"r_2","3","1000cp","2015Q2","1","144.6"
"r_2","3","1000cp","2015Q2","2","143.7"
"r_2","3","1000cp","2015Q3","0","273.2"
"r_2","3","1000cp","2015Q3","1","138.5"
"r_2","3","1000cp","2015Q3","2","134.7"
"r_2","3","1000cp","2015Q4","0","280.6"
"r_2","3","1000cp","2015Q4","1","146.5"
"r_2","3","1000cp","2015Q4","2","134.1"
"r_2","4","1000cp","2011Q1","0","200"
"r_2","4","1000cp","2011Q1","1","53.6"
"r_2","4","1000cp","2011Q1","2","146.4"
"r_2","4","1000cp","2011Q2","0","191.9"
"r_2","4","1000cp","2011Q2","1","54.2"
"r_2","4","1000cp","2011Q2","2","137.7"
