RevisionColumn,Units,periods,Indicators,ValueColumn
"r_1","1000BGN","2015","3.1.2.4.3.0.1.1.1.3","0"
"r_1","1000BGN","2016","3.1.2.4.3.0.1.1.1.3","0"
"r_1","1000BGN","2017","3.1.2.4.3.0.1.1.1.3","0"
"r_1","1000BGN","2018","3.1.2.4.3.0.1.1.1.3","0"
"r_1","1000BGN","2019","3.1.2.4.3.0.1.1.1.3","0"
"r_1","1000BGN","2020","3.1.2.4.3.0.1.1.1.3","0"
"r_1","1000BGN","2005","3.1.2.4.3.0.1.1.2","185016"
"r_1","1000BGN","2006","3.1.2.4.3.0.1.1.2","478635"
"r_1","1000BGN","2007","3.1.2.4.3.0.1.1.2","503580"
"r_1","1000BGN","2008","3.1.2.4.3.0.1.1.2","668362"
"r_1","1000BGN","2009","3.1.2.4.3.0.1.1.2","1176194"
"r_1","1000BGN","2010","3.1.2.4.3.0.1.1.2","1558782"
"r_1","1000BGN","2011","3.1.2.4.3.0.1.1.2","1735729"
"r_1","1000BGN","2012","3.1.2.4.3.0.1.1.2","2394822"
"r_1","1000BGN","2013","3.1.2.4.3.0.1.1.2","3205957"
"r_1","1000BGN","2014","3.1.2.4.3.0.1.1.2","4495337"
"r_1","1000BGN","2015","3.1.2.4.3.0.1.1.2","4900483"
"r_1","1000BGN","2016","3.1.2.4.3.0.1.1.2","5254414"
"r_1","1000BGN","2017","3.1.2.4.3.0.1.1.2","7678682"
"r_1","1000BGN","2018","3.1.2.4.3.0.1.1.2","7502488"
"r_1","1000BGN","2019","3.1.2.4.3.0.1.1.2","9712812"
"r_1","1000BGN","2020","3.1.2.4.3.0.1.1.2","11318472"
"r_1","1000BGN","2005","3.1.2.4.3.0.1.1.2.1","."
"r_1","1000BGN","2006","3.1.2.4.3.0.1.1.2.1","."
"r_1","1000BGN","2007","3.1.2.4.3.0.1.1.2.1","159052"
"r_1","1000BGN","2008","3.1.2.4.3.0.1.1.2.1","97394"
"r_1","1000BGN","2009","3.1.2.4.3.0.1.1.2.1","316042"
"r_1","1000BGN","2010","3.1.2.4.3.0.1.1.2.1","592924"
"r_1","1000BGN","2011","3.1.2.4.3.0.1.1.2.1","373679"
"r_1","1000BGN","2012","3.1.2.4.3.0.1.1.2.1","439415"
"r_1","1000BGN","2013","3.1.2.4.3.0.1.1.2.1","783821"
"r_1","1000BGN","2014","3.1.2.4.3.0.1.1.2.1","1440620"
"r_1","1000BGN","2015","3.1.2.4.3.0.1.1.2.1","1814914"
"r_1","1000BGN","2016","3.1.2.4.3.0.1.1.2.1","1816343"
"r_1","1000BGN","2017","3.1.2.4.3.0.1.1.2.1","2295706"
"r_1","1000BGN","2018","3.1.2.4.3.0.1.1.2.1","2550064"
"r_1","1000BGN","2019","3.1.2.4.3.0.1.1.2.1","1912534"
"r_1","1000BGN","2020","3.1.2.4.3.0.1.1.2.1","3288337"
"r_1","1000BGN","2005","3.1.2.4.3.0.1.1.2.2","."
"r_1","1000BGN","2006","3.1.2.4.3.0.1.1.2.2","."
"r_1","1000BGN","2007","3.1.2.4.3.0.1.1.2.2","344528"
"r_1","1000BGN","2008","3.1.2.4.3.0.1.1.2.2","570968"
"r_1","1000BGN","2009","3.1.2.4.3.0.1.1.2.2","860152"
"r_1","1000BGN","2010","3.1.2.4.3.0.1.1.2.2","965858"
"r_1","1000BGN","2011","3.1.2.4.3.0.1.1.2.2","1362050"
"r_1","1000BGN","2012","3.1.2.4.3.0.1.1.2.2","1955374"
"r_1","1000BGN","2013","3.1.2.4.3.0.1.1.2.2","2422136"
"r_1","1000BGN","2014","3.1.2.4.3.0.1.1.2.2","3054717"
"r_1","1000BGN","2015","3.1.2.4.3.0.1.1.2.2","3085569"
"r_1","1000BGN","2016","3.1.2.4.3.0.1.1.2.2","3438071"
"r_1","1000BGN","2017","3.1.2.4.3.0.1.1.2.2","5382976"
"r_1","1000BGN","2018","3.1.2.4.3.0.1.1.2.2","4952424"
"r_1","1000BGN","2019","3.1.2.4.3.0.1.1.2.2","7800278"
"r_1","1000BGN","2020","3.1.2.4.3.0.1.1.2.2","8030135"
