RevisionColumn,GenderID,Units,periods,ValueColumn
"r_2","2","perc","2010Q2","60.9"
"r_2","2","perc","2010Q3","61.7"
"r_2","2","perc","2010Q4","60.8"
"r_2","2","perc","2011Q1","58.5"
"r_2","2","perc","2011Q2","59.4"
"r_2","2","perc","2011Q3","61"
"r_2","2","perc","2011Q4","60.5"
"r_2","2","perc","2012Q1","58.7"
"r_2","2","perc","2012Q2","59.8"
"r_2","2","perc","2012Q3","61.9"
"r_2","2","perc","2012Q4","60.3"
"r_2","2","perc","2013Q1","59.1"
"r_2","2","perc","2013Q2","61"
"r_2","2","perc","2013Q3","62.2"
"r_2","2","perc","2013Q4","60.4"
"r_2","2","perc","2014Q1","59.9"
"r_2","2","perc","2014Q2","61.9"
"r_2","2","perc","2014Q3","63.5"
"r_2","2","perc","2014Q4","62.6"
"r_2","2","perc","2015Q1","61.9"
"r_2","2","perc","2015Q2","63.4"
"r_2","2","perc","2015Q3","65.4"
"r_2","2","perc","2015Q4","64.5"
"r_3","0","perc","2016Q1","66.5"
"r_3","1","perc","2016Q1","70.2"
"r_3","2","perc","2016Q1","62.8"
"r_4","0","perc","2016Q2","68"
"r_4","1","perc","2016Q2","71.3"
"r_4","2","perc","2016Q2","64.6"
"r_5","0","perc","2016Q3","68.5"
"r_5","1","perc","2016Q3","72"
"r_5","2","perc","2016Q3","65"
"r_6","0","perc","2016Q4","67.7"
"r_6","1","perc","2016Q4","71.7"
"r_6","2","perc","2016Q4","63.6"
"r_7","0","perc","2017Q1","68.6"
"r_7","1","perc","2017Q1","72.6"
"r_7","2","perc","2017Q1","64.6"
"r_8","0","perc","2017Q2","71.7"
"r_8","1","perc","2017Q2","75.2"
"r_8","2","perc","2017Q2","68.1"
"r_9","0","perc","2017Q3","73"
"r_9","1","perc","2017Q3","76.9"
"r_9","2","perc","2017Q3","69"
"r_10","0","perc","2017Q4","72.1"
"r_10","1","perc","2017Q4","76.6"
"r_10","2","perc","2017Q4","67.5"
"r_11","0","perc","2018Q1","71.1"
"r_11","1","perc","2018Q1","75"
"r_11","2","perc","2018Q1","67.1"
"r_12","0","perc","2018Q2","72.6"
"r_12","1","perc","2018Q2","76.1"
"r_12","2","perc","2018Q2","68.9"
"r_13","0","perc","2018Q3","73.5"
"r_13","1","perc","2018Q3","77.6"
"r_13","2","perc","2018Q3","69.3"
"r_14","0","perc","2018Q4","72.5"
"r_14","1","perc","2018Q4","77.2"
"r_14","2","perc","2018Q4","67.8"
"r_15","0","perc","2019Q1","73.1"
"r_15","1","perc","2019Q1","77"
"r_15","2","perc","2019Q1","69.2"
"r_16","0","perc","2019Q2","75.7"
"r_16","1","perc","2019Q2","79.3"
"r_16","2","perc","2019Q2","72.1"
"r_17","0","perc","2019Q3","76.3"
"r_17","1","perc","2019Q3","80.9"
"r_17","2","perc","2019Q3","71.7"
"r_18","0","perc","2019Q4","74.9"
"r_18","1","perc","2019Q4","79.9"
"r_18","2","perc","2019Q4","69.8"
"r_19","0","perc","2020Q1","73"
"r_19","1","perc","2020Q1","77.4"
"r_19","2","perc","2020Q1","68.5"
"r_19","null_value","perc","2020Q1",""
"r_20","0","perc","2020Q2","72.2"
"r_20","1","perc","2020Q2","76"
"r_20","2","perc","2020Q2","68.4"
"r_21","0","perc","2020Q3","74.6"
"r_21","1","perc","2020Q3","78.9"
"r_21","2","perc","2020Q3","70.3"
"r_22","0","perc","2020Q4","73.8"
"r_22","1","perc","2020Q4","78.9"
"r_22","2","perc","2020Q4","68.6"
"r_31","0","perc","2023Q1","75.9"
"r_31","1","perc","2023Q1","79.4"
"r_31","2","perc","2023Q1","72.4"
"r_32","0","perc","2023Q2","75.9"
"r_32","1","perc","2023Q2","79.5"
"r_32","2","perc","2023Q2","72.2"
"r_33","0","perc","2023Q3","77.1"
"r_33","1","perc","2023Q3","80.4"
"r_33","2","perc","2023Q3","73.7"
"r_34","0","perc","2022Q1","73.9"
"r_34","1","perc","2022Q1","77.6"
"r_34","2","perc","2022Q1","70.1"
"r_35","0","perc","2022Q2","75.2"
"r_35","1","perc","2022Q2","78.8"
"r_35","2","perc","2022Q2","71.6"
"r_36","0","perc","2022Q3","77.4"
"r_36","1","perc","2022Q3","81.3"
"r_36","2","perc","2022Q3","73.4"
"r_37","0","perc","2022Q4","77"
"r_37","1","perc","2022Q4","80.9"
"r_37","2","perc","2022Q4","73.2"
"r_38","0","perc","2023Q4","76.1"
"r_38","1","perc","2023Q4","80.1"
"r_38","2","perc","2023Q4","72.1"
"r_39","0","perc","2024Q1","75.9"
"r_39","1","perc","2024Q1","79.7"
"r_39","2","perc","2024Q1","72.01822273450792"
"r_40","0","perc","2021Q1","71.8"
"r_40","1","perc","2021Q1","76.3"
"r_40","2","perc","2021Q1","67.3"
"r_41","0","perc","2021Q2","72.9"
"r_41","1","perc","2021Q2","77.1"
"r_41","2","perc","2021Q2","68.6"
"r_42","0","perc","2021Q3","74.7"
"r_42","1","perc","2021Q3","78.5"
"r_42","2","perc","2021Q3","70.7"
"r_43","0","perc","2021Q4","73.8"
"r_43","1","perc","2021Q4","77.9"
"r_43","2","perc","2021Q4","69.7"
"r_44","0","perc","2024Q2","76.8"
"r_44","1","perc","2024Q2","80.4"
"r_44","2","perc","2024Q2","73.1"
"r_45","0","perc","2024Q3","77.6"
"r_45","1","perc","2024Q3","81.2"
"r_45","2","perc","2024Q3","73.9"
"r_46","0","perc","2024Q4","76.8"
"r_46","1","perc","2024Q4","79.9"
"r_46","2","perc","2024Q4","73.6"
"r_47","0","perc","2025Q1","76.5"
"r_47","1","perc","2025Q1","80.3"
"r_47","2","perc","2025Q1","72.6"
"r_48","0","perc","2025Q2","77.1"
"r_48","1","perc","2025Q2","80.8"
"r_48","2","perc","2025Q2","73.3"
"r_49","0","perc","2025Q3","77.5"
"r_49","1","perc","2025Q3","81"
"r_49","2","perc","2025Q3","73.9"
