RevisionColumn,GenderID,Age10_LFS,periods,Units,ValueColumn
"r_12","1","15 - 64","2024","perc","74.1"
"r_12","1","20 - 64","2024","perc","80.3"
"r_12","1","15 - 29","2024","perc","39.2"
"r_12","1","15 - 24","2024","perc","20.7"
"r_12","1","25 - 34","2024","perc","85"
"r_12","1","35 - 44","2024","perc","88.2"
"r_12","1","45 - 54","2024","perc","87.3"
"r_12","1","55 - 64","2024","perc","73.8"
"r_12","1","65+","2024","perc","10.5"
"r_12","2","0","2024","perc","47.6"
"r_12","2","15 - 64","2024","perc","67.6"
"r_12","2","20 - 64","2024","perc","73.1"
"r_12","2","15 - 29","2024","perc","31.8"
"r_12","2","15 - 24","2024","perc","13.7"
"r_12","2","25 - 34","2024","perc","75.2"
"r_12","2","35 - 44","2024","perc","82.1"
"r_12","2","45 - 54","2024","perc","83.7"
"r_12","2","55 - 64","2024","perc","66.2"
"r_12","2","65+","2024","perc","5.2"
