RevisionColumn,NACE2008A21,periods,Ownership,Units,ValueColumn
"r_13","B","2012","1","BGN_tabl","21289"
"r_13","B","2012","2","BGN_tabl","12231"
"r_13","B","2013","total","BGN_tabl","14938"
"r_13","B","2013","1","BGN_tabl","20107"
"r_13","B","2013","2","BGN_tabl","12774"
"r_13","B","2014","total","BGN_tabl","15933"
"r_13","B","2014","1","BGN_tabl","20589"
"r_13","B","2014","2","BGN_tabl","13880"
"r_13","B","2015","total","BGN_tabl","16192"
"r_13","B","2015","1","BGN_tabl","21111"
"r_13","B","2015","2","BGN_tabl","14070"
"r_13","B","2016","total","BGN_tabl","16676"
"r_13","B","2016","1","BGN_tabl","21334"
"r_13","B","2016","2","BGN_tabl","14573"
"r_13","B","2017","total","BGN_tabl","18461"
"r_13","B","2017","1","BGN_tabl","21981"
"r_13","B","2017","2","BGN_tabl","16661"
"r_13","B","2018","total","BGN_tabl","20087"
"r_13","B","2018","1","BGN_tabl","23780"
"r_13","B","2018","2","BGN_tabl","18128"
"r_13","B","2019","total","BGN_tabl","20798"
"r_13","B","2019","1","BGN_tabl","23615"
"r_13","B","2019","2","BGN_tabl","19045"
"r_13","B","2020","total","BGN_tabl","23086"
"r_13","B","2020","1","BGN_tabl","24228"
"r_13","B","2020","2","BGN_tabl","22421"
"r_13","B","2021","total","BGN_tabl","25950"
"r_13","B","2021","1","BGN_tabl","26922"
"r_13","B","2021","2","BGN_tabl","25387"
"r_13","B","2022","total","BGN_tabl","29513"
"r_13","B","2022","1","BGN_tabl","31117"
"r_13","B","2022","2","BGN_tabl","28565"
"r_13","B","2023","total","BGN_tabl","33602"
"r_13","B","2023","1","BGN_tabl","35863"
"r_13","B","2023","2","BGN_tabl","32243"
"r_13","B","2024","total","BGN_tabl","34063"
"r_13","B","2024","1","BGN_tabl","32830"
"r_13","B","2024","2","BGN_tabl","34773"
"r_13","C","2008","total","BGN_tabl","5716"
"r_13","C","2008","1","BGN_tabl","9306"
"r_13","C","2008","2","BGN_tabl","5651"
"r_13","C","2009","total","BGN_tabl","6137"
"r_13","C","2009","1","BGN_tabl","9713"
"r_13","C","2009","2","BGN_tabl","6070"
"r_13","C","2010","total","BGN_tabl","6601"
"r_13","C","2010","1","BGN_tabl","10356"
"r_13","C","2010","2","BGN_tabl","6533"
"r_13","C","2011","total","BGN_tabl","6980"
"r_13","C","2011","1","BGN_tabl","6817"
"r_13","C","2011","2","BGN_tabl","6982"
"r_13","C","2012","total","BGN_tabl","7420"
"r_13","C","2012","1","BGN_tabl","6987"
"r_13","C","2012","2","BGN_tabl","7426"
"r_13","C","2013","total","BGN_tabl","7906"
"r_13","C","2013","1","BGN_tabl","8039"
"r_13","C","2013","2","BGN_tabl","7905"
"r_13","C","2014","total","BGN_tabl","8393"
"r_13","C","2014","1","BGN_tabl","9014"
"r_13","C","2014","2","BGN_tabl","8386"
"r_13","C","2015","total","BGN_tabl","9131"
"r_13","C","2015","1","BGN_tabl","9571"
"r_13","C","2015","2","BGN_tabl","9126"
"r_13","C","2016","total","BGN_tabl","10038"
"r_13","C","2016","1","BGN_tabl","11565"
"r_13","C","2016","2","BGN_tabl","10018"
"r_13","C","2017","total","BGN_tabl","11159"
"r_13","C","2017","1","BGN_tabl","12081"
