Field,Name in Bulgarian,Name in English
"RevisionColumn","актуализации","updates"
"periods","Година","Year"
"weeks","Седмици","Weeks"
"GenderID","Пол","Sex"
"District_Projection","Област","District"
"Ages","Възрастови групи","Age"
"ValueColumn","Стойност за показател Умирания","Velue of indicator Deaths"
