RevisionColumn,SILC_Activity,SILC_Age,SILC_Median,Units,periods,ValueColumn
"r_2","3","2","5","BGN_fig","2009","3831"
"r_2","3","2","5","BGN_fig","2010","4213"
"r_2","3","2","5","BGN_fig","2011","3904"
"r_2","3","2","5","BGN_fig","2012","4104"
"r_2","3","2","5","BGN_fig","2013","4069"
"r_2","3","2","5","BGN_fig","2014","4574"
"r_2","3","2","6","euro","2008","1163"
"r_2","3","2","6","euro","2009","1618"
"r_2","3","2","6","euro","2010","1859"
"r_2","3","2","6","euro","2011","1692"
"r_2","3","2","6","euro","2012","1730"
"r_2","3","2","6","euro","2013","1839"
"r_2","3","2","6","euro","2014","1981"
"r_2","3","2","6","BGN_fig","2008","2274"
"r_2","3","2","6","BGN_fig","2009","3164"
"r_2","3","2","6","BGN_fig","2010","3637"
"r_2","3","2","6","BGN_fig","2011","3310"
"r_2","3","2","6","BGN_fig","2012","3384"
"r_2","3","2","6","BGN_fig","2013","3596"
"r_2","3","2","6","BGN_fig","2014","3875"
"r_2","4","2","5","euro","2008","2084"
"r_2","4","2","5","euro","2009","2713"
"r_2","4","2","5","euro","2010","3194"
"r_2","4","2","5","euro","2011","3236"
"r_2","4","2","5","euro","2012","3207"
"r_2","4","2","5","euro","2013","3692"
"r_2","4","2","5","euro","2014","3821"
"r_2","4","3","5","euro","2008","1841"
"r_2","4","3","5","euro","2009","2230"
"r_2","4","3","5","euro","2010","2641"
"r_2","4","3","5","euro","2011","2681"
"r_2","4","3","5","euro","2012","2590"
"r_2","4","3","5","euro","2013","2738"
"r_2","4","3","5","euro","2014","3223"
"r_2","4","2","5","BGN_fig","2008","4075"
"r_2","4","2","5","BGN_fig","2009","5306"
"r_2","4","2","5","BGN_fig","2010","6246"
"r_2","4","2","5","BGN_fig","2011","6329"
"r_2","4","2","5","BGN_fig","2012","6271"
"r_2","4","2","5","BGN_fig","2013","7221"
"r_2","4","2","5","BGN_fig","2014","7472"
"r_2","4","3","5","BGN_fig","2008","3601"
"r_2","4","3","5","BGN_fig","2009","4362"
"r_2","4","3","5","BGN_fig","2010","5165"
"r_2","4","3","5","BGN_fig","2011","5243"
"r_2","4","3","5","BGN_fig","2012","5065"
"r_2","4","3","5","BGN_fig","2013","5354"
"r_2","4","3","5","BGN_fig","2014","6304"
"r_2","4","2","6","euro","2008","1847"
"r_2","4","2","6","euro","2009","2429"
"r_2","4","2","6","euro","2010","2880"
"r_2","4","2","6","euro","2011","2812"
"r_2","4","2","6","euro","2012","2793"
"r_2","4","2","6","euro","2013","2929"
"r_2","4","2","6","euro","2014","3485"
"r_2","4","3","6","euro","2008","1553"
"r_2","4","3","6","euro","2009","1874"
"r_2","4","3","6","euro","2010","2286"
"r_2","4","3","6","euro","2011","2209"
"r_2","4","3","6","euro","2012","2189"
"r_2","4","3","6","euro","2013","2310"
"r_2","4","3","6","euro","2014","2765"
"r_2","4","2","6","BGN_fig","2008","3612"
"r_2","4","2","6","BGN_fig","2009","4751"
"r_2","4","2","6","BGN_fig","2010","5633"
"r_2","4","2","6","BGN_fig","2011","5499"
"r_2","4","2","6","BGN_fig","2012","5462"
"r_2","4","2","6","BGN_fig","2013","5728"
"r_2","4","2","6","BGN_fig","2014","6816"
"r_2","4","3","6","BGN_fig","2008","3038"
"r_2","4","3","6","BGN_fig","2009","3665"
"r_2","4","3","6","BGN_fig","2010","4471"
"r_2","4","3","6","BGN_fig","2011","4320"
"r_2","4","3","6","BGN_fig","2012","4280"
"r_2","4","3","6","BGN_fig","2013","4518"
"r_2","4","3","6","BGN_fig","2014","5407"
"r_2","5","2","5","euro","2008","2579"
"r_2","5","2","5","euro","2009","3080"
"r_2","5","2","5","euro","2010","3344"
"r_2","5","2","5","euro","2011","3236"
"r_2","5","2","5","euro","2012","3024"
"r_2","5","2","5","euro","2013","3434"
"r_2","5","2","5","euro","2014","3570"
"r_2","5","2","5","BGN_fig","2008","5045"
"r_2","5","2","5","BGN_fig","2009","6025"
"r_2","5","2","5","BGN_fig","2010","6540"
"r_2","5","2","5","BGN_fig","2011","6329"
"r_2","5","2","5","BGN_fig","2012","5914"
"r_2","5","2","5","BGN_fig","2013","6717"
"r_2","5","2","5","BGN_fig","2014","6983"
"r_2","5","2","6","euro","2008","2002"
"r_2","5","2","6","euro","2009","2702"
"r_2","5","2","6","euro","2010","2848"
"r_2","5","2","6","euro","2011","2673"
"r_2","5","2","6","euro","2012","2676"
"r_2","5","2","6","euro","2013","2756"
"r_2","5","2","6","euro","2014","3068"
"r_2","5","2","6","BGN_fig","2008","3916"
"r_2","5","2","6","BGN_fig","2009","5284"
"r_2","5","2","6","BGN_fig","2010","5570"
"r_2","5","2","6","BGN_fig","2011","5229"
"r_2","5","2","6","BGN_fig","2012","5233"
"r_2","5","2","6","BGN_fig","2013","5391"
"r_2","5","2","6","BGN_fig","2014","6000"
"r_3","1","2","5","euro","2015","5253"
"r_3","1","3","5","euro","2015","5698"
"r_3","1","2","5","BGN_fig","2015","10274"
"r_3","1","3","5","BGN_fig","2015","11144"
"r_3","1","2","6","euro","2015","4223"
"r_3","1","3","6","euro","2015","4809"
"r_3","1","2","6","BGN_fig","2015","8260"
"r_3","1","3","6","BGN_fig","2015","9406"
"r_3","2","2","5","euro","2015","3116"
"r_3","2","3","5","euro","2015","2920"
"r_3","2","2","5","BGN_fig","2015","6095"
"r_3","2","3","5","BGN_fig","2015","5711"
"r_3","2","2","6","euro","2015","2622"
"r_3","2","3","6","euro","2015","2510"
"r_3","2","2","6","BGN_fig","2015","5128"
"r_3","2","3","6","BGN_fig","2015","4910"
"r_3","3","2","5","euro","2015","2358"
"r_3","3","2","5","BGN_fig","2015","4612"
"r_3","3","2","6","euro","2015","1864"
"r_3","3","2","6","BGN_fig","2015","3645"
"r_3","4","2","5","euro","2015","3831"
"r_3","4","3","5","euro","2015","2934"
"r_3","4","2","5","BGN_fig","2015","7493"
"r_3","4","3","5","BGN_fig","2015","5737"
"r_3","4","2","6","euro","2015","3278"
"r_3","4","3","6","euro","2015","2513"
"r_3","4","2","6","BGN_fig","2015","6411"
"r_3","4","3","6","BGN_fig","2015","4915"
"r_3","5","2","5","euro","2015","3553"
"r_3","5","2","5","BGN_fig","2015","6950"
"r_3","5","2","6","euro","2015","3046"
"r_3","5","2","6","BGN_fig","2015","5958"
"r_5","1","2","5","euro","2016","4783"
"r_5","1","3","5","euro","2016","6181"
"r_5","1","2","5","BGN_fig","2016","9355"
"r_5","1","3","5","BGN_fig","2016","12089"
"r_5","1","2","6","euro","2016","3978"
"r_5","1","3","6","euro","2016","5088"
"r_5","1","2","6","BGN_fig","2016","7780"
"r_5","1","3","6","BGN_fig","2016","9951"
"r_5","2","2","5","euro","2016","2958"
"r_5","2","3","5","euro","2016","2975"
"r_5","2","2","5","BGN_fig","2016","5784"
"r_5","2","3","5","BGN_fig","2016","5819"
"r_5","2","2","6","euro","2016","2368"
"r_5","2","3","6","euro","2016","2548"
"r_5","2","2","6","BGN_fig","2016","4631"
"r_5","2","3","6","BGN_fig","2016","4984"
"r_5","3","2","5","euro","2016","2073"
"r_5","3","2","5","BGN_fig","2016","4054"
"r_5","3","2","6","euro","2016","1715"
"r_5","3","2","6","BGN_fig","2016","3354"
"r_5","4","2","5","euro","2016","3818"
"r_5","4","3","5","euro","2016","2986"
"r_5","4","2","5","BGN_fig","2016","7468"
"r_5","4","3","5","BGN_fig","2016","5841"
"r_5","4","2","6","euro","2016","3221"
"r_5","4","3","6","euro","2016","2556"
