RevisionColumn,NUTS,periods,ValueColumn
"r_2","BG41","2013","35.6"
"r_2","BG41","2014","34.1"
"r_2","BG413","2008","22.3"
"r_2","BG413","2009","19.7"
"r_2","BG413","2010","20.4"
"r_2","BG413","2011","28.3"
"r_2","BG413","2012","23.3"
"r_2","BG413","2013","25.5"
"r_2","BG413","2014","27.6"
"r_2","BG415","2008","21.3"
"r_2","BG415","2009","25.3"
"r_2","BG415","2010","25.4"
"r_2","BG415","2011","35.6"
"r_2","BG415","2012","30.9"
"r_2","BG415","2013","23.1"
"r_2","BG415","2014","20.6"
"r_2","BG414","2008","28.8"
"r_2","BG414","2009","27.3"
"r_2","BG414","2010","23.5"
"r_2","BG414","2011","24.7"
"r_2","BG414","2012","26.8"
"r_2","BG414","2013","29.9"
"r_2","BG414","2014","28.5"
"r_2","BG412","2008","31.6"
"r_2","BG412","2009","29.7"
"r_2","BG412","2010","25.5"
"r_2","BG412","2011","29.3"
"r_2","BG412","2012","25.2"
"r_2","BG412","2013","28.7"
"r_2","BG412","2014","31.7"
"r_2","BG411","2008","32.8"
"r_2","BG411","2009","30.7"
"r_2","BG411","2010","30.2"
"r_2","BG411","2011","30.4"
"r_2","BG411","2012","32.6"
"r_2","BG411","2013","35.4"
"r_2","BG411","2014","33"
"r_2","BG42","2008","36.6"
"r_2","BG42","2009","32.8"
"r_2","BG42","2010","31.7"
"r_2","BG42","2011","31.4"
"r_2","BG42","2012","30.6"
"r_2","BG42","2013","34.8"
"r_2","BG42","2014","33.4"
"r_2","BG425","2008","32.8"
"r_2","BG425","2009","31.7"
"r_2","BG425","2010","25.5"
"r_2","BG425","2011","25.5"
"r_2","BG425","2012","25.9"
"r_2","BG425","2013","33.9"
"r_2","BG425","2014","35.5"
"r_2","BG423","2008","38"
"r_2","BG423","2009","36.6"
"r_2","BG423","2010","31.7"
"r_2","BG423","2011","37.8"
"r_2","BG423","2012","38.5"
"r_2","BG423","2013","41.5"
"r_2","BG423","2014","44"
"r_2","BG421","2008","35.3"
"r_2","BG421","2009","30.9"
"r_2","BG421","2010","32.5"
"r_2","BG421","2011","30.3"
"r_2","BG421","2012","27.3"
"r_2","BG421","2013","30.7"
"r_2","BG421","2014","28.2"
"r_2","BG424","2008","34.7"
"r_2","BG424","2009","32.3"
"r_2","BG424","2010","24.8"
"r_2","BG424","2011","26.3"
"r_2","BG424","2012","30.6"
"r_2","BG424","2013","33.3"
"r_2","BG424","2014","29.1"
"r_2","BG422","2008","37.4"
"r_2","BG422","2009","31.9"
"r_2","BG422","2010","29.6"
"r_2","BG422","2011","28.9"
"r_2","BG422","2012","30.8"
"r_2","BG422","2013","35.2"
"r_2","BG422","2014","29.5"
"r_3","BG","2015","37"
"r_3","BG31","2015","34.1"
"r_3","BG311","2015","42"
"r_3","BG313","2015","34.9"
"r_3","BG315","2015","33.6"
"r_3","BG312","2015","31.2"
"r_3","BG314","2015","31"
"r_3","BG32","2015","29.8"
"r_3","BG321","2015","29.5"
"r_3","BG322","2015","31.2"
"r_3","BG324","2015","26.1"
"r_3","BG323","2015","28.2"
"r_3","BG325","2015","30.4"
"r_3","BG33","2015","37.8"
"r_3","BG331","2015","39.9"
"r_3","BG332","2015","31.4"
"r_3","BG334","2015","34.1"
"r_3","BG333","2015","35.8"
"r_3","BG34","2015","34.6"
"r_3","BG341","2015","38.9"
"r_3","BG342","2015","35.7"
"r_3","BG344","2015","29.5"
"r_3","BG343","2015","25.8"
"r_3","BG41","2015","37.1"
"r_3","BG413","2015","26.9"
"r_3","BG415","2015","25.4"
"r_3","BG414","2015","29.2"
"r_3","BG412","2015","31.9"
"r_3","BG411","2015","36.6"
"r_3","BG42","2015","34.7"
"r_3","BG425","2015","35.6"
"r_3","BG423","2015","40.2"
"r_3","BG421","2015","31.3"
"r_3","BG424","2015","30.5"
"r_3","BG422","2015","32.1"
"r_5","BG","2016","37.7"
"r_5","BG31","2016","35.2"
"r_5","BG311","2016","34.8"
"r_5","BG313","2016","38.6"
"r_5","BG315","2016","37.3"
"r_5","BG312","2016","35.7"
"r_5","BG314","2016","30.3"
"r_5","BG32","2016","30.3"
"r_5","BG321","2016","31.5"
"r_5","BG322","2016","29.3"
"r_5","BG324","2016","29.5"
"r_5","BG323","2016","30.1"
"r_5","BG325","2016","27.4"
"r_5","BG33","2016","37.9"
"r_5","BG331","2016","40.9"
"r_5","BG332","2016","38.2"
"r_5","BG334","2016","26.7"
"r_5","BG333","2016","30.7"
"r_5","BG34","2016","35.4"
"r_5","BG341","2016","34.7"
"r_5","BG342","2016","42.1"
"r_5","BG344","2016","34.1"
"r_5","BG343","2016","28.4"
"r_5","BG41","2016","37.9"
"r_5","BG413","2016","32.1"
"r_5","BG415","2016","26.5"
"r_5","BG414","2016","33.1"
"r_5","BG412","2016","32"
"r_5","BG411","2016","36.7"
"r_5","BG42","2016","36.6"
"r_5","BG425","2016","35.2"
"r_5","BG423","2016","41.9"
"r_5","BG421","2016","34.2"
"r_5","BG424","2016","31.9"
"r_5","BG422","2016","37.9"
"r_6","BG","2017","40.1"
"r_6","BG31","2017","36.5"
"r_6","BG311","2017","42.4"
"r_6","BG313","2017","33.3"
"r_6","BG315","2017","38.4"
"r_6","BG312","2017","37.4"
"r_6","BG314","2017","33.3"
"r_6","BG32","2017","33.4"
"r_6","BG321","2017","34.7"
"r_6","BG322","2017","34.4"
"r_6","BG324","2017","32.4"
"r_6","BG323","2017","30.1"
"r_6","BG325","2017","33.4"
"r_6","BG33","2017","38.5"
"r_6","BG331","2017","38.1"
"r_6","BG332","2017","41.6"
"r_6","BG334","2017","27.7"
"r_6","BG333","2017","35.9"
"r_6","BG34","2017","39.3"
"r_6","BG341","2017","38.2"
"r_6","BG342","2017","43.9"
"r_6","BG344","2017","36.3"
"r_6","BG343","2017","39"
"r_6","BG41","2017","41.6"
"r_6","BG413","2017","32.3"
"r_6","BG415","2017","28.9"
"r_6","BG414","2017","29.1"
"r_6","BG412","2017","33.9"
"r_6","BG411","2017","42.3"
"r_6","BG42","2017","38"
"r_6","BG425","2017","33.9"
"r_6","BG423","2017","41.7"
"r_6","BG421","2017","35"
"r_6","BG424","2017","36.3"
"r_6","BG422","2017","42.8"
"r_7","BG","2018","39.6"
"r_7","BG31","2018","36.7"
"r_7","BG311","2018","41.3"
"r_7","BG313","2018","33"
"r_7","BG315","2018","39.6"
"r_7","BG312","2018","39.9"
"r_7","BG314","2018","33.2"
"r_7","BG32","2018","36.6"
"r_7","BG321","2018","38"
"r_7","BG322","2018","40.7"
"r_7","BG324","2018","32.1"
"r_7","BG323","2018","34.1"
"r_7","BG325","2018","32.5"
"r_7","BG33","2018","35.6"
"r_7","BG331","2018","35.2"
"r_7","BG332","2018","36"
"r_7","BG334","2018","32.9"
"r_7","BG333","2018","33.1"
"r_7","BG34","2018","33.6"
"r_7","BG341","2018","31.8"
"r_7","BG342","2018","38.9"
"r_7","BG344","2018","30.5"
"r_7","BG343","2018","37.2"
"r_7","BG41","2018","43.2"
"r_7","BG413","2018","36.1"
"r_7","BG415","2018","29.6"
"r_7","BG414","2018","28.2"
"r_7","BG412","2018","29.5"
"r_7","BG411","2018","44.3"
"r_7","BG42","2018","35.7"
"r_7","BG425","2018","33.2"
"r_7","BG423","2018","40.9"
"r_7","BG421","2018","32.2"
"r_7","BG424","2018","28.3"
"r_7","BG422","2018","40.5"
"r_8","BG","2019","40.8"
"r_8","BG31","2019","39.5"
"r_8","BG311","2019","46.7"
"r_8","BG313","2019","40"
"r_8","BG315","2019","36"
"r_8","BG312","2019","39.5"
"r_8","BG314","2019","36.9"
"r_8","BG32","2019","35.5"
"r_8","BG321","2019","35.2"
"r_8","BG322","2019","33.7"
"r_8","BG324","2019","29.7"
"r_8","BG323","2019","38.9"
"r_8","BG325","2019","31.9"
"r_8","BG33","2019","36.9"
"r_8","BG331","2019","39"
"r_8","BG332","2019","35.6"
"r_8","BG334","2019","28.1"
"r_8","BG333","2019","31"
"r_8","BG34","2019","36.1"
"r_8","BG341","2019","33"
"r_8","BG342","2019","41.3"
"r_8","BG344","2019","34.4"
"r_8","BG343","2019","40.4"
"r_8","BG41","2019","44"
"r_8","BG413","2019","37.2"
"r_8","BG415","2019","30.8"
"r_8","BG414","2019","27.5"
"r_8","BG412","2019","33.5"
"r_8","BG411","2019","44.7"
"r_8","BG42","2019","37.1"
"r_8","BG425","2019","37.1"
"r_8","BG423","2019","40.9"
"r_8","BG421","2019","33.9"
"r_8","BG424","2019","32"
"r_8","BG422","2019","42.3"
"r_9","BG","2020","40"
"r_9","BG31","2020","39.8"
"r_9","BG311","2020","37.5"
"r_9","BG313","2020","41.9"
"r_9","BG315","2020","35.6"
"r_9","BG312","2020","39.1"
"r_9","BG314","2020","39"
"r_9","BG32","2020","33.3"
"r_9","BG321","2020","33.7"
"r_9","BG322","2020","28.2"
"r_9","BG324","2020","29.4"
"r_9","BG323","2020","35"
"r_9","BG325","2020","35"
"r_9","BG33","2020","35.2"
"r_9","BG331","2020","39"
"r_9","BG332","2020","33.3"
"r_9","BG334","2020","26.9"
"r_9","BG333","2020","26.1"
"r_9","BG34","2020","36.9"
"r_9","BG341","2020","34.4"
"r_9","BG342","2020","39.3"
"r_9","BG344","2020","37.6"
"r_9","BG343","2020","37.7"
"r_9","BG41","2020","41.9"
"r_9","BG413","2020","35.5"
"r_9","BG415","2020","31.8"
"r_9","BG414","2020","28.9"
"r_9","BG412","2020","32.6"
"r_9","BG411","2020","41.4"
"r_9","BG42","2020","36"
"r_9","BG425","2020","33.3"
"r_9","BG423","2020","35.8"
"r_9","BG421","2020","36.8"
"r_9","BG424","2020","34.8"
"r_9","BG422","2020","32.9"
"r_10","BG","2021","39.7"
"r_10","BG31","2021","39.7"
"r_10","BG311","2021","34.2"
"r_10","BG313","2021","46.9"
"r_10","BG315","2021","34.7"
"r_10","BG312","2021","37.8"
"r_10","BG314","2021","36.9"
"r_10","BG32","2021","32.1"
"r_10","BG321","2021","32.1"
"r_10","BG322","2021","27.8"
"r_10","BG324","2021","29.1"
"r_10","BG323","2021","34.6"
"r_10","BG325","2021","31.1"
"r_10","BG33","2021","34.5"
"r_10","BG331","2021","35.9"
"r_10","BG332","2021","31.6"
"r_10","BG334","2021","30.1"
"r_10","BG333","2021","33.2"
"r_10","BG34","2021","34.7"
"r_10","BG341","2021","32.6"
"r_10","BG342","2021","35.1"
"r_10","BG344","2021","36.6"
"r_10","BG343","2021","34.7"
"r_10","BG41","2021","43.6"
"r_10","BG413","2021","34.1"
"r_10","BG415","2021","30.8"
"r_10","BG414","2021","30"
"r_10","BG412","2021","29.8"
"r_10","BG411","2021","45.4"
"r_10","BG42","2021","35.4"
"r_10","BG425","2021","31.6"
"r_10","BG423","2021","35.5"
"r_10","BG421","2021","33.3"
"r_10","BG424","2021","49.2"
"r_10","BG422","2021","32.2"
"r_12","BG","2023","37.2"
"r_12","BG31","2023","35.6082989051388"
"r_12","BG311","2023","33.449403529"
"r_12","BG313","2023","38.958098794"
