RevisionColumn,NACE2008A21,Units,periods,GenderID,ValueColumn
"r_3","A","1000cp","2010Q2","1","142.1"
"r_3","A","1000cp","2010Q2","2","83.4"
"r_3","A","1000cp","2010Q3","0","229"
"r_3","A","1000cp","2010Q3","1","146.1"
"r_3","A","1000cp","2010Q3","2","82.9"
"r_3","A","1000cp","2010Q4","0","194.4"
"r_3","A","1000cp","2010Q4","1","125.1"
"r_3","A","1000cp","2010Q4","2","69.3"
"r_3","A","1000cp","2011Q1","0","177.6"
"r_3","A","1000cp","2011Q1","1","118.6"
"r_3","A","1000cp","2011Q1","2","59"
"r_3","A","1000cp","2011Q2","0","214.7"
"r_3","A","1000cp","2011Q2","1","142.7"
"r_3","A","1000cp","2011Q2","2","72.1"
"r_3","A","1000cp","2011Q3","0","221.1"
"r_3","A","1000cp","2011Q3","1","146.3"
"r_3","A","1000cp","2011Q3","2","74.8"
"r_3","A","1000cp","2011Q4","0","190.7"
"r_3","A","1000cp","2011Q4","1","127.5"
"r_3","A","1000cp","2011Q4","2","63.2"
"r_3","A","1000cp","2012Q1","0","162.8"
"r_3","A","1000cp","2012Q1","1","112"
"r_3","A","1000cp","2012Q1","2","50.8"
"r_3","A","1000cp","2012Q2","0","194.1"
"r_3","A","1000cp","2012Q2","1","131.8"
"r_3","A","1000cp","2012Q2","2","62.4"
"r_3","A","1000cp","2012Q3","0","215"
"r_3","A","1000cp","2012Q3","1","145.1"
"r_3","A","1000cp","2012Q3","2","69.9"
"r_3","A","1000cp","2012Q4","0","183.9"
"r_3","A","1000cp","2012Q4","1","128.2"
"r_3","A","1000cp","2012Q4","2","55.7"
"r_3","A","1000cp","2013Q1","0","159.6"
"r_3","A","1000cp","2013Q1","1","114.7"
"r_3","A","1000cp","2013Q1","2","44.8"
"r_3","A","1000cp","2013Q2","0","204"
"r_3","A","1000cp","2013Q2","1","135.2"
"r_3","A","1000cp","2013Q2","2","68.8"
"r_3","A","1000cp","2013Q3","0","223.7"
"r_3","A","1000cp","2013Q3","1","148.7"
"r_3","A","1000cp","2013Q3","2","75"
"r_3","A","1000cp","2013Q4","0","194.6"
"r_3","A","1000cp","2013Q4","1","136.6"
"r_3","A","1000cp","2013Q4","2","58"
"r_3","A","1000cp","2014Q1","0","179.3"
"r_3","A","1000cp","2014Q1","1","128.3"
"r_3","A","1000cp","2014Q1","2","50.9"
"r_3","A","1000cp","2014Q2","0","221"
"r_3","A","1000cp","2014Q2","1","152.4"
"r_3","A","1000cp","2014Q2","2","68.6"
"r_3","A","1000cp","2014Q3","0","234.7"
"r_3","A","1000cp","2014Q3","1","157.7"
"r_3","A","1000cp","2014Q3","2","77.1"
"r_3","A","1000cp","2014Q4","0","200.7"
"r_3","A","1000cp","2014Q4","1","141.1"
"r_3","A","1000cp","2014Q4","2","59.6"
"r_3","A","1000cp","2015Q1","0","184.6"
"r_3","A","1000cp","2015Q1","1","134.1"
"r_3","A","1000cp","2015Q1","2","50.5"
"r_3","A","1000cp","2015Q2","0","216"
"r_3","A","1000cp","2015Q2","1","150.2"
"r_3","A","1000cp","2015Q2","2","65.8"
"r_3","A","1000cp","2015Q3","0","233.5"
"r_3","A","1000cp","2015Q3","1","160"
"r_3","A","1000cp","2015Q3","2","73.5"
"r_3","A","1000cp","2015Q4","0","197.3"
"r_3","A","1000cp","2015Q4","1","140.3"
"r_3","A","1000cp","2015Q4","2","57"
"r_3","B","1000cp","2008Q1","0","33"
"r_3","B","1000cp","2008Q1","1","26.7"
"r_3","B","1000cp","2008Q1","2","6.3"
"r_3","B","1000cp","2008Q2","0","36"
"r_3","B","1000cp","2008Q2","1","28.7"
"r_3","B","1000cp","2008Q2","2","7.3"
"r_3","B","1000cp","2008Q3","0","38.3"
"r_3","B","1000cp","2008Q3","1","29.8"
"r_3","B","1000cp","2008Q3","2","8.6"
"r_3","B","1000cp","2008Q4","0","32.7"
"r_3","B","1000cp","2008Q4","1","27.8"
"r_3","B","1000cp","2008Q4","2","(4.9)"
"r_3","B","1000cp","2009Q1","0","31.8"
"r_3","B","1000cp","2009Q1","1","26.5"
"r_3","B","1000cp","2009Q1","2","(5.3)"
"r_3","B","1000cp","2009Q2","0","36.8"
"r_3","B","1000cp","2009Q2","1","28.9"
"r_3","B","1000cp","2009Q2","2","7.9"
"r_3","B","1000cp","2009Q3","0","35.6"
"r_3","B","1000cp","2009Q3","1","28"
"r_3","B","1000cp","2009Q3","2","7.6"
"r_3","B","1000cp","2009Q4","0","31.7"
"r_3","B","1000cp","2009Q4","1","26.4"
"r_3","B","1000cp","2009Q4","2","(5.3)"
"r_3","B","1000cp","2010Q1","0","34.5"
"r_3","B","1000cp","2010Q1","1","29"
"r_3","B","1000cp","2010Q1","2","(5.5)"
"r_3","B","1000cp","2010Q2","0","36"
"r_3","B","1000cp","2010Q2","1","30.1"
"r_3","B","1000cp","2010Q2","2","5.9"
"r_3","B","1000cp","2010Q3","0","30.7"
"r_3","B","1000cp","2010Q3","1","24.9"
"r_3","B","1000cp","2010Q3","2","(5.8)"
"r_3","B","1000cp","2010Q4","0","30.8"
"r_3","B","1000cp","2010Q4","1","26.6"
"r_3","B","1000cp","2010Q4","2","(4.2)"
"r_3","B","1000cp","2011Q1","0","28.8"
"r_3","B","1000cp","2011Q1","1","26"
"r_3","B","1000cp","2011Q1","2","(2.8)"
"r_3","B","1000cp","2011Q2","0","24.6"
"r_3","B","1000cp","2011Q2","1","21.2"
"r_3","B","1000cp","2011Q2","2","(3.5)"
"r_3","B","1000cp","2011Q3","0","25.3"
"r_3","B","1000cp","2011Q3","1","20.3"
"r_3","B","1000cp","2011Q3","2","(4.9)"
"r_3","B","1000cp","2011Q4","0","26.7"
"r_3","B","1000cp","2011Q4","1","20.4"
"r_3","B","1000cp","2011Q4","2","6.3"
"r_3","B","1000cp","2012Q1","0","24.2"
"r_3","B","1000cp","2012Q1","1","19.5"
"r_3","B","1000cp","2012Q1","2","(4.7)"
"r_3","B","1000cp","2012Q2","0","24.8"
"r_3","B","1000cp","2012Q2","1","20.5"
"r_3","B","1000cp","2012Q2","2","(4.4)"
"r_3","B","1000cp","2012Q3","0","26.5"
"r_3","B","1000cp","2012Q3","1","20.5"
"r_3","B","1000cp","2012Q3","2","6"
"r_3","B","1000cp","2012Q4","0","28.6"
"r_3","B","1000cp","2012Q4","1","23"
"r_3","B","1000cp","2012Q4","2","(5.6)"
"r_3","B","1000cp","2013Q1","0","27.9"
"r_3","B","1000cp","2013Q1","1","21.8"
"r_3","B","1000cp","2013Q1","2","6.1"
"r_3","B","1000cp","2013Q2","0","26.2"
"r_3","B","1000cp","2013Q2","1","21.3"
"r_3","B","1000cp","2013Q2","2","(4.9)"
"r_3","B","1000cp","2013Q3","0","25.2"
"r_3","B","1000cp","2013Q3","1","20.7"
"r_3","B","1000cp","2013Q3","2","(4.5)"
"r_3","B","1000cp","2013Q4","0","24.6"
"r_3","B","1000cp","2013Q4","1","20.5"
"r_3","B","1000cp","2013Q4","2","(4.1)"
"r_3","B","1000cp","2014Q1","0","26"
"r_3","B","1000cp","2014Q1","1","21.8"
"r_3","B","1000cp","2014Q1","2","(4.1)"
"r_3","B","1000cp","2014Q2","0","25.9"
"r_3","B","1000cp","2014Q2","1","22.3"
"r_3","B","1000cp","2014Q2","2","(3.6)"
"r_3","B","1000cp","2014Q3","0","25.9"
"r_3","B","1000cp","2014Q3","1","21.5"
"r_3","B","1000cp","2014Q3","2","(4.5)"
"r_3","B","1000cp","2014Q4","0","27.7"
"r_3","B","1000cp","2014Q4","1","21.4"
"r_3","B","1000cp","2014Q4","2","6.2"
"r_3","B","1000cp","2015Q1","0","25.9"
"r_3","B","1000cp","2015Q1","1","21"
"r_3","B","1000cp","2015Q1","2","(5.0)"
"r_3","B","1000cp","2015Q2","0","22.9"
"r_3","B","1000cp","2015Q2","1","20"
"r_3","B","1000cp","2015Q2","2","(2.9)"
"r_3","B","1000cp","2015Q3","0","26.5"
