RevisionColumn,periods,Units,Indicators,NUTS,ValueColumn
"r_2","2015IX","num","3.5.2.1.1","BG314","2980"
"r_2","2015IX","num","3.5.2.1.2","BG314","890"
"r_2","2015IX","BGN_tabl","3.5.2.3","BG314","326421"
"r_2","2015IX","BGN_tabl","3.5.2.3.1","BG314","216241"
"r_2","2015IX","BGN_tabl","3.5.2.3.2","BG314","110180"
"r_2","2015IX","num","3.5.2.5","BG32","259"
"r_2","2015IX","num","3.5.2.4","BG32","11369"
"r_2","2015IX","num","3.5.2.6","BG32","342072"
"r_2","2015IX","num","3.5.2.2","BG32","65341"
"r_2","2015IX","num","3.5.2.2.1","BG32","50706"
"r_2","2015IX","num","3.5.2.2.2","BG32","14635"
"r_2","2015IX","num","3.5.2.1","BG32","37931"
"r_2","2015IX","num","3.5.2.1.1","BG32","28528"
"r_2","2015IX","num","3.5.2.1.2","BG32","9403"
"r_2","2015IX","BGN_tabl","3.5.2.3","BG32","2437693"
"r_2","2015IX","BGN_tabl","3.5.2.3.1","BG32","1698631"
"r_2","2015IX","BGN_tabl","3.5.2.3.2","BG32","739062"
"r_2","2015IX","num","3.5.2.5","BG321","116"
"r_2","2015IX","num","3.5.2.4","BG321","5196"
"r_2","2015IX","num","3.5.2.6","BG321","155652"
"r_2","2015IX","num","3.5.2.2","BG321","26276"
"r_2","2015IX","num","3.5.2.2.1","BG321","18936"
"r_2","2015IX","num","3.5.2.2.2","BG321","7340"
"r_2","2015IX","num","3.5.2.1","BG321","16577"
"r_2","2015IX","num","3.5.2.1.1","BG321","11145"
"r_2","2015IX","num","3.5.2.1.2","BG321","5432"
"r_2","2015IX","BGN_tabl","3.5.2.3","BG321","1000717"
"r_2","2015IX","BGN_tabl","3.5.2.3.1","BG321","627360"
"r_2","2015IX","BGN_tabl","3.5.2.3.2","BG321","373357"
"r_2","2015IX","num","3.5.2.5","BG322","61"
"r_2","2015IX","num","3.5.2.4","BG322","3113"
"r_2","2015IX","num","3.5.2.6","BG322","94560"
"r_2","2015IX","num","3.5.2.2","BG322","17310"
"r_2","2015IX","num","3.5.2.2.1","BG322","15522"
"r_2","2015IX","num","3.5.2.2.2","BG322","1788"
"r_2","2015IX","num","3.5.2.1","BG322","8830"
