RevisionColumn,PlaceResidence,Units,periods,GenderID,ValueColumn
"r_2","0","1000cp","2006Q1","0","3255.7"
"r_2","0","1000cp","2006Q1","1","1727.9"
"r_2","0","1000cp","2006Q1","2","1527.8"
"r_2","1","1000cp","2006Q1","0","2520.6"
"r_2","1","1000cp","2006Q1","1","1302.8"
"r_2","1","1000cp","2006Q1","2","1217.9"
"r_2","2","1000cp","2006Q1","0","735.1"
"r_2","2","1000cp","2006Q1","1","425.1"
"r_2","2","1000cp","2006Q1","2","309.9"
"r_2","0","1000cp","2006Q2","0","3448"
"r_2","0","1000cp","2006Q2","1","1826.3"
"r_2","0","1000cp","2006Q2","2","1621.7"
"r_2","1","1000cp","2006Q2","0","2628.9"
"r_2","1","1000cp","2006Q2","1","1360.3"
"r_2","1","1000cp","2006Q2","2","1268.6"
"r_2","2","1000cp","2006Q2","0","819.1"
"r_2","2","1000cp","2006Q2","1","466"
"r_2","2","1000cp","2006Q2","2","353.1"
"r_2","0","1000cp","2006Q3","0","3511.2"
"r_2","0","1000cp","2006Q3","1","1848.6"
"r_2","0","1000cp","2006Q3","2","1662.6"
"r_2","1","1000cp","2006Q3","0","2655"
"r_2","1","1000cp","2006Q3","1","1372.1"
"r_2","1","1000cp","2006Q3","2","1283"
"r_2","2","1000cp","2006Q3","0","856.2"
"r_2","2","1000cp","2006Q3","1","476.5"
"r_2","2","1000cp","2006Q3","2","379.7"
"r_2","0","1000cp","2006Q4","0","3448"
"r_2","0","1000cp","2006Q4","1","1834"
"r_2","0","1000cp","2006Q4","2","1614"
"r_2","1","1000cp","2006Q4","0","2614.3"
"r_2","1","1000cp","2006Q4","1","1367.1"
"r_2","1","1000cp","2006Q4","2","1247.2"
"r_2","2","1000cp","2006Q4","0","833.7"
"r_2","2","1000cp","2006Q4","1","466.9"
"r_2","2","1000cp","2006Q4","2","366.8"
"r_2","0","1000cp","2007Q1","0","3408.1"
"r_2","0","1000cp","2007Q1","1","1805.9"
"r_2","0","1000cp","2007Q1","2","1602.2"
"r_2","1","1000cp","2007Q1","0","2625.5"
"r_2","1","1000cp","2007Q1","1","1364.3"
"r_2","1","1000cp","2007Q1","2","1261.2"
"r_2","2","1000cp","2007Q1","0","782.6"
