RevisionColumn,Units,periods,Indicators,ValueColumn
"r_2","1000BGN","2017","3.1.2.3.3.5","294690"
"r_2","1000BGN","2018","3.1.2.3.3.5","406661"
"r_2","1000BGN","2019","3.1.2.3.3.5","531174"
"r_2","1000BGN","2020","3.1.2.3.3.5","464885"
"r_2","1000BGN","2005","3.1.2.3.3.6","41552"
"r_2","1000BGN","2006","3.1.2.3.3.6","55624"
"r_2","1000BGN","2007","3.1.2.3.3.6","74584"
"r_2","1000BGN","2008","3.1.2.3.3.6","79066"
"r_2","1000BGN","2009","3.1.2.3.3.6","95097"
"r_2","1000BGN","2010","3.1.2.3.3.6","111919"
"r_2","1000BGN","2011","3.1.2.3.3.6","110776"
"r_2","1000BGN","2012","3.1.2.3.3.6","117647"
"r_2","1000BGN","2013","3.1.2.3.3.6","125049"
"r_2","1000BGN","2014","3.1.2.3.3.6","135995"
"r_2","1000BGN","2015","3.1.2.3.3.6","133025"
"r_2","1000BGN","2016","3.1.2.3.3.6","117075"
"r_2","1000BGN","2017","3.1.2.3.3.6","119030"
"r_2","1000BGN","2018","3.1.2.3.3.6","123237"
"r_2","1000BGN","2019","3.1.2.3.3.6","125723"
"r_2","1000BGN","2020","3.1.2.3.3.6","126193"
"r_2","1000BGN","2005","3.1.2.3.3.7","1226465"
"r_2","1000BGN","2006","3.1.2.3.3.7","1755371"
"r_2","1000BGN","2007","3.1.2.3.3.7","2187616"
"r_2","1000BGN","2008","3.1.2.3.3.7","2581639"
"r_2","1000BGN","2009","3.1.2.3.3.7","2864449"
"r_2","1000BGN","2010","3.1.2.3.3.7","3025879"
"r_2","1000BGN","2011","3.1.2.3.3.7","3116416"
"r_2","1000BGN","2012","3.1.2.3.3.7","3267458"
"r_2","1000BGN","2013","3.1.2.3.3.7","3477883"
"r_2","1000BGN","2014","3.1.2.3.3.7","3872304"
"r_2","1000BGN","2015","3.1.2.3.3.7","4034768"
"r_2","1000BGN","2016","3.1.2.3.3.7","4344081"
"r_2","1000BGN","2017","3.1.2.3.3.7","5506159"
"r_2","1000BGN","2018","3.1.2.3.3.7","6197544"
"r_2","1000BGN","2019","3.1.2.3.3.7","7071965"
"r_2","1000BGN","2020","3.1.2.3.3.7","7704634"
"r_2","1000BGN","2005","3.1.2.3.3.8","445535"
"r_2","1000BGN","2006","3.1.2.3.3.8","726636"
"r_2","1000BGN","2007","3.1.2.3.3.8","852118"
"r_2","1000BGN","2008","3.1.2.3.3.8","856364"
"r_2","1000BGN","2009","3.1.2.3.3.8","959646"
"r_2","1000BGN","2010","3.1.2.3.3.8","980056"
"r_2","1000BGN","2011","3.1.2.3.3.8","906972"
"r_2","1000BGN","2012","3.1.2.3.3.8","927990"
"r_2","1000BGN","2013","3.1.2.3.3.8","975008"
"r_2","1000BGN","2014","3.1.2.3.3.8","1027426"
"r_2","1000BGN","2015","3.1.2.3.3.8","1038327"
"r_2","1000BGN","2016","3.1.2.3.3.8","1138530"
"r_2","1000BGN","2017","3.1.2.3.3.8","1180367"
"r_2","1000BGN","2018","3.1.2.3.3.8","1199516"
"r_2","1000BGN","2019","3.1.2.3.3.8","1477382"
"r_2","1000BGN","2020","3.1.2.3.3.8","1657795"
"r_2","1000BGN","2005","3.1.2.3.3.9","-"
"r_2","1000BGN","2006","3.1.2.3.3.9","6035"
"r_2","1000BGN","2007","3.1.2.3.3.9","21332"
"r_2","1000BGN","2008","3.1.2.3.3.9","6765"
"r_2","1000BGN","2009","3.1.2.3.3.9","7146"
"r_2","1000BGN","2010","3.1.2.3.3.9","7452"
"r_2","1000BGN","2011","3.1.2.3.3.9","7739"
"r_2","1000BGN","2012","3.1.2.3.3.9","7949"
"r_2","1000BGN","2013","3.1.2.3.3.9",".."
"r_2","1000BGN","2014","3.1.2.3.3.9",".."
"r_2","1000BGN","2015","3.1.2.3.3.9",".."
"r_2","1000BGN","2016","3.1.2.3.3.9","53494"
"r_2","1000BGN","2017","3.1.2.3.3.9","33806"
"r_2","1000BGN","2018","3.1.2.3.3.9","41525"
"r_2","1000BGN","2019","3.1.2.3.3.9","41909"
"r_2","1000BGN","2020","3.1.2.3.3.9","29422"
"r_2","1000BGN","2005","3.1.2.3.5.17","-"
"r_2","1000BGN","2006","3.1.2.3.5.17","-"
"r_2","1000BGN","2007","3.1.2.3.5.17","-"
"r_2","1000BGN","2008","3.1.2.3.5.17","-"
"r_2","1000BGN","2009","3.1.2.3.5.17","-"
"r_2","1000BGN","2010","3.1.2.3.5.17","-"
