RevisionColumn,NACE2008A21,periods,SZCLS_EMPL,Indicators,Units,ValueColumn
"r_1","1","2015","1","3.1.1.03.2","num","642068"
"r_1","1","2015","1","3.1.1.03.3","1000BGN","36065069"
"r_1","1","2015","1","3.1.1.03.4","1000BGN","65078202"
"r_1","1","2015","1","3.1.1.03.5","1000BGN","61742171"
"r_1","1","2016","1","3.1.1.03.1","num","375123"
"r_1","1","2016","1","3.1.1.03.2","num","676993"
"r_1","1","2016","1","3.1.1.03.3","1000BGN","36057594"
"r_1","1","2016","1","3.1.1.03.4","1000BGN","65814464"
"r_1","1","2016","1","3.1.1.03.5","1000BGN","61130938"
"r_1","1","2017","1","3.1.1.03.1","num","375754"
"r_1","1","2017","1","3.1.1.03.2","num","685704"
"r_1","1","2017","1","3.1.1.03.3","1000BGN","36231974"
"r_1","1","2017","1","3.1.1.03.4","1000BGN","71517924"
"r_1","1","2017","1","3.1.1.03.5","1000BGN","65373685"
"r_1","1","2018","1","3.1.1.03.1","num","383134"
"r_1","1","2018","1","3.1.1.03.2","num","688425"
"r_1","1","2018","1","3.1.1.03.3","1000BGN","37547855"
"r_1","1","2018","1","3.1.1.03.4","1000BGN","77857260"
"r_1","1","2018","1","3.1.1.03.5","1000BGN","70498424"
"r_1","1","2019","1","3.1.1.03.1","num","388980"
"r_1","1","2019","1","3.1.1.03.2","num","691496"
"r_1","1","2019","1","3.1.1.03.3","1000BGN","40502901"
"r_1","1","2019","1","3.1.1.03.4","1000BGN","83279379"
"r_1","1","2019","1","3.1.1.03.5","1000BGN","75663716"
"r_1","1","2020","1","3.1.1.03.1","num","383013"
"r_1","1","2020","1","3.1.1.03.2","num","664665"
"r_1","1","2020","1","3.1.1.03.3","1000BGN","37879550"
"r_1","1","2020","1","3.1.1.03.4","1000BGN","86232821"
"r_1","1","2020","1","3.1.1.03.5","1000BGN","78149497"
"r_1","1","2008","4","3.1.1.03.1","num","26752"
"r_1","1","2008","4","3.1.1.03.2","num","536942"
"r_1","1","2008","4","3.1.1.03.3","1000BGN","16525953"
"r_1","1","2008","4","3.1.1.03.4","1000BGN","56680677"
"r_1","1","2008","4","3.1.1.03.5","1000BGN","53452004"
"r_1","1","2009","4","3.1.1.03.1","num","26463"
"r_1","1","2009","4","3.1.1.03.2","num","525873"
"r_1","1","2009","4","3.1.1.03.3","1000BGN","17655834"
