RevisionColumn,PlaceResidence,GenderID,Units,periods,ValueColumn
"r_2","0","2","1000cp","2007Q3","1550.4"
"r_2","0","2","1000cp","2007Q4","1536.7"
"r_2","0","2","1000cp","2008Q1","1540.7"
"r_2","0","2","1000cp","2008Q2","1577.7"
"r_2","0","2","1000cp","2008Q3","1591.6"
"r_2","0","2","1000cp","2008Q4","1561.2"
"r_2","0","2","1000cp","2009Q1","1524.1"
"r_2","0","2","1000cp","2009Q2","1545.6"
"r_2","0","2","1000cp","2009Q3","1535.5"
"r_2","0","2","1000cp","2009Q4","1480"
"r_2","0","2","1000cp","2010Q1","1408.4"
"r_2","0","2","1000cp","2010Q2","1438.8"
"r_2","0","2","1000cp","2010Q3","1457.8"
"r_2","0","2","1000cp","2010Q4","1436.5"
"r_2","0","2","1000cp","2011Q1","1365.9"
"r_2","0","2","1000cp","2011Q2","1385.3"
"r_2","0","2","1000cp","2011Q3","1426.2"
"r_2","0","2","1000cp","2011Q4","1415.1"
"r_2","0","2","1000cp","2012Q1","1360.7"
"r_2","0","2","1000cp","2012Q2","1385"
"r_2","0","2","1000cp","2012Q3","1432.5"
"r_2","0","2","1000cp","2012Q4","1390.9"
"r_2","0","2","1000cp","2013Q1","1356"
"r_2","0","2","1000cp","2013Q2","1399.7"
"r_2","0","2","1000cp","2013Q3","1420.7"
"r_2","0","2","1000cp","2013Q4","1376"
"r_2","0","2","1000cp","2014Q1","1360.6"
"r_2","0","2","1000cp","2014Q2","1403.4"
"r_2","0","2","1000cp","2014Q3","1437.7"
"r_2","0","2","1000cp","2014Q4","1415.3"
"r_2","0","2","1000cp","2015Q1","1388.4"
"r_2","0","2","1000cp","2015Q2","1415.7"
"r_2","0","2","1000cp","2015Q3","1458.7"
"r_2","0","2","1000cp","2015Q4","1434.5"
"r_2","1","0","1000cp","2003Q1","2101.4"
"r_2","1","0","1000cp","2003Q2","2177.4"
"r_2","1","0","1000cp","2003Q3","2210"
"r_2","1","0","1000cp","2003Q4","2167.3"
"r_2","1","0","1000cp","2004Q1","2161.8"
"r_2","1","0","1000cp","2004Q2","2246.6"
"r_2","1","0","1000cp","2004Q3","2268.2"
"r_2","1","0","1000cp","2004Q4","2242.7"
"r_2","1","0","1000cp","2005Q1","2238.2"
"r_2","1","0","1000cp","2005Q2","2304.2"
"r_2","1","0","1000cp","2005Q3","2359.8"
"r_2","1","0","1000cp","2005Q4","2307.3"
"r_2","1","0","1000cp","2006Q1","2311.4"
"r_2","1","0","1000cp","2006Q2","2433.8"
"r_2","1","0","1000cp","2006Q3","2455.1"
"r_2","1","0","1000cp","2006Q4","2437.3"
"r_2","1","0","1000cp","2007Q1","2457.3"
"r_2","1","0","1000cp","2007Q2","2517.3"
"r_2","1","0","1000cp","2007Q3","2561.1"
"r_2","1","0","1000cp","2007Q4","2561"
"r_2","1","0","1000cp","2008Q1","2548.7"
"r_2","1","0","1000cp","2008Q2","2587.4"
"r_2","1","0","1000cp","2008Q3","2623.4"
"r_2","1","0","1000cp","2008Q4","2604.3"
"r_2","1","0","1000cp","2009Q1","2554.5"
"r_2","1","0","1000cp","2009Q2","2546.9"
"r_2","1","0","1000cp","2009Q3","2533.7"
"r_2","1","0","1000cp","2009Q4","2469.3"
"r_2","1","0","1000cp","2010Q1","2407.2"
"r_2","1","0","1000cp","2010Q2","2431.1"
"r_2","1","0","1000cp","2010Q3","2453.6"
"r_2","1","0","1000cp","2010Q4","2403.3"
"r_2","1","0","1000cp","2011Q1","2312.8"
"r_2","1","0","1000cp","2011Q2","2313.5"
"r_2","1","0","1000cp","2011Q3","2385.2"
"r_2","1","0","1000cp","2011Q4","2340.5"
"r_2","1","0","1000cp","2012Q1","2272.7"
"r_2","1","0","1000cp","2012Q2","2297.8"
"r_2","1","0","1000cp","2012Q3","2370"
"r_2","1","0","1000cp","2012Q4","2341.8"
"r_2","1","0","1000cp","2013Q1","2278.7"
"r_2","1","0","1000cp","2013Q2","2322.2"
"r_2","1","0","1000cp","2013Q3","2376.4"
"r_2","1","0","1000cp","2013Q4","2346.3"
"r_2","1","0","1000cp","2014Q1","2330.7"
"r_2","1","0","1000cp","2014Q2","2368"
"r_2","1","0","1000cp","2014Q3","2430.2"
"r_2","1","0","1000cp","2014Q4","2392.6"
"r_2","1","0","1000cp","2015Q1","2369.8"
"r_2","1","0","1000cp","2015Q2","2401.9"
"r_2","1","0","1000cp","2015Q3","2457.3"
"r_2","1","0","1000cp","2015Q4","2441"
"r_2","1","1","1000cp","2003Q1","1086.8"
"r_2","1","1","1000cp","2003Q2","1130.2"
"r_2","1","1","1000cp","2003Q3","1145.8"
"r_2","1","1","1000cp","2003Q4","1124.9"
"r_2","1","1","1000cp","2004Q1","1128.6"
"r_2","1","1","1000cp","2004Q2","1168.1"
"r_2","1","1","1000cp","2004Q3","1174.8"
"r_2","1","1","1000cp","2004Q4","1166.8"
"r_2","1","1","1000cp","2005Q1","1170.5"
"r_2","1","1","1000cp","2005Q2","1203.5"
"r_2","1","1","1000cp","2005Q3","1231.9"
"r_2","1","1","1000cp","2005Q4","1210.2"
"r_2","1","1","1000cp","2006Q1","1196.6"
"r_2","1","1","1000cp","2006Q2","1260.4"
"r_2","1","1","1000cp","2006Q3","1277.4"
"r_2","1","1","1000cp","2006Q4","1278.9"
"r_2","1","1","1000cp","2007Q1","1280.3"
"r_2","1","1","1000cp","2007Q2","1309"
"r_2","1","1","1000cp","2007Q3","1341.4"
"r_2","1","1","1000cp","2007Q4","1346.7"
"r_2","1","1","1000cp","2008Q1","1328.2"
"r_2","1","1","1000cp","2008Q2","1352"
"r_2","1","1","1000cp","2008Q3","1374.7"
"r_2","1","1","1000cp","2008Q4","1366.4"
"r_2","1","1","1000cp","2009Q1","1330"
"r_2","1","1","1000cp","2009Q2","1321.4"
"r_2","1","1","1000cp","2009Q3","1322.2"
"r_2","1","1","1000cp","2009Q4","1292.3"
"r_2","1","1","1000cp","2010Q1","1262"
"r_2","1","1","1000cp","2010Q2","1274"
"r_2","1","1","1000cp","2010Q3","1282.8"
"r_2","1","1","1000cp","2010Q4","1242.7"
