RevisionColumn,periods,SZCLS_EMPL,NUTS,Units,Indicators,ValueColumn
"r_1","2014","1","BG","1000BGN","3.1.1.03.4","60613784"
"r_1","2014","1","BG","1000BGN","3.1.1.03.5","58583760"
"r_1","2015","1","BG","num","3.1.1.03.1","363905"
"r_1","2015","1","BG","num","3.1.1.03.2","642068"
"r_1","2015","1","BG","1000BGN","3.1.1.03.3","36065069"
"r_1","2015","1","BG","1000BGN","3.1.1.03.4","65078202"
"r_1","2015","1","BG","1000BGN","3.1.1.03.5","61742171"
"r_1","2016","1","BG","num","3.1.1.03.1","375123"
"r_1","2016","1","BG","num","3.1.1.03.2","676993"
"r_1","2016","1","BG","1000BGN","3.1.1.03.3","36057594"
"r_1","2016","1","BG","1000BGN","3.1.1.03.4","65814464"
"r_1","2016","1","BG","1000BGN","3.1.1.03.5","61130938"
"r_1","2017","1","BG","num","3.1.1.03.1","375754"
"r_1","2017","1","BG","num","3.1.1.03.2","685704"
"r_1","2017","1","BG","1000BGN","3.1.1.03.3","36231974"
"r_1","2017","1","BG","1000BGN","3.1.1.03.4","71517924"
"r_1","2017","1","BG","1000BGN","3.1.1.03.5","65373685"
"r_1","2018","1","BG","num","3.1.1.03.1","383134"
"r_1","2018","1","BG","num","3.1.1.03.2","688425"
"r_1","2018","1","BG","1000BGN","3.1.1.03.3","37547855"
"r_1","2018","1","BG","1000BGN","3.1.1.03.4","77857260"
"r_1","2018","1","BG","1000BGN","3.1.1.03.5","70498424"
"r_1","2019","1","BG","num","3.1.1.03.1","388980"
"r_1","2019","1","BG","num","3.1.1.03.2","691496"
"r_1","2019","1","BG","1000BGN","3.1.1.03.3","40502901"
"r_1","2019","1","BG","1000BGN","3.1.1.03.4","83279379"
"r_1","2019","1","BG","1000BGN","3.1.1.03.5","75663716"
"r_1","2020","1","BG","num","3.1.1.03.1","383013"
"r_1","2020","1","BG","num","3.1.1.03.2","664665"
"r_1","2020","1","BG","1000BGN","3.1.1.03.3","37879550"
"r_1","2020","1","BG","1000BGN","3.1.1.03.4","86232821"
"r_1","2020","1","BG","1000BGN","3.1.1.03.5","78149497"
"r_1","2008","4","BG","num","3.1.1.03.1","26752"
"r_1","2008","4","BG","num","3.1.1.03.2","536942"
"r_1","2008","4","BG","1000BGN","3.1.1.03.3","16525953"
"r_1","2008","4","BG","1000BGN","3.1.1.03.4","56680677"
"r_1","2008","4","BG","1000BGN","3.1.1.03.5","53452004"
"r_1","2009","4","BG","num","3.1.1.03.1","26463"
"r_1","2009","4","BG","num","3.1.1.03.2","525873"
"r_1","2009","4","BG","1000BGN","3.1.1.03.3","17655834"
"r_1","2009","4","BG","1000BGN","3.1.1.03.4","48300110"
"r_1","2009","4","BG","1000BGN","3.1.1.03.5","46396982"
"r_1","2010","4","BG","num","3.1.1.03.1","24368"
"r_1","2010","4","BG","num","3.1.1.03.2","481012"
"r_1","2010","4","BG","1000BGN","3.1.1.03.3","15986012"
"r_1","2010","4","BG","1000BGN","3.1.1.03.4","47438428"
"r_1","2010","4","BG","1000BGN","3.1.1.03.5","45772943"
"r_1","2011","4","BG","num","3.1.1.03.1","24317"
"r_1","2011","4","BG","num","3.1.1.03.2","480551"
"r_1","2011","4","BG","1000BGN","3.1.1.03.3","17240049"
"r_1","2011","4","BG","1000BGN","3.1.1.03.4","54448532"
"r_1","2011","4","BG","1000BGN","3.1.1.03.5","52477312"
"r_1","2012","4","BG","num","3.1.1.03.1","23830"
"r_1","2012","4","BG","num","3.1.1.03.2","470951"
"r_1","2012","4","BG","1000BGN","3.1.1.03.3","17105831"
"r_1","2012","4","BG","1000BGN","3.1.1.03.4","55770328"
"r_1","2012","4","BG","1000BGN","3.1.1.03.5","53178408"
"r_1","2013","4","BG","num","3.1.1.03.1","23768"
"r_1","2013","4","BG","num","3.1.1.03.2","469801"
"r_1","2013","4","BG","1000BGN","3.1.1.03.3","17550889"
"r_1","2013","4","BG","1000BGN","3.1.1.03.4","55590809"
"r_1","2013","4","BG","1000BGN","3.1.1.03.5","53066577"
"r_1","2014","4","BG","num","3.1.1.03.1","23656"
"r_1","2014","4","BG","num","3.1.1.03.2","470027"
"r_1","2014","4","BG","1000BGN","3.1.1.03.3","18321171"
"r_1","2014","4","BG","1000BGN","3.1.1.03.4","57294721"
"r_1","2014","4","BG","1000BGN","3.1.1.03.5","54599518"
"r_1","2015","4","BG","num","3.1.1.03.1","24264"
"r_1","2015","4","BG","num","3.1.1.03.2","480581"
"r_1","2015","4","BG","1000BGN","3.1.1.03.3","18269588"
"r_1","2015","4","BG","1000BGN","3.1.1.03.4","63475890"
"r_1","2015","4","BG","1000BGN","3.1.1.03.5","60102069"
"r_1","2016","4","BG","num","3.1.1.03.1","24500"
"r_1","2016","4","BG","num","3.1.1.03.2","485206"
"r_1","2016","4","BG","1000BGN","3.1.1.03.3","18841619"
"r_1","2016","4","BG","1000BGN","3.1.1.03.4","61759374"
"r_1","2016","4","BG","1000BGN","3.1.1.03.5","58336477"
"r_1","2017","4","BG","num","3.1.1.03.1","25211"
"r_1","2017","4","BG","num","3.1.1.03.2","498859"
"r_1","2017","4","BG","1000BGN","3.1.1.03.3","20168503"
"r_1","2017","4","BG","1000BGN","3.1.1.03.4","66793041"
"r_1","2017","4","BG","1000BGN","3.1.1.03.5","62705138"
"r_1","2018","4","BG","num","3.1.1.03.1","24982"
"r_1","2018","4","BG","num","3.1.1.03.2","495224"
"r_1","2018","4","BG","1000BGN","3.1.1.03.3","20152715"
"r_1","2018","4","BG","1000BGN","3.1.1.03.4","70000536"
"r_1","2018","4","BG","1000BGN","3.1.1.03.5","65923547"
"r_1","2019","4","BG","num","3.1.1.03.1","25204"
"r_1","2019","4","BG","num","3.1.1.03.2","494071"
"r_1","2019","4","BG","1000BGN","3.1.1.03.3","21389082"
"r_1","2019","4","BG","1000BGN","3.1.1.03.4","75305418"
"r_1","2019","4","BG","1000BGN","3.1.1.03.5","70522442"
"r_1","2020","4","BG","num","3.1.1.03.1","23489"
"r_1","2020","4","BG","num","3.1.1.03.2","462195"
"r_1","2020","4","BG","1000BGN","3.1.1.03.3","20308072"
"r_1","2020","4","BG","1000BGN","3.1.1.03.4","76610816"
"r_1","2020","4","BG","1000BGN","3.1.1.03.5","71424744"
"r_1","2008","5","BG","num","3.1.1.03.1","5439"
"r_1","2008","5","BG","num","3.1.1.03.2","534262"
"r_1","2008","5","BG","1000BGN","3.1.1.03.3","17906967"
"r_1","2008","5","BG","1000BGN","3.1.1.03.4","54610964"
"r_1","2008","5","BG","1000BGN","3.1.1.03.5","51451462"
"r_1","2009","5","BG","num","3.1.1.03.1","5071"
"r_1","2009","5","BG","num","3.1.1.03.2","489829"
"r_1","2009","5","BG","1000BGN","3.1.1.03.3","18552656"
"r_1","2009","5","BG","1000BGN","3.1.1.03.4","46333238"
"r_1","2009","5","BG","1000BGN","3.1.1.03.5","44632155"
"r_1","2010","5","BG","num","3.1.1.03.1","4662"
"r_1","2010","5","BG","num","3.1.1.03.2","447336"
"r_1","2010","5","BG","1000BGN","3.1.1.03.3","18450482"
"r_1","2010","5","BG","1000BGN","3.1.1.03.4","46991815"
"r_1","2010","5","BG","1000BGN","3.1.1.03.5","45322854"
"r_1","2011","5","BG","num","3.1.1.03.1","4536"
"r_1","2011","5","BG","num","3.1.1.03.2","434379"
"r_1","2011","5","BG","1000BGN","3.1.1.03.3","17234644"
"r_1","2011","5","BG","1000BGN","3.1.1.03.4","52554068"
"r_1","2011","5","BG","1000BGN","3.1.1.03.5","50820040"
