RevisionColumn,Units,periods,Indicators,ValueColumn
"r_2","1000BGN","2010","3.1.2.1.3.1.2.3","75386"
"r_2","1000BGN","2011","3.1.2.1.3.1.2.3","78053"
"r_2","1000BGN","2012","3.1.2.1.3.1.2.3","71438"
"r_2","1000BGN","2013","3.1.2.1.3.1.2.3","71482"
"r_2","1000BGN","2014","3.1.2.1.3.1.2.3","79057"
"r_2","1000BGN","2015","3.1.2.1.3.1.2.3","87435"
"r_2","1000BGN","2016","3.1.2.1.3.1.2.3","105545"
"r_2","1000BGN","2017","3.1.2.1.3.1.2.3","108274"
"r_2","1000BGN","2018","3.1.2.1.3.1.2.3","121402"
"r_2","1000BGN","2019","3.1.2.1.3.1.2.3","630317"
"r_2","1000BGN","2020","3.1.2.1.3.1.2.3","132440"
"r_2","1000BGN","2005","3.1.2.1.3.1.2.4","."
"r_2","1000BGN","2006","3.1.2.1.3.1.2.4","."
"r_2","1000BGN","2007","3.1.2.1.3.1.2.4","."
"r_2","1000BGN","2008","3.1.2.1.3.1.2.4","."
"r_2","1000BGN","2009","3.1.2.1.3.1.2.4","22"
"r_2","1000BGN","2010","3.1.2.1.3.1.2.4","23"
"r_2","1000BGN","2011","3.1.2.1.3.1.2.4","26"
"r_2","1000BGN","2012","3.1.2.1.3.1.2.4","97"
"r_2","1000BGN","2013","3.1.2.1.3.1.2.4","117"
"r_2","1000BGN","2014","3.1.2.1.3.1.2.4","53"
"r_2","1000BGN","2015","3.1.2.1.3.1.2.4","76"
"r_2","1000BGN","2016","3.1.2.1.3.1.2.4","124"
"r_2","1000BGN","2017","3.1.2.1.3.1.2.4","168"
"r_2","1000BGN","2018","3.1.2.1.3.1.2.4","167"
"r_2","1000BGN","2019","3.1.2.1.3.1.2.4","198"
"r_2","1000BGN","2020","3.1.2.1.3.1.2.4","190"
"r_2","1000BGN","2005","3.1.2.1.3.1.3","210355"
"r_2","1000BGN","2006","3.1.2.1.3.1.3","256959"
"r_2","1000BGN","2007","3.1.2.1.3.1.3","285127"
"r_2","1000BGN","2008","3.1.2.1.3.1.3","310855"
"r_2","1000BGN","2009","3.1.2.1.3.1.3","361192"
"r_2","1000BGN","2010","3.1.2.1.3.1.3","377876"
"r_2","1000BGN","2011","3.1.2.1.3.1.3","407603"
"r_2","1000BGN","2012","3.1.2.1.3.1.3","487543"
"r_2","1000BGN","2013","3.1.2.1.3.1.3","508766"
"r_2","1000BGN","2014","3.1.2.1.3.1.3","525411"
"r_2","1000BGN","2015","3.1.2.1.3.1.3","555271"
"r_2","1000BGN","2016","3.1.2.1.3.1.3","589261"
"r_2","1000BGN","2017","3.1.2.1.3.1.3","623043"
"r_2","1000BGN","2018","3.1.2.1.3.1.3","697767"
"r_2","1000BGN","2019","3.1.2.1.3.1.3","1751527"
"r_2","1000BGN","2020","3.1.2.1.3.1.3","794372"
"r_2","1000BGN","2005","3.1.2.1.3.1.3.1","16354"
"r_2","1000BGN","2006","3.1.2.1.3.1.3.1","16570"
