RevisionColumn,LFS_FullPartTime,Units,periods,ValueColumn
"r_8","TOT","1000cp","2017Q2","2792.4"
"r_8","FT","1000cp","2017Q2","2731.6"
"r_8","PT","1000cp","2017Q2","60.8"
"r_9","TOT","1000cp","2017Q3","2839.6"
"r_9","FT","1000cp","2017Q3","2786.2"
"r_9","PT","1000cp","2017Q3","53.4"
"r_10","TOT","1000cp","2017Q4","2790.4"
"r_10","FT","1000cp","2017Q4","2744.6"
"r_10","PT","1000cp","2017Q4","45.8"
"r_11","TOT","1000cp","2018Q1","2733.5"
"r_11","FT","1000cp","2018Q1","2684.1"
"r_11","PT","1000cp","2018Q1","49.4"
"r_12","TOT","1000cp","2018Q2","2785.6"
"r_12","FT","1000cp","2018Q2","2736"
"r_12","PT","1000cp","2018Q2","49.6"
"r_13","TOT","1000cp","2018Q3","2831.9"
"r_13","FT","1000cp","2018Q3","2783.1"
"r_13","PT","1000cp","2018Q3","48.8"
"r_14","TOT","1000cp","2018Q4","2790.6"
"r_14","FT","1000cp","2018Q4","2749.9"
"r_14","PT","1000cp","2018Q4","40.7"
"r_15","TOT","1000cp","2019Q1","2789.8"
"r_15","FT","1000cp","2019Q1","2742.1"
"r_15","PT","1000cp","2019Q1","47.7"
"r_16","TOT","1000cp","2019Q2","2912.6"
"r_16","FT","1000cp","2019Q2","2855.6"
"r_16","PT","1000cp","2019Q2","57"
"r_17","TOT","1000cp","2019Q3","2953.3"
"r_17","FT","1000cp","2019Q3","2902.2"
"r_17","PT","1000cp","2019Q3","51.1"
"r_18","TOT","1000cp","2019Q4","2876.8"
"r_18","FT","1000cp","2019Q4","2831.7"
"r_18","PT","1000cp","2019Q4","45.2"
"r_19","TOT","1000cp","2020Q1","2777.4"
"r_19","FT","1000cp","2020Q1","2736"
"r_19","PT","1000cp","2020Q1","41.5"
"r_20","TOT","1000cp","2020Q2","2728.7"
"r_20","FT","1000cp","2020Q2","2669.8"
"r_20","PT","1000cp","2020Q2","58.9"
"r_21","TOT","1000cp","2020Q3","2818.1"
"r_21","FT","1000cp","2020Q3","2771.5"
"r_21","PT","1000cp","2020Q3","46.6"
"r_22","TOT","1000cp","2020Q4","2780.1"
"r_22","FT","1000cp","2020Q4","2738.2"
"r_22","PT","1000cp","2020Q4","41.9"
"r_31","TOT","1000cp","2023Q1","2590.3"
"r_31","FT","1000cp","2023Q1","2553.4"
"r_31","PT","1000cp","2023Q1","36.9"
"r_32","TOT","1000cp","2023Q2","2601.1"
"r_32","FT","1000cp","2023Q2","2565.1"
"r_32","PT","1000cp","2023Q2","36"
"r_33","TOT","1000cp","2023Q3","2635.2"
"r_33","FT","1000cp","2023Q3","2599.2"
"r_33","PT","1000cp","2023Q3","36"
"r_35","TOT","1000cp","2022Q2","2600.2"
"r_35","FT","1000cp","2022Q2","2566.2"
"r_35","PT","1000cp","2022Q2","34"
"r_34","TOT","1000cp","2022Q1","2562.6"
"r_34","FT","1000cp","2022Q1","2530.4"
"r_34","PT","1000cp","2022Q1","32.2"
"r_36","TOT","1000cp","2022Q3","2651.7"
"r_36","FT","1000cp","2022Q3","2611"
"r_36","PT","1000cp","2022Q3","40.7"
"r_37","TOT","1000cp","2022Q4","2631.2"
"r_37","FT","1000cp","2022Q4","2594.3"
"r_37","PT","1000cp","2022Q4","36.9"
"r_38","TOT","1000cp","2023Q4","2576.5"
"r_38","FT","1000cp","2023Q4","2541.3"
"r_38","PT","1000cp","2023Q4","35.3"
"r_39","TOT","1000cp","2024Q1","2569.6"
"r_39","FT","1000cp","2024Q1","2535.4"
"r_39","PT","1000cp","2024Q1","34.2"
"r_40","TOT","1000cp","2021Q1","2542.3"
"r_40","FT","1000cp","2021Q1","2502.8"
"r_40","PT","1000cp","2021Q1","39.5"
"r_41","TOT","1000cp","2021Q2","2553.7"
"r_41","FT","1000cp","2021Q2","2516.9"
"r_41","PT","1000cp","2021Q2","36.8"
"r_42","TOT","1000cp","2021Q3","2590.1"
"r_42","FT","1000cp","2021Q3","2556.4"
"r_42","PT","1000cp","2021Q3","33.7"
"r_43","TOT","1000cp","2021Q4","2546.9"
"r_43","FT","1000cp","2021Q4","2511"
"r_43","PT","1000cp","2021Q4","35.9"
"r_44","TOT","1000cp","2024Q2","2587.7"
"r_44","FT","1000cp","2024Q2","2554.8"
"r_44","PT","1000cp","2024Q2","32.9"
"r_45","TOT","1000cp","2024Q3","2606"
"r_45","FT","1000cp","2024Q3","2567.2"
"r_45","PT","1000cp","2024Q3","38.8"
"r_46","TOT","1000cp","2024Q4","2567.6"
"r_46","FT","1000cp","2024Q4","2526.6"
"r_46","PT","1000cp","2024Q4","41"
"r_47","TOT","1000cp","2025Q1","2549.4"
"r_47","FT","1000cp","2025Q1","2508.5"
"r_47","PT","1000cp","2025Q1","40.9"
"r_48","TOT","1000cp","2025Q2","2545.9"
"r_48","FT","1000cp","2025Q2","2507.3"
"r_48","PT","1000cp","2025Q2","38.6"
"r_49","TOT","1000cp","2025Q3","2558.8"
"r_49","FT","1000cp","2025Q3","2515.4"
"r_49","PT","1000cp","2025Q3","43.3"
