RevisionColumn,Units,periods,Indicators,ValueColumn
"r_2","1000BGN","2007","3.1.2.5.3.1.2.2","5905067"
"r_2","1000BGN","2008","3.1.2.5.3.1.2.2","2525435"
"r_2","1000BGN","2009","3.1.2.5.3.1.2.2","221118"
"r_2","1000BGN","2010","3.1.2.5.3.1.2.2","311553"
"r_2","1000BGN","2011","3.1.2.5.3.1.2.2","225284"
"r_2","1000BGN","2012","3.1.2.5.3.1.2.2","268551"
"r_2","1000BGN","2013","3.1.2.5.3.1.2.2","312298"
"r_2","1000BGN","2014","3.1.2.5.3.1.2.2","438060"
"r_2","1000BGN","2015","3.1.2.5.3.1.2.2","527241"
"r_2","1000BGN","2016","3.1.2.5.3.1.2.2","721348"
"r_2","1000BGN","2017","3.1.2.5.3.1.2.2","1031926"
"r_2","1000BGN","2018","3.1.2.5.3.1.2.2","1176547"
"r_2","1000BGN","2019","3.1.2.5.3.1.2.2","1521545"
"r_2","1000BGN","2020","3.1.2.5.3.1.2.2","1694764"
"r_2","1000BGN","2005","3.1.2.5.3.1.2.3","6391"
"r_2","1000BGN","2006","3.1.2.5.3.1.2.3","15692"
"r_2","1000BGN","2007","3.1.2.5.3.1.2.3","66481"
"r_2","1000BGN","2008","3.1.2.5.3.1.2.3","82859"
"r_2","1000BGN","2009","3.1.2.5.3.1.2.3","88771"
"r_2","1000BGN","2010","3.1.2.5.3.1.2.3","237039"
"r_2","1000BGN","2011","3.1.2.5.3.1.2.3","384715"
"r_2","1000BGN","2012","3.1.2.5.3.1.2.3","230929"
"r_2","1000BGN","2013","3.1.2.5.3.1.2.3","291419"
"r_2","1000BGN","2014","3.1.2.5.3.1.2.3","365382"
"r_2","1000BGN","2015","3.1.2.5.3.1.2.3","331957"
"r_2","1000BGN","2016","3.1.2.5.3.1.2.3","260647"
"r_2","1000BGN","2017","3.1.2.5.3.1.2.3","229822"
"r_2","1000BGN","2018","3.1.2.5.3.1.2.3","257551"
"r_2","1000BGN","2019","3.1.2.5.3.1.2.3","224163"
"r_2","1000BGN","2020","3.1.2.5.3.1.2.3","253871"
"r_2","1000BGN","2005","3.1.2.5.3.1.2.4","259"
"r_2","1000BGN","2006","3.1.2.5.3.1.2.4","485"
"r_2","1000BGN","2007","3.1.2.5.3.1.2.4","605"
"r_2","1000BGN","2008","3.1.2.5.3.1.2.4","1682"
"r_2","1000BGN","2009","3.1.2.5.3.1.2.4","1358"
"r_2","1000BGN","2010","3.1.2.5.3.1.2.4","5293"
"r_2","1000BGN","2011","3.1.2.5.3.1.2.4","3596"
"r_2","1000BGN","2012","3.1.2.5.3.1.2.4","2491"
"r_2","1000BGN","2013","3.1.2.5.3.1.2.4","1609"
"r_2","1000BGN","2014","3.1.2.5.3.1.2.4","1382"
"r_2","1000BGN","2015","3.1.2.5.3.1.2.4","2105"
"r_2","1000BGN","2016","3.1.2.5.3.1.2.4","1904"
"r_2","1000BGN","2017","3.1.2.5.3.1.2.4","2186"
"r_2","1000BGN","2018","3.1.2.5.3.1.2.4","1901"
"r_2","1000BGN","2019","3.1.2.5.3.1.2.4","2311"
"r_2","1000BGN","2020","3.1.2.5.3.1.2.4","2655"
"r_2","1000BGN","2005","3.1.2.5.3.1.3","."
"r_2","1000BGN","2006","3.1.2.5.3.1.3","."
"r_2","1000BGN","2007","3.1.2.5.3.1.3","."
"r_2","1000BGN","2008","3.1.2.5.3.1.3","."
"r_2","1000BGN","2009","3.1.2.5.3.1.3","4079724"
"r_2","1000BGN","2010","3.1.2.5.3.1.3","4641324"
"r_2","1000BGN","2011","3.1.2.5.3.1.3","6476757"
"r_2","1000BGN","2012","3.1.2.5.3.1.3","7329398"
