RevisionColumn,EKATTE,Units,Edu_schYear,ValueColumn
"r_1","VID16","num","2001/2002","174"
"r_1","VID16","num","2002/2003","164"
"r_1","VID16","num","2003/2004","155"
"r_1","VID16","num","2004/2005","137"
"r_1","VID16","num","2005/2006","171"
"r_1","VID16","num","2006/2007","190"
"r_1","VID16","num","2007/2008","161"
"r_1","VID16","num","2008/2009","166"
"r_1","VID16","num","2009/2010","169"
"r_1","VID16","num","2010/2011","170"
"r_1","VID16","num","2011/2012","155"
"r_1","VID16","num","2012/2013","164"
"r_1","VID16","num","2013/2014","183"
"r_1","VID16","num","2014/2015","221"
"r_1","VID22","num","2000/2001","102"
"r_1","VID22","num","2001/2002","92"
"r_1","VID22","num","2002/2003","91"
"r_1","VID22","num","2003/2004","112"
"r_1","VID22","num","2004/2005","97"
"r_1","VID22","num","2005/2006","115"
"r_1","VID22","num","2006/2007","102"
"r_1","VID22","num","2007/2008","98"
"r_1","VID22","num","2008/2009","98"
"r_1","VID22","num","2009/2010","94"
"r_1","VID22","num","2010/2011","99"
"r_1","VID22","num","2011/2012","97"
"r_1","VID22","num","2012/2013","87"
"r_1","VID22","num","2013/2014","86"
"r_1","VID22","num","2014/2015","99"
"r_1","VID25","num","2000/2001","27"
"r_1","VID25","num","2001/2002","28"
"r_1","VID25","num","2002/2003","30"
"r_1","VID25","num","2003/2004","34"
"r_1","VID25","num","2004/2005","34"
"r_1","VID25","num","2005/2006","37"
"r_1","VID25","num","2006/2007","33"
"r_1","VID25","num","2007/2008","32"
"r_1","VID25","num","2008/2009","32"
"r_1","VID25","num","2009/2010","36"
"r_1","VID25","num","2010/2011","34"
"r_1","VID25","num","2011/2012","27"
"r_1","VID25","num","2012/2013","29"
"r_1","VID25","num","2013/2014","28"
"r_1","VID25","num","2014/2015","32"
"r_1","VID30","num","2000/2001","97"
"r_1","VID30","num","2001/2002","97"
"r_1","VID30","num","2002/2003","99"
"r_1","VID30","num","2003/2004","88"
"r_1","VID30","num","2004/2005","88"
"r_1","VID30","num","2005/2006","81"
"r_1","VID30","num","2006/2007","81"
"r_1","VID30","num","2007/2008","73"
"r_1","VID30","num","2008/2009","78"
"r_1","VID30","num","2009/2010","69"
"r_1","VID30","num","2010/2011","69"
"r_1","VID30","num","2011/2012","68"
"r_1","VID30","num","2012/2013","68"
"r_1","VID30","num","2013/2014","66"
"r_1","VID30","num","2014/2015","47"
