RevisionColumn,GenderID,SILC_Activity,SILC_Age,Units,periods,ValueColumn
"r_2","2","2","9","perc_pop_fig","2009","64.1"
"r_2","2","2","9","perc_pop_fig","2010","64.9"
"r_2","2","2","9","perc_pop_fig","2011","63.1"
"r_2","2","2","9","perc_pop_fig","2012","63.2"
"r_2","2","2","9","perc_pop_fig","2013","62.4"
"r_2","2","2","9","perc_pop_fig","2014","53.7"
"r_2","0","2","3","perc_pop_fig","2008","67.3"
"r_2","0","2","3","perc_pop_fig","2009","67.2"
"r_2","0","2","3","perc_pop_fig","2010","65.1"
"r_2","0","2","3","perc_pop_fig","2011","61.8"
"r_2","0","2","3","perc_pop_fig","2012","59.9"
"r_2","0","2","3","perc_pop_fig","2013","58.7"
"r_2","0","2","3","perc_pop_fig","2014","48.8"
"r_2","1","2","3","perc_pop_fig","2008","66.4"
"r_2","1","2","3","perc_pop_fig","2009","63.8"
"r_2","1","2","3","perc_pop_fig","2010","60.8"
"r_2","1","2","3","perc_pop_fig","2011","57"
"r_2","1","2","3","perc_pop_fig","2012","54.7"
"r_2","1","2","3","perc_pop_fig","2013","52.3"
"r_2","1","2","3","perc_pop_fig","2014","43.5"
"r_2","2","2","3","perc_pop_fig","2008","67.8"
"r_2","2","2","3","perc_pop_fig","2009","69.5"
"r_2","2","2","3","perc_pop_fig","2010","67.9"
"r_2","2","2","3","perc_pop_fig","2011","65"
"r_2","2","2","3","perc_pop_fig","2012","63.5"
"r_2","2","2","3","perc_pop_fig","2013","63"
"r_2","2","2","3","perc_pop_fig","2014","52.3"
"r_2","0","3","2","perc_pop_fig","2008","76.4"
"r_2","0","3","2","perc_pop_fig","2009","75.5"
"r_2","0","3","2","perc_pop_fig","2010","79.8"
"r_2","0","3","2","perc_pop_fig","2011","78.9"
"r_2","0","3","2","perc_pop_fig","2012","77.7"
"r_2","0","3","2","perc_pop_fig","2013","79.3"
"r_2","0","3","2","perc_pop_fig","2014","72.7"
"r_2","1","3","2","perc_pop_fig","2008","77.7"
"r_2","1","3","2","perc_pop_fig","2009","79.2"
