RevisionColumn,NUTS,SILC_Median,SILC_HHType,Units,periods,ValueColumn
"r_5","BG322","4","2","BGN_fig","2016","9644"
"r_5","BG324","1","1","BGN_fig","2016","2132"
"r_5","BG324","1","2","BGN_fig","2016","4476"
"r_5","BG324","2","1","BGN_fig","2016","2664"
"r_5","BG324","2","2","BGN_fig","2016","5595"
"r_5","BG324","3","1","BGN_fig","2016","3197"
"r_5","BG324","3","2","BGN_fig","2016","6714"
"r_5","BG324","4","1","BGN_fig","2016","3730"
"r_5","BG324","4","2","BGN_fig","2016","7833"
"r_5","BG323","1","1","BGN_fig","2016","2409"
"r_5","BG323","1","2","BGN_fig","2016","5059"
"r_5","BG323","2","1","BGN_fig","2016","3011"
"r_5","BG323","2","2","BGN_fig","2016","6324"
"r_5","BG323","3","1","BGN_fig","2016","3614"
"r_5","BG323","3","2","BGN_fig","2016","7589"
"r_5","BG323","4","1","BGN_fig","2016","4216"
"r_5","BG323","4","2","BGN_fig","2016","8854"
"r_5","BG325","1","1","BGN_fig","2016","2327"
"r_5","BG325","1","2","BGN_fig","2016","4887"
"r_5","BG325","2","1","BGN_fig","2016","2909"
"r_5","BG325","2","2","BGN_fig","2016","6109"
"r_5","BG325","3","1","BGN_fig","2016","3491"
"r_5","BG325","3","2","BGN_fig","2016","7331"
"r_5","BG325","4","1","BGN_fig","2016","4073"
"r_5","BG325","4","2","BGN_fig","2016","8552"
"r_5","BG33","1","1","Euro","2016","1246"
"r_5","BG33","1","2","Euro","2016","2617"
"r_5","BG33","2","1","Euro","2016","1557"
"r_5","BG33","2","2","Euro","2016","3271"
"r_5","BG33","3","1","Euro","2016","1869"
"r_5","BG33","3","2","Euro","2016","3925"
"r_5","BG33","4","1","Euro","2016","2180"
"r_5","BG33","4","2","Euro","2016","4579"
"r_5","BG33","1","1","BGN_fig","2016","2437"
"r_5","BG33","1","2","BGN_fig","2016","5117"
"r_5","BG33","2","1","BGN_fig","2016","3046"
"r_5","BG33","2","2","BGN_fig","2016","6397"
"r_5","BG33","3","1","BGN_fig","2016","3655"
"r_5","BG33","3","2","BGN_fig","2016","7676"
"r_5","BG33","4","1","BGN_fig","2016","4265"
"r_5","BG33","4","2","BGN_fig","2016","8956"
"r_5","BG331","1","1","BGN_fig","2016","2456"
"r_5","BG331","1","2","BGN_fig","2016","5157"
"r_5","BG331","2","1","BGN_fig","2016","3069"
"r_5","BG331","2","2","BGN_fig","2016","6446"
"r_5","BG331","3","1","BGN_fig","2016","3683"
"r_5","BG331","3","2","BGN_fig","2016","7735"
"r_5","BG331","4","1","BGN_fig","2016","4297"
"r_5","BG331","4","2","BGN_fig","2016","9024"
"r_5","BG332","1","1","BGN_fig","2016","2545"
"r_5","BG332","1","2","BGN_fig","2016","5344"
"r_5","BG332","2","1","BGN_fig","2016","3181"
"r_5","BG332","2","2","BGN_fig","2016","6680"
"r_5","BG332","3","1","BGN_fig","2016","3817"
"r_5","BG332","3","2","BGN_fig","2016","8016"
"r_5","BG332","4","1","BGN_fig","2016","4453"
"r_5","BG332","4","2","BGN_fig","2016","9352"
"r_5","BG334","1","1","BGN_fig","2016","2063"
"r_5","BG334","1","2","BGN_fig","2016","4331"
"r_5","BG334","2","1","BGN_fig","2016","2578"
"r_5","BG334","2","2","BGN_fig","2016","5414"
"r_5","BG334","3","1","BGN_fig","2016","3094"
"r_5","BG334","3","2","BGN_fig","2016","6497"
"r_5","BG334","4","1","BGN_fig","2016","3610"
"r_5","BG334","4","2","BGN_fig","2016","7580"
"r_5","BG333","1","1","BGN_fig","2016","2173"
"r_5","BG333","1","2","BGN_fig","2016","4564"
"r_5","BG333","2","1","BGN_fig","2016","2717"
"r_5","BG333","2","2","BGN_fig","2016","5705"
"r_5","BG333","3","1","BGN_fig","2016","3260"
"r_5","BG333","3","2","BGN_fig","2016","6846"
"r_5","BG333","4","1","BGN_fig","2016","3803"
"r_5","BG333","4","2","BGN_fig","2016","7987"
"r_5","BG34","1","1","Euro","2016","1259"
"r_5","BG34","1","2","Euro","2016","2643"
"r_5","BG34","2","1","Euro","2016","1573"
"r_5","BG34","2","2","Euro","2016","3304"
"r_5","BG34","3","1","Euro","2016","1888"
"r_5","BG34","3","2","Euro","2016","3965"
"r_5","BG34","4","1","Euro","2016","2203"
"r_5","BG34","4","2","Euro","2016","4625"
"r_5","BG34","1","1","BGN_fig","2016","2462"
"r_5","BG34","1","2","BGN_fig","2016","5169"
"r_5","BG34","2","1","BGN_fig","2016","3077"
"r_5","BG34","2","2","BGN_fig","2016","6462"
"r_5","BG34","3","1","BGN_fig","2016","3692"
"r_5","BG34","3","2","BGN_fig","2016","7754"
"r_5","BG34","4","1","BGN_fig","2016","4308"
"r_5","BG34","4","2","BGN_fig","2016","9046"
"r_5","BG341","1","1","BGN_fig","2016","2574"
"r_5","BG341","1","2","BGN_fig","2016","5405"
"r_5","BG341","2","1","BGN_fig","2016","3218"
"r_5","BG341","2","2","BGN_fig","2016","6757"
"r_5","BG341","3","1","BGN_fig","2016","3861"
"r_5","BG341","3","2","BGN_fig","2016","8108"
"r_5","BG341","4","1","BGN_fig","2016","4505"
"r_5","BG341","4","2","BGN_fig","2016","9460"
"r_5","BG342","1","1","BGN_fig","2016","1984"
"r_5","BG342","1","2","BGN_fig","2016","4167"
"r_5","BG342","2","1","BGN_fig","2016","2480"
"r_5","BG342","2","2","BGN_fig","2016","5209"
"r_5","BG342","3","1","BGN_fig","2016","2977"
"r_5","BG342","3","2","BGN_fig","2016","6251"
"r_5","BG342","4","1","BGN_fig","2016","3473"
"r_5","BG342","4","2","BGN_fig","2016","7293"
"r_5","BG344","1","1","BGN_fig","2016","2658"
"r_5","BG344","1","2","BGN_fig","2016","5582"
"r_5","BG344","2","1","BGN_fig","2016","3323"
"r_5","BG344","2","2","BGN_fig","2016","6978"
"r_5","BG344","3","1","BGN_fig","2016","3987"
"r_5","BG344","3","2","BGN_fig","2016","8374"
"r_5","BG344","4","1","BGN_fig","2016","4652"
"r_5","BG344","4","2","BGN_fig","2016","9769"
"r_5","BG343","1","1","BGN_fig","2016","2477"
"r_5","BG343","1","2","BGN_fig","2016","5201"
"r_5","BG343","2","1","BGN_fig","2016","3096"
"r_5","BG343","2","2","BGN_fig","2016","6502"
"r_5","BG343","3","1","BGN_fig","2016","3715"
"r_5","BG343","3","2","BGN_fig","2016","7802"
"r_5","BG343","4","1","BGN_fig","2016","4334"
"r_5","BG343","4","2","BGN_fig","2016","9102"
"r_5","BG41","1","1","Euro","2016","1620"
"r_5","BG41","1","2","Euro","2016","3402"
"r_5","BG41","2","1","Euro","2016","2025"
"r_5","BG41","2","2","Euro","2016","4253"
"r_5","BG41","3","1","Euro","2016","2430"
"r_5","BG41","3","2","Euro","2016","5103"
"r_5","BG41","4","1","Euro","2016","2835"
"r_5","BG41","4","2","Euro","2016","5954"
"r_5","BG41","1","1","BGN_fig","2016","3168"
"r_5","BG41","1","2","BGN_fig","2016","6654"
"r_5","BG41","2","1","BGN_fig","2016","3961"
"r_5","BG41","2","2","BGN_fig","2016","8317"
"r_5","BG41","3","1","BGN_fig","2016","4753"
"r_5","BG41","3","2","BGN_fig","2016","9981"
"r_5","BG41","4","1","BGN_fig","2016","5545"
"r_5","BG41","4","2","BGN_fig","2016","11644"
"r_5","BG413","1","1","BGN_fig","2016","2149"
"r_5","BG413","1","2","BGN_fig","2016","4512"
"r_5","BG413","2","1","BGN_fig","2016","2686"
"r_5","BG413","2","2","BGN_fig","2016","5640"
"r_5","BG413","3","1","BGN_fig","2016","3223"
"r_5","BG413","3","2","BGN_fig","2016","6768"
"r_5","BG413","4","1","BGN_fig","2016","3760"
"r_5","BG413","4","2","BGN_fig","2016","7896"
"r_5","BG415","1","1","BGN_fig","2016","2518"
"r_5","BG415","1","2","BGN_fig","2016","5289"
"r_5","BG415","2","1","BGN_fig","2016","3148"
"r_5","BG415","2","2","BGN_fig","2016","6611"
"r_5","BG415","3","1","BGN_fig","2016","3778"
"r_5","BG415","3","2","BGN_fig","2016","7933"
"r_5","BG415","4","1","BGN_fig","2016","4407"
"r_5","BG415","4","2","BGN_fig","2016","9255"
"r_5","BG414","1","1","BGN_fig","2016","2546"
"r_5","BG414","1","2","BGN_fig","2016","5347"
"r_5","BG414","2","1","BGN_fig","2016","3183"
"r_5","BG414","2","2","BGN_fig","2016","6684"
"r_5","BG414","3","1","BGN_fig","2016","3819"
"r_5","BG414","3","2","BGN_fig","2016","8021"
"r_5","BG414","4","1","BGN_fig","2016","4456"
"r_5","BG414","4","2","BGN_fig","2016","9357"
"r_5","BG412","1","1","BGN_fig","2016","2352"
"r_5","BG412","1","2","BGN_fig","2016","4939"
"r_5","BG412","2","1","BGN_fig","2016","2940"
"r_5","BG412","2","2","BGN_fig","2016","6174"
"r_5","BG412","3","1","BGN_fig","2016","3528"
"r_5","BG412","3","2","BGN_fig","2016","7409"
"r_5","BG412","4","1","BGN_fig","2016","4116"
"r_5","BG412","4","2","BGN_fig","2016","8644"
