RevisionColumn,Age10_LFS,Units,periods,GenderID,ValueColumn
"r_2","20 - 64","1000cp","2003Q4","1","1671.5"
"r_2","20 - 64","1000cp","2003Q4","2","1481.5"
"r_2","15 - 29","1000cp","2003Q4","0","678.5"
"r_2","15 - 29","1000cp","2003Q4","1","372.7"
"r_2","15 - 29","1000cp","2003Q4","2","305.8"
"r_2","15 - 24","1000cp","2003Q4","0","291.2"
"r_2","15 - 24","1000cp","2003Q4","1","157.3"
"r_2","15 - 24","1000cp","2003Q4","2","133.9"
"r_2","25 - 34","1000cp","2003Q4","0","809.3"
"r_2","25 - 34","1000cp","2003Q4","1","444.9"
"r_2","25 - 34","1000cp","2003Q4","2","364.3"
"r_2","35 - 44","1000cp","2003Q4","0","882.9"
"r_2","35 - 44","1000cp","2003Q4","1","452.9"
"r_2","35 - 44","1000cp","2003Q4","2","430"
"r_2","45 - 54","1000cp","2003Q4","0","876"
"r_2","45 - 54","1000cp","2003Q4","1","434.6"
"r_2","45 - 54","1000cp","2003Q4","2","441.4"
"r_2","55 - 64","1000cp","2003Q4","0","331.3"
"r_2","55 - 64","1000cp","2003Q4","1","198.9"
"r_2","55 - 64","1000cp","2003Q4","2","132.4"
"r_2","65+","1000cp","2003Q4","0","46.3"
"r_2","65+","1000cp","2003Q4","1","32.3"
"r_2","65+","1000cp","2003Q4","2","14"
"r_2","0","1000cp","2004Q1","0","3212.6"
"r_2","0","1000cp","2004Q1","1","1720"
"r_2","0","1000cp","2004Q1","2","1492.6"
"r_2","15 - 64","1000cp","2004Q1","0","3169.1"
"r_2","15 - 64","1000cp","2004Q1","1","1689.1"
"r_2","15 - 64","1000cp","2004Q1","2","1480"
"r_2","20 - 64","1000cp","2004Q1","0","3130.9"
"r_2","20 - 64","1000cp","2004Q1","1","1673.7"
"r_2","20 - 64","1000cp","2004Q1","2","1457.2"
"r_2","15 - 29","1000cp","2004Q1","0","660.8"
"r_2","15 - 29","1000cp","2004Q1","1","374.7"
"r_2","15 - 29","1000cp","2004Q1","2","286"
"r_2","15 - 24","1000cp","2004Q1","0","294.6"
"r_2","15 - 24","1000cp","2004Q1","1","167.2"
"r_2","15 - 24","1000cp","2004Q1","2","127.4"
"r_2","25 - 34","1000cp","2004Q1","0","775.5"
"r_2","25 - 34","1000cp","2004Q1","1","428.8"
"r_2","25 - 34","1000cp","2004Q1","2","346.7"
"r_2","35 - 44","1000cp","2004Q1","0","891.9"
"r_2","35 - 44","1000cp","2004Q1","1","464.6"
"r_2","35 - 44","1000cp","2004Q1","2","427.4"
"r_2","45 - 54","1000cp","2004Q1","0","881.3"
"r_2","45 - 54","1000cp","2004Q1","1","434.5"
"r_2","45 - 54","1000cp","2004Q1","2","446.8"
"r_2","55 - 64","1000cp","2004Q1","0","325.8"
"r_2","55 - 64","1000cp","2004Q1","1","194.1"
"r_2","55 - 64","1000cp","2004Q1","2","131.7"
"r_2","65+","1000cp","2004Q1","0","43.6"
"r_2","65+","1000cp","2004Q1","1","30.9"
"r_2","65+","1000cp","2004Q1","2","12.7"
"r_2","0","1000cp","2004Q2","0","3376"
"r_2","0","1000cp","2004Q2","1","1798"
"r_2","0","1000cp","2004Q2","2","1577.9"
"r_2","15 - 64","1000cp","2004Q2","0","3327.7"
"r_2","15 - 64","1000cp","2004Q2","1","1764.6"
"r_2","15 - 64","1000cp","2004Q2","2","1563.1"
"r_2","20 - 64","1000cp","2004Q2","0","3289.6"
"r_2","20 - 64","1000cp","2004Q2","1","1747"
"r_2","20 - 64","1000cp","2004Q2","2","1542.7"
"r_2","15 - 29","1000cp","2004Q2","0","695.1"
"r_2","15 - 29","1000cp","2004Q2","1","391.3"
"r_2","15 - 29","1000cp","2004Q2","2","303.9"
"r_2","15 - 24","1000cp","2004Q2","0","313"
"r_2","15 - 24","1000cp","2004Q2","1","178.6"
"r_2","15 - 24","1000cp","2004Q2","2","134.4"
"r_2","25 - 34","1000cp","2004Q2","0","821.3"
"r_2","25 - 34","1000cp","2004Q2","1","446.5"
"r_2","25 - 34","1000cp","2004Q2","2","374.8"
"r_2","35 - 44","1000cp","2004Q2","0","929.2"
"r_2","35 - 44","1000cp","2004Q2","1","473.8"
"r_2","35 - 44","1000cp","2004Q2","2","455.4"
"r_2","45 - 54","1000cp","2004Q2","0","909.4"
"r_2","45 - 54","1000cp","2004Q2","1","453.1"
"r_2","45 - 54","1000cp","2004Q2","2","456.3"
"r_2","55 - 64","1000cp","2004Q2","0","354.9"
"r_2","55 - 64","1000cp","2004Q2","1","212.6"
"r_2","55 - 64","1000cp","2004Q2","2","142.2"
"r_2","65+","1000cp","2004Q2","0","48.2"
"r_2","65+","1000cp","2004Q2","1","33.4"
"r_2","65+","1000cp","2004Q2","2","14.8"
"r_2","0","1000cp","2004Q3","0","3397.6"
"r_2","0","1000cp","2004Q3","1","1804.6"
"r_2","0","1000cp","2004Q3","2","1593"
"r_2","15 - 64","1000cp","2004Q3","0","3346.5"
"r_2","15 - 64","1000cp","2004Q3","1","1773"
"r_2","15 - 64","1000cp","2004Q3","2","1573.5"
"r_2","20 - 64","1000cp","2004Q3","0","3295.1"
"r_2","20 - 64","1000cp","2004Q3","1","1750.8"
"r_2","20 - 64","1000cp","2004Q3","2","1544.3"
"r_2","15 - 29","1000cp","2004Q3","0","677"
"r_2","15 - 29","1000cp","2004Q3","1","377.1"
"r_2","15 - 29","1000cp","2004Q3","2","300"
"r_2","15 - 24","1000cp","2004Q3","0","309.9"
"r_2","15 - 24","1000cp","2004Q3","1","170.3"
"r_2","15 - 24","1000cp","2004Q3","2","139.6"
"r_2","25 - 34","1000cp","2004Q3","0","824.4"
"r_2","25 - 34","1000cp","2004Q3","1","447"
"r_2","25 - 34","1000cp","2004Q3","2","377.4"
"r_2","35 - 44","1000cp","2004Q3","0","945.1"
"r_2","35 - 44","1000cp","2004Q3","1","479"
"r_2","35 - 44","1000cp","2004Q3","2","466.1"
"r_2","45 - 54","1000cp","2004Q3","0","899.3"
"r_2","45 - 54","1000cp","2004Q3","1","454.7"
"r_2","45 - 54","1000cp","2004Q3","2","444.6"
"r_2","55 - 64","1000cp","2004Q3","0","367.9"
"r_2","55 - 64","1000cp","2004Q3","1","222"
"r_2","55 - 64","1000cp","2004Q3","2","145.9"
"r_2","65+","1000cp","2004Q3","0","51.1"
"r_2","65+","1000cp","2004Q3","1","31.6"
"r_2","65+","1000cp","2004Q3","2","19.5"
"r_2","0","1000cp","2004Q4","0","3302.8"
"r_2","0","1000cp","2004Q4","1","1765.6"
"r_2","0","1000cp","2004Q4","2","1537.2"
"r_2","15 - 64","1000cp","2004Q4","0","3261.1"
"r_2","15 - 64","1000cp","2004Q4","1","1738"
"r_2","15 - 64","1000cp","2004Q4","2","1523.1"
"r_2","20 - 64","1000cp","2004Q4","0","3215.5"
"r_2","20 - 64","1000cp","2004Q4","1","1719"
"r_2","20 - 64","1000cp","2004Q4","2","1496.5"
"r_2","15 - 29","1000cp","2004Q4","0","672.1"
"r_2","15 - 29","1000cp","2004Q4","1","378.9"
"r_2","15 - 29","1000cp","2004Q4","2","293.2"
"r_2","15 - 24","1000cp","2004Q4","0","311"
"r_2","15 - 24","1000cp","2004Q4","1","168.5"
"r_2","15 - 24","1000cp","2004Q4","2","142.5"
"r_2","25 - 34","1000cp","2004Q4","0","799.6"
"r_2","25 - 34","1000cp","2004Q4","1","439.8"
"r_2","25 - 34","1000cp","2004Q4","2","359.9"
"r_2","35 - 44","1000cp","2004Q4","0","922.4"
"r_2","35 - 44","1000cp","2004Q4","1","478.9"
"r_2","35 - 44","1000cp","2004Q4","2","443.5"
"r_2","45 - 54","1000cp","2004Q4","0","886.7"
"r_2","45 - 54","1000cp","2004Q4","1","445"
"r_2","45 - 54","1000cp","2004Q4","2","441.7"
"r_2","55 - 64","1000cp","2004Q4","0","341.4"
"r_2","55 - 64","1000cp","2004Q4","1","205.9"
"r_2","55 - 64","1000cp","2004Q4","2","135.6"
"r_2","65+","1000cp","2004Q4","0","41.7"
"r_2","65+","1000cp","2004Q4","1","27.7"
