RevisionColumn,SILC_HHType,Units,periods,ValueColumn
"r_2","3","perc_pop_fig","2012","46"
"r_2","3","perc_pop_fig","2013","45"
"r_2","3","perc_pop_fig","2014","33.9"
"r_2","11","perc_pop_fig","2008","35.9"
"r_2","11","perc_pop_fig","2009","39.2"
"r_2","11","perc_pop_fig","2010","42.6"
"r_2","11","perc_pop_fig","2011","41.6"
"r_2","11","perc_pop_fig","2012","42.5"
"r_2","11","perc_pop_fig","2013","41.2"
"r_2","11","perc_pop_fig","2014","32.3"
"r_3","1","perc_pop_fig","2015","51.2"
"r_3","4","perc_pop_fig","2015","43.1"
"r_3","5","perc_pop_fig","2015","57"
"r_3","12","perc_pop_fig","2015","58.1"
"r_3","6","perc_pop_fig","2015","56.2"
"r_3","7","perc_pop_fig","2015","42.9"
"r_3","20","perc_pop_fig","2015","33.8"
"r_3","8","perc_pop_fig","2015","30.6"
"r_3","9","perc_pop_fig","2015","36.8"
"r_3","13","perc_pop_fig","2015","25.7"
"r_3","14","perc_pop_fig","2015","25.9"
"r_3","15","perc_pop_fig","2015","77.3"
"r_3","18","perc_pop_fig","2015","29.9"
"r_3","17","perc_pop_fig","2015","32.1"
"r_3","10","perc_pop_fig","2015","25"
"r_3","16","perc_pop_fig","2015","33.5"
"r_3","3","perc_pop_fig","2015","34.8"
"r_3","11","perc_pop_fig","2015","33.7"
"r_4","1","perc_pop_fig","2016","47.8"
"r_4","4","perc_pop_fig","2016","39.8"
"r_4","5","perc_pop_fig","2016","53.2"
"r_4","12","perc_pop_fig","2016","56.2"
"r_4","6","perc_pop_fig","2016","54.7"
"r_4","7","perc_pop_fig","2016","37.5"
"r_4","20","perc_pop_fig","2016","30.1"
"r_4","8","perc_pop_fig","2016","27.6"
"r_4","9","perc_pop_fig","2016","32.4"
"r_4","13","perc_pop_fig","2016","22.1"
"r_4","14","perc_pop_fig","2016","24.6"
"r_4","15","perc_pop_fig","2016","85.5"
"r_4","18","perc_pop_fig","2016","26.5"
"r_4","17","perc_pop_fig","2016","30.6"
"r_4","10","perc_pop_fig","2016","21.7"
"r_4","16","perc_pop_fig","2016","32.2"
"r_4","3","perc_pop_fig","2016","31.9"
"r_4","11","perc_pop_fig","2016","32.1"
"r_5","1","perc_pop_fig","2017","46.4"
"r_5","4","perc_pop_fig","2017","36.8"
"r_5","5","perc_pop_fig","2017","52.7"
"r_5","12","perc_pop_fig","2017","49"
"r_5","6","perc_pop_fig","2017","52.6"
"r_5","7","perc_pop_fig","2017","37.1"
"r_5","20","perc_pop_fig","2017","26.6"
"r_5","8","perc_pop_fig","2017","22.7"
"r_5","9","perc_pop_fig","2017","30.4"
"r_5","13","perc_pop_fig","2017","20.8"
"r_5","14","perc_pop_fig","2017","23.8"
"r_5","15","perc_pop_fig","2017","77.7"
"r_5","18","perc_pop_fig","2017","25.4"
"r_5","17","perc_pop_fig","2017","28.2"
"r_5","10","perc_pop_fig","2017","23.5"
"r_5","16","perc_pop_fig","2017","29.3"
"r_5","3","perc_pop_fig","2017","30.7"
"r_5","11","perc_pop_fig","2017","29.4"
"r_6","1","perc_pop_fig","2018","42.1"
"r_6","4","perc_pop_fig","2018","31.6"
"r_6","5","perc_pop_fig","2018","48.9"
"r_6","12","perc_pop_fig","2018","37.1"
"r_6","6","perc_pop_fig","2018","46.6"
"r_6","7","perc_pop_fig","2018","35.2"
"r_6","20","perc_pop_fig","2018","23.5"
"r_6","8","perc_pop_fig","2018","18.2"
"r_6","9","perc_pop_fig","2018","28.1"
"r_6","13","perc_pop_fig","2018","10.9"
"r_6","14","perc_pop_fig","2018","10.4"
"r_6","15","perc_pop_fig","2018","42.7"
"r_6","18","perc_pop_fig","2018","18.8"
"r_6","17","perc_pop_fig","2018","15.5"
"r_6","10","perc_pop_fig","2018","11.9"
"r_6","16","perc_pop_fig","2018","17.7"
"r_6","3","perc_pop_fig","2018","25.4"
"r_6","11","perc_pop_fig","2018","16.6"
"r_7","1","perc_pop_fig","2019","38"
"r_7","4","perc_pop_fig","2019","29"
"r_7","5","perc_pop_fig","2019","43.9"
"r_7","12","perc_pop_fig","2019","29.4"
"r_7","6","perc_pop_fig","2019","40.1"
"r_7","7","perc_pop_fig","2019","34.7"
"r_7","20","perc_pop_fig","2019","22.2"
"r_7","8","perc_pop_fig","2019","21.2"
"r_7","9","perc_pop_fig","2019","23"
"r_7","13","perc_pop_fig","2019","10"
"r_7","14","perc_pop_fig","2019","10.7"
"r_7","15","perc_pop_fig","2019","44.5"
"r_7","18","perc_pop_fig","2019","18"
"r_7","17","perc_pop_fig","2019","15.3"
"r_7","10","perc_pop_fig","2019","11.8"
"r_7","16","perc_pop_fig","2019","16.9"
"r_7","3","perc_pop_fig","2019","23.8"
"r_7","11","perc_pop_fig","2019","16.1"
