RevisionColumn,NUTS,GenderID,Units,periods,SILC_Age,ValueColumn
"r_2","BG","0","perc_pop_fig","2012","2","40.8"
"r_2","BG","0","perc_pop_fig","2013","2","39.9"
"r_2","BG","0","perc_pop_fig","2014","2","29.5"
"r_2","BG","1","perc_pop_fig","2008","2","34.7"
"r_2","BG","1","perc_pop_fig","2009","2","35.6"
"r_2","BG","1","perc_pop_fig","2010","2","41.5"
"r_2","BG","1","perc_pop_fig","2011","2","40"
"r_2","BG","1","perc_pop_fig","2012","2","40.1"
"r_2","BG","1","perc_pop_fig","2013","2","40.1"
"r_2","BG","1","perc_pop_fig","2014","2","29.3"
"r_2","BG","2","perc_pop_fig","2008","2","37.7"
"r_2","BG","2","perc_pop_fig","2009","2","38.5"
"r_2","BG","2","perc_pop_fig","2010","2","42.9"
"r_2","BG","2","perc_pop_fig","2011","2","40.6"
"r_2","BG","2","perc_pop_fig","2012","2","41.5"
"r_2","BG","2","perc_pop_fig","2013","2","39.7"
"r_2","BG","2","perc_pop_fig","2014","2","29.7"
"r_2","BG","0","perc_pop_fig","2008","3","61"
"r_2","BG","0","perc_pop_fig","2009","3","58.4"
"r_2","BG","0","perc_pop_fig","2010","3","58.1"
"r_2","BG","0","perc_pop_fig","2011","3","53.7"
"r_2","BG","0","perc_pop_fig","2012","3","53.2"
"r_2","BG","0","perc_pop_fig","2013","3","50.7"
"r_2","BG","0","perc_pop_fig","2014","3","40.3"
"r_2","BG","1","perc_pop_fig","2008","3","59.5"
"r_2","BG","1","perc_pop_fig","2009","3","54.3"
"r_2","BG","1","perc_pop_fig","2010","3","53.8"
"r_2","BG","1","perc_pop_fig","2011","3","49.6"
"r_2","BG","1","perc_pop_fig","2012","3","49.2"
"r_2","BG","1","perc_pop_fig","2013","3","45.1"
"r_2","BG","1","perc_pop_fig","2014","3","35.9"
"r_2","BG","2","perc_pop_fig","2008","3","62"
"r_2","BG","2","perc_pop_fig","2009","3","61.2"
"r_2","BG","2","perc_pop_fig","2010","3","61.1"
"r_2","BG","2","perc_pop_fig","2011","3","56.5"
"r_2","BG","2","perc_pop_fig","2012","3","55.9"
"r_2","BG","2","perc_pop_fig","2013","3","54.5"
"r_2","BG","2","perc_pop_fig","2014","3","43.3"
"r_2","BG31","0","perc_pop_fig","2008","0","46.2"
"r_2","BG31","0","perc_pop_fig","2009","0","43.6"
"r_2","BG31","0","perc_pop_fig","2010","0","46.3"
"r_2","BG31","0","perc_pop_fig","2011","0","45.4"
"r_2","BG31","0","perc_pop_fig","2012","0","44.4"
"r_2","BG31","0","perc_pop_fig","2013","0","45"
"r_2","BG31","0","perc_pop_fig","2014","0","36"
"r_2","BG31","1","perc_pop_fig","2008","0","44.4"
"r_2","BG31","1","perc_pop_fig","2009","0","43.3"
"r_2","BG31","1","perc_pop_fig","2010","0","45.5"
"r_2","BG31","1","perc_pop_fig","2011","0","45.2"
"r_2","BG31","1","perc_pop_fig","2012","0","42.7"
"r_2","BG31","1","perc_pop_fig","2013","0","43"
"r_2","BG31","1","perc_pop_fig","2014","0","35"
"r_2","BG31","2","perc_pop_fig","2008","0","48"
"r_2","BG31","2","perc_pop_fig","2009","0","43.9"
"r_2","BG31","2","perc_pop_fig","2010","0","47"
"r_2","BG31","2","perc_pop_fig","2011","0","45.6"
"r_2","BG31","2","perc_pop_fig","2012","0","46"
"r_2","BG31","2","perc_pop_fig","2013","0","47"
"r_2","BG31","2","perc_pop_fig","2014","0","36.9"
"r_2","BG311","0","perc_pop_fig","2008","0","44"
"r_2","BG311","0","perc_pop_fig","2009","0","45.2"
"r_2","BG311","0","perc_pop_fig","2010","0","44.3"
"r_2","BG311","0","perc_pop_fig","2011","0","52.1"
"r_2","BG311","0","perc_pop_fig","2012","0","56.4"
"r_2","BG311","0","perc_pop_fig","2013","0","51.9"
"r_2","BG311","0","perc_pop_fig","2014","0","38.4"
"r_2","BG311","1","perc_pop_fig","2008","0","45.2"
"r_2","BG311","1","perc_pop_fig","2009","0","47.1"
"r_2","BG311","1","perc_pop_fig","2010","0","39.5"
"r_2","BG311","1","perc_pop_fig","2011","0","50.6"
"r_2","BG311","1","perc_pop_fig","2012","0","52.8"
"r_2","BG311","1","perc_pop_fig","2013","0","46.7"
"r_2","BG311","1","perc_pop_fig","2014","0","38.7"
"r_2","BG311","2","perc_pop_fig","2008","0","43"
"r_2","BG311","2","perc_pop_fig","2009","0","43.5"
"r_2","BG311","2","perc_pop_fig","2010","0","48.6"
"r_2","BG311","2","perc_pop_fig","2011","0","53.5"
"r_2","BG311","2","perc_pop_fig","2012","0","59.5"
"r_2","BG311","2","perc_pop_fig","2013","0","56.5"
"r_2","BG311","2","perc_pop_fig","2014","0","38.1"
"r_2","BG313","0","perc_pop_fig","2008","0","43.9"
"r_2","BG313","0","perc_pop_fig","2009","0","42.6"
"r_2","BG313","0","perc_pop_fig","2010","0","43.3"
"r_2","BG313","0","perc_pop_fig","2011","0","37"
"r_2","BG313","0","perc_pop_fig","2012","0","39.1"
"r_2","BG313","0","perc_pop_fig","2013","0","44.8"
"r_2","BG313","0","perc_pop_fig","2014","0","42.7"
"r_2","BG313","1","perc_pop_fig","2008","0","38.6"
"r_2","BG313","1","perc_pop_fig","2009","0","39.1"
"r_2","BG313","1","perc_pop_fig","2010","0","41"
"r_2","BG313","1","perc_pop_fig","2011","0","31.7"
"r_2","BG313","1","perc_pop_fig","2012","0","36.4"
"r_2","BG313","1","perc_pop_fig","2013","0","44"
"r_2","BG313","1","perc_pop_fig","2014","0","41.7"
"r_2","BG313","2","perc_pop_fig","2008","0","48.3"
"r_2","BG313","2","perc_pop_fig","2009","0","45.6"
"r_2","BG313","2","perc_pop_fig","2010","0","45.3"
"r_2","BG313","2","perc_pop_fig","2011","0","41.6"
"r_2","BG313","2","perc_pop_fig","2012","0","41.6"
"r_2","BG313","2","perc_pop_fig","2013","0","45.6"
"r_2","BG313","2","perc_pop_fig","2014","0","43.6"
"r_2","BG315","0","perc_pop_fig","2008","0","39.5"
"r_2","BG315","0","perc_pop_fig","2009","0","40.3"
"r_2","BG315","0","perc_pop_fig","2010","0","65.4"
"r_2","BG315","0","perc_pop_fig","2011","0","72.2"
"r_2","BG315","0","perc_pop_fig","2012","0","62.5"
"r_2","BG315","0","perc_pop_fig","2013","0","70.7"
"r_2","BG315","0","perc_pop_fig","2014","0","55.3"
"r_2","BG315","1","perc_pop_fig","2008","0","36.8"
"r_2","BG315","1","perc_pop_fig","2009","0","40.4"
"r_2","BG315","1","perc_pop_fig","2010","0","68.4"
"r_2","BG315","1","perc_pop_fig","2011","0","77.1"
"r_2","BG315","1","perc_pop_fig","2012","0","65"
"r_2","BG315","1","perc_pop_fig","2013","0","69.7"
"r_2","BG315","1","perc_pop_fig","2014","0","54.3"
"r_2","BG315","2","perc_pop_fig","2008","0","42.2"
"r_2","BG315","2","perc_pop_fig","2009","0","40.3"
"r_2","BG315","2","perc_pop_fig","2010","0","62.8"
"r_2","BG315","2","perc_pop_fig","2011","0","67.7"
"r_2","BG315","2","perc_pop_fig","2012","0","60.3"
"r_2","BG315","2","perc_pop_fig","2013","0","71.6"
"r_2","BG315","2","perc_pop_fig","2014","0","56.2"
"r_2","BG312","0","perc_pop_fig","2008","0","19.3"
"r_2","BG312","0","perc_pop_fig","2009","0","35"
"r_2","BG312","0","perc_pop_fig","2010","0","36.2"
"r_2","BG312","0","perc_pop_fig","2011","0","28.5"
"r_2","BG312","0","perc_pop_fig","2012","0","23.3"
"r_2","BG312","0","perc_pop_fig","2013","0","23.8"
"r_2","BG312","0","perc_pop_fig","2014","0","19.8"
