RevisionColumn,Labour_SES_nkpd1996,Units,periods,GenderID,ValueColumn
"r_1","3","1000cp","2004Q2","2","188.5"
"r_1","3","1000cp","2004Q3","0","328.2"
"r_1","3","1000cp","2004Q3","1","147.8"
"r_1","3","1000cp","2004Q3","2","180.4"
"r_1","3","1000cp","2004Q4","0","339.9"
"r_1","3","1000cp","2004Q4","1","141.3"
"r_1","3","1000cp","2004Q4","2","198.7"
"r_1","3","1000cp","2005Q1","0","345.4"
"r_1","3","1000cp","2005Q1","1","147.3"
"r_1","3","1000cp","2005Q1","2","198.1"
"r_1","3","1000cp","2005Q2","0","343.2"
"r_1","3","1000cp","2005Q2","1","155.3"
"r_1","3","1000cp","2005Q2","2","187.9"
"r_1","3","1000cp","2005Q3","0","339.1"
"r_1","3","1000cp","2005Q3","1","153.9"
"r_1","3","1000cp","2005Q3","2","185.2"
"r_1","3","1000cp","2005Q4","0","339"
"r_1","3","1000cp","2005Q4","1","153"
"r_1","3","1000cp","2005Q4","2","186"
"r_1","4","1000cp","2003Q1","0","187.1"
"r_1","4","1000cp","2003Q1","1","52.3"
"r_1","4","1000cp","2003Q1","2","134.9"
"r_1","4","1000cp","2003Q2","0","191.9"
"r_1","4","1000cp","2003Q2","1","52.6"
"r_1","4","1000cp","2003Q2","2","139.3"
"r_1","4","1000cp","2003Q3","0","194.3"
"r_1","4","1000cp","2003Q3","1","51.8"
"r_1","4","1000cp","2003Q3","2","142.5"
"r_1","4","1000cp","2003Q4","0","192.3"
"r_1","4","1000cp","2003Q4","1","59.8"
"r_1","4","1000cp","2003Q4","2","132.5"
"r_1","4","1000cp","2004Q1","0","185.8"
"r_1","4","1000cp","2004Q1","1","52.2"
"r_1","4","1000cp","2004Q1","2","133.6"
"r_1","4","1000cp","2004Q2","0","188.4"
"r_1","4","1000cp","2004Q2","1","48.9"
"r_1","4","1000cp","2004Q2","2","139.5"
"r_1","4","1000cp","2004Q3","0","192.4"
"r_1","4","1000cp","2004Q3","1","54.6"
"r_1","4","1000cp","2004Q3","2","137.8"
"r_1","4","1000cp","2004Q4","0","182"
"r_1","4","1000cp","2004Q4","1","54.9"
"r_1","4","1000cp","2004Q4","2","127.1"
"r_1","4","1000cp","2005Q1","0","182.4"
"r_1","4","1000cp","2005Q1","1","53.6"
"r_1","4","1000cp","2005Q1","2","128.8"
"r_1","4","1000cp","2005Q2","0","190.7"
"r_1","4","1000cp","2005Q2","1","57.4"
"r_1","4","1000cp","2005Q2","2","133.2"
"r_1","4","1000cp","2005Q3","0","203.2"
"r_1","4","1000cp","2005Q3","1","60.1"
"r_1","4","1000cp","2005Q3","2","143.1"
"r_1","4","1000cp","2005Q4","0","192.3"
"r_1","4","1000cp","2005Q4","1","53.2"
"r_1","4","1000cp","2005Q4","2","139.1"
"r_1","5","1000cp","2003Q1","0","365.9"
"r_1","5","1000cp","2003Q1","1","131.3"
"r_1","5","1000cp","2003Q1","2","234.6"
"r_1","5","1000cp","2003Q2","0","398"
"r_1","5","1000cp","2003Q2","1","142.2"
"r_1","5","1000cp","2003Q2","2","255.7"
"r_1","5","1000cp","2003Q3","0","404.3"
"r_1","5","1000cp","2003Q3","1","138.4"
"r_1","5","1000cp","2003Q3","2","265.9"
"r_1","5","1000cp","2003Q4","0","390.2"
"r_1","5","1000cp","2003Q4","1","134.3"
"r_1","5","1000cp","2003Q4","2","255.9"
"r_1","5","1000cp","2004Q1","0","397"
"r_1","5","1000cp","2004Q1","1","138.8"
"r_1","5","1000cp","2004Q1","2","258.2"
"r_1","5","1000cp","2004Q2","0","423.3"
"r_1","5","1000cp","2004Q2","1","149.3"
"r_1","5","1000cp","2004Q2","2","273.9"
