RevisionColumn,Age10_LFS,NUTS,GenderID,periods,Units,ValueColumn
"r_2","0","BG32","2","2003Q3","perc","41.9"
"r_2","0","BG33","0","2003Q3","perc","54.4"
"r_2","0","BG33","1","2003Q3","perc","60.8"
"r_2","0","BG33","2","2003Q3","perc","48.4"
"r_2","0","BG34","0","2003Q3","perc","50.5"
"r_2","0","BG34","1","2003Q3","perc","56.1"
"r_2","0","BG34","2","2003Q3","perc","45.3"
"r_2","0","BG41","0","2003Q3","perc","53.6"
"r_2","0","BG41","1","2003Q3","perc","58.4"
"r_2","0","BG41","2","2003Q3","perc","49.3"
"r_2","0","BG42","0","2003Q3","perc","49.6"
"r_2","0","BG42","1","2003Q3","perc","55"
"r_2","0","BG42","2","2003Q3","perc","44.7"
"r_2","15 - 64_gr","BG","0","2003Q3","perc","62.2"
"r_2","15 - 64_gr","BG","1","2003Q3","perc","66.7"
"r_2","15 - 64_gr","BG","2","2003Q3","perc","57.8"
"r_2","15 - 64_gr","BG31","0","2003Q3","perc","56.8"
"r_2","15 - 64_gr","BG31","1","2003Q3","perc","61.8"
"r_2","15 - 64_gr","BG31","2","2003Q3","perc","51.9"
"r_2","15 - 64_gr","BG32","0","2003Q3","perc","58.3"
"r_2","15 - 64_gr","BG32","1","2003Q3","perc","62.4"
"r_2","15 - 64_gr","BG32","2","2003Q3","perc","54.2"
"r_2","15 - 64_gr","BG33","0","2003Q3","perc","65.2"
"r_2","15 - 64_gr","BG33","1","2003Q3","perc","70.6"
"r_2","15 - 64_gr","BG33","2","2003Q3","perc","59.9"
"r_2","15 - 64_gr","BG34","0","2003Q3","perc","62.9"
"r_2","15 - 64_gr","BG34","1","2003Q3","perc","67.6"
"r_2","15 - 64_gr","BG34","2","2003Q3","perc","58.3"
"r_2","15 - 64_gr","BG41","0","2003Q3","perc","65.2"
"r_2","15 - 64_gr","BG41","1","2003Q3","perc","69.1"
"r_2","15 - 64_gr","BG41","2","2003Q3","perc","61.5"
"r_2","15 - 64_gr","BG42","0","2003Q3","perc","61.3"
"r_2","15 - 64_gr","BG42","1","2003Q3","perc","65.7"
"r_2","15 - 64_gr","BG42","2","2003Q3","perc","56.9"
"r_2","0","BG","0","2003Q4","perc","48.5"
"r_2","0","BG","1","2003Q4","perc","53.7"
"r_2","0","BG","2","2003Q4","perc","43.6"
"r_2","0","BG31","0","2003Q4","perc","42"
"r_2","0","BG31","1","2003Q4","perc","46.8"
"r_2","0","BG31","2","2003Q4","perc","37.5"
"r_2","0","BG32","0","2003Q4","perc","47.6"
"r_2","0","BG32","1","2003Q4","perc","53"
