RevisionColumn,SILC_HHType,Units,periods,ValueColumn
"r_2","16","perc_pop_fig","2012","48.1"
"r_2","16","perc_pop_fig","2013","44.7"
"r_2","16","perc_pop_fig","2014","36.5"
"r_2","3","perc_pop_fig","2008","52"
"r_2","3","perc_pop_fig","2009","50.3"
"r_2","3","perc_pop_fig","2010","53.7"
"r_2","3","perc_pop_fig","2011","51.1"
"r_2","3","perc_pop_fig","2012","50.9"
"r_2","3","perc_pop_fig","2013","50.2"
"r_2","3","perc_pop_fig","2014","40.3"
"r_2","11","perc_pop_fig","2008","39.1"
"r_2","11","perc_pop_fig","2009","42.9"
"r_2","11","perc_pop_fig","2010","45.7"
"r_2","11","perc_pop_fig","2011","47.7"
"r_2","11","perc_pop_fig","2012","47.9"
"r_2","11","perc_pop_fig","2013","46"
"r_2","11","perc_pop_fig","2014","39.8"
"r_3","0","perc_pop_fig","2015","41.3"
"r_3","1","perc_pop_fig","2015","65.5"
"r_3","4","perc_pop_fig","2015","53.2"
"r_3","5","perc_pop_fig","2015","74.3"
"r_3","12","perc_pop_fig","2015","70.6"
"r_3","6","perc_pop_fig","2015","72.4"
"r_3","7","perc_pop_fig","2015","54.1"
"r_3","20","perc_pop_fig","2015","41.2"
"r_3","8","perc_pop_fig","2015","36.3"
"r_3","9","perc_pop_fig","2015","45.9"
"r_3","13","perc_pop_fig","2015","30.4"
"r_3","14","perc_pop_fig","2015","29.9"
"r_3","15","perc_pop_fig","2015","86"
"r_3","18","perc_pop_fig","2015","36"
"r_3","17","perc_pop_fig","2015","37.9"
"r_3","10","perc_pop_fig","2015","29.7"
"r_3","16","perc_pop_fig","2015","41"
"r_3","3","perc_pop_fig","2015","42.9"
"r_3","11","perc_pop_fig","2015","39.9"
"r_4","0","perc_pop_fig","2016","40.4"
"r_4","1","perc_pop_fig","2016","62"
"r_4","4","perc_pop_fig","2016","53.1"
"r_4","5","perc_pop_fig","2016","68"
"r_4","12","perc_pop_fig","2016","71.4"
"r_4","6","perc_pop_fig","2016","69.2"
"r_4","7","perc_pop_fig","2016","51.4"
"r_4","20","perc_pop_fig","2016","37"
"r_4","8","perc_pop_fig","2016","35.9"
"r_4","9","perc_pop_fig","2016","37.9"
"r_4","13","perc_pop_fig","2016","28.5"
"r_4","14","perc_pop_fig","2016","34.5"
"r_4","15","perc_pop_fig","2016","89.1"
"r_4","18","perc_pop_fig","2016","32.6"
"r_4","17","perc_pop_fig","2016","38.9"
"r_4","10","perc_pop_fig","2016","26.8"
"r_4","16","perc_pop_fig","2016","41.4"
"r_4","3","perc_pop_fig","2016","40"
"r_4","11","perc_pop_fig","2016","40.9"
"r_5","0","perc_pop_fig","2017","38.9"
"r_5","1","perc_pop_fig","2017","62.5"
"r_5","4","perc_pop_fig","2017","47.9"
"r_5","5","perc_pop_fig","2017","72.2"
"r_5","12","perc_pop_fig","2017","63.4"
"r_5","6","perc_pop_fig","2017","70.7"
"r_5","7","perc_pop_fig","2017","50.1"
"r_5","20","perc_pop_fig","2017","35.5"
"r_5","8","perc_pop_fig","2017","30.4"
"r_5","9","perc_pop_fig","2017","40.4"
"r_5","13","perc_pop_fig","2017","26.2"
"r_5","14","perc_pop_fig","2017","31.2"
"r_5","15","perc_pop_fig","2017","82.5"
"r_5","18","perc_pop_fig","2017","32.7"
"r_5","17","perc_pop_fig","2017","36"
"r_5","10","perc_pop_fig","2017","28.7"
"r_5","16","perc_pop_fig","2017","39.3"
"r_5","3","perc_pop_fig","2017","40.3"
"r_5","11","perc_pop_fig","2017","37.5"
"r_6","0","perc_pop_fig","2018","32.8"
"r_6","1","perc_pop_fig","2018","58.4"
"r_6","4","perc_pop_fig","2018","44.6"
"r_6","5","perc_pop_fig","2018","67.4"
"r_6","12","perc_pop_fig","2018","50.7"
"r_6","6","perc_pop_fig","2018","65.2"
"r_6","7","perc_pop_fig","2018","48.1"
"r_6","20","perc_pop_fig","2018","31.7"
"r_6","8","perc_pop_fig","2018","25.7"
"r_6","9","perc_pop_fig","2018","37.1"
"r_6","13","perc_pop_fig","2018","19.5"
"r_6","14","perc_pop_fig","2018","23.9"
"r_6","15","perc_pop_fig","2018","63.1"
"r_6","18","perc_pop_fig","2018","26"
"r_6","17","perc_pop_fig","2018","29.4"
"r_6","10","perc_pop_fig","2018","17.6"
"r_6","16","perc_pop_fig","2018","34"
"r_6","3","perc_pop_fig","2018","35.2"
"r_6","11","perc_pop_fig","2018","30.5"
"r_7","0","perc_pop_fig","2019","32.5"
"r_7","1","perc_pop_fig","2019","59"
"r_7","4","perc_pop_fig","2019","42.2"
"r_7","5","perc_pop_fig","2019","70.1"
"r_7","12","perc_pop_fig","2019","51.6"
"r_7","6","perc_pop_fig","2019","64.1"
"r_7","7","perc_pop_fig","2019","51.2"
"r_7","20","perc_pop_fig","2019","33.5"
"r_7","8","perc_pop_fig","2019","28.9"
"r_7","9","perc_pop_fig","2019","37.6"
"r_7","13","perc_pop_fig","2019","16.3"
"r_7","14","perc_pop_fig","2019","23.3"
"r_7","15","perc_pop_fig","2019","67.3"
"r_7","18","perc_pop_fig","2019","27.3"
"r_7","17","perc_pop_fig","2019","27.3"
"r_7","10","perc_pop_fig","2019","18"
"r_7","16","perc_pop_fig","2019","29.8"
"r_7","3","perc_pop_fig","2019","36.5"
"r_7","11","perc_pop_fig","2019","28.7"
"r_8","0","perc_pop_fig","2020","32"
"r_8","1","perc_pop_fig","2020","57.9"
"r_8","4","perc_pop_fig","2020","36.8"
"r_8","5","perc_pop_fig","2020","72"
"r_8","12","perc_pop_fig","2020","48.6"
"r_8","6","perc_pop_fig","2020","63.8"
"r_8","7","perc_pop_fig","2020","49.1"
"r_8","20","perc_pop_fig","2020","30"
"r_8","8","perc_pop_fig","2020","21.6"
"r_8","9","perc_pop_fig","2020","37.2"
"r_8","13","perc_pop_fig","2020","16.9"
"r_8","14","perc_pop_fig","2020","23.7"
"r_8","15","perc_pop_fig","2020","66.8"
"r_8","18","perc_pop_fig","2020","24.9"
"r_8","17","perc_pop_fig","2020","28.2"
"r_8","10","perc_pop_fig","2020","17.3"
"r_8","16","perc_pop_fig","2020","31.8"
"r_8","3","perc_pop_fig","2020","34.8"
"r_8","11","perc_pop_fig","2020","29.4"
