RevisionColumn,periods,NUTS,Units,Ages_COD,GenderID,COD_ICD10ch,ValueColumn
"r_1","2015","BG","num","18","0","1","43"
"r_1","2015","BG","num","18","1","1","19"
"r_1","2015","BG","num","18","2","1","24"
"r_1","2015","BG","num","19","0","1","18"
"r_1","2015","BG","num","19","1","1","5"
"r_1","2015","BG","num","19","2","1","13"
"r_1","2015","BG","num","20","0","1","10"
"r_1","2015","BG","num","20","1","1","5"
"r_1","2015","BG","num","20","2","1","5"
"r_1","2015","BG","num","21","0","1","1"
"r_1","2015","BG","num","21","1","1","-"
"r_1","2015","BG","num","21","2","1","1"
"r_1","2015","BG","num","22","0","1","-"
"r_1","2015","BG","num","22","1","1","-"
"r_1","2015","BG","num","22","2","1","-"
"r_1","2015","BG","num","0","0","2","18020"
"r_1","2015","BG","num","0","1","2","10456"
"r_1","2015","BG","num","0","2","2","7564"
"r_1","2015","BG","num","1","0","2","1"
"r_1","2015","BG","num","1","1","2","-"
"r_1","2015","BG","num","1","2","2","1"
"r_1","2015","BG","num","2","0","2","7"
"r_1","2015","BG","num","2","1","2","4"
"r_1","2015","BG","num","2","2","2","3"
"r_1","2015","BG","num","3","0","2","15"
"r_1","2015","BG","num","3","1","2","13"
"r_1","2015","BG","num","3","2","2","2"
"r_1","2015","BG","num","4","0","2","9"
"r_1","2015","BG","num","4","1","2","6"
"r_1","2015","BG","num","4","2","2","3"
"r_1","2015","BG","num","5","0","2","15"
"r_1","2015","BG","num","5","1","2","10"
"r_1","2015","BG","num","5","2","2","5"
"r_1","2015","BG","num","6","0","2","22"
"r_1","2015","BG","num","6","1","2","11"
"r_1","2015","BG","num","6","2","2","11"
"r_1","2015","BG","num","7","0","2","40"
"r_1","2015","BG","num","7","1","2","22"
"r_1","2015","BG","num","7","2","2","18"
"r_1","2015","BG","num","8","0","2","93"
"r_1","2015","BG","num","8","1","2","44"
"r_1","2015","BG","num","8","2","2","49"
"r_1","2015","BG","num","9","0","2","153"
"r_1","2015","BG","num","9","1","2","70"
"r_1","2015","BG","num","9","2","2","83"
"r_1","2015","BG","num","10","0","2","338"
"r_1","2015","BG","num","10","1","2","155"
"r_1","2015","BG","num","10","2","2","183"
"r_1","2015","BG","num","11","0","2","562"
"r_1","2015","BG","num","11","1","2","311"
"r_1","2015","BG","num","11","2","2","251"
"r_1","2015","BG","num","12","0","2","1020"
"r_1","2015","BG","num","12","1","2","606"
"r_1","2015","BG","num","12","2","2","414"
"r_1","2015","BG","num","13","0","2","1687"
"r_1","2015","BG","num","13","1","2","1010"
"r_1","2015","BG","num","13","2","2","677"
"r_1","2015","BG","num","14","0","2","2407"
"r_1","2015","BG","num","14","1","2","1543"
"r_1","2015","BG","num","14","2","2","864"
"r_1","2015","BG","num","15","0","2","3009"
"r_1","2015","BG","num","15","1","2","1891"
"r_1","2015","BG","num","15","2","2","1118"
"r_1","2015","BG","num","16","0","2","2599"
"r_1","2015","BG","num","16","1","2","1550"
"r_1","2015","BG","num","16","2","2","1049"
"r_1","2015","BG","num","17","0","2","2477"
"r_1","2015","BG","num","17","1","2","1413"
"r_1","2015","BG","num","17","2","2","1064"
"r_1","2015","BG","num","18","0","2","2134"
"r_1","2015","BG","num","18","1","2","1093"
"r_1","2015","BG","num","18","2","2","1041"
"r_1","2015","BG","num","19","0","2","1113"
"r_1","2015","BG","num","19","1","2","563"
"r_1","2015","BG","num","19","2","2","550"
"r_1","2015","BG","num","20","0","2","282"
"r_1","2015","BG","num","20","1","2","126"
"r_1","2015","BG","num","20","2","2","156"
"r_1","2015","BG","num","21","0","2","37"
"r_1","2015","BG","num","21","1","2","15"
"r_1","2015","BG","num","21","2","2","22"
