RevisionColumn,periods,Units,Indicators,ValueColumn
"r_1","2009","1000BGN","3.1.2.4.1.1.1.5","11255"
"r_1","2010","1000BGN","3.1.2.4.1.1.1.5","8411"
"r_1","2011","1000BGN","3.1.2.4.1.1.1.5","7272"
"r_1","2012","1000BGN","3.1.2.4.1.1.1.5","15384"
"r_1","2013","1000BGN","3.1.2.4.1.1.1.5","14075"
"r_1","2014","1000BGN","3.1.2.4.1.1.1.5","18167"
"r_1","2015","1000BGN","3.1.2.4.1.1.1.5","19880"
"r_1","2016","1000BGN","3.1.2.4.1.1.1.5","24904"
"r_1","2017","1000BGN","3.1.2.4.1.1.1.5","20369"
"r_1","2018","1000BGN","3.1.2.4.1.1.1.5",".."
"r_1","2019","1000BGN","3.1.2.4.1.1.1.5","28351"
"r_1","2020","1000BGN","3.1.2.4.1.1.1.5","22156"
"r_1","2005","1000BGN","3.1.2.4.1.1.4","29726"
"r_1","2006","1000BGN","3.1.2.4.1.1.4","32379"
"r_1","2007","1000BGN","3.1.2.4.1.1.4","49284"
"r_1","2008","1000BGN","3.1.2.4.1.1.4","77319"
"r_1","2009","1000BGN","3.1.2.4.1.1.4","60509"
"r_1","2010","1000BGN","3.1.2.4.1.1.4","64425"
"r_1","2011","1000BGN","3.1.2.4.1.1.4","73492"
"r_1","2012","1000BGN","3.1.2.4.1.1.4","78450"
"r_1","2013","1000BGN","3.1.2.4.1.1.4","89497"
"r_1","2014","1000BGN","3.1.2.4.1.1.4","103367"
"r_1","2015","1000BGN","3.1.2.4.1.1.4","116094"
"r_1","2016","1000BGN","3.1.2.4.1.1.4","119025"
"r_1","2017","1000BGN","3.1.2.4.1.1.4","118176"
"r_1","2018","1000BGN","3.1.2.4.1.1.4","118760"
"r_1","2019","1000BGN","3.1.2.4.1.1.4","139147"
"r_1","2020","1000BGN","3.1.2.4.1.1.4","155111"
"r_1","2005","1000BGN","3.1.2.4.1.1.5","4887"
"r_1","2006","1000BGN","3.1.2.4.1.1.5","12855"
"r_1","2007","1000BGN","3.1.2.4.1.1.5","35240"
"r_1","2008","1000BGN","3.1.2.4.1.1.5","15871"
"r_1","2009","1000BGN","3.1.2.4.1.1.5","21041"
"r_1","2010","1000BGN","3.1.2.4.1.1.5","22802"
"r_1","2011","1000BGN","3.1.2.4.1.1.5","25460"
"r_1","2012","1000BGN","3.1.2.4.1.1.5","35866"
"r_1","2013","1000BGN","3.1.2.4.1.1.5","42149"
"r_1","2014","1000BGN","3.1.2.4.1.1.5","46650"
"r_1","2015","1000BGN","3.1.2.4.1.1.5","53911"
"r_1","2016","1000BGN","3.1.2.4.1.1.5","65255"
"r_1","2017","1000BGN","3.1.2.4.1.1.5","68094"
"r_1","2018","1000BGN","3.1.2.4.1.1.5","66089"
"r_1","2019","1000BGN","3.1.2.4.1.1.5","60235"
"r_1","2020","1000BGN","3.1.2.4.1.1.5","62505"
"r_1","2005","1000BGN","3.1.2.4.1.1.6","547"
"r_1","2006","1000BGN","3.1.2.4.1.1.6","1368"
"r_1","2007","1000BGN","3.1.2.4.1.1.6","1632"
"r_1","2008","1000BGN","3.1.2.4.1.1.6","1572"
"r_1","2009","1000BGN","3.1.2.4.1.1.6","2009"
"r_1","2010","1000BGN","3.1.2.4.1.1.6","2223"
"r_1","2011","1000BGN","3.1.2.4.1.1.6","2752"
"r_1","2012","1000BGN","3.1.2.4.1.1.6","3499"
"r_1","2013","1000BGN","3.1.2.4.1.1.6","3715"
