RevisionColumn,EKATTE,Units,periods,Residence,GenderID,ValueColumn
"r_1","BG","num","2013","2","2","984399"
"r_1","BG","num","2014","0","0","7202198"
"r_1","BG","num","2014","0","1","3502015"
"r_1","BG","num","2014","0","2","3700183"
"r_1","BG","num","2014","1","0","5267480"
"r_1","BG","num","2014","1","1","2541532"
"r_1","BG","num","2014","1","2","2725948"
"r_1","BG","num","2014","2","0","1934718"
"r_1","BG","num","2014","2","1","960483"
"r_1","BG","num","2014","2","2","974235"
"r_1","BLG","num","2000","0","0","343918"
"r_1","BLG","num","2000","0","1","170087"
"r_1","BLG","num","2000","0","2","173831"
"r_1","BLG","num","2000","1","0","193991"
"r_1","BLG","num","2000","1","1","94987"
"r_1","BLG","num","2000","1","2","99004"
"r_1","BLG","num","2000","2","0","149927"
"r_1","BLG","num","2000","2","1","75100"
"r_1","BLG","num","2000","2","2","74827"
"r_1","BLG","num","2001","0","0","339790"
"r_1","BLG","num","2001","0","1","167696"
"r_1","BLG","num","2001","0","2","172094"
"r_1","BLG","num","2001","1","0","193310"
"r_1","BLG","num","2001","1","1","94486"
"r_1","BLG","num","2001","1","2","98824"
"r_1","BLG","num","2001","2","0","146480"
"r_1","BLG","num","2001","2","1","73210"
"r_1","BLG","num","2001","2","2","73270"
"r_1","BLG","num","2002","0","0","336988"
"r_1","BLG","num","2002","0","1","166178"
"r_1","BLG","num","2002","0","2","170810"
"r_1","BLG","num","2002","1","0","192537"
"r_1","BLG","num","2002","1","1","93983"
"r_1","BLG","num","2002","1","2","98554"
"r_1","BLG","num","2002","2","0","144451"
"r_1","BLG","num","2002","2","1","72195"
"r_1","BLG","num","2002","2","2","72256"
"r_1","BLG","num","2003","0","0","335638"
"r_1","BLG","num","2003","0","1","165197"
"r_1","BLG","num","2003","0","2","170441"
"r_1","BLG","num","2003","1","0","192065"
"r_1","BLG","num","2003","1","1","93529"
"r_1","BLG","num","2003","1","2","98536"
"r_1","BLG","num","2003","2","0","143573"
"r_1","BLG","num","2003","2","1","71668"
"r_1","BLG","num","2003","2","2","71905"
"r_1","BLG","num","2004","0","0","334907"
"r_1","BLG","num","2004","0","1","164708"
"r_1","BLG","num","2004","0","2","170199"
"r_1","BLG","num","2004","1","0","192297"
"r_1","BLG","num","2004","1","1","93475"
"r_1","BLG","num","2004","1","2","98822"
"r_1","BLG","num","2004","2","0","142610"
"r_1","BLG","num","2004","2","1","71233"
"r_1","BLG","num","2004","2","2","71377"
"r_1","BLG","num","2005","0","0","333577"
"r_1","BLG","num","2005","0","1","163742"
"r_1","BLG","num","2005","0","2","169835"
"r_1","BLG","num","2005","1","0","192040"
"r_1","BLG","num","2005","1","1","93125"
"r_1","BLG","num","2005","1","2","98915"
"r_1","BLG","num","2005","2","0","141537"
"r_1","BLG","num","2005","2","1","70617"
"r_1","BLG","num","2005","2","2","70920"
"r_1","BLG","num","2006","0","0","330034"
"r_1","BLG","num","2006","0","1","161657"
"r_1","BLG","num","2006","0","2","168377"
"r_1","BLG","num","2006","1","0","192836"
"r_1","BLG","num","2006","1","1","93328"
"r_1","BLG","num","2006","1","2","99508"
"r_1","BLG","num","2006","2","0","137198"
"r_1","BLG","num","2006","2","1","68329"
"r_1","BLG","num","2006","2","2","68869"
"r_1","BLG","num","2007","0","0","329309"
"r_1","BLG","num","2007","0","1","161124"
"r_1","BLG","num","2007","0","2","168185"
"r_1","BLG","num","2007","1","0","192818"
"r_1","BLG","num","2007","1","1","93208"
"r_1","BLG","num","2007","1","2","99610"
"r_1","BLG","num","2007","2","0","136491"
"r_1","BLG","num","2007","2","1","67916"
"r_1","BLG","num","2007","2","2","68575"
"r_1","BLG","num","2008","0","0","328783"
"r_1","BLG","num","2008","0","1","160746"
"r_1","BLG","num","2008","0","2","168037"
"r_1","BLG","num","2008","1","0","193223"
"r_1","BLG","num","2008","1","1","93323"
"r_1","BLG","num","2008","1","2","99900"
"r_1","BLG","num","2008","2","0","135560"
"r_1","BLG","num","2008","2","1","67423"
"r_1","BLG","num","2008","2","2","68137"
"r_1","BLG","num","2009","0","0","327885"
"r_1","BLG","num","2009","0","1","160120"
"r_1","BLG","num","2009","0","2","167765"
"r_1","BLG","num","2009","1","0","193341"
"r_1","BLG","num","2009","1","1","93212"
"r_1","BLG","num","2009","1","2","100129"
"r_1","BLG","num","2009","2","0","134544"
"r_1","BLG","num","2009","2","1","66908"
"r_1","BLG","num","2009","2","2","67636"
"r_1","BLG","num","2010","0","0","325870"
"r_1","BLG","num","2010","0","1","159044"
"r_1","BLG","num","2010","0","2","166826"
"r_1","BLG","num","2010","1","0","192374"
"r_1","BLG","num","2010","1","1","92646"
"r_1","BLG","num","2010","1","2","99728"
"r_1","BLG","num","2010","2","0","133496"
"r_1","BLG","num","2010","2","1","66398"
"r_1","BLG","num","2010","2","2","67098"
"r_1","BLG","num","2011","0","0","322025"
"r_1","BLG","num","2011","0","1","157707"
"r_1","BLG","num","2011","0","2","164318"
"r_1","BLG","num","2011","1","0","190619"
"r_1","BLG","num","2011","1","1","92112"
"r_1","BLG","num","2011","1","2","98507"
"r_1","BLG","num","2011","2","0","131406"
"r_1","BLG","num","2011","2","1","65595"
"r_1","BLG","num","2011","2","2","65811"
"r_1","BLG","num","2012","0","0","320160"
"r_1","BLG","num","2012","0","1","156939"
"r_1","BLG","num","2012","0","2","163221"
"r_1","BLG","num","2012","1","0","189987"
"r_1","BLG","num","2012","1","1","91943"
"r_1","BLG","num","2012","1","2","98044"
"r_1","BLG","num","2012","2","0","130173"
"r_1","BLG","num","2012","2","1","64996"
"r_1","BLG","num","2012","2","2","65177"
"r_1","BLG","num","2013","0","0","318110"
"r_1","BLG","num","2013","0","1","155880"
"r_1","BLG","num","2013","0","2","162230"
"r_1","BLG","num","2013","1","0","189273"
"r_1","BLG","num","2013","1","1","91510"
"r_1","BLG","num","2013","1","2","97763"
"r_1","BLG","num","2013","2","0","128837"
"r_1","BLG","num","2013","2","1","64370"
"r_1","BLG","num","2013","2","2","64467"
"r_1","BLG","num","2014","0","0","315577"
"r_1","BLG","num","2014","0","1","154280"
"r_1","BLG","num","2014","0","2","161297"
"r_1","BLG","num","2014","1","0","188103"
"r_1","BLG","num","2014","1","1","90618"
"r_1","BLG","num","2014","1","2","97485"
"r_1","BLG","num","2014","2","0","127474"
"r_1","BLG","num","2014","2","1","63662"
"r_1","BLG","num","2014","2","2","63812"
"r_1","BLG01","num","2000","0","0","13471"
"r_1","BLG01","num","2000","0","1","6715"
"r_1","BLG01","num","2000","0","2","6756"
"r_1","BLG01","num","2000","1","0","8703"
"r_1","BLG01","num","2000","1","1","4333"
"r_1","BLG01","num","2000","1","2","4370"
"r_1","BLG01","num","2000","2","0","4768"
"r_1","BLG01","num","2000","2","1","2382"
"r_1","BLG01","num","2000","2","2","2386"
"r_1","BLG01","num","2001","0","0","13837"
"r_1","BLG01","num","2001","0","1","6945"
