RevisionColumn,Age10_LFS,NUTS,GenderID,periods,Units,ValueColumn
"r_2","0","BG","1","2003Q3","1000cp","1422.4"
"r_2","0","BG","2","2003Q3","1000cp","1898"
"r_2","0","BG31","0","2003Q3","1000cp","485"
"r_2","0","BG31","1","2003Q3","1000cp","211.2"
"r_2","0","BG31","2","2003Q3","1000cp","273.7"
"r_2","0","BG32","0","2003Q3","1000cp","447.9"
"r_2","0","BG32","1","2003Q3","1000cp","195.5"
"r_2","0","BG32","2","2003Q3","1000cp","252.5"
"r_2","0","BG33","0","2003Q3","1000cp","389.7"
"r_2","0","BG33","1","2003Q3","1000cp","162"
"r_2","0","BG33","2","2003Q3","1000cp","227.7"
"r_2","0","BG34","0","2003Q3","1000cp","480"
"r_2","0","BG34","1","2003Q3","1000cp","205.4"
"r_2","0","BG34","2","2003Q3","1000cp","274.6"
"r_2","0","BG41","0","2003Q3","1000cp","839"
"r_2","0","BG41","1","2003Q3","1000cp","356.4"
"r_2","0","BG41","2","2003Q3","1000cp","482.5"
"r_2","0","BG42","0","2003Q3","1000cp","678.8"
"r_2","0","BG42","1","2003Q3","1000cp","291.8"
"r_2","0","BG42","2","2003Q3","1000cp","386.9"
"r_2","15 - 64_gr","BG","0","2003Q3","1000cp","2006.3"
"r_2","15 - 64_gr","BG","1","2003Q3","1000cp","873.2"
"r_2","15 - 64_gr","BG","2","2003Q3","1000cp","1133.1"
"r_2","15 - 64_gr","BG31","0","2003Q3","1000cp","279"
"r_2","15 - 64_gr","BG31","1","2003Q3","1000cp","123.9"
"r_2","15 - 64_gr","BG31","2","2003Q3","1000cp","155.1"
"r_2","15 - 64_gr","BG32","0","2003Q3","1000cp","275.3"
"r_2","15 - 64_gr","BG32","1","2003Q3","1000cp","123"
"r_2","15 - 64_gr","BG32","2","2003Q3","1000cp","152.3"
"r_2","15 - 64_gr","BG33","0","2003Q3","1000cp","243.4"
"r_2","15 - 64_gr","BG33","1","2003Q3","1000cp","102"
"r_2","15 - 64_gr","BG33","2","2003Q3","1000cp","141.4"
"r_2","15 - 64_gr","BG34","0","2003Q3","1000cp","282.6"
"r_2","15 - 64_gr","BG34","1","2003Q3","1000cp","122.2"
"r_2","15 - 64_gr","BG34","2","2003Q3","1000cp","160.4"
"r_2","15 - 64_gr","BG41","0","2003Q3","1000cp","507.4"
"r_2","15 - 64_gr","BG41","1","2003Q3","1000cp","218.7"
"r_2","15 - 64_gr","BG41","2","2003Q3","1000cp","288.7"
"r_2","15 - 64_gr","BG42","0","2003Q3","1000cp","418.6"
"r_2","15 - 64_gr","BG42","1","2003Q3","1000cp","183.4"
"r_2","15 - 64_gr","BG42","2","2003Q3","1000cp","235.2"
"r_2","0","BG","0","2003Q4","1000cp","3439.7"
"r_2","0","BG","1","2003Q4","1000cp","1482.4"
"r_2","0","BG","2","2003Q4","1000cp","1957.3"
"r_2","0","BG31","0","2003Q4","1000cp","499.5"
"r_2","0","BG31","1","2003Q4","1000cp","221.8"
"r_2","0","BG31","2","2003Q4","1000cp","277.7"
"r_2","0","BG32","0","2003Q4","1000cp","440.1"
"r_2","0","BG32","1","2003Q4","1000cp","190"
"r_2","0","BG32","2","2003Q4","1000cp","250"
"r_2","0","BG33","0","2003Q4","1000cp","423.9"
"r_2","0","BG33","1","2003Q4","1000cp","176.6"
"r_2","0","BG33","2","2003Q4","1000cp","247.3"
"r_2","0","BG34","0","2003Q4","1000cp","502.5"
"r_2","0","BG34","1","2003Q4","1000cp","211.4"
"r_2","0","BG34","2","2003Q4","1000cp","291.1"
"r_2","0","BG41","0","2003Q4","1000cp","850.8"
"r_2","0","BG41","1","2003Q4","1000cp","365.4"
"r_2","0","BG41","2","2003Q4","1000cp","485.4"
"r_2","0","BG42","0","2003Q4","1000cp","723"
"r_2","0","BG42","1","2003Q4","1000cp","317.3"
"r_2","0","BG42","2","2003Q4","1000cp","405.7"
"r_2","15 - 64_gr","BG","0","2003Q4","1000cp","2107.1"
"r_2","15 - 64_gr","BG","1","2003Q4","1000cp","917"
"r_2","15 - 64_gr","BG","2","2003Q4","1000cp","1190.1"
"r_2","15 - 64_gr","BG31","0","2003Q4","1000cp","289.9"
"r_2","15 - 64_gr","BG31","1","2003Q4","1000cp","132.6"
"r_2","15 - 64_gr","BG31","2","2003Q4","1000cp","157.4"
"r_2","15 - 64_gr","BG32","0","2003Q4","1000cp","263.1"
"r_2","15 - 64_gr","BG32","1","2003Q4","1000cp","115.7"
"r_2","15 - 64_gr","BG32","2","2003Q4","1000cp","147.4"
"r_2","15 - 64_gr","BG33","0","2003Q4","1000cp","266.1"
"r_2","15 - 64_gr","BG33","1","2003Q4","1000cp","108.9"
"r_2","15 - 64_gr","BG33","2","2003Q4","1000cp","157.2"
"r_2","15 - 64_gr","BG34","0","2003Q4","1000cp","308.1"
"r_2","15 - 64_gr","BG34","1","2003Q4","1000cp","129.4"
"r_2","15 - 64_gr","BG34","2","2003Q4","1000cp","178.6"
"r_2","15 - 64_gr","BG41","0","2003Q4","1000cp","520"
"r_2","15 - 64_gr","BG41","1","2003Q4","1000cp","225.5"
"r_2","15 - 64_gr","BG41","2","2003Q4","1000cp","294.6"
"r_2","15 - 64_gr","BG42","0","2003Q4","1000cp","459.9"
"r_2","15 - 64_gr","BG42","1","2003Q4","1000cp","204.9"
"r_2","15 - 64_gr","BG42","2","2003Q4","1000cp","255"
"r_2","0","BG","0","2004Q1","1000cp","3465.2"
"r_2","0","BG","1","2004Q1","1000cp","1485.3"
"r_2","0","BG","2","2004Q1","1000cp","1979.9"
"r_2","0","BG31","0","2004Q1","1000cp","499.6"
"r_2","0","BG31","1","2004Q1","1000cp","223"
"r_2","0","BG31","2","2004Q1","1000cp","276.6"
"r_2","0","BG32","0","2004Q1","1000cp","443.6"
"r_2","0","BG32","1","2004Q1","1000cp","187.8"
"r_2","0","BG32","2","2004Q1","1000cp","255.9"
"r_2","0","BG33","0","2004Q1","1000cp","436.4"
"r_2","0","BG33","1","2004Q1","1000cp","183.8"
"r_2","0","BG33","2","2004Q1","1000cp","252.6"
"r_2","0","BG34","0","2004Q1","1000cp","503.2"
"r_2","0","BG34","1","2004Q1","1000cp","211.6"
"r_2","0","BG34","2","2004Q1","1000cp","291.7"
"r_2","0","BG41","0","2004Q1","1000cp","855"
"r_2","0","BG41","1","2004Q1","1000cp","363.9"
"r_2","0","BG41","2","2004Q1","1000cp","491.1"
"r_2","0","BG42","0","2004Q1","1000cp","727.4"
"r_2","0","BG42","1","2004Q1","1000cp","315.3"
"r_2","0","BG42","2","2004Q1","1000cp","412"
"r_2","15 - 64_gr","BG","0","2004Q1","1000cp","2137.8"
"r_2","15 - 64_gr","BG","1","2004Q1","1000cp","929.4"
"r_2","15 - 64_gr","BG","2","2004Q1","1000cp","1208.4"
"r_2","15 - 64_gr","BG31","0","2004Q1","1000cp","294.4"
"r_2","15 - 64_gr","BG31","1","2004Q1","1000cp","133.2"
"r_2","15 - 64_gr","BG31","2","2004Q1","1000cp","161.3"
"r_2","15 - 64_gr","BG32","0","2004Q1","1000cp","274.7"
"r_2","15 - 64_gr","BG32","1","2004Q1","1000cp","118.3"
"r_2","15 - 64_gr","BG32","2","2004Q1","1000cp","156.5"
"r_2","15 - 64_gr","BG33","0","2004Q1","1000cp","275"
"r_2","15 - 64_gr","BG33","1","2004Q1","1000cp","115.3"
"r_2","15 - 64_gr","BG33","2","2004Q1","1000cp","159.6"
"r_2","15 - 64_gr","BG34","0","2004Q1","1000cp","315.9"
"r_2","15 - 64_gr","BG34","1","2004Q1","1000cp","132.7"
"r_2","15 - 64_gr","BG34","2","2004Q1","1000cp","183.3"
"r_2","15 - 64_gr","BG41","0","2004Q1","1000cp","515.1"
"r_2","15 - 64_gr","BG41","1","2004Q1","1000cp","224.2"
"r_2","15 - 64_gr","BG41","2","2004Q1","1000cp","290.8"
"r_2","15 - 64_gr","BG42","0","2004Q1","1000cp","462.7"
"r_2","15 - 64_gr","BG42","1","2004Q1","1000cp","205.8"
"r_2","15 - 64_gr","BG42","2","2004Q1","1000cp","256.9"
"r_2","0","BG","0","2004Q2","1000cp","3302.8"
"r_2","0","BG","1","2004Q2","1000cp","1408.2"
"r_2","0","BG","2","2004Q2","1000cp","1894.6"
"r_2","0","BG31","0","2004Q2","1000cp","483.9"
"r_2","0","BG31","1","2004Q2","1000cp","211.4"
"r_2","0","BG31","2","2004Q2","1000cp","272.5"
