RevisionColumn,Indicators,periods,PRODPROM,Units,ValueColumn
"r_16","3.1.1.2.1","2008","10.11.13","kg_fig","9274431"
"r_16","3.1.1.2.2","2008","10.11.13","kg_fig","6604319"
"r_16","3.1.1.2.3","2008","10.11.13","kg_fig","58023"
"r_16","3.1.1.2.1","2008","10.11.14","kg_fig","124846"
"r_16","3.1.1.2.2","2008","10.11.14","kg_fig","102212"
"r_16","3.1.1.2.3","2008","10.11.14","kg_fig","881"
"r_16","3.1.1.2.1","2008","10.11.15","kg_fig","-"
"r_16","3.1.1.2.2","2008","10.11.15","kg_fig","-"
"r_16","3.1.1.2.3","2008","10.11.15","kg_fig","-"
"r_16","3.1.1.2.1","2008","10.11.20","kg_fig","3516327"
"r_16","3.1.1.2.2","2008","10.11.20","kg_fig","3189367"
"r_16","3.1.1.2.3","2008","10.11.20","kg_fig","7743"
"r_16","3.1.1.2.1","2008","10.11.31","kg_fig","595486"
"r_16","3.1.1.2.2","2008","10.11.31","kg_fig","573967"
"r_16","3.1.1.2.3","2008","10.11.31","kg_fig","2978"
"r_16","3.1.1.2.1","2008","10.11.32","kg_fig","5355980"
"r_16","3.1.1.2.2","2008","10.11.32","kg_fig","5603638"
"r_16","3.1.1.2.3","2008","10.11.32","kg_fig","26942"
"r_16","3.1.1.2.1","2008","10.11.33","kg_fig",".."
"r_16","3.1.1.2.2","2008","10.11.33","kg_fig",".."
"r_16","3.1.1.2.3","2008","10.11.33","kg_fig",".."
"r_16","3.1.1.2.1","2008","10.11.34","kg_fig",".."
"r_16","3.1.1.2.2","2008","10.11.34","kg_fig",".."
"r_16","3.1.1.2.3","2008","10.11.34","kg_fig",".."
"r_16","3.1.1.2.1","2008","10.11.35","kg_fig","-"
"r_16","3.1.1.2.2","2008","10.11.35","kg_fig","-"
"r_16","3.1.1.2.3","2008","10.11.35","kg_fig","-"
"r_16","3.1.1.2.1","2008","10.11.39","kg_fig","1048079"
"r_16","3.1.1.2.2","2008","10.11.39","kg_fig","896389"
"r_16","3.1.1.2.3","2008","10.11.39","kg_fig","2181"
"r_16","3.1.1.2.1","2008","10.11.41","kg_fig","-"
"r_16","3.1.1.2.2","2008","10.11.41","kg_fig","-"
"r_16","3.1.1.2.3","2008","10.11.41","kg_fig","-"
"r_16","3.1.1.2.1","2008","10.11.42","p/st","5030"
"r_16","3.1.1.2.2","2008","10.11.42","p/st","1788"
"r_16","3.1.1.2.3","2008","10.11.42","p/st","60"
"r_16","3.1.1.2.1","2008","10.11.43","kg_fig","292552"
"r_16","3.1.1.2.2","2008","10.11.43","kg_fig","282696"
"r_16","3.1.1.2.3","2008","10.11.43","kg_fig","514"
"r_16","3.1.1.2.1","2008","10.11.44","p/st","892319"
"r_16","3.1.1.2.2","2008","10.11.44","p/st","574401"
"r_16","3.1.1.2.3","2008","10.11.44","p/st","2341"
"r_16","3.1.1.2.1","2008","10.11.45","p/st",".."
"r_16","3.1.1.2.2","2008","10.11.45","p/st",".."
"r_16","3.1.1.2.3","2008","10.11.45","p/st",".."
"r_16","3.1.1.2.1","2008","10.11.50","kg_fig","2616107"
"r_16","3.1.1.2.2","2008","10.11.50","kg_fig","2278808"
"r_16","3.1.1.2.3","2008","10.11.50","kg_fig","3309"
"r_16","3.1.1.2.1","2008","10.11.60","kg_fig","762817"
"r_16","3.1.1.2.2","2008","10.11.60","kg_fig","580772"
"r_16","3.1.1.2.3","2008","10.11.60","kg_fig","402"
"r_16","3.1.1.2.1","2008","10.12.10","kg_fig","59139983"
"r_16","3.1.1.2.2","2008","10.12.10","kg_fig","43673049"
"r_16","3.1.1.2.3","2008","10.12.10","kg_fig","192727"
"r_16","3.1.1.2.1","2008","10.12.20","kg_fig","65017646"
"r_16","3.1.1.2.2","2008","10.12.20","kg_fig","50071065"
"r_16","3.1.1.2.3","2008","10.12.20","kg_fig","192306"
"r_16","3.1.1.2.1","2008","10.12.30","kg_fig","936455"
"r_16","3.1.1.2.2","2008","10.12.30","kg_fig","861846"
"r_16","3.1.1.2.3","2008","10.12.30","kg_fig","1026"
"r_16","3.1.1.2.1","2008","10.12.40","kg_fig","7492159"
"r_16","3.1.1.2.2","2008","10.12.40","kg_fig","6454753"
"r_16","3.1.1.2.3","2008","10.12.40","kg_fig","6549"
"r_16","3.1.1.2.1","2008","10.12.50","kg_fig","-"
"r_16","3.1.1.2.2","2008","10.12.50","kg_fig","-"
"r_16","3.1.1.2.3","2008","10.12.50","kg_fig","-"
"r_16","3.1.1.2.1","2008","10.13.11","kg_fig","9226084"
"r_16","3.1.1.2.2","2008","10.13.11","kg_fig","9194530"
"r_16","3.1.1.2.3","2008","10.13.11","kg_fig","56275"
"r_16","3.1.1.2.1","2008","10.13.12","kg_fig","255033"
"r_16","3.1.1.2.2","2008","10.13.12","kg_fig","244511"
"r_16","3.1.1.2.3","2008","10.13.12","kg_fig","3215"
"r_16","3.1.1.2.1","2008","10.13.13","kg_fig","2853131"
"r_16","3.1.1.2.2","2008","10.13.13","kg_fig","2724347"
"r_16","3.1.1.2.3","2008","10.13.13","kg_fig","11287"
"r_16","3.1.1.2.1","2008","10.13.14","kg_fig","113985665"
"r_16","3.1.1.2.2","2008","10.13.14","kg_fig","109909666"
"r_16","3.1.1.2.3","2008","10.13.14","kg_fig","531135"
"r_16","3.1.1.2.1","2008","10.13.15","kg_fig","16895035"
"r_16","3.1.1.2.2","2008","10.13.15","kg_fig","16814013"
"r_16","3.1.1.2.3","2008","10.13.15","kg_fig","74721"
"r_16","3.1.1.2.1","2008","10.13.16","kg_fig",".."
"r_16","3.1.1.2.2","2008","10.13.16","kg_fig",".."
"r_16","3.1.1.2.3","2008","10.13.16","kg_fig",".."
"r_16","3.1.1.2.1","2008","10.13.91","1000BGN_fig","x"
"r_16","3.1.1.2.2","2008","10.13.91","1000BGN_fig","x"
"r_16","3.1.1.2.3","2008","10.13.91","1000BGN_fig",".."
"r_16","3.1.1.2.1","2008","10.20.11","kg_fig","109393"
"r_16","3.1.1.2.2","2008","10.20.11","kg_fig","108251"
"r_16","3.1.1.2.3","2008","10.20.11","kg_fig","668"
"r_16","3.1.1.2.1","2008","10.20.12","kg_fig",".."
"r_16","3.1.1.2.2","2008","10.20.12","kg_fig","57960"
"r_16","3.1.1.2.3","2008","10.20.12","kg_fig","248"
"r_16","3.1.1.2.1","2008","10.20.13","kg_fig","4182697"
"r_16","3.1.1.2.2","2008","10.20.13","kg_fig","4014909"
"r_16","3.1.1.2.3","2008","10.20.13","kg_fig","12227"
"r_16","3.1.1.2.1","2008","10.20.14","kg_fig","920476"
"r_16","3.1.1.2.2","2008","10.20.14","kg_fig","908512"
"r_16","3.1.1.2.3","2008","10.20.14","kg_fig","4383"
"r_16","3.1.1.2.1","2008","10.20.15","kg_fig","95441"
"r_16","3.1.1.2.2","2008","10.20.15","kg_fig","105448"
"r_16","3.1.1.2.3","2008","10.20.15","kg_fig","463"
"r_16","3.1.1.2.1","2008","10.20.16","kg_fig","-"
"r_16","3.1.1.2.2","2008","10.20.16","kg_fig","-"
"r_16","3.1.1.2.3","2008","10.20.16","kg_fig","-"
"r_16","3.1.1.2.1","2008","10.20.21","kg_fig","8878"
"r_16","3.1.1.2.2","2008","10.20.21","kg_fig","9160"
"r_16","3.1.1.2.3","2008","10.20.21","kg_fig","123"
"r_16","3.1.1.2.1","2008","10.20.22","kg_fig","-"
"r_16","3.1.1.2.2","2008","10.20.22","kg_fig","-"
"r_16","3.1.1.2.3","2008","10.20.22","kg_fig","-"
"r_16","3.1.1.2.1","2008","10.20.23","kg_fig","148735"
"r_16","3.1.1.2.2","2008","10.20.23","kg_fig","153403"
"r_16","3.1.1.2.3","2008","10.20.23","kg_fig","498"
"r_16","3.1.1.2.1","2008","10.20.24","kg_fig","499724"
"r_16","3.1.1.2.2","2008","10.20.24","kg_fig","418935"
"r_16","3.1.1.2.3","2008","10.20.24","kg_fig","3731"
"r_16","3.1.1.2.1","2008","10.20.25","kg_fig","3742616"
"r_16","3.1.1.2.2","2008","10.20.25","kg_fig","3532783"
"r_16","3.1.1.2.3","2008","10.20.25","kg_fig","16875"
"r_16","3.1.1.2.1","2008","10.20.26","kg_fig","66577"
"r_16","3.1.1.2.2","2008","10.20.26","kg_fig","66379"
"r_16","3.1.1.2.3","2008","10.20.26","kg_fig","1433"
"r_16","3.1.1.2.1","2008","10.20.31","kg_fig",".."
"r_16","3.1.1.2.2","2008","10.20.31","kg_fig",".."
"r_16","3.1.1.2.3","2008","10.20.31","kg_fig",".."
"r_16","3.1.1.2.1","2008","10.20.32","kg_fig","57747"
"r_16","3.1.1.2.2","2008","10.20.32","kg_fig","56981"
"r_16","3.1.1.2.3","2008","10.20.32","kg_fig","435"
"r_16","3.1.1.2.1","2008","10.20.33","kg_fig",".."
"r_16","3.1.1.2.2","2008","10.20.33","kg_fig",".."
"r_16","3.1.1.2.3","2008","10.20.33","kg_fig",".."
"r_16","3.1.1.2.1","2008","10.20.34","kg_fig","717931"
"r_16","3.1.1.2.2","2008","10.20.34","kg_fig","475585"
"r_16","3.1.1.2.3","2008","10.20.34","kg_fig","4238"
"r_16","3.1.1.2.1","2008","10.20.41","kg_fig","-"
"r_16","3.1.1.2.2","2008","10.20.41","kg_fig","-"
"r_16","3.1.1.2.3","2008","10.20.41","kg_fig","-"
"r_16","3.1.1.2.1","2008","10.20.42","kg_fig","-"
"r_16","3.1.1.2.2","2008","10.20.42","kg_fig","-"
"r_16","3.1.1.2.3","2008","10.20.42","kg_fig","-"
"r_16","3.1.1.2.1","2008","10.31.11","kg_fig",".."
"r_16","3.1.1.2.2","2008","10.31.11","kg_fig",".."
"r_16","3.1.1.2.3","2008","10.31.11","kg_fig",".."
"r_16","3.1.1.2.1","2008","10.31.12","kg_fig","-"
"r_16","3.1.1.2.2","2008","10.31.12","kg_fig","-"
"r_16","3.1.1.2.3","2008","10.31.12","kg_fig","-"
"r_16","3.1.1.2.1","2008","10.31.13","kg_fig","-"
"r_16","3.1.1.2.2","2008","10.31.13","kg_fig","-"
"r_16","3.1.1.2.3","2008","10.31.13","kg_fig","-"
"r_16","3.1.1.2.1","2008","10.31.14","kg_fig",".."
"r_16","3.1.1.2.2","2008","10.31.14","kg_fig",".."
"r_16","3.1.1.2.3","2008","10.31.14","kg_fig",".."
"r_16","3.1.1.2.1","2008","10.32.11","l","1253600"
"r_16","3.1.1.2.2","2008","10.32.11","l","1250543"
"r_16","3.1.1.2.3","2008","10.32.11","l","1671"
"r_16","3.1.1.2.1","2008","10.32.13","l","1781806"
"r_16","3.1.1.2.2","2008","10.32.13","l","1760909"
"r_16","3.1.1.2.3","2008","10.32.13","l","2417"
"r_16","3.1.1.2.1","2008","10.32.14","l","6324184"
"r_16","3.1.1.2.2","2008","10.32.14","l","6110141"
"r_16","3.1.1.2.3","2008","10.32.14","l","8996"
"r_16","3.1.1.2.1","2008","10.32.15","l",".."
"r_16","3.1.1.2.2","2008","10.32.15","l",".."
"r_16","3.1.1.2.3","2008","10.32.15","l",".."
"r_16","3.1.1.2.1","2008","10.32.16","l","5843499"
"r_16","3.1.1.2.2","2008","10.32.16","l","5657761"
"r_16","3.1.1.2.3","2008","10.32.16","l","8448"
"r_16","3.1.1.2.1","2008","10.32.17","l","14167584"
"r_16","3.1.1.2.2","2008","10.32.17","l","13286574"
"r_16","3.1.1.2.3","2008","10.32.17","l","17838"
"r_16","3.1.1.2.1","2008","10.32.19","l","47117011"
"r_16","3.1.1.2.2","2008","10.32.19","l","44076292"
"r_16","3.1.1.2.3","2008","10.32.19","l","67947"
"r_16","3.1.1.2.1","2008","10.39.11","kg_fig","22589533"
"r_16","3.1.1.2.2","2008","10.39.11","kg_fig","19940212"
"r_16","3.1.1.2.3","2008","10.39.11","kg_fig","39080"
"r_16","3.1.1.2.1","2008","10.39.12","kg_fig","188553"
"r_16","3.1.1.2.2","2008","10.39.12","kg_fig",".."
"r_16","3.1.1.2.3","2008","10.39.12","kg_fig",".."
"r_16","3.1.1.2.1","2008","10.39.13","kg_fig","804656"
"r_16","3.1.1.2.2","2008","10.39.13","kg_fig","770325"
"r_16","3.1.1.2.3","2008","10.39.13","kg_fig","7440"
"r_16","3.1.1.2.1","2008","10.39.15","kg_fig","597634"
"r_16","3.1.1.2.2","2008","10.39.15","kg_fig","616063"
"r_16","3.1.1.2.3","2008","10.39.15","kg_fig","947"
"r_16","3.1.1.2.1","2008","10.39.16","kg_fig","2808268"
"r_16","3.1.1.2.2","2008","10.39.16","kg_fig","2184996"
"r_16","3.1.1.2.3","2008","10.39.16","kg_fig","3231"
"r_16","3.1.1.2.1","2008","10.39.17","kg_fig","44706521"
"r_16","3.1.1.2.2","2008","10.39.17","kg_fig","37594319"
"r_16","3.1.1.2.3","2008","10.39.17","kg_fig","85403"
"r_16","3.1.1.2.1","2008","10.39.18","kg_fig","14419052"
"r_16","3.1.1.2.2","2008","10.39.18","kg_fig","15693335"
"r_16","3.1.1.2.3","2008","10.39.18","kg_fig","31472"
"r_16","3.1.1.2.1","2008","10.39.21","kg_fig","12338624"
"r_16","3.1.1.2.2","2008","10.39.21","kg_fig","11996419"
"r_16","3.1.1.2.3","2008","10.39.21","kg_fig","27949"
"r_16","3.1.1.2.1","2008","10.39.22","kg_fig","12778916"
"r_16","3.1.1.2.2","2008","10.39.22","kg_fig","9925410"
"r_16","3.1.1.2.3","2008","10.39.22","kg_fig","20729"
"r_16","3.1.1.2.1","2008","10.39.23","kg_fig","23345942"
"r_16","3.1.1.2.2","2008","10.39.23","kg_fig","23273924"
"r_16","3.1.1.2.3","2008","10.39.23","kg_fig","72497"
"r_16","3.1.1.2.1","2008","10.39.24","kg_fig","8709618"
"r_16","3.1.1.2.2","2008","10.39.24","kg_fig","7815131"
"r_16","3.1.1.2.3","2008","10.39.24","kg_fig","23486"
"r_16","3.1.1.2.1","2008","10.39.25","kg_fig","18650772"
"r_16","3.1.1.2.2","2008","10.39.25","kg_fig","15753482"
"r_16","3.1.1.2.3","2008","10.39.25","kg_fig","52267"
"r_16","3.1.1.2.1","2008","10.39.30","kg_fig","-"
"r_16","3.1.1.2.2","2008","10.39.30","kg_fig","-"
"r_16","3.1.1.2.3","2008","10.39.30","kg_fig","-"
"r_16","3.1.1.2.1","2008","10.39.91","1000BGN_fig","x"
"r_16","3.1.1.2.2","2008","10.39.91","1000BGN_fig","x"
"r_16","3.1.1.2.3","2008","10.39.91","1000BGN_fig",".."
"r_16","3.1.1.2.1","2008","10.41.11","kg_fig","-"
"r_16","3.1.1.2.2","2008","10.41.11","kg_fig","-"
"r_16","3.1.1.2.3","2008","10.41.11","kg_fig","-"
"r_16","3.1.1.2.1","2008","10.41.12","kg_fig","-"
"r_16","3.1.1.2.2","2008","10.41.12","kg_fig","-"
"r_16","3.1.1.2.3","2008","10.41.12","kg_fig","-"
"r_16","3.1.1.2.1","2008","10.41.19","kg_fig","-"
"r_16","3.1.1.2.2","2008","10.41.19","kg_fig","-"
"r_16","3.1.1.2.3","2008","10.41.19","kg_fig","-"
"r_16","3.1.1.2.1","2008","10.41.21","kg_fig","-"
"r_16","3.1.1.2.2","2008","10.41.21","kg_fig","-"
"r_16","3.1.1.2.3","2008","10.41.21","kg_fig","-"
"r_16","3.1.1.2.1","2008","10.41.22","kg_fig","-"
"r_16","3.1.1.2.2","2008","10.41.22","kg_fig","-"
"r_16","3.1.1.2.3","2008","10.41.22","kg_fig","-"
"r_16","3.1.1.2.1","2008","10.41.23","kg_fig","-"
"r_16","3.1.1.2.2","2008","10.41.23","kg_fig","-"
"r_16","3.1.1.2.3","2008","10.41.23","kg_fig","-"
"r_16","3.1.1.2.1","2008","10.41.24","kg_fig","70516336"
"r_16","3.1.1.2.2","2008","10.41.24","kg_fig","45518476"
"r_16","3.1.1.2.3","2008","10.41.24","kg_fig","79486"
"r_16","3.1.1.2.1","2008","10.41.25","kg_fig","-"
"r_16","3.1.1.2.2","2008","10.41.25","kg_fig","-"
"r_16","3.1.1.2.3","2008","10.41.25","kg_fig","-"
"r_16","3.1.1.2.1","2008","10.41.26","kg_fig","1147991"
"r_16","3.1.1.2.2","2008","10.41.26","kg_fig","885801"
"r_16","3.1.1.2.3","2008","10.41.26","kg_fig",".."
"r_16","3.1.1.2.1","2008","10.41.27","kg_fig","-"
"r_16","3.1.1.2.2","2008","10.41.27","kg_fig","-"
"r_16","3.1.1.2.3","2008","10.41.27","kg_fig","-"
"r_16","3.1.1.2.1","2008","10.41.28","kg_fig","-"
"r_16","3.1.1.2.2","2008","10.41.28","kg_fig","-"
"r_16","3.1.1.2.3","2008","10.41.28","kg_fig","-"
"r_16","3.1.1.2.1","2008","10.41.29","kg_fig",".."
"r_16","3.1.1.2.2","2008","10.41.29","kg_fig",".."
"r_16","3.1.1.2.3","2008","10.41.29","kg_fig",".."
"r_16","3.1.1.2.1","2008","10.41.30","kg_fig","-"
"r_16","3.1.1.2.2","2008","10.41.30","kg_fig","-"
"r_16","3.1.1.2.3","2008","10.41.30","kg_fig","-"
"r_16","3.1.1.2.1","2008","10.41.41","kg_fig","136651498"
"r_16","3.1.1.2.2","2008","10.41.41","kg_fig","114513927"
"r_16","3.1.1.2.3","2008","10.41.41","kg_fig","33311"
"r_16","3.1.1.2.1","2008","10.41.42","kg_fig",".."
"r_16","3.1.1.2.2","2008","10.41.42","kg_fig",".."
"r_16","3.1.1.2.3","2008","10.41.42","kg_fig",".."
"r_16","3.1.1.2.1","2008","10.41.51","kg_fig","-"
"r_16","3.1.1.2.2","2008","10.41.51","kg_fig","-"
"r_16","3.1.1.2.3","2008","10.41.51","kg_fig","-"
"r_16","3.1.1.2.1","2008","10.41.52","kg_fig","-"
"r_16","3.1.1.2.2","2008","10.41.52","kg_fig","-"
"r_16","3.1.1.2.3","2008","10.41.52","kg_fig","-"
"r_16","3.1.1.2.1","2008","10.41.53","kg_fig","-"
"r_16","3.1.1.2.2","2008","10.41.53","kg_fig","-"
"r_16","3.1.1.2.3","2008","10.41.53","kg_fig","-"
"r_16","3.1.1.2.1","2008","10.41.54","kg_fig","79640948"
"r_16","3.1.1.2.2","2008","10.41.54","kg_fig","78559874"
"r_16","3.1.1.2.3","2008","10.41.54","kg_fig","159540"
"r_16","3.1.1.2.1","2008","10.41.55","kg_fig","-"
