RevisionColumn,NACE2008A21,periods,Ownership,Units,ValueColumn
"r_13","0","2008","total","AvNum/Y","2466852"
"r_13","0","2008","1","AvNum/Y","614768"
"r_13","0","2008","2","AvNum/Y","1852084"
"r_13","0","2009","total","AvNum/Y","2404633"
"r_13","0","2009","1","AvNum/Y","603207"
"r_13","0","2009","2","AvNum/Y","1801426"
"r_13","0","2010","total","AvNum/Y","2242607"
"r_13","0","2010","1","AvNum/Y","565772"
"r_13","0","2010","2","AvNum/Y","1676835"
"r_13","0","2011","total","AvNum/Y","2242488"
"r_13","0","2011","1","AvNum/Y","562556"
"r_13","0","2011","2","AvNum/Y","1679932"
"r_13","0","2012","total","AvNum/Y","2218718"
"r_13","0","2012","1","AvNum/Y","558445"
"r_13","0","2012","2","AvNum/Y","1660273"
"r_13","0","2013","total","AvNum/Y","2226403"
"r_13","0","2013","1","AvNum/Y","563056"
"r_13","0","2013","2","AvNum/Y","1663347"
"r_13","0","2014","total","AvNum/Y","2240544"
"r_13","0","2014","1","AvNum/Y","545768"
"r_13","0","2014","2","AvNum/Y","1694776"
"r_13","0","2015","total","AvNum/Y","2254768"
"r_13","0","2015","1","AvNum/Y","536846"
"r_13","0","2015","2","AvNum/Y","1717922"
"r_13","0","2016","total","AvNum/Y","2277345"
"r_13","0","2016","1","AvNum/Y","535050"
"r_13","0","2016","2","AvNum/Y","1742295"
"r_13","0","2017","total","AvNum/Y","2308129"
"r_13","0","2017","1","AvNum/Y","533420"
"r_13","0","2017","2","AvNum/Y","1774709"
"r_13","0","2018","total","AvNum/Y","2319762"
"r_13","0","2018","1","AvNum/Y","532709"
"r_13","0","2018","2","AvNum/Y","1787053"
"r_13","0","2019","total","AvNum/Y","2322561"
"r_13","0","2019","1","AvNum/Y","534730"
"r_13","0","2019","2","AvNum/Y","1787831"
"r_13","0","2020","total","AvNum/Y","2211773"
"r_13","0","2020","1","AvNum/Y","537437"
"r_13","0","2020","2","AvNum/Y","1674336"
"r_13","0","2021","total","AvNum/Y","2248934"
"r_13","0","2021","1","AvNum/Y","540890"
