RevisionColumn,Units,periods,TradeObjects,ValueColumn
"r_2","num","2011","7592","82980"
"r_2","num","2012","7592","78661"
"r_2","num","2013","7592","76683"
"r_2","num","2014","7592","74900"
"r_2","num","2000","â ò.÷.:",""
"r_2","num","2001","â ò.÷.:",""
"r_2","num","2002","â ò.÷.:",""
"r_2","num","2003","â ò.÷.:",""
"r_2","num","2004","â ò.÷.:",""
"r_2","num","2005","â ò.÷.:",""
"r_2","num","2006","â ò.÷.:",""
"r_2","num","2007","â ò.÷.:",""
"r_2","num","2008","â ò.÷.:",""
"r_2","num","2009","â ò.÷.:",""
"r_2","num","2010","â ò.÷.:",""
"r_2","num","2011","â ò.÷.:",""
"r_2","num","2012","â ò.÷.:",""
"r_2","num","2013","â ò.÷.:",""
"r_2","num","2014","â ò.÷.:",""
"r_2","num","2000","7583","10926"
"r_2","num","2001","7583","11194"
"r_2","num","2002","7583","9526"
"r_2","num","2003","7583","9472"
"r_2","num","2004","7583","9571"
"r_2","num","2005","7583","9652"
"r_2","num","2006","7583","9787"
"r_2","num","2007","7583","10056"
"r_2","num","2008","7583","10490"
"r_2","num","2009","7583","12604"
"r_2","num","2010","7583","14469"
"r_2","num","2011","7583","15287"
"r_2","num","2012","7583","14991"
"r_2","num","2013","7583","14950"
"r_2","num","2014","7583","14819"
"r_2","num","2000","7572","1912"
"r_2","num","2001","7572","1806"
"r_2","num","2002","7572","1698"
"r_2","num","2003","7572","1705"
"r_2","num","2004","7572","1873"
"r_2","num","2005","7572","2041"
"r_2","num","2006","7572","2067"
"r_2","num","2007","7572","2093"
"r_2","num","2008","7572","2415"
"r_2","num","2009","7572","2808"
"r_2","num","2010","7572","2879"
"r_2","num","2011","7572","3156"
"r_2","num","2012","7572","2923"
"r_2","num","2013","7572","2851"
"r_2","num","2014","7572","2795"
"r_2","num","2000","7573","9320"
"r_2","num","2001","7573","9403"
"r_2","num","2002","7573","9820"
"r_2","num","2003","7573","10114"
"r_2","num","2004","7573","11107"
"r_2","num","2005","7573","12013"
"r_2","num","2006","7573","13448"
"r_2","num","2007","7573","13984"
"r_2","num","2008","7573","15317"
"r_2","num","2009","7573","17604"
"r_2","num","2010","7573","18076"
"r_2","num","2011","7573","17371"
"r_2","num","2012","7573","17171"
"r_2","num","2013","7573","16289"
"r_2","num","2014","7573","15693"
"r_2","num","2000","7574","1867"
"r_2","num","2001","7574","1915"
"r_2","num","2002","7574","1993"
"r_2","num","2003","7574","2109"
"r_2","num","2004","7574","2359"
"r_2","num","2005","7574","2623"
"r_2","num","2006","7574","2773"
"r_2","num","2007","7574","2939"
"r_2","num","2008","7574","3174"
"r_2","num","2009","7574","3637"
"r_2","num","2010","7574","3835"
"r_2","num","2011","7574","3869"
"r_2","num","2012","7574","3696"
"r_2","num","2013","7574","3582"
"r_2","num","2014","7574","3751"
"r_2","num","2000","7575","2310"
"r_2","num","2001","7575","2404"
"r_2","num","2002","7575","2583"
"r_2","num","2003","7575","2604"
"r_2","num","2004","7575","2658"
"r_2","num","2005","7575","2906"
"r_2","num","2006","7575","3054"
"r_2","num","2007","7575","3224"
"r_2","num","2008","7575","3273"
"r_2","num","2009","7575","3400"
"r_2","num","2010","7575","3530"
"r_2","num","2011","7575","3410"
"r_2","num","2012","7575","3104"
"r_2","num","2013","7575","3103"
"r_2","num","2014","7575","2940"
"r_2","num","2000","7576/7577","1822"
"r_2","num","2001","7576/7577","1888"
"r_2","num","2002","7576/7577","2024"
"r_2","num","2003","7576/7577","2241"
"r_2","num","2004","7576/7577","2333"
"r_2","num","2005","7576/7577","2452"
"r_2","num","2006","7576/7577","2523"
"r_2","num","2007","7576/7577","2418"
"r_2","num","2008","7576/7577","2059"
"r_2","num","2009","7576/7577","1908"
"r_2","num","2010","7576/7577","2047"
"r_2","num","2011","7576/7577","2058"
"r_2","num","2012","7576/7577","1691"
"r_2","num","2013","7576/7577","1601"
"r_2","num","2014","7576/7577","1658"
"r_2","num","2000","7578","2047"
"r_2","num","2001","7578","2106"
"r_2","num","2002","7578","2482"
"r_2","num","2003","7578","2498"
"r_2","num","2004","7578","2518"
"r_2","num","2005","7578","2543"
"r_2","num","2006","7578","2632"
"r_2","num","2007","7578","2739"
"r_2","num","2008","7578","2760"
"r_2","num","2009","7578","2825"
"r_2","num","2010","7578","2960"
"r_2","num","2011","7578","2876"
"r_2","num","2012","7578","2757"
"r_2","num","2013","7578","2512"
"r_2","num","2014","7578","2386"
"r_2","num","2000","7580","3305"
"r_2","num","2001","7580","3692"
"r_2","num","2002","7580","3721"
"r_2","num","2003","7580","3524"
"r_2","num","2004","7580","3524"
"r_2","num","2005","7580","3492"
"r_2","num","2006","7580","3213"
"r_2","num","2007","7580","3146"
"r_2","num","2008","7580","2955"
"r_2","num","2009","7580","2701"
"r_2","num","2010","7580","2875"
"r_2","num","2011","7580","3189"
"r_2","num","2012","7580","2652"
"r_2","num","2013","7580","2547"
"r_2","num","2014","7580","2199"
"r_2","num","2000","7579","1445"
"r_2","num","2001","7579","1506"
"r_2","num","2002","7579","1537"
"r_2","num","2003","7579","1543"
"r_2","num","2004","7579","1590"
"r_2","num","2005","7579","1652"
"r_2","num","2006","7579","1855"
"r_2","num","2007","7579","1876"
"r_2","num","2008","7579","1860"
"r_2","num","2009","7579","1598"
"r_2","num","2010","7579","1883"
"r_2","num","2011","7579","2215"
"r_2","num","2012","7579","1878"
"r_2","num","2013","7579","2048"
"r_2","num","2014","7579","1836"
"r_2","num","2000","7571","2352"
"r_2","num","2001","7571","2455"
"r_2","num","2002","7571","2507"
"r_2","num","2003","7571","2539"
"r_2","num","2004","7571","2598"
"r_2","num","2005","7571","2678"
"r_2","num","2006","7571","2720"
"r_2","num","2007","7571","2757"
"r_2","num","2008","7571","2725"
"r_2","num","2009","7571","3044"
"r_2","num","2010","7571","3178"
"r_2","num","2011","7571","3051"
"r_2","num","2012","7571","2993"
"r_2","num","2013","7571","2963"
"r_2","num","2014","7571","2879"
"r_2","num","2000","7581","3541"
"r_2","num","2001","7581","3737"
"r_2","num","2002","7581","3975"
"r_2","num","2003","7581","3983"
"r_2","num","2004","7581","4072"
"r_2","num","2005","7581","4192"
"r_2","num","2006","7581","4292"
"r_2","num","2007","7581","4408"
"r_2","num","2008","7581","4842"
"r_2","num","2009","7581","4820"
"r_2","num","2010","7581","5676"
"r_2","num","2011","7581","6174"
"r_2","num","2012","7581","5188"
"r_2","num","2013","7581","5323"
"r_2","num","2014","7581","5230"
"r_2","num","2000","7569/7570","3685"
"r_2","num","2001","7569/7570","3806"
"r_2","num","2002","7569/7570","4388"
"r_2","num","2003","7569/7570","4645"
"r_2","num","2004","7569/7570","4801"
"r_2","num","2005","7569/7570","4857"
"r_2","num","2006","7569/7570","4941"
"r_2","num","2007","7569/7570","4898"
"r_2","num","2008","7569/7570","4825"
"r_2","num","2009","7569/7570","5268"
"r_2","num","2010","7569/7570","5281"
"r_2","num","2011","7569/7570","5360"
"r_2","num","2012","7569/7570","5245"
"r_2","num","2013","7569/7570","5172"
"r_2","num","2014","7569/7570","5163"
"r_2","num","2000","7540","1830"
"r_2","num","2001","7540","2267"
"r_2","num","2002","7540","2553"
"r_2","num","2003","7540","2649"
"r_2","num","2004","7540","2740"
"r_2","num","2005","7540","2858"
"r_2","num","2006","7540","2898"
"r_2","num","2007","7540","2904"
"r_2","num","2008","7540","2882"
"r_2","num","2009","7540","2804"
"r_2","num","2010","7540","2766"
"r_2","num","2011","7540","2725"
"r_2","num","2012","7540","2684"
"r_2","num","2013","7540","2615"
"r_2","num","2014","7540","2593"
"r_2","num","2000","7550","."
"r_2","num","2001","7550","."
"r_2","num","2002","7550","."
"r_2","num","2003","7550","838"
"r_2","num","2004","7550","929"
"r_2","num","2005","7550","962"
"r_2","num","2006","7550","979"
"r_2","num","2007","7550","955"
"r_2","num","2008","7550","804"
"r_2","num","2009","7550","672"
"r_2","num","2010","7550","607"
"r_2","num","2011","7550","534"
"r_2","num","2012","7550","555"
"r_2","num","2013","7550","456"
"r_2","num","2014","7550","447"
"r_3","num","2015","7560","115936"
"r_3","num","2015","7591","43166"
"r_3","num","2015","â ò.÷.",""
"r_3","num","2015","7568","28160"
"r_3","num","2015","7561","3072"
"r_3","num","2015","7562","1299"
"r_3","num","2015","7563","462"
"r_3","num","2015","7564","2235"
"r_3","num","2015","7565","1556"
"r_3","num","2015","7566","2310"
"r_3","num","2015","7592","72770"
"r_3","num","2015","â ò.÷.:",""
"r_3","num","2015","7583","14417"
"r_3","num","2015","7572","2455"
"r_3","num","2015","7573","15504"
"r_3","num","2015","7574","3560"
"r_3","num","2015","7575","2831"
"r_3","num","2015","7576/7577","1618"
"r_3","num","2015","7578","2349"
"r_3","num","2015","7580","2246"
"r_3","num","2015","7579","1694"
"r_3","num","2015","7571","2735"
"r_3","num","2015","7581","5031"
"r_3","num","2015","7569/7570","5101"
"r_3","num","2015","7540","2622"
"r_3","num","2015","7550","452"
"r_4","num","2016","7560","113621"
"r_4","num","2016","7591","41685"
"r_4","num","2016","â ò.÷.",""
"r_4","num","2016","7568","26266"
"r_4","num","2016","7561","3067"
