RevisionColumn,Units,periods,Indicators,ValueColumn
"r_2","1000BGN","2010","3.1.2.1.1.1.4","7227"
"r_2","1000BGN","2011","3.1.2.1.1.1.4","8306"
"r_2","1000BGN","2012","3.1.2.1.1.1.4","12412"
"r_2","1000BGN","2013","3.1.2.1.1.1.4","6128"
"r_2","1000BGN","2014","3.1.2.1.1.1.4","8017"
"r_2","1000BGN","2015","3.1.2.1.1.1.4","8399"
"r_2","1000BGN","2016","3.1.2.1.1.1.4","8066"
"r_2","1000BGN","2017","3.1.2.1.1.1.4","9656"
"r_2","1000BGN","2018","3.1.2.1.1.1.4","9934"
"r_2","1000BGN","2019","3.1.2.1.1.1.4","9044"
"r_2","1000BGN","2020","3.1.2.1.1.1.4","11755"
"r_2","1000BGN","2005","3.1.2.1.1.1.5","29927"
"r_2","1000BGN","2006","3.1.2.1.1.1.5","56807"
"r_2","1000BGN","2007","3.1.2.1.1.1.5","84949"
"r_2","1000BGN","2008","3.1.2.1.1.1.5","76604"
"r_2","1000BGN","2009","3.1.2.1.1.1.5","50232"
"r_2","1000BGN","2010","3.1.2.1.1.1.5","63522"
"r_2","1000BGN","2011","3.1.2.1.1.1.5","46121"
"r_2","1000BGN","2012","3.1.2.1.1.1.5","59548"
"r_2","1000BGN","2013","3.1.2.1.1.1.5","58703"
"r_2","1000BGN","2014","3.1.2.1.1.1.5","63743"
"r_2","1000BGN","2015","3.1.2.1.1.1.5","80424"
"r_2","1000BGN","2016","3.1.2.1.1.1.5","74530"
"r_2","1000BGN","2017","3.1.2.1.1.1.5","56319"
"r_2","1000BGN","2018","3.1.2.1.1.1.5","74703"
"r_2","1000BGN","2019","3.1.2.1.1.1.5",".."
"r_2","1000BGN","2020","3.1.2.1.1.1.5","80818"
"r_2","1000BGN","2005","3.1.2.1.1.1","258227"
"r_2","1000BGN","2006","3.1.2.1.1.1","317685"
"r_2","1000BGN","2007","3.1.2.1.1.1","364054"
"r_2","1000BGN","2008","3.1.2.1.1.1","408141"
"r_2","1000BGN","2009","3.1.2.1.1.1","408827"
"r_2","1000BGN","2010","3.1.2.1.1.1","419497"
"r_2","1000BGN","2011","3.1.2.1.1.1","463663"
"r_2","1000BGN","2012","3.1.2.1.1.1","537009"
"r_2","1000BGN","2013","3.1.2.1.1.1","557653"
"r_2","1000BGN","2014","3.1.2.1.1.1","598372"
"r_2","1000BGN","2015","3.1.2.1.1.1","617291"
"r_2","1000BGN","2016","3.1.2.1.1.1","594801"
"r_2","1000BGN","2017","3.1.2.1.1.1","619114"
"r_2","1000BGN","2018","3.1.2.1.1.1","681741"
"r_2","1000BGN","2019","3.1.2.1.1.1","1239929"
"r_2","1000BGN","2020","3.1.2.1.1.1","718971"
"r_2","1000BGN","2005","3.1.2.1.1.2.1","228826"
"r_2","1000BGN","2006","3.1.2.1.1.2.1","275735"
"r_2","1000BGN","2007","3.1.2.1.1.2.1","301477"
"r_2","1000BGN","2008","3.1.2.1.1.2.1","330840"
"r_2","1000BGN","2009","3.1.2.1.1.2.1","349414"
"r_2","1000BGN","2010","3.1.2.1.1.2.1","355466"
"r_2","1000BGN","2011","3.1.2.1.1.2.1","406216"
"r_2","1000BGN","2012","3.1.2.1.1.2.1","468163"
"r_2","1000BGN","2013","3.1.2.1.1.2.1","491937"
"r_2","1000BGN","2014","3.1.2.1.1.2.1","521467"
"r_2","1000BGN","2015","3.1.2.1.1.2.1","546243"
"r_2","1000BGN","2016","3.1.2.1.1.2.1","528323"
"r_2","1000BGN","2017","3.1.2.1.1.2.1","540081"
"r_2","1000BGN","2018","3.1.2.1.1.2.1","599949"
"r_2","1000BGN","2019","3.1.2.1.1.2.1","1149406"
"r_2","1000BGN","2020","3.1.2.1.1.2.1","642675"
"r_2","1000BGN","2005","3.1.2.1.1.2.1.0","228826"
"r_2","1000BGN","2006","3.1.2.1.1.2.1.0","275735"
"r_2","1000BGN","2007","3.1.2.1.1.2.1.0","301477"
"r_2","1000BGN","2008","3.1.2.1.1.2.1.0","330840"
"r_2","1000BGN","2009","3.1.2.1.1.2.1.0","349414"
"r_2","1000BGN","2010","3.1.2.1.1.2.1.0","355466"
"r_2","1000BGN","2011","3.1.2.1.1.2.1.0","406216"
"r_2","1000BGN","2012","3.1.2.1.1.2.1.0","468163"
"r_2","1000BGN","2013","3.1.2.1.1.2.1.0","491937"
"r_2","1000BGN","2014","3.1.2.1.1.2.1.0","521467"
"r_2","1000BGN","2015","3.1.2.1.1.2.1.0","546243"
"r_2","1000BGN","2016","3.1.2.1.1.2.1.0","528323"
"r_2","1000BGN","2017","3.1.2.1.1.2.1.0","540081"
"r_2","1000BGN","2018","3.1.2.1.1.2.1.0","599949"
"r_2","1000BGN","2019","3.1.2.1.1.2.1.0","1149406"
"r_2","1000BGN","2020","3.1.2.1.1.2.1.0","642675"
"r_2","1000BGN","2005","3.1.2.1.1.2.1.0.1","92492"
"r_2","1000BGN","2006","3.1.2.1.1.2.1.0.1","94441"
"r_2","1000BGN","2007","3.1.2.1.1.2.1.0.1","98326"
"r_2","1000BGN","2008","3.1.2.1.1.2.1.0.1","107427"
"r_2","1000BGN","2009","3.1.2.1.1.2.1.0.1","124980"
"r_2","1000BGN","2010","3.1.2.1.1.2.1.0.1","120249"
"r_2","1000BGN","2011","3.1.2.1.1.2.1.0.1","151237"
"r_2","1000BGN","2012","3.1.2.1.1.2.1.0.1","157729"
