RevisionColumn,SILC_Activity,SILC_Age,periods,Units,ValueColumn
"r_3","4","9","2015","perc_pop_fig","39.7"
"r_3","4","3","2015","perc_pop_fig","41.6"
"r_3","5","2","2015","perc_pop_fig","40.3"
"r_3","5","9","2015","perc_pop_fig","40.2"
"r_3","5","3","2015","perc_pop_fig","39.8"
"r_4","1","2","2016","perc_pop_fig","20.3"
"r_4","1","9","2016","perc_pop_fig","20.2"
"r_4","1","3","2016","perc_pop_fig","17.5"
"r_4","2","2","2016","perc_pop_fig","47.6"
"r_4","2","9","2016","perc_pop_fig","43.7"
"r_4","2","3","2016","perc_pop_fig","39.3"
"r_4","3","2","2016","perc_pop_fig","62.9"
"r_4","3","9","2016","perc_pop_fig","63"
"r_4","4","2","2016","perc_pop_fig","29.6"
"r_4","4","9","2016","perc_pop_fig","37.4"
"r_4","4","3","2016","perc_pop_fig","39"
"r_4","5","2","2016","perc_pop_fig","41.2"
"r_4","5","9","2016","perc_pop_fig","41.3"
"r_4","5","3","2016","perc_pop_fig","45.9"
"r_5","1","2","2017","perc_pop_fig","19.8"
"r_5","1","9","2017","perc_pop_fig","19.8"
"r_5","1","3","2017","perc_pop_fig","19.3"
"r_5","2","2","2017","perc_pop_fig","44.8"
"r_5","2","9","2017","perc_pop_fig","41.9"
"r_5","2","3","2017","perc_pop_fig","38.9"
"r_5","3","2","2017","perc_pop_fig","59.5"
"r_5","3","9","2017","perc_pop_fig","60.1"
"r_5","4","2","2017","perc_pop_fig","25.7"
"r_5","4","9","2017","perc_pop_fig","36.1"
"r_5","4","3","2017","perc_pop_fig","38.1"
"r_5","5","2","2017","perc_pop_fig","40.8"
"r_5","5","9","2017","perc_pop_fig","41.5"
"r_5","5","3","2017","perc_pop_fig","67"
"r_6","1","2","2018","perc_pop_fig","11.3"
"r_6","1","9","2018","perc_pop_fig","11.5"
"r_6","1","3","2018","perc_pop_fig","17.5"
"r_6","2","2","2018","perc_pop_fig","31.5"
"r_6","2","9","2018","perc_pop_fig","32.7"
"r_6","2","3","2018","perc_pop_fig","33.9"
"r_6","3","2","2018","perc_pop_fig","44.5"
"r_6","3","9","2018","perc_pop_fig","45.2"
"r_6","4","2","2018","perc_pop_fig","20.3"
"r_6","4","9","2018","perc_pop_fig","31.2"
"r_6","4","3","2018","perc_pop_fig","33.2"
"r_6","5","2","2018","perc_pop_fig","25.8"
"r_6","5","9","2018","perc_pop_fig","26.6"
"r_6","5","3","2018","perc_pop_fig","56.8"
"r_7","1","2","2019","perc_pop_fig","11.2"
"r_7","1","9","2019","perc_pop_fig","11.3"
"r_7","1","3","2019","perc_pop_fig","14.3"
"r_7","2","2","2019","perc_pop_fig","31.4"
"r_7","2","9","2019","perc_pop_fig","30.8"
"r_7","2","3","2019","perc_pop_fig","30.3"
"r_7","3","2","2019","perc_pop_fig","44.2"
"r_7","3","9","2019","perc_pop_fig","44.9"
"r_7","4","2","2019","perc_pop_fig","20"
"r_7","4","9","2019","perc_pop_fig","28.2"
"r_7","4","3","2019","perc_pop_fig","29.6"
"r_7","5","2","2019","perc_pop_fig","26.6"
"r_7","5","9","2019","perc_pop_fig","27.6"
"r_7","5","3","2019","perc_pop_fig","50.3"
"r_8","1","2","2020","perc_pop_fig","10.5"
"r_8","1","9","2020","perc_pop_fig","10.5"
"r_8","1","3","2020","perc_pop_fig","10.7"
"r_8","2","2","2020","perc_pop_fig","33"
"r_8","2","9","2020","perc_pop_fig","31.2"
"r_8","2","3","2020","perc_pop_fig","29.7"
"r_8","3","2","2020","perc_pop_fig","47"
"r_8","3","9","2020","perc_pop_fig","47.7"
"r_8","4","2","2020","perc_pop_fig","21.2"
"r_8","4","9","2020","perc_pop_fig","27.8"
"r_8","4","3","2020","perc_pop_fig","28.9"
"r_8","5","2","2020","perc_pop_fig","27.4"
"r_8","5","9","2020","perc_pop_fig","28.4"
"r_8","5","3","2020","perc_pop_fig","52.1"
