RevisionColumn,LFS_ProfStatus,Units,periods,GenderID,ValueColumn
"r_9","0","1000cp","2017Q3","2","1505.1"
"r_9","1","1000cp","2017Q3","0","118.5"
"r_9","1","1000cp","2017Q3","1","83.3"
"r_9","1","1000cp","2017Q3","2","35.2"
"r_9","2","1000cp","2017Q3","0","240.6"
"r_9","2","1000cp","2017Q3","1","156.2"
"r_9","2","1000cp","2017Q3","2","84.4"
"r_9","3","1000cp","2017Q3","0","2839.6"
"r_9","3","1000cp","2017Q3","1","1470.9"
"r_9","3","1000cp","2017Q3","2","1368.6"
"r_9","3_1","1000cp","2017Q3","0","2154.1"
"r_9","3_1","1000cp","2017Q3","1","1187.7"
"r_9","3_1","1000cp","2017Q3","2","966.4"
"r_9","3_2","1000cp","2017Q3","0","685.5"
"r_9","3_2","1000cp","2017Q3","1","283.3"
"r_9","3_2","1000cp","2017Q3","2","402.2"
"r_9","4","1000cp","2017Q3","0","26.4"
"r_9","4","1000cp","2017Q3","1","9.5"
"r_9","4","1000cp","2017Q3","2","16.8"
"r_10","0","1000cp","2017Q4","0","3167.6"
"r_10","0","1000cp","2017Q4","1","1704.3"
"r_10","0","1000cp","2017Q4","2","1463.3"
"r_10","1","1000cp","2017Q4","0","112"
"r_10","1","1000cp","2017Q4","1","80.9"
"r_10","1","1000cp","2017Q4","2","31.1"
"r_10","2","1000cp","2017Q4","0","241.2"
"r_10","2","1000cp","2017Q4","1","154.8"
"r_10","2","1000cp","2017Q4","2","86.4"
"r_10","3","1000cp","2017Q4","0","2790.4"
"r_10","3","1000cp","2017Q4","1","1458.5"
"r_10","3","1000cp","2017Q4","2","1331.8"
"r_10","3_1","1000cp","2017Q4","0","2108.7"
"r_10","3_1","1000cp","2017Q4","1","1180.5"
"r_10","3_1","1000cp","2017Q4","2","928.2"
"r_10","3_2","1000cp","2017Q4","0","681.6"
"r_10","3_2","1000cp","2017Q4","1","278"
"r_10","3_2","1000cp","2017Q4","2","403.6"
"r_10","4","1000cp","2017Q4","0","24"
"r_10","4","1000cp","2017Q4","1","10.1"
"r_10","4","1000cp","2017Q4","2","13.9"
"r_11","0","1000cp","2018Q1","0","3099.3"
"r_11","0","1000cp","2018Q1","1","1655.8"
"r_11","0","1000cp","2018Q1","2","1443.6"
"r_11","1","1000cp","2018Q1","0","119"
"r_11","1","1000cp","2018Q1","1","87.7"
"r_11","1","1000cp","2018Q1","2","31.2"
"r_11","2","1000cp","2018Q1","0","223.8"
"r_11","2","1000cp","2018Q1","1","140.4"
"r_11","2","1000cp","2018Q1","2","83.4"
"r_11","3","1000cp","2018Q1","0","2733.5"
"r_11","3","1000cp","2018Q1","1","1417.8"
"r_11","3","1000cp","2018Q1","2","1315.8"
"r_11","3_1","1000cp","2018Q1","0","2078.4"
"r_11","3_1","1000cp","2018Q1","1","1166.3"
"r_11","3_1","1000cp","2018Q1","2","912.2"
"r_11","3_2","1000cp","2018Q1","0","655.1"
"r_11","3_2","1000cp","2018Q1","1","251.5"
"r_11","3_2","1000cp","2018Q1","2","403.6"
"r_11","4","1000cp","2018Q1","0","23"
"r_11","4","1000cp","2018Q1","1","9.9"
"r_11","4","1000cp","2018Q1","2","13.2"
"r_12","0","1000cp","2018Q2","0","3157.1"
"r_12","0","1000cp","2018Q2","1","1678.1"
"r_12","0","1000cp","2018Q2","2","1479"
"r_12","1","1000cp","2018Q2","0","123.5"
"r_12","1","1000cp","2018Q2","1","90.4"
"r_12","1","1000cp","2018Q2","2","33.1"
"r_12","2","1000cp","2018Q2","0","223.9"
"r_12","2","1000cp","2018Q2","1","143.9"
"r_12","2","1000cp","2018Q2","2","80"
"r_12","3","1000cp","2018Q2","0","2785.6"
"r_12","3","1000cp","2018Q2","1","1435"
"r_12","3","1000cp","2018Q2","2","1350.6"
"r_12","3_1","1000cp","2018Q2","0","2123.4"
"r_12","3_1","1000cp","2018Q2","1","1172.8"
"r_12","3_1","1000cp","2018Q2","2","950.6"
"r_12","3_2","1000cp","2018Q2","0","662.2"
"r_12","3_2","1000cp","2018Q2","1","262.2"
"r_12","3_2","1000cp","2018Q2","2","400"
"r_12","4","1000cp","2018Q2","0","24.1"
"r_12","4","1000cp","2018Q2","1","8.7"
"r_12","4","1000cp","2018Q2","2","15.4"
"r_13","0","1000cp","2018Q3","0","3205.3"
"r_13","0","1000cp","2018Q3","1","1712.2"
"r_13","0","1000cp","2018Q3","2","1493.2"
"r_13","1","1000cp","2018Q3","0","116.5"
"r_13","1","1000cp","2018Q3","1","85"
"r_13","1","1000cp","2018Q3","2","31.4"
"r_13","2","1000cp","2018Q3","0","233.1"
"r_13","2","1000cp","2018Q3","1","151"
"r_13","2","1000cp","2018Q3","2","82.1"
"r_13","3","1000cp","2018Q3","0","2831.9"
"r_13","3","1000cp","2018Q3","1","1468.6"
"r_13","3","1000cp","2018Q3","2","1363.3"
"r_13","3_1","1000cp","2018Q3","0","2150.3"
"r_13","3_1","1000cp","2018Q3","1","1186.7"
"r_13","3_1","1000cp","2018Q3","2","963.6"
"r_13","3_2","1000cp","2018Q3","0","681.7"
"r_13","3_2","1000cp","2018Q3","1","281.9"
"r_13","3_2","1000cp","2018Q3","2","399.7"
"r_13","4","1000cp","2018Q3","0","23.9"
"r_13","4","1000cp","2018Q3","1","7.5"
"r_13","4","1000cp","2018Q3","2","16.3"
"r_14","0","1000cp","2018Q4","0","3148.9"
"r_14","0","1000cp","2018Q4","1","1695.3"
"r_14","0","1000cp","2018Q4","2","1453.6"
"r_14","1","1000cp","2018Q4","0","109.8"
"r_14","1","1000cp","2018Q4","1","80.2"
"r_14","1","1000cp","2018Q4","2","29.7"
"r_14","2","1000cp","2018Q4","0","225.5"
"r_14","2","1000cp","2018Q4","1","149.8"
"r_14","2","1000cp","2018Q4","2","75.7"
"r_14","3","1000cp","2018Q4","0","2790.6"
"r_14","3","1000cp","2018Q4","1","1455.9"
"r_14","3","1000cp","2018Q4","2","1334.7"
"r_14","3_1","1000cp","2018Q4","0","2102"
"r_14","3_1","1000cp","2018Q4","1","1180.2"
"r_14","3_1","1000cp","2018Q4","2","921.7"
"r_14","3_2","1000cp","2018Q4","0","688.6"
"r_14","3_2","1000cp","2018Q4","1","275.7"
"r_14","3_2","1000cp","2018Q4","2","413"
"r_14","4","1000cp","2018Q4","0","23"
"r_14","4","1000cp","2018Q4","1","9.4"
"r_14","4","1000cp","2018Q4","2","13.6"
"r_15","0","1000cp","2019Q1","0","3147.8"
"r_15","0","1000cp","2019Q1","1","1681.4"
"r_15","0","1000cp","2019Q1","2","1466.4"
"r_15","1","1000cp","2019Q1","0","112.4"
"r_15","1","1000cp","2019Q1","1","81.4"
"r_15","1","1000cp","2019Q1","2","31.1"
"r_15","2","1000cp","2019Q1","0","223.2"
"r_15","2","1000cp","2019Q1","1","144"
"r_15","2","1000cp","2019Q1","2","79.2"
"r_15","3","1000cp","2019Q1","0","2789.8"
"r_15","3","1000cp","2019Q1","1","1446.8"
"r_15","3","1000cp","2019Q1","2","1343"
"r_15","3_1","1000cp","2019Q1","0","2111.3"
"r_15","3_1","1000cp","2019Q1","1","1172.7"
"r_15","3_1","1000cp","2019Q1","2","938.6"
"r_15","3_2","1000cp","2019Q1","0","678.5"
"r_15","3_2","1000cp","2019Q1","1","274.1"
"r_15","3_2","1000cp","2019Q1","2","404.4"
"r_15","4","1000cp","2019Q1","0","22.3"
"r_15","4","1000cp","2019Q1","1","9.3"
"r_15","4","1000cp","2019Q1","2","13.1"
"r_16","0","1000cp","2019Q2","0","3262.8"
"r_16","0","1000cp","2019Q2","1","1733.2"
"r_16","0","1000cp","2019Q2","2","1529.7"
"r_16","1","1000cp","2019Q2","0","116.5"
"r_16","1","1000cp","2019Q2","1","86"
"r_16","1","1000cp","2019Q2","2","30.4"
"r_16","2","1000cp","2019Q2","0","213.4"
"r_16","2","1000cp","2019Q2","1","134.7"
"r_16","2","1000cp","2019Q2","2","78.7"
"r_16","3","1000cp","2019Q2","0","2912.6"
"r_16","3","1000cp","2019Q2","1","1506.8"
"r_16","3","1000cp","2019Q2","2","1405.8"
"r_16","3_1","1000cp","2019Q2","0","2217.5"
"r_16","3_1","1000cp","2019Q2","1","1224.7"
"r_16","3_1","1000cp","2019Q2","2","992.8"
"r_16","3_2","1000cp","2019Q2","0","695.1"
"r_16","3_2","1000cp","2019Q2","1","282.1"
"r_16","3_2","1000cp","2019Q2","2","413"
"r_16","4","1000cp","2019Q2","0","20.4"
"r_16","4","1000cp","2019Q2","1","5.7"
"r_16","4","1000cp","2019Q2","2","14.7"
"r_17","0","1000cp","2003Q1","0","2704.3"
"r_17","0","1000cp","2003Q1","1","1424"
"r_17","0","1000cp","2003Q1","2","1280.3"
"r_17","0","1000cp","2003Q2","0","2876"
"r_17","0","1000cp","2003Q2","1","1525.9"
"r_17","0","1000cp","2003Q2","2","1350.1"
"r_17","0","1000cp","2003Q3","0","2933.1"
"r_17","0","1000cp","2003Q3","1","1555.3"
"r_17","0","1000cp","2003Q3","2","1377.8"
"r_17","0","1000cp","2003Q4","0","2825.6"
"r_17","0","1000cp","2003Q4","1","1497.7"
"r_17","0","1000cp","2003Q4","2","1327.9"
"r_17","0","1000cp","2004Q1","0","2783.8"
"r_17","0","1000cp","2004Q1","1","1482.2"
"r_17","0","1000cp","2004Q1","2","1301.7"
"r_17","0","1000cp","2004Q2","0","2969.8"
"r_17","0","1000cp","2004Q2","1","1575.3"
"r_17","0","1000cp","2004Q2","2","1394.5"
"r_17","0","1000cp","2004Q3","0","3024.6"
"r_17","0","1000cp","2004Q3","1","1597.3"
"r_17","0","1000cp","2004Q3","2","1427.2"
"r_17","0","1000cp","2004Q4","0","2911.9"
"r_17","0","1000cp","2004Q4","1","1545.6"
"r_17","0","1000cp","2004Q4","2","1366.3"
"r_17","0","1000cp","2005Q1","0","2838.4"
"r_17","0","1000cp","2005Q1","1","1511.8"
"r_17","0","1000cp","2005Q1","2","1326.6"
"r_17","0","1000cp","2005Q2","0","3008.9"
"r_17","0","1000cp","2005Q2","1","1603.6"
