RevisionColumn,HBS_POTR,Residence,periods,ValueColumn
"r_1","05","2","2014","5.9"
"r_1","06","0","2004","24.2"
"r_1","06","1","2004","23.3"
"r_1","06","2","2004","26.1"
"r_1","06","0","2005","24.2"
"r_1","06","1","2005","23.4"
"r_1","06","2","2005","25.9"
"r_1","06","0","2006","26.5"
"r_1","06","1","2006","25.8"
"r_1","06","2","2006","28.2"
"r_1","06","0","2007","27.4"
"r_1","06","1","2007","27"
"r_1","06","2","2007","28.1"
"r_1","06","0","2008","28.3"
"r_1","06","1","2008","28.2"
"r_1","06","2","2008","28.5"
"r_1","06","0","2009","30.7"
"r_1","06","1","2009","30.7"
"r_1","06","2","2009","30.7"
"r_1","06","0","2010","32"
"r_1","06","1","2010","32.1"
"r_1","06","2","2010","31.7"
"r_1","06","0","2011","32.1"
"r_1","06","1","2011","32.7"
"r_1","06","2","2011","30.6"
"r_1","06","0","2012","32"
"r_1","06","1","2012","32.3"
"r_1","06","2","2012","31.2"
"r_1","06","0","2013","32.2"
"r_1","06","1","2013","32.6"
"r_1","06","2","2013","31"
"r_1","06","0","2014","32.5"
"r_1","06","1","2014","32.7"
"r_1","06","2","2014","31.7"
"r_1","061","0","2004","4.3"
"r_1","061","1","2004","4.3"
"r_1","061","2","2004","4.2"
"r_1","061","0","2005","3.6"
"r_1","061","1","2005","3.7"
"r_1","061","2","2005","3.4"
"r_1","061","0","2006","4.3"
"r_1","061","1","2006","4.5"
"r_1","061","2","2006","3.7"
"r_1","061","0","2007","5.1"
"r_1","061","1","2007","5.5"
"r_1","061","2","2007","4"
"r_1","061","0","2008","5.3"
"r_1","061","1","2008","6"
"r_1","061","2","2008","3.8"
"r_1","061","0","2009","6.1"
"r_1","061","1","2009","6.9"
"r_1","061","2","2009","4.2"
"r_1","061","0","2010","6.9"
"r_1","061","1","2010","7.7"
"r_1","061","2","2010","5"
"r_1","061","0","2011","7.3"
"r_1","061","1","2011","8.1"
"r_1","061","2","2011","5.1"
"r_1","061","0","2012","7.7"
"r_1","061","1","2012","8.4"
"r_1","061","2","2012","5.6"
"r_1","061","0","2013","8.1"
"r_1","061","1","2013","8.9"
"r_1","061","2","2013","5.7"
"r_1","061","0","2014","8.6"
"r_1","061","1","2014","9.5"
"r_1","061","2","2014","5.8"
"r_1","062","0","2004","1"
"r_1","062","1","2004","0.8"
"r_1","062","2","2004","1.5"
"r_1","062","0","2005","1"
"r_1","062","1","2005","0.8"
"r_1","062","2","2005","1.6"
"r_1","062","0","2006","1"
"r_1","062","1","2006","0.8"
"r_1","062","2","2006","1.6"
"r_1","062","0","2007","1.1"
"r_1","062","1","2007","0.8"
"r_1","062","2","2007","1.7"
"r_1","062","0","2008","1.1"
"r_1","062","1","2008","0.8"
"r_1","062","2","2008","1.8"
"r_1","062","0","2009","1"
"r_1","062","1","2009","0.8"
"r_1","062","2","2009","1.6"
"r_1","062","0","2010","1"
"r_1","062","1","2010","0.8"
"r_1","062","2","2010","1.4"
"r_1","062","0","2011","0.9"
"r_1","062","1","2011","0.7"
"r_1","062","2","2011","1.2"
"r_1","062","0","2012","0.9"
"r_1","062","1","2012","0.7"
"r_1","062","2","2012","1.4"
"r_1","062","0","2013","0.8"
"r_1","062","1","2013","0.7"
"r_1","062","2","2013","1.1"
"r_1","062","0","2014","0.9"
"r_1","062","1","2014","0.7"
"r_1","062","2","2014","1.5"
"r_1","063","0","2004","1.8"
"r_1","063","1","2004","1.1"
"r_1","063","2","2004","3.3"
"r_1","063","0","2005","1.6"
"r_1","063","1","2005","1"
"r_1","063","2","2005","2.9"
"r_1","063","0","2006","1.6"
"r_1","063","1","2006","1.1"
"r_1","063","2","2006","2.9"
"r_1","063","0","2007","1.5"
"r_1","063","1","2007","1.1"
"r_1","063","2","2007","2.4"
"r_1","063","0","2008","1.6"
"r_1","063","1","2008","1.3"
"r_1","063","2","2008","2.5"
"r_1","063","0","2009","1.7"
"r_1","063","1","2009","1.3"
"r_1","063","2","2009","2.6"
"r_1","063","0","2010","1.4"
"r_1","063","1","2010","1"
"r_1","063","2","2010","2.2"
"r_1","063","0","2011","1.1"
"r_1","063","1","2011","0.9"
"r_1","063","2","2011","1.7"
"r_1","063","0","2012","0.9"
"r_1","063","1","2012","0.7"
"r_1","063","2","2012","1.6"
"r_1","063","0","2013","1"
"r_1","063","1","2013","0.8"
"r_1","063","2","2013","1.4"
"r_1","063","0","2014","1"
"r_1","063","1","2014","0.9"
"r_1","063","2","2014","1.4"
"r_1","064","0","2004","0.6"
"r_1","064","1","2004","0.4"
"r_1","064","2","2004","1.2"
"r_1","064","0","2005","0.6"
"r_1","064","1","2005","0.4"
"r_1","064","2","2005","0.9"
"r_1","064","0","2006","0.6"
"r_1","064","1","2006","0.3"
"r_1","064","2","2006","1.2"
"r_1","064","0","2007","0.5"
"r_1","064","1","2007","0.3"
"r_1","064","2","2007","1"
"r_1","064","0","2008","0.5"
"r_1","064","1","2008","0.3"
"r_1","064","2","2008","1"
"r_1","064","0","2009","0.5"
"r_1","064","1","2009","0.3"
"r_1","064","2","2009","1"
"r_1","064","0","2010","0.3"
"r_1","064","1","2010","0.2"
"r_1","064","2","2010","0.7"
"r_1","064","0","2011","0.2"
"r_1","064","1","2011","0.1"
"r_1","064","2","2011","0.5"
"r_1","064","0","2012","0.2"
"r_1","064","1","2012","0.1"
"r_1","064","2","2012","0.5"
"r_1","064","0","2013","0.2"
"r_1","064","1","2013","0.1"
"r_1","064","2","2013","0.5"
"r_1","064","0","2014","0.2"
"r_1","064","1","2014","0.1"
"r_1","064","2","2014","0.4"
"r_1","065","0","2004","5.7"
"r_1","065","1","2004","6"
"r_1","065","2","2004","5.1"
"r_1","065","0","2005","6.2"
"r_1","065","1","2005","6.4"
"r_1","065","2","2005","5.6"
"r_1","065","0","2006","6.8"
"r_1","065","1","2006","7"
"r_1","065","2","2006","6.3"
"r_1","065","0","2007","6.9"
"r_1","065","1","2007","7"
"r_1","065","2","2007","6.4"
"r_1","065","0","2008","7.2"
"r_1","065","1","2008","7.3"
"r_1","065","2","2008","6.7"
"r_1","065","0","2009","7.4"
"r_1","065","1","2009","7.5"
"r_1","065","2","2009","7.2"
"r_1","065","0","2010","8"
"r_1","065","1","2010","8.1"
"r_1","065","2","2010","7.8"
"r_1","065","0","2011","8.3"
"r_1","065","1","2011","8.4"
"r_1","065","2","2011","8.1"
"r_1","065","0","2012","8"
"r_1","065","1","2012","8.1"
"r_1","065","2","2012","7.7"
"r_1","065","0","2013","8"
"r_1","065","1","2013","8.1"
"r_1","065","2","2013","7.7"
"r_1","065","0","2014","7.6"
"r_1","065","1","2014","7.5"
"r_1","065","2","2014","7.8"
"r_1","066","0","2004","7.5"
"r_1","066","1","2004","7.5"
"r_1","066","2","2004","7.3"
"r_1","066","0","2005","7.9"
"r_1","066","1","2005","7.9"
"r_1","066","2","2005","8"
"r_1","066","0","2006","8.9"
"r_1","066","1","2006","8.9"
"r_1","066","2","2006","8.9"
"r_1","066","0","2007","8.8"
"r_1","066","1","2007","8.9"
"r_1","066","2","2007","8.8"
"r_1","066","0","2008","9"
"r_1","066","1","2008","9.1"
"r_1","066","2","2008","8.9"
"r_1","066","0","2009","10.2"
"r_1","066","1","2009","10.3"
"r_1","066","2","2009","10.1"
"r_1","066","0","2010","10.9"
"r_1","066","1","2010","10.9"
"r_1","066","2","2010","11"
"r_1","066","0","2011","10.9"
"r_1","066","1","2011","11.1"
"r_1","066","2","2011","10.5"
"r_1","066","0","2012","10.9"
"r_1","066","1","2012","10.9"
"r_1","066","2","2012","10.8"
"r_1","066","0","2013","10.9"
"r_1","066","1","2013","10.9"
"r_1","066","2","2013","10.7"
"r_1","066","0","2014","11"
"r_1","066","1","2014","11.1"
"r_1","066","2","2014","11"
"r_1","067","0","2004","0.3"
"r_1","067","1","2004","0.3"
"r_1","067","2","2004","0.4"
"r_1","067","0","2005","0.3"
"r_1","067","1","2005","0.3"
"r_1","067","2","2005","0.3"
"r_1","067","0","2006","0.3"
"r_1","067","1","2006","0.3"
"r_1","067","2","2006","0.4"
"r_1","067","0","2007","0.3"
"r_1","067","1","2007","0.3"
"r_1","067","2","2007","0.4"
"r_1","067","0","2008","0.3"
"r_1","067","1","2008","0.2"
"r_1","067","2","2008","0.4"
"r_1","067","0","2009","0.2"
"r_1","067","1","2009","0.2"
"r_1","067","2","2009","0.4"
"r_1","067","0","2010","0.2"
"r_1","067","1","2010","0.1"
"r_1","067","2","2010","0.4"
"r_1","067","0","2011","0.2"
"r_1","067","1","2011","0.2"
"r_1","067","2","2011","0.4"
"r_1","067","0","2012","0.3"
"r_1","067","1","2012","0.2"
"r_1","067","2","2012","0.5"
"r_1","067","0","2013","0.3"
"r_1","067","1","2013","0.2"
"r_1","067","2","2013","0.5"
"r_1","067","0","2014","0.3"
"r_1","067","1","2014","0.2"
"r_1","067","2","2014","0.6"
"r_1","068","0","2004","3"
"r_1","068","1","2004","2.9"
"r_1","068","2","2004","3.1"
"r_1","068","0","2005","3"
"r_1","068","1","2005","2.9"
"r_1","068","2","2005","3.2"
"r_1","068","0","2006","3"
"r_1","068","1","2006","2.9"
"r_1","068","2","2006","3.2"
"r_1","068","0","2007","3.2"
"r_1","068","1","2007","3.1"
"r_1","068","2","2007","3.4"
"r_1","068","0","2008","3.3"
"r_1","068","1","2008","3.2"
"r_1","068","2","2008","3.4"
"r_1","068","0","2009","3.6"
"r_1","068","1","2009","3.5"
"r_1","068","2","2009","3.7"
"r_1","068","0","2010","3.3"
"r_1","068","1","2010","3.3"
"r_1","068","2","2010","3.2"
"r_1","068","0","2011","3.2"
"r_1","068","1","2011","3.2"
"r_1","068","2","2011","3"
"r_1","068","0","2012","3.2"
"r_1","068","1","2012","3.1"
"r_1","068","2","2012","3.3"
"r_1","068","0","2013","3"
"r_1","068","1","2013","2.9"
"r_1","068","2","2013","3.4"
"r_1","068","0","2014","2.9"
"r_1","068","1","2014","2.8"
"r_1","068","2","2014","3.2"
"r_1","07","0","2004","12.7"
"r_1","07","1","2004","12.4"
"r_1","07","2","2004","13.5"
"r_1","07","0","2005","13.4"
"r_1","07","1","2005","13.4"
"r_1","07","2","2005","13.4"
"r_1","07","0","2006","14.1"
"r_1","07","1","2006","14.2"
"r_1","07","2","2006","14.1"
"r_1","07","0","2007","14.8"
"r_1","07","1","2007","14.9"
"r_1","07","2","2007","14.6"
"r_1","07","0","2008","15"
"r_1","07","1","2008","15.1"
"r_1","07","2","2008","14.7"
"r_1","07","0","2009","14.3"
"r_1","07","1","2009","14.3"
"r_1","07","2","2009","14.2"
"r_1","07","0","2010","13.8"
"r_1","07","1","2010","13.7"
"r_1","07","2","2010","14.1"
"r_1","07","0","2011","14"
"r_1","07","1","2011","13.9"
"r_1","07","2","2011","14.1"
"r_1","07","0","2012","14.3"
"r_1","07","1","2012","14.3"
"r_1","07","2","2012","14.3"
"r_1","07","0","2013","14.4"
"r_1","07","1","2013","14.4"
"r_1","07","2","2013","14.3"
"r_1","07","0","2014","14"
"r_1","07","1","2014","13.8"
"r_1","07","2","2014","14.7"
"r_1","071","0","2004","2"
"r_1","071","1","2004","2.4"
"r_1","071","2","2004","1.2"
"r_1","071","0","2005","2.4"
"r_1","071","1","2005","2.8"
"r_1","071","2","2005","1.3"
"r_1","071","0","2006","2.6"
"r_1","071","1","2006","3"
"r_1","071","2","2006","1.5"
"r_1","071","0","2007","3"
"r_1","071","1","2007","3.6"
"r_1","071","2","2007","1.8"
"r_1","071","0","2008","3.4"
"r_1","071","1","2008","4"
"r_1","071","2","2008","2"
"r_1","071","0","2009","3.6"
"r_1","071","1","2009","4.2"
"r_1","071","2","2009","2.2"
"r_1","071","0","2010","3.2"
"r_1","071","1","2010","3.7"
"r_1","071","2","2010","2.1"
"r_1","071","0","2011","3.2"
"r_1","071","1","2011","3.6"
"r_1","071","2","2011","2.3"
"r_1","071","0","2012","3.4"
"r_1","071","1","2012","3.7"
"r_1","071","2","2012","2.4"
"r_1","071","0","2013","3.7"
"r_1","071","1","2013","4.1"
"r_1","071","2","2013","2.4"
"r_1","071","0","2014","3.9"
"r_1","071","1","2014","4.3"
"r_1","071","2","2014","2.5"
"r_1","072","0","2004","8"
"r_1","072","1","2004","7.9"
"r_1","072","2","2004","8.2"
"r_1","072","0","2005","8.5"
"r_1","072","1","2005","8.4"
"r_1","072","2","2005","8.7"
"r_1","072","0","2006","9"
"r_1","072","1","2006","9"
"r_1","072","2","2006","9.1"
"r_1","072","0","2007","8.9"
"r_1","072","1","2007","8.8"
"r_1","072","2","2007","9"
"r_1","072","0","2008","8.8"
"r_1","072","1","2008","8.5"
"r_1","072","2","2008","9.4"
"r_1","072","0","2009","7.9"
"r_1","072","1","2009","7.6"
"r_1","072","2","2009","8.6"
"r_1","072","0","2010","8"
"r_1","072","1","2010","7.7"
"r_1","072","2","2010","8.8"
"r_1","072","0","2011","8.1"
"r_1","072","1","2011","7.8"
"r_1","072","2","2011","9"
"r_1","072","0","2012","8.1"
"r_1","072","1","2012","7.8"
"r_1","072","2","2012","9"
"r_1","072","0","2013","7.9"
"r_1","072","1","2013","7.6"
"r_1","072","2","2013","8.9"
"r_1","072","0","2014","7.7"
"r_1","072","1","2014","7.3"
"r_1","072","2","2014","9.1"
"r_1","073","0","2004","0.5"
"r_1","073","1","2004","0.3"
"r_1","073","2","2004","1"
"r_1","073","0","2005","0.3"
"r_1","073","1","2005","0.2"
"r_1","073","2","2005","0.6"
"r_1","073","0","2006","0.3"
"r_1","073","1","2006","0.2"
"r_1","073","2","2006","0.7"
"r_1","073","0","2007","0.3"
"r_1","073","1","2007","0.2"
"r_1","073","2","2007","0.5"
"r_1","073","0","2008","0.2"
"r_1","073","1","2008","0.2"
"r_1","073","2","2008","0.4"
"r_1","073","0","2009","0.2"
"r_1","073","1","2009","0.1"
"r_1","073","2","2009","0.3"
"r_1","073","0","2010","0.2"
"r_1","073","1","2010","0.1"
"r_1","073","2","2010","0.3"
"r_1","073","0","2011","0.1"
"r_1","073","1","2011","0.1"
"r_1","073","2","2011","0.2"
"r_1","073","0","2012","0.2"
"r_1","073","1","2012","0.1"
"r_1","073","2","2012","0.3"
"r_1","073","0","2013","0.2"
"r_1","073","1","2013","0.1"
"r_1","073","2","2013","0.3"
"r_1","073","0","2014","0.1"
"r_1","073","1","2014","0.1"
"r_1","073","2","2014","0.2"
"r_1","074","0","2004","1.4"
"r_1","074","1","2004","0.9"
"r_1","074","2","2004","2.5"
"r_1","074","0","2005","1.2"
"r_1","074","1","2005","0.8"
"r_1","074","2","2005","2"
"r_1","074","0","2006","1"
"r_1","074","1","2006","0.7"
"r_1","074","2","2006","1.9"
"r_1","074","0","2007","1.2"
"r_1","074","1","2007","0.7"
"r_1","074","2","2007","2.2"
"r_1","074","0","2008","0.9"
"r_1","074","1","2008","0.6"
"r_1","074","2","2008","1.6"
"r_1","074","0","2009","1"
"r_1","074","1","2009","0.6"
"r_1","074","2","2009","1.8"
"r_1","074","0","2010","0.9"
"r_1","074","1","2010","0.7"
"r_1","074","2","2010","1.5"
"r_1","074","0","2011","0.8"
"r_1","074","1","2011","0.6"
"r_1","074","2","2011","1.3"
"r_1","074","0","2012","0.8"
"r_1","074","1","2012","0.6"
"r_1","074","2","2012","1.2"
"r_1","074","0","2013","0.7"
"r_1","074","1","2013","0.5"
"r_1","074","2","2013","1.2"
"r_1","074","0","2014","0.7"
"r_1","074","1","2014","0.5"
"r_1","074","2","2014","1.3"
"r_1","075","0","2004","0.8"
"r_1","075","1","2004","0.9"
"r_1","075","2","2004","0.6"
"r_1","075","0","2005","1"
"r_1","075","1","2005","1.2"
"r_1","075","2","2005","0.8"
"r_1","075","0","2006","1.2"
"r_1","075","1","2006","1.3"
"r_1","075","2","2006","0.9"
"r_1","075","0","2007","1.4"
"r_1","075","1","2007","1.6"
"r_1","075","2","2007","1.1"
"r_1","075","0","2008","1.6"
"r_1","075","1","2008","1.8"
"r_1","075","2","2008","1.4"
"r_1","075","0","2009","1.7"
"r_1","075","1","2009","1.8"
"r_1","075","2","2009","1.3"
"r_1","075","0","2010","1.5"
"r_1","075","1","2010","1.5"
"r_1","075","2","2010","1.5"
"r_1","075","0","2011","1.7"
"r_1","075","1","2011","1.8"
"r_1","075","2","2011","1.3"
"r_1","075","0","2012","1.8"
"r_1","075","1","2012","1.9"
"r_1","075","2","2012","1.5"
