RevisionColumn,LFS_JobPermanency,Units,periods,ValueColumn
"r_10","0","1000cp","2017Q4","2790.4"
"r_10","1","1000cp","2017Q4","2680.2"
"r_10","2","1000cp","2017Q4","110.2"
"r_11","0","1000cp","2018Q1","2733.5"
"r_11","1","1000cp","2018Q1","2635.5"
"r_11","2","1000cp","2018Q1","98.1"
"r_12","0","1000cp","2018Q2","2785.6"
"r_12","1","1000cp","2018Q2","2667.5"
"r_12","2","1000cp","2018Q2","118.1"
"r_13","0","1000cp","2018Q3","2831.9"
"r_13","1","1000cp","2018Q3","2692.4"
"r_13","2","1000cp","2018Q3","139.5"
"r_14","0","1000cp","2018Q4","2790.6"
"r_14","1","1000cp","2018Q4","2689.3"
"r_14","2","1000cp","2018Q4","101.3"
"r_15","0","1000cp","2019Q1","2789.8"
"r_15","1","1000cp","2019Q1","2697.7"
"r_15","2","1000cp","2019Q1","92.1"
"r_16","0","1000cp","2019Q2","2912.6"
"r_16","1","1000cp","2019Q2","2778.6"
"r_16","2","1000cp","2019Q2","134"
"r_17","0","1000cp","2019Q3","2953.3"
"r_17","1","1000cp","2019Q3","2793.5"
"r_17","2","1000cp","2019Q3","159.7"
"r_18","0","1000cp","2019Q4","2876.8"
"r_18","1","1000cp","2019Q4","2759.1"
"r_18","2","1000cp","2019Q4","117.8"
"r_19","0","1000cp","2020Q1","2777.4"
"r_19","1","1000cp","2020Q1","2690.1"
"r_19","2","1000cp","2020Q1","87.3"
"r_20","0","1000cp","2020Q2","2728.7"
"r_20","1","1000cp","2020Q2","2632"
"r_20","2","1000cp","2020Q2","96.7"
"r_21","0","1000cp","2020Q3","2818.1"
"r_21","1","1000cp","2020Q3","2689.6"
"r_21","2","1000cp","2020Q3","128.5"
"r_22","0","1000cp","2020Q4","2780.1"
"r_22","1","1000cp","2020Q4","2689.3"
"r_22","2","1000cp","2020Q4","90.8"
"r_31","0","1000cp","2023Q1","2590.3"
"r_31","1","1000cp","2023Q1","2522.7"
"r_31","2","1000cp","2023Q1","67.6"
"r_32","0","1000cp","2023Q2","2601.1"
"r_32","1","1000cp","2023Q2","2510.8"
"r_32","2","1000cp","2023Q2","90.2"
"r_33","0","1000cp","2023Q3","2635.2"
"r_33","1","1000cp","2023Q3","2535"
"r_33","2","1000cp","2023Q3","100.2"
"r_36","0","1000cp","2022Q3","2651.7"
"r_36","1","1000cp","2022Q3","2525"
"r_36","2","1000cp","2022Q3","126.7"
"r_34","0","1000cp","2022Q1","2562.6"
"r_34","1","1000cp","2022Q1","2478.7"
"r_34","2","1000cp","2022Q1","83.9"
"r_35","0","1000cp","2022Q2","2600.2"
"r_35","1","1000cp","2022Q2","2498.7"
"r_35","2","1000cp","2022Q2","101.5"
"r_37","0","1000cp","2022Q4","2631.2"
"r_37","1","1000cp","2022Q4","2539"
"r_37","2","1000cp","2022Q4","92.2"
"r_38","0","1000cp","2023Q4","2576.5"
"r_38","1","1000cp","2023Q4","2507.3"
"r_38","2","1000cp","2023Q4","69.2"
"r_39","0","1000cp","2024Q1","2569.6"
"r_39","1","1000cp","2024Q1","2500.7"
"r_39","2","1000cp","2024Q1","68.9"
"r_40","0","1000cp","2021Q1","2542.3"
"r_40","1","1000cp","2021Q1","2472.9"
"r_40","2","1000cp","2021Q1","69.4"
"r_41","0","1000cp","2021Q2","2553.7"
"r_41","1","1000cp","2021Q2","2469.4"
"r_41","2","1000cp","2021Q2","84.3"
"r_42","0","1000cp","2021Q3","2590.1"
"r_42","1","1000cp","2021Q3","2488.5"
"r_42","2","1000cp","2021Q3","101.6"
"r_43","0","1000cp","2021Q4","2546.9"
"r_43","1","1000cp","2021Q4","2454.5"
"r_43","2","1000cp","2021Q4","92.4"
"r_44","0","1000cp","2024Q2","2587.7"
"r_44","1","1000cp","2024Q2","2499.9"
"r_44","2","1000cp","2024Q2","87.8"
"r_45","0","1000cp","2024Q3","2606"
"r_45","1","1000cp","2024Q3","2518.7"
"r_45","2","1000cp","2024Q3","87.3"
"r_46","0","1000cp","2024Q4","2567.6"
"r_46","1","1000cp","2024Q4","2502.6"
"r_46","2","1000cp","2024Q4","65"
"r_47","0","1000cp","2025Q1","2549.4"
"r_47","1","1000cp","2025Q1","2486.3"
"r_47","2","1000cp","2025Q1","63.1"
"r_48","0","1000cp","2025Q2","2545.9"
"r_48","1","1000cp","2025Q2","2471.3"
"r_48","2","1000cp","2025Q2","74.6"
"r_49","0","1000cp","2025Q3","2558.8"
"r_49","1","1000cp","2025Q3","2472"
"r_49","2","1000cp","2025Q3","86.7"
