RevisionColumn,HBS_Meassure,HBS_OR,Residence,periods,ValueColumn
"r_10","1","11102","0","2013","427"
"r_10","1","11102","1","2013","457"
"r_10","1","11102","2","2013","332"
"r_10","1","11102","0","2014","451"
"r_10","1","11102","1","2014","487"
"r_10","1","11102","2","2014","335"
"r_10","1","11102","0","2015","489"
"r_10","1","11102","1","2015","535"
"r_10","1","11102","2","2015","339"
"r_10","1","11102","0","2016","484"
"r_10","1","11102","1","2016","524"
"r_10","1","11102","2","2016","368"
"r_10","1","11102","0","2017","504"
"r_10","1","11102","1","2017","547"
"r_10","1","11102","2","2017","384"
"r_10","1","11102","0","2018","527"
"r_10","1","11102","1","2018","564"
"r_10","1","11102","2","2018","423"
"r_10","1","11102","0","2019","568"
"r_10","1","11102","1","2019","602"
"r_10","1","11102","2","2019","475"
"r_10","1","11102","0","2020","571"
"r_10","1","11102","1","2020","584"
"r_10","1","11102","2","2020","534"
"r_10","1","11102","0","2021","604"
"r_10","1","11102","1","2021","619"
"r_10","1","11102","2","2021","561"
"r_10","1","11102","0","2022","674"
"r_10","1","11102","1","2022","678"
"r_10","1","11102","2","2022","665"
"r_10","1","11103","0","2008","281"
"r_10","1","11103","1","2008","326"
"r_10","1","11103","2","2008","179"
"r_10","1","11103","0","2009","254"
"r_10","1","11103","1","2009","288"
"r_10","1","11103","2","2009","177"
"r_10","1","11103","0","2010","231"
"r_10","1","11103","1","2010","254"
"r_10","1","11103","2","2010","173"
"r_10","1","11103","0","2011","255"
"r_10","1","11103","1","2011","284"
"r_10","1","11103","2","2011","180"
"r_10","1","11103","0","2012","306"
"r_10","1","11103","1","2012","335"
"r_10","1","11103","2","2012","217"
"r_10","1","11103","0","2013","366"
"r_10","1","11103","1","2013","413"
"r_10","1","11103","2","2013","213"
"r_10","1","11103","0","2014","416"
"r_10","1","11103","1","2014","455"
"r_10","1","11103","2","2014","290"
"r_10","1","11103","0","2015","396"
"r_10","1","11103","1","2015","437"
"r_10","1","11103","2","2015","266"
"r_10","1","11103","0","2016","402"
"r_10","1","11103","1","2016","439"
"r_10","1","11103","2","2016","295"
"r_10","1","11103","0","2017","421"
"r_10","1","11103","1","2017","464"
"r_10","1","11103","2","2017","301"
"r_10","1","11103","0","2018","438"
"r_10","1","11103","1","2018","485"
"r_10","1","11103","2","2018","308"
"r_10","1","11103","0","2019","440"
"r_10","1","11103","1","2019","480"
"r_10","1","11103","2","2019","328"
"r_10","1","11103","0","2020","404"
"r_10","1","11103","1","2020","431"
"r_10","1","11103","2","2020","327"
"r_10","1","11103","0","2021","536"
"r_10","1","11103","1","2021","589"
"r_10","1","11103","2","2021","378"
"r_10","1","11103","0","2022","580"
"r_10","1","11103","1","2022","627"
"r_10","1","11103","2","2022","437"
"r_10","1","11104","0","2008","1100"
"r_10","1","11104","1","2008","1183"
"r_10","1","11104","2","2008","913"
"r_10","1","11104","0","2009","1194"
"r_10","1","11104","1","2009","1270"
"r_10","1","11104","2","2009","1024"
"r_10","1","11104","0","2010","1163"
"r_10","1","11104","1","2010","1200"
"r_10","1","11104","2","2010","1072"
"r_10","1","11104","0","2011","1206"
"r_10","1","11104","1","2011","1262"
"r_10","1","11104","2","2011","1062"
"r_10","1","11104","0","2012","1471"
"r_10","1","11104","1","2012","1490"
"r_10","1","11104","2","2012","1413"
"r_10","1","11104","0","2013","1500"
"r_10","1","11104","1","2013","1561"
"r_10","1","11104","2","2013","1302"
"r_10","1","11104","0","2014","1468"
"r_10","1","11104","1","2014","1495"
"r_10","1","11104","2","2014","1384"
"r_10","1","11104","0","2015","1598"
"r_10","1","11104","1","2015","1642"
"r_10","1","11104","2","2015","1454"
"r_10","1","11104","0","2016","1595"
"r_10","1","11104","1","2016","1596"
"r_10","1","11104","2","2016","1592"
"r_10","1","11104","0","2017","1770"
"r_10","1","11104","1","2017","1787"
"r_10","1","11104","2","2017","1725"
"r_10","1","11104","0","2018","1760"
"r_10","1","11104","1","2018","1755"
"r_10","1","11104","2","2018","1774"
"r_10","1","11104","0","2019","1821"
"r_10","1","11104","1","2019","1839"
"r_10","1","11104","2","2019","1770"
"r_10","1","11104","0","2020","1855"
"r_10","1","11104","1","2020","1840"
"r_10","1","11104","2","2020","1900"
"r_10","1","11104","0","2021","2038"
"r_10","1","11104","1","2021","2031"
"r_10","1","11104","2","2021","2060"
"r_10","1","11104","0","2022","2445"
"r_10","1","11104","1","2022","2371"
"r_10","1","11104","2","2022","2670"
"r_10","1","11105","0","2008","302"
"r_10","1","11105","1","2008","335"
"r_10","1","11105","2","2008","227"
"r_10","1","11105","0","2009","303"
"r_10","1","11105","1","2009","330"
"r_10","1","11105","2","2009","244"
"r_10","1","11105","0","2010","275"
"r_10","1","11105","1","2010","297"
"r_10","1","11105","2","2010","219"
"r_10","1","11105","0","2011","236"
"r_10","1","11105","1","2011","253"
"r_10","1","11105","2","2011","190"
"r_10","1","11105","0","2012","309"
"r_10","1","11105","1","2012","324"
"r_10","1","11105","2","2012","263"
"r_10","1","11105","0","2013","361"
"r_10","1","11105","1","2013","395"
"r_10","1","11105","2","2013","253"
"r_10","1","11105","0","2014","403"
"r_10","1","11105","1","2014","423"
"r_10","1","11105","2","2014","339"
"r_10","1","11105","0","2015","415"
"r_10","1","11105","1","2015","446"
"r_10","1","11105","2","2015","317"
"r_10","1","11105","0","2016","411"
"r_10","1","11105","1","2016","423"
"r_10","1","11105","2","2016","376"
"r_10","1","11105","0","2017","498"
"r_10","1","11105","1","2017","534"
"r_10","1","11105","2","2017","399"
"r_10","1","11105","0","2018","514"
"r_10","1","11105","1","2018","547"
"r_10","1","11105","2","2018","425"
"r_10","1","11105","0","2019","503"
"r_10","1","11105","1","2019","521"
"r_10","1","11105","2","2019","455"
"r_10","1","11105","0","2020","561"
"r_10","1","11105","1","2020","577"
"r_10","1","11105","2","2020","517"
"r_10","1","11105","0","2021","696"
"r_10","1","11105","1","2021","730"
"r_10","1","11105","2","2021","593"
"r_10","1","11105","0","2022","780"
"r_10","1","11105","1","2022","811"
"r_10","1","11105","2","2022","688"
"r_10","1","11106","0","2008","385"
"r_10","1","11106","1","2008","419"
"r_10","1","11106","2","2008","307"
"r_10","1","11106","0","2009","438"
"r_10","1","11106","1","2009","474"
"r_10","1","11106","2","2009","358"
"r_10","1","11106","0","2010","447"
"r_10","1","11106","1","2010","467"
"r_10","1","11106","2","2010","396"
"r_10","1","11106","0","2011","479"
"r_10","1","11106","1","2011","503"
"r_10","1","11106","2","2011","418"
"r_10","1","11106","0","2012","501"
"r_10","1","11106","1","2012","504"
"r_10","1","11106","2","2012","493"
"r_10","1","11106","0","2013","553"
"r_10","1","11106","1","2013","582"
"r_10","1","11106","2","2013","462"
"r_10","1","11106","0","2014","570"
"r_10","1","11106","1","2014","593"
"r_10","1","11106","2","2014","499"
"r_10","1","11106","0","2015","594"
"r_10","1","11106","1","2015","613"
"r_10","1","11106","2","2015","533"
"r_10","1","11106","0","2016","616"
"r_10","1","11106","1","2016","644"
"r_10","1","11106","2","2016","536"
"r_10","1","11106","0","2017","642"
"r_10","1","11106","1","2017","670"
"r_10","1","11106","2","2017","566"
"r_10","1","11106","0","2018","701"
"r_10","1","11106","1","2018","728"
"r_10","1","11106","2","2018","626"
"r_10","1","11106","0","2019","842"
"r_10","1","11106","1","2019","832"
"r_10","1","11106","2","2019","868"
"r_10","1","11106","0","2020","836"
"r_10","1","11106","1","2020","858"
"r_10","1","11106","2","2020","772"
"r_10","1","11106","0","2021","924"
"r_10","1","11106","1","2021","945"
"r_10","1","11106","2","2021","863"
"r_10","1","11106","0","2022","1126"
"r_10","1","11106","1","2022","1133"
"r_10","1","11106","2","2022","1103"
"r_10","1","11107","0","2008","567"
"r_10","1","11107","1","2008","657"
"r_10","1","11107","2","2008","364"
"r_10","1","11107","0","2009","497"
"r_10","1","11107","1","2009","561"
"r_10","1","11107","2","2009","353"
"r_10","1","11107","0","2010","495"
"r_10","1","11107","1","2010","544"
"r_10","1","11107","2","2010","369"
"r_10","1","11107","0","2011","507"
"r_10","1","11107","1","2011","565"
"r_10","1","11107","2","2011","357"
"r_10","1","11107","0","2012","615"
"r_10","1","11107","1","2012","657"
"r_10","1","11107","2","2012","486"
"r_10","1","11107","0","2013","733"
"r_10","1","11107","1","2013","815"
"r_10","1","11107","2","2013","472"
"r_10","1","11107","0","2014","801"
"r_10","1","11107","1","2014","885"
"r_10","1","11107","2","2014","534"
"r_10","1","11107","0","2015","794"
"r_10","1","11107","1","2015","870"
"r_10","1","11107","2","2015","549"
"r_10","1","11107","0","2016","764"
"r_10","1","11107","1","2016","837"
"r_10","1","11107","2","2016","553"
"r_10","1","11107","0","2017","809"
"r_10","1","11107","1","2017","903"
"r_10","1","11107","2","2017","546"
"r_10","1","11107","0","2018","938"
"r_10","1","11107","1","2018","1042"
"r_10","1","11107","2","2018","645"
"r_10","1","11107","0","2019","1017"
"r_10","1","11107","1","2019","1137"
"r_10","1","11107","2","2019","683"
"r_10","1","11107","0","2020","893"
"r_10","1","11107","1","2020","961"
"r_10","1","11107","2","2020","696"
"r_10","1","11107","0","2021","1010"
"r_10","1","11107","1","2021","1085"
"r_10","1","11107","2","2021","784"
"r_10","1","11107","0","2022","1266"
"r_10","1","11107","1","2022","1336"
"r_10","1","11107","2","2022","1054"
"r_10","1","11108","0","2008","360"
"r_10","1","11108","1","2008","422"
"r_10","1","11108","2","2008","222"
"r_10","1","11108","0","2009","371"
"r_10","1","11108","1","2009","433"
"r_10","1","11108","2","2009","231"
"r_10","1","11108","0","2010","378"
"r_10","1","11108","1","2010","424"
"r_10","1","11108","2","2010","262"
"r_10","1","11108","0","2011","397"
"r_10","1","11108","1","2011","447"
"r_10","1","11108","2","2011","269"
"r_10","1","11108","0","2012","423"
"r_10","1","11108","1","2012","467"
"r_10","1","11108","2","2012","292"
"r_10","1","11108","0","2013","457"
"r_10","1","11108","1","2013","508"
"r_10","1","11108","2","2013","292"
"r_10","1","11108","0","2014","481"
"r_10","1","11108","1","2014","531"
"r_10","1","11108","2","2014","320"
"r_10","1","11108","0","2015","485"
"r_10","1","11108","1","2015","537"
"r_10","1","11108","2","2015","321"
"r_10","1","11108","0","2016","494"
"r_10","1","11108","1","2016","545"
"r_10","1","11108","2","2016","347"
"r_10","1","11108","0","2017","515"
"r_10","1","11108","1","2017","566"
"r_10","1","11108","2","2017","371"
"r_10","1","11108","0","2018","554"
"r_10","1","11108","1","2018","610"
"r_10","1","11108","2","2018","397"
"r_10","1","11108","0","2019","573"
"r_10","1","11108","1","2019","622"
"r_10","1","11108","2","2019","436"
"r_10","1","11108","0","2020","615"
"r_10","1","11108","1","2020","663"
"r_10","1","11108","2","2020","476"
"r_10","1","11108","0","2021","660"
"r_10","1","11108","1","2021","711"
"r_10","1","11108","2","2021","506"
"r_10","1","11108","0","2022","741"
"r_10","1","11108","1","2022","788"
"r_10","1","11108","2","2022","599"
"r_10","1","11109","0","2008","298"
"r_10","1","11109","1","2008","370"
"r_10","1","11109","2","2008","138"
"r_10","1","11109","0","2009","318"
"r_10","1","11109","1","2009","389"
"r_10","1","11109","2","2009","157"
"r_10","1","11109","0","2010","282"
"r_10","1","11109","1","2010","332"
"r_10","1","11109","2","2010","154"
"r_10","1","11109","0","2011","295"
"r_10","1","11109","1","2011","348"
"r_10","1","11109","2","2011","157"
"r_10","1","11109","0","2012","396"
"r_10","1","11109","1","2012","457"
"r_10","1","11109","2","2012","210"
"r_10","1","11109","0","2013","480"
"r_10","1","11109","1","2013","562"
"r_10","1","11109","2","2013","216"
"r_10","1","11109","0","2014","511"
"r_10","1","11109","1","2014","580"
"r_10","1","11109","2","2014","291"
"r_10","1","11109","0","2015","545"
"r_10","1","11109","1","2015","635"
"r_10","1","11109","2","2015","255"
"r_10","1","11109","0","2016","530"
"r_10","1","11109","1","2016","624"
"r_10","1","11109","2","2016","257"
"r_10","1","11109","0","2017","528"
"r_10","1","11109","1","2017","613"
"r_10","1","11109","2","2017","290"
"r_10","1","11109","0","2018","623"
"r_10","1","11109","1","2018","745"
"r_10","1","11109","2","2018","284"
"r_10","1","11109","0","2019","702"
"r_10","1","11109","1","2019","830"
"r_10","1","11109","2","2019","346"
"r_10","1","11109","0","2020","539"
"r_10","1","11109","1","2020","619"
"r_10","1","11109","2","2020","307"
"r_10","1","11109","0","2021","653"
"r_10","1","11109","1","2021","756"
"r_10","1","11109","2","2021","342"
"r_10","1","11109","0","2022","783"
"r_10","1","11109","1","2022","896"
"r_10","1","11109","2","2022","442"
"r_10","1","11110","0","2008","298"
"r_10","1","11110","1","2008","351"
"r_10","1","11110","2","2008","180"
"r_10","1","11110","0","2009","295"
"r_10","1","11110","1","2009","338"
"r_10","1","11110","2","2009","198"
"r_10","1","11110","0","2010","300"
"r_10","1","11110","1","2010","330"
"r_10","1","11110","2","2010","225"
"r_10","1","11110","0","2011","333"
"r_10","1","11110","1","2011","379"
"r_10","1","11110","2","2011","214"
"r_10","1","11110","0","2012","378"
"r_10","1","11110","1","2012","422"
"r_10","1","11110","2","2012","245"
"r_10","1","11110","0","2013","440"
"r_10","1","11110","1","2013","497"
"r_10","1","11110","2","2013","257"
"r_10","1","11110","0","2014","479"
"r_10","1","11110","1","2014","533"
"r_10","1","11110","2","2014","307"
"r_10","1","11110","0","2015","502"
"r_10","1","11110","1","2015","577"
"r_10","1","11110","2","2015","264"
"r_10","1","11110","0","2016","473"
"r_10","1","11110","1","2016","532"
"r_10","1","11110","2","2016","302"
"r_10","1","11110","0","2017","534"
"r_10","1","11110","1","2017","608"
"r_10","1","11110","2","2017","326"
"r_10","1","11110","0","2018","604"
"r_10","1","11110","1","2018","692"
"r_10","1","11110","2","2018","356"
"r_10","1","11110","0","2019","575"
"r_10","1","11110","1","2019","656"
"r_10","1","11110","2","2019","349"
"r_10","1","11110","0","2020","581"
"r_10","1","11110","1","2020","652"
"r_10","1","11110","2","2020","373"
"r_10","1","11110","0","2021","682"
"r_10","1","11110","1","2021","766"
"r_10","1","11110","2","2021","430"
"r_10","1","11110","0","2022","754"
"r_10","1","11110","1","2022","821"
"r_10","1","11110","2","2022","550"
"r_10","1","112","0","2008","253"
"r_10","1","112","1","2008","308"
"r_10","1","112","2","2008","129"
"r_10","1","112","0","2009","261"
"r_10","1","112","1","2009","317"
"r_10","1","112","2","2009","136"
"r_10","1","112","0","2010","301"
"r_10","1","112","1","2010","350"
"r_10","1","112","2","2010","176"
"r_10","1","112","0","2011","440"
"r_10","1","112","1","2011","517"
"r_10","1","112","2","2011","237"
"r_10","1","112","0","2012","474"
"r_10","1","112","1","2012","535"
"r_10","1","112","2","2012","289"
"r_10","1","112","0","2013","519"
"r_10","1","112","1","2013","583"
"r_10","1","112","2","2013","314"
"r_10","1","112","0","2014","531"
"r_10","1","112","1","2014","605"
"r_10","1","112","2","2014","295"
"r_10","1","112","0","2015","555"
"r_10","1","112","1","2015","634"
"r_10","1","112","2","2015","303"
"r_10","1","112","0","2016","579"
"r_10","1","112","1","2016","664"
"r_10","1","112","2","2016","333"
"r_10","1","112","0","2017","666"
"r_10","1","112","1","2017","770"
"r_10","1","112","2","2017","375"
"r_10","1","112","0","2018","712"
"r_10","1","112","1","2018","820"
"r_10","1","112","2","2018","412"
"r_10","1","112","0","2019","759"
"r_10","1","112","1","2019","864"
"r_10","1","112","2","2019","466"
"r_10","1","112","0","2020","775"
"r_10","1","112","1","2020","868"
"r_10","1","112","2","2020","504"
"r_10","1","112","0","2021","825"
"r_10","1","112","1","2021","917"
"r_10","1","112","2","2021","548"
"r_10","1","112","0","2022","872"
"r_10","1","112","1","2022","960"
"r_10","1","112","2","2022","607"
"r_10","1","113","0","2008","299"
"r_10","1","113","1","2008","362"
"r_10","1","113","2","2008","156"
"r_10","1","113","0","2009","304"
"r_10","1","113","1","2009","367"
"r_10","1","113","2","2009","161"
"r_10","1","113","0","2010","358"
"r_10","1","113","1","2010","414"
"r_10","1","113","2","2010","216"
"r_10","1","113","0","2011","501"
"r_10","1","113","1","2011","578"
"r_10","1","113","2","2011","299"
"r_10","1","113","0","2012","586"
"r_10","1","113","1","2012","656"
"r_10","1","113","2","2012","371"
"r_10","1","113","0","2013","676"
"r_10","1","113","1","2013","758"
"r_10","1","113","2","2013","411"
"r_10","1","113","0","2014","688"
"r_10","1","113","1","2014","790"
"r_10","1","113","2","2014","363"
"r_10","1","113","0","2015","712"
"r_10","1","113","1","2015","817"
"r_10","1","113","2","2015","378"
"r_10","1","113","0","2016","727"
"r_10","1","113","1","2016","823"
"r_10","1","113","2","2016","450"
"r_10","1","113","0","2017","822"
"r_10","1","113","1","2017","938"
"r_10","1","113","2","2017","497"
"r_10","1","113","0","2018","939"
"r_10","1","113","1","2018","1066"
"r_10","1","113","2","2018","586"
"r_10","1","113","0","2019","1029"
"r_10","1","113","1","2019","1153"
"r_10","1","113","2","2019","680"
"r_10","1","113","0","2020","1078"
"r_10","1","113","1","2020","1199"
"r_10","1","113","2","2020","729"
"r_10","1","113","0","2021","1113"
"r_10","1","113","1","2021","1232"
"r_10","1","113","2","2021","755"
"r_10","1","113","0","2022","1230"
"r_10","1","113","1","2022","1333"
"r_10","1","113","2","2022","920"
"r_10","1","114","0","2008","147"
"r_10","1","114","1","2008","157"
"r_10","1","114","2","2008","124"
"r_10","1","114","0","2009","156"
"r_10","1","114","1","2009","160"
"r_10","1","114","2","2009","147"
