RevisionColumn,periods,NUTS,Indicators,Units,ValueColumn
"r_3","2008","BG324","3.1.1.6.1","1000EUR","107927.8"
"r_3","2009","BG324","3.1.1.6.1","1000EUR","124856.8"
"r_3","2010","BG324","3.1.1.6.1","1000EUR","145437.7"
"r_3","2011","BG324","3.1.1.6.1","1000EUR","119731.1"
"r_3","2012","BG324","3.1.1.6.1","1000EUR","126314.7"
"r_3","2013","BG324","3.1.1.6.1","1000EUR","129260.1"
"r_3","2014","BG324","3.1.1.6.1","1000EUR","114509.4"
"r_3","2007","BG323","3.1.1.6.1","1000EUR","171784.3"
"r_3","2008","BG323","3.1.1.6.1","1000EUR","336033.5"
"r_3","2009","BG323","3.1.1.6.1","1000EUR","344793.7"
"r_3","2010","BG323","3.1.1.6.1","1000EUR","363261.7"
"r_3","2011","BG323","3.1.1.6.1","1000EUR","335086.3"
"r_3","2012","BG323","3.1.1.6.1","1000EUR","347321.9"
"r_3","2013","BG323","3.1.1.6.1","1000EUR","372823.2"
"r_3","2014","BG323","3.1.1.6.1","1000EUR","385754.8"
"r_3","2007","BG325","3.1.1.6.1","1000EUR","29694"
"r_3","2008","BG325","3.1.1.6.1","1000EUR","31308.5"
"r_3","2009","BG325","3.1.1.6.1","1000EUR","9755.4"
"r_3","2010","BG325","3.1.1.6.1","1000EUR","14831.3"
"r_3","2011","BG325","3.1.1.6.1","1000EUR","7676.3"
"r_3","2012","BG325","3.1.1.6.1","1000EUR","13045.1"
"r_3","2013","BG325","3.1.1.6.1","1000EUR","33471.8"
"r_3","2014","BG325","3.1.1.6.1","1000EUR","31667.3"
"r_3","2007","BG33","3.1.1.6.1","1000EUR","1460034.8"
"r_3","2008","BG33","3.1.1.6.1","1000EUR","2053308.6"
"r_3","2009","BG33","3.1.1.6.1","1000EUR","2083919.1"
"r_3","2010","BG33","3.1.1.6.1","1000EUR","2102923.2"
"r_3","2011","BG33","3.1.1.6.1","1000EUR","2018734.6"
"r_3","2012","BG33","3.1.1.6.1","1000EUR","2024996.6"
"r_3","2013","BG33","3.1.1.6.1","1000EUR","2041479.7"
"r_3","2014","BG33","3.1.1.6.1","1000EUR","2093916.7"
"r_3","2007","BG331","3.1.1.6.1","1000EUR","1144852.7"
"r_3","2008","BG331","3.1.1.6.1","1000EUR","1567246.4"
"r_3","2009","BG331","3.1.1.6.1","1000EUR","1640335"
