RevisionColumn,GenderID,Age10_LFS,Units,periods,ValueColumn
"r_2","0","15 - 64","1000cp","2004Q4","2870.7"
"r_2","0","15 - 64","1000cp","2005Q1","2802.5"
"r_2","0","15 - 64","1000cp","2005Q2","2971.6"
"r_2","0","15 - 64","1000cp","2005Q3","3063.4"
"r_2","0","15 - 64","1000cp","2005Q4","2950.4"
"r_2","0","15 - 64","1000cp","2006Q1","2908.1"
"r_2","0","15 - 64","1000cp","2006Q2","3100.8"
"r_2","0","15 - 64","1000cp","2006Q3","3158.5"
"r_2","0","15 - 64","1000cp","2006Q4","3119.7"
"r_2","0","15 - 64","1000cp","2007Q1","3099.2"
"r_2","0","15 - 64","1000cp","2007Q2","3212.2"
"r_2","0","15 - 64","1000cp","2007Q3","3265.6"
"r_2","0","15 - 64","1000cp","2007Q4","3258.1"
"r_2","0","15 - 64","1000cp","2008Q1","3238.6"
"r_2","0","15 - 64","1000cp","2008Q2","3315.7"
"r_2","0","15 - 64","1000cp","2008Q3","3360.3"
"r_2","0","15 - 64","1000cp","2008Q4","3310.3"
"r_2","0","15 - 64","1000cp","2009Q1","3214"
"r_2","0","15 - 64","1000cp","2009Q2","3249.2"
"r_2","0","15 - 64","1000cp","2009Q3","3231.7"
"r_2","0","15 - 64","1000cp","2009Q4","3124.4"
"r_2","0","15 - 64","1000cp","2010Q1","2992.4"
"r_2","0","15 - 64","1000cp","2010Q2","3060.3"
"r_2","0","15 - 64","1000cp","2010Q3","3091.3"
"r_2","0","15 - 64","1000cp","2010Q4","3003.9"
"r_2","0","15 - 64","1000cp","2011Q1","2866.6"
"r_2","0","15 - 64","1000cp","2011Q2","2910.6"
"r_2","0","15 - 64","1000cp","2011Q3","2997.2"
"r_2","0","15 - 64","1000cp","2011Q4","2935.6"
"r_2","0","15 - 64","1000cp","2012Q1","2815.9"
"r_2","0","15 - 64","1000cp","2012Q2","2875.4"
"r_2","0","15 - 64","1000cp","2012Q3","2978.4"
"r_2","0","15 - 64","1000cp","2012Q4","2909.9"
"r_2","0","15 - 64","1000cp","2013Q1","2815.4"
"r_2","0","15 - 64","1000cp","2013Q2","2897.1"
"r_2","0","15 - 64","1000cp","2013Q3","2965"
"r_2","0","15 - 64","1000cp","2013Q4","2880.2"
"r_2","0","15 - 64","1000cp","2014Q1","2842.3"
"r_2","0","15 - 64","1000cp","2014Q2","2926.3"
"r_2","0","15 - 64","1000cp","2014Q3","3007.2"
"r_2","0","15 - 64","1000cp","2014Q4","2934"
"r_2","0","15 - 64","1000cp","2015Q1","2894.8"
"r_2","0","15 - 64","1000cp","2015Q2","2955.5"
"r_2","0","15 - 64","1000cp","2015Q3","3044.1"
"r_2","0","15 - 64","1000cp","2015Q4","2999.6"
"r_2","0","20 - 64","1000cp","2003Q1","2646.9"
"r_2","0","20 - 64","1000cp","2003Q2","2796.4"
"r_2","0","20 - 64","1000cp","2003Q3","2850"
"r_2","0","20 - 64","1000cp","2003Q4","2759.4"
"r_2","0","20 - 64","1000cp","2004Q1","2719.6"
"r_2","0","20 - 64","1000cp","2004Q2","2901.6"
"r_2","0","20 - 64","1000cp","2004Q3","2947.7"
"r_2","0","20 - 64","1000cp","2004Q4","2847.5"
"r_2","0","20 - 64","1000cp","2005Q1","2781.9"
"r_2","0","20 - 64","1000cp","2005Q2","2947.6"
"r_2","0","20 - 64","1000cp","2005Q3","3028.5"
"r_2","0","20 - 64","1000cp","2005Q4","2921"
"r_2","0","20 - 64","1000cp","2006Q1","2883.5"
"r_2","0","20 - 64","1000cp","2006Q2","3075.4"
"r_2","0","20 - 64","1000cp","2006Q3","3118.8"
"r_2","0","20 - 64","1000cp","2006Q4","3090"
"r_2","0","20 - 64","1000cp","2007Q1","3074"
"r_2","0","20 - 64","1000cp","2007Q2","3187.2"
"r_2","0","20 - 64","1000cp","2007Q3","3232.7"
"r_2","0","20 - 64","1000cp","2007Q4","3229.6"
"r_2","0","20 - 64","1000cp","2008Q1","3211.4"
"r_2","0","20 - 64","1000cp","2008Q2","3287"
"r_2","0","20 - 64","1000cp","2008Q3","3324.1"
"r_2","0","20 - 64","1000cp","2008Q4","3280.6"
"r_2","0","20 - 64","1000cp","2009Q1","3188.7"
"r_2","0","20 - 64","1000cp","2009Q2","3220.7"
"r_2","0","20 - 64","1000cp","2009Q3","3204.1"
"r_2","0","20 - 64","1000cp","2009Q4","3100.9"
"r_2","0","20 - 64","1000cp","2010Q1","2980"
"r_2","0","20 - 64","1000cp","2010Q2","3043.5"
"r_2","0","20 - 64","1000cp","2010Q3","3074.3"
"r_2","0","20 - 64","1000cp","2010Q4","2992.7"
"r_2","0","20 - 64","1000cp","2011Q1","2858.7"
"r_2","0","20 - 64","1000cp","2011Q2","2901.4"
"r_2","0","20 - 64","1000cp","2011Q3","2984.8"
"r_2","0","20 - 64","1000cp","2011Q4","2925.3"
"r_2","0","20 - 64","1000cp","2012Q1","2807.7"
"r_2","0","20 - 64","1000cp","2012Q2","2865.5"
"r_2","0","20 - 64","1000cp","2012Q3","2961.1"
"r_2","0","20 - 64","1000cp","2012Q4","2894.3"
"r_2","0","20 - 64","1000cp","2013Q1","2805.7"
"r_2","0","20 - 64","1000cp","2013Q2","2887.5"
"r_2","0","20 - 64","1000cp","2013Q3","2953.8"
"r_2","0","20 - 64","1000cp","2013Q4","2871.5"
"r_2","0","20 - 64","1000cp","2014Q1","2834.2"
"r_2","0","20 - 64","1000cp","2014Q2","2914.4"
"r_2","0","20 - 64","1000cp","2014Q3","2993.8"
"r_2","0","20 - 64","1000cp","2014Q4","2923"
"r_2","0","20 - 64","1000cp","2015Q1","2884.3"
"r_2","0","20 - 64","1000cp","2015Q2","2945.2"
"r_2","0","20 - 64","1000cp","2015Q3","3030.7"
"r_2","0","20 - 64","1000cp","2015Q4","2992.5"
"r_2","0","15 - 29","1000cp","2003Q1","540.2"
"r_2","0","15 - 29","1000cp","2003Q2","554.9"
"r_2","0","15 - 29","1000cp","2003Q3","574.8"
"r_2","0","15 - 29","1000cp","2003Q4","542.8"
"r_2","0","15 - 29","1000cp","2004Q1","525.4"
"r_2","0","15 - 29","1000cp","2004Q2","565"
"r_2","0","15 - 29","1000cp","2004Q3","553.6"
"r_2","0","15 - 29","1000cp","2004Q4","540.5"
"r_2","0","15 - 29","1000cp","2005Q1","540.6"
"r_2","0","15 - 29","1000cp","2005Q2","549.1"
"r_2","0","15 - 29","1000cp","2005Q3","568.4"
"r_2","0","15 - 29","1000cp","2005Q4","547.7"
"r_2","0","15 - 29","1000cp","2006Q1","534"
"r_2","0","15 - 29","1000cp","2006Q2","558.7"
"r_2","0","15 - 29","1000cp","2006Q3","576.6"
"r_2","0","15 - 29","1000cp","2006Q4","572.7"
"r_2","0","15 - 29","1000cp","2007Q1","559.2"
"r_2","0","15 - 29","1000cp","2007Q2","566.5"
"r_2","0","15 - 29","1000cp","2007Q3","569.8"
"r_2","0","15 - 29","1000cp","2007Q4","582.1"
"r_2","0","15 - 29","1000cp","2008Q1","571.6"
"r_2","0","15 - 29","1000cp","2008Q2","583.2"
"r_2","0","15 - 29","1000cp","2008Q3","595.6"
"r_2","0","15 - 29","1000cp","2008Q4","565"
"r_2","0","15 - 29","1000cp","2009Q1","544.4"
"r_2","0","15 - 29","1000cp","2009Q2","550"
"r_2","0","15 - 29","1000cp","2009Q3","548.5"
"r_2","0","15 - 29","1000cp","2009Q4","503.8"
"r_2","0","15 - 29","1000cp","2010Q1","533.4"
"r_2","0","15 - 29","1000cp","2010Q2","566"
"r_2","0","15 - 29","1000cp","2010Q3","568.3"
"r_2","0","15 - 29","1000cp","2010Q4","529.4"
"r_2","0","15 - 29","1000cp","2011Q1","476.5"
"r_2","0","15 - 29","1000cp","2011Q2","490.3"
"r_2","0","15 - 29","1000cp","2011Q3","537.8"
"r_2","0","15 - 29","1000cp","2011Q4","504.4"
"r_2","0","15 - 29","1000cp","2012Q1","467.2"
"r_2","0","15 - 29","1000cp","2012Q2","476.3"
"r_2","0","15 - 29","1000cp","2012Q3","521.8"
"r_2","0","15 - 29","1000cp","2012Q4","489.1"
"r_2","0","15 - 29","1000cp","2013Q1","450.5"
"r_2","0","15 - 29","1000cp","2013Q2","463.8"
"r_2","0","15 - 29","1000cp","2013Q3","486"
"r_2","0","15 - 29","1000cp","2013Q4","453.2"
"r_2","0","15 - 29","1000cp","2014Q1","441.7"
"r_2","0","15 - 29","1000cp","2014Q2","469.6"
"r_2","0","15 - 29","1000cp","2014Q3","494.9"
"r_2","0","15 - 29","1000cp","2014Q4","453.5"
"r_2","0","15 - 29","1000cp","2015Q1","447.5"
"r_2","0","15 - 29","1000cp","2015Q2","475.3"
"r_2","0","15 - 29","1000cp","2015Q3","494.6"
"r_2","0","15 - 29","1000cp","2015Q4","446.3"
"r_2","0","15 - 24","1000cp","2003Q1","215.2"
"r_2","0","15 - 24","1000cp","2003Q2","226.9"
"r_2","0","15 - 24","1000cp","2003Q3","227.4"
"r_2","0","15 - 24","1000cp","2003Q4","210.6"
"r_2","0","15 - 24","1000cp","2004Q1","215.5"
"r_2","0","15 - 24","1000cp","2004Q2","236.4"
"r_2","0","15 - 24","1000cp","2004Q3","232.7"
"r_2","0","15 - 24","1000cp","2004Q4","227"
"r_2","0","15 - 24","1000cp","2005Q1","214.6"
"r_2","0","15 - 24","1000cp","2005Q2","225.7"
"r_2","0","15 - 24","1000cp","2005Q3","240.3"
"r_2","0","15 - 24","1000cp","2005Q4","227.2"
"r_2","0","15 - 24","1000cp","2006Q1","216.2"
"r_2","0","15 - 24","1000cp","2006Q2","238.4"
"r_2","0","15 - 24","1000cp","2006Q3","262.7"
"r_2","0","15 - 24","1000cp","2006Q4","244.5"
"r_2","0","15 - 24","1000cp","2007Q1","239.3"
"r_2","0","15 - 24","1000cp","2007Q2","249.4"
"r_2","0","15 - 24","1000cp","2007Q3","252.7"
"r_2","0","15 - 24","1000cp","2007Q4","257.7"
"r_2","0","15 - 24","1000cp","2008Q1","249"
"r_2","0","15 - 24","1000cp","2008Q2","265.7"
"r_2","0","15 - 24","1000cp","2008Q3","274.6"
"r_2","0","15 - 24","1000cp","2008Q4","260.9"
"r_2","0","15 - 24","1000cp","2009Q1","249.7"
"r_2","0","15 - 24","1000cp","2009Q2","247.3"
"r_2","0","15 - 24","1000cp","2009Q3","243.3"
"r_2","0","15 - 24","1000cp","2009Q4","219.5"
"r_2","0","15 - 24","1000cp","2010Q1","210.4"
"r_2","0","15 - 24","1000cp","2010Q2","224.7"
"r_2","0","15 - 24","1000cp","2010Q3","237.6"
"r_2","0","15 - 24","1000cp","2010Q4","203.6"
"r_2","0","15 - 24","1000cp","2011Q1","173.7"
"r_2","0","15 - 24","1000cp","2011Q2","185.3"
"r_2","0","15 - 24","1000cp","2011Q3","211.7"
"r_2","0","15 - 24","1000cp","2011Q4","190"
"r_2","0","15 - 24","1000cp","2012Q1","163.6"
"r_2","0","15 - 24","1000cp","2012Q2","170.7"
"r_2","0","15 - 24","1000cp","2012Q3","200.6"
"r_2","0","15 - 24","1000cp","2012Q4","178.1"
"r_2","0","15 - 24","1000cp","2013Q1","162.5"
"r_2","0","15 - 24","1000cp","2013Q2","163.5"
"r_2","0","15 - 24","1000cp","2013Q3","176.7"
"r_2","0","15 - 24","1000cp","2013Q4","155.3"
"r_2","0","15 - 24","1000cp","2014Q1","138.7"
"r_2","0","15 - 24","1000cp","2014Q2","155.1"
"r_2","0","15 - 24","1000cp","2014Q3","173.9"
"r_2","0","15 - 24","1000cp","2014Q4","143"
"r_2","0","15 - 24","1000cp","2015Q1","141.2"
"r_2","0","15 - 24","1000cp","2015Q2","145.3"
"r_2","0","15 - 24","1000cp","2015Q3","158.6"
"r_2","0","15 - 24","1000cp","2015Q4","127.9"
"r_2","0","25 - 34","1000cp","2003Q1","686.6"
"r_2","0","25 - 34","1000cp","2003Q2","710.2"
"r_2","0","25 - 34","1000cp","2003Q3","736.6"
"r_2","0","25 - 34","1000cp","2003Q4","697.5"
"r_2","0","25 - 34","1000cp","2004Q1","665.4"
"r_2","0","25 - 34","1000cp","2004Q2","717.9"
"r_2","0","25 - 34","1000cp","2004Q3","726.7"
"r_2","0","25 - 34","1000cp","2004Q4","704.5"
"r_2","0","25 - 34","1000cp","2005Q1","709"
"r_2","0","25 - 34","1000cp","2005Q2","726.8"
"r_2","0","25 - 34","1000cp","2005Q3","722"
"r_2","0","25 - 34","1000cp","2005Q4","699"
"r_2","0","25 - 34","1000cp","2006Q1","700.2"
"r_2","0","25 - 34","1000cp","2006Q2","736.6"
"r_2","0","25 - 34","1000cp","2006Q3","721.1"
"r_2","0","25 - 34","1000cp","2006Q4","741.6"
"r_2","0","25 - 34","1000cp","2007Q1","733.6"
"r_2","0","25 - 34","1000cp","2007Q2","721.3"
"r_2","0","25 - 34","1000cp","2007Q3","722.8"
"r_2","0","25 - 34","1000cp","2007Q4","745.2"
"r_2","0","25 - 34","1000cp","2008Q1","754.8"
"r_2","0","25 - 34","1000cp","2008Q2","748.5"
"r_2","0","25 - 34","1000cp","2008Q3","731.5"
"r_2","0","25 - 34","1000cp","2008Q4","714.2"
"r_2","0","25 - 34","1000cp","2009Q1","692.8"
"r_2","0","25 - 34","1000cp","2009Q2","702.1"
"r_2","0","25 - 34","1000cp","2009Q3","698.6"
"r_2","0","25 - 34","1000cp","2009Q4","670.7"
"r_2","0","25 - 34","1000cp","2010Q1","717.8"
"r_2","0","25 - 34","1000cp","2010Q2","747.6"
"r_2","0","25 - 34","1000cp","2010Q3","746.8"
"r_2","0","25 - 34","1000cp","2010Q4","732.8"
"r_2","0","25 - 34","1000cp","2011Q1","673.7"
"r_2","0","25 - 34","1000cp","2011Q2","684.7"
"r_2","0","25 - 34","1000cp","2011Q3","711.4"
"r_2","0","25 - 34","1000cp","2011Q4","697.5"
"r_2","0","25 - 34","1000cp","2012Q1","667.9"
"r_2","0","25 - 34","1000cp","2012Q2","670.2"
"r_2","0","25 - 34","1000cp","2012Q3","696.8"
"r_2","0","25 - 34","1000cp","2012Q4","683"
"r_2","0","25 - 34","1000cp","2013Q1","646.5"
"r_2","0","25 - 34","1000cp","2013Q2","658.7"
"r_2","0","25 - 34","1000cp","2013Q3","679.7"
"r_2","0","25 - 34","1000cp","2013Q4","653.3"
"r_2","0","25 - 34","1000cp","2014Q1","651.4"
"r_2","0","25 - 34","1000cp","2014Q2","669.6"
"r_2","0","25 - 34","1000cp","2014Q3","684.7"
"r_2","0","25 - 34","1000cp","2014Q4","670.9"
"r_2","0","25 - 34","1000cp","2015Q1","655.6"
"r_2","0","25 - 34","1000cp","2015Q2","687.9"
"r_2","0","25 - 34","1000cp","2015Q3","697.9"
"r_2","0","25 - 34","1000cp","2015Q4","688.1"
"r_2","0","35 - 44","1000cp","2003Q1","780.1"
"r_2","0","35 - 44","1000cp","2003Q2","796.1"
"r_2","0","35 - 44","1000cp","2003Q3","817.6"
"r_2","0","35 - 44","1000cp","2003Q4","797.1"
"r_2","0","35 - 44","1000cp","2004Q1","787.4"
"r_2","0","35 - 44","1000cp","2004Q2","832.6"
"r_2","0","35 - 44","1000cp","2004Q3","865.5"
"r_2","0","35 - 44","1000cp","2004Q4","836.7"
"r_2","0","35 - 44","1000cp","2005Q1","785.9"
"r_2","0","35 - 44","1000cp","2005Q2","845.2"
"r_2","0","35 - 44","1000cp","2005Q3","894.5"
"r_2","0","35 - 44","1000cp","2005Q4","878.3"
"r_2","0","35 - 44","1000cp","2006Q1","839"
"r_2","0","35 - 44","1000cp","2006Q2","890.3"
"r_2","0","35 - 44","1000cp","2006Q3","921.2"
"r_2","0","35 - 44","1000cp","2006Q4","909.2"
"r_2","0","35 - 44","1000cp","2007Q1","915"
"r_2","0","35 - 44","1000cp","2007Q2","940.9"
"r_2","0","35 - 44","1000cp","2007Q3","980"
"r_2","0","35 - 44","1000cp","2007Q4","958.1"
"r_2","0","35 - 44","1000cp","2008Q1","922.9"
"r_2","0","35 - 44","1000cp","2008Q2","962.2"
"r_2","0","35 - 44","1000cp","2008Q3","984.9"
"r_2","0","35 - 44","1000cp","2008Q4","993.7"
"r_2","0","35 - 44","1000cp","2009Q1","980.6"
"r_2","0","35 - 44","1000cp","2009Q2","976.5"
"r_2","0","35 - 44","1000cp","2009Q3","954.2"
"r_2","0","35 - 44","1000cp","2009Q4","949.5"
"r_2","0","35 - 44","1000cp","2010Q1","815.9"
"r_2","0","35 - 44","1000cp","2010Q2","826.5"
"r_2","0","35 - 44","1000cp","2010Q3","841.2"
"r_2","0","35 - 44","1000cp","2010Q4","820.5"
"r_2","0","35 - 44","1000cp","2011Q1","810.8"
"r_2","0","35 - 44","1000cp","2011Q2","814.2"
"r_2","0","35 - 44","1000cp","2011Q3","825.3"
"r_2","0","35 - 44","1000cp","2011Q4","819"
"r_2","0","35 - 44","1000cp","2012Q1","807.6"
"r_2","0","35 - 44","1000cp","2012Q2","821.9"
"r_2","0","35 - 44","1000cp","2012Q3","844"
"r_2","0","35 - 44","1000cp","2012Q4","834.5"
"r_2","0","35 - 44","1000cp","2013Q1","819.7"
"r_2","0","35 - 44","1000cp","2013Q2","843.2"
"r_2","0","35 - 44","1000cp","2013Q3","858.4"
"r_2","0","35 - 44","1000cp","2013Q4","846.6"
"r_2","0","35 - 44","1000cp","2014Q1","834.9"
"r_2","0","35 - 44","1000cp","2014Q2","850.3"
"r_2","0","35 - 44","1000cp","2014Q3","865.6"
"r_2","0","35 - 44","1000cp","2014Q4","852.7"
"r_2","0","35 - 44","1000cp","2015Q1","844.8"
"r_2","0","35 - 44","1000cp","2015Q2","844.4"
"r_2","0","35 - 44","1000cp","2015Q3","863.8"
"r_2","0","35 - 44","1000cp","2015Q4","860.4"
"r_2","0","45 - 54","1000cp","2003Q1","731.3"
"r_2","0","45 - 54","1000cp","2003Q2","795.6"
"r_2","0","45 - 54","1000cp","2003Q3","789"
"r_2","0","45 - 54","1000cp","2003Q4","778.9"
"r_2","0","45 - 54","1000cp","2004Q1","785"
"r_2","0","45 - 54","1000cp","2004Q2","816.6"
"r_2","0","45 - 54","1000cp","2004Q3","814.5"
"r_2","0","45 - 54","1000cp","2004Q4","795.9"
"r_2","0","45 - 54","1000cp","2005Q1","785.8"
"r_2","0","45 - 54","1000cp","2005Q2","837.4"
"r_2","0","45 - 54","1000cp","2005Q3","850.1"
"r_2","0","45 - 54","1000cp","2005Q4","801.5"
"r_2","0","45 - 54","1000cp","2006Q1","798.7"
"r_2","0","45 - 54","1000cp","2006Q2","848.7"
"r_2","0","45 - 54","1000cp","2006Q3","852.7"
"r_2","0","45 - 54","1000cp","2006Q4","831.8"
"r_2","0","45 - 54","1000cp","2007Q1","816"
"r_2","0","45 - 54","1000cp","2007Q2","881.5"
"r_2","0","45 - 54","1000cp","2007Q3","886.5"
"r_2","0","45 - 54","1000cp","2007Q4","879.5"
"r_2","0","45 - 54","1000cp","2008Q1","874.8"
"r_2","0","45 - 54","1000cp","2008Q2","881.5"
"r_2","0","45 - 54","1000cp","2008Q3","904.8"
"r_2","0","45 - 54","1000cp","2008Q4","888.6"
"r_2","0","45 - 54","1000cp","2009Q1","843.1"
"r_2","0","45 - 54","1000cp","2009Q2","863.3"
"r_2","0","45 - 54","1000cp","2009Q3","877.5"
"r_2","0","45 - 54","1000cp","2009Q4","842.6"
"r_2","0","45 - 54","1000cp","2010Q1","768.5"
"r_2","0","45 - 54","1000cp","2010Q2","780.4"
"r_2","0","45 - 54","1000cp","2010Q3","793.1"
"r_2","0","45 - 54","1000cp","2010Q4","775.8"
"r_2","0","45 - 54","1000cp","2011Q1","738.9"
"r_2","0","45 - 54","1000cp","2011Q2","749.7"
"r_2","0","45 - 54","1000cp","2011Q3","771.4"
"r_2","0","45 - 54","1000cp","2011Q4","756.3"
"r_2","0","45 - 54","1000cp","2012Q1","715.2"
"r_2","0","45 - 54","1000cp","2012Q2","731.2"
"r_2","0","45 - 54","1000cp","2012Q3","744.4"
"r_2","0","45 - 54","1000cp","2012Q4","733"
"r_2","0","45 - 54","1000cp","2013Q1","713"
"r_2","0","45 - 54","1000cp","2013Q2","739.4"
"r_2","0","45 - 54","1000cp","2013Q3","744"
"r_2","0","45 - 54","1000cp","2013Q4","731.3"
"r_2","0","45 - 54","1000cp","2014Q1","724.9"
"r_2","0","45 - 54","1000cp","2014Q2","747.4"
"r_2","0","45 - 54","1000cp","2014Q3","757.4"
"r_2","0","45 - 54","1000cp","2014Q4","744.2"
"r_2","0","45 - 54","1000cp","2015Q1","747.1"
"r_2","0","45 - 54","1000cp","2015Q2","760"
"r_2","0","45 - 54","1000cp","2015Q3","778.4"
"r_2","0","45 - 54","1000cp","2015Q4","772.4"
"r_2","0","55 - 64","1000cp","2003Q1","252.7"
"r_2","0","55 - 64","1000cp","2003Q2","289.8"
"r_2","0","55 - 64","1000cp","2003Q3","304.9"
"r_2","0","55 - 64","1000cp","2003Q4","295.9"
"r_2","0","55 - 64","1000cp","2004Q1","287.6"
"r_2","0","55 - 64","1000cp","2004Q2","318.6"
"r_2","0","55 - 64","1000cp","2004Q3","334.3"
"r_2","0","55 - 64","1000cp","2004Q4","306.6"
"r_2","0","55 - 64","1000cp","2005Q1","307.3"
"r_2","0","55 - 64","1000cp","2005Q2","336.6"
"r_2","0","55 - 64","1000cp","2005Q3","356.5"
"r_2","0","55 - 64","1000cp","2005Q4","344.6"
"r_2","0","55 - 64","1000cp","2006Q1","353.9"
"r_2","0","55 - 64","1000cp","2006Q2","386.7"
"r_2","0","55 - 64","1000cp","2006Q3","400.8"
"r_2","0","55 - 64","1000cp","2006Q4","392.5"
"r_2","0","55 - 64","1000cp","2007Q1","395.2"
"r_2","0","55 - 64","1000cp","2007Q2","419"
"r_2","0","55 - 64","1000cp","2007Q3","423.5"
"r_2","0","55 - 64","1000cp","2007Q4","417.6"
"r_2","0","55 - 64","1000cp","2008Q1","437.2"
"r_2","0","55 - 64","1000cp","2008Q2","457.8"
"r_2","0","55 - 64","1000cp","2008Q3","464.6"
"r_2","0","55 - 64","1000cp","2008Q4","452.9"
"r_2","0","55 - 64","1000cp","2009Q1","447.9"
"r_2","0","55 - 64","1000cp","2009Q2","459.9"
"r_2","0","55 - 64","1000cp","2009Q3","458.1"
"r_2","0","55 - 64","1000cp","2009Q4","442"
"r_2","0","55 - 64","1000cp","2010Q1","479.8"
"r_2","0","55 - 64","1000cp","2010Q2","481.1"
"r_2","0","55 - 64","1000cp","2010Q3","472.8"
"r_2","0","55 - 64","1000cp","2010Q4","471.2"
"r_2","0","55 - 64","1000cp","2011Q1","469.5"
"r_2","0","55 - 64","1000cp","2011Q2","476.7"
"r_2","0","55 - 64","1000cp","2011Q3","477.4"
"r_2","0","55 - 64","1000cp","2011Q4","472.9"
"r_2","0","55 - 64","1000cp","2012Q1","461.6"
"r_2","0","55 - 64","1000cp","2012Q2","481.3"
"r_2","0","55 - 64","1000cp","2012Q3","492.5"
"r_2","0","55 - 64","1000cp","2012Q4","481.3"
"r_2","0","55 - 64","1000cp","2013Q1","473.7"
"r_2","0","55 - 64","1000cp","2013Q2","492.3"
"r_2","0","55 - 64","1000cp","2013Q3","506.2"
"r_2","0","55 - 64","1000cp","2013Q4","493.8"
"r_2","0","55 - 64","1000cp","2014Q1","492.3"
"r_2","0","55 - 64","1000cp","2014Q2","503.8"
"r_2","0","55 - 64","1000cp","2014Q3","525.6"
"r_2","0","55 - 64","1000cp","2014Q4","523.1"
"r_2","0","55 - 64","1000cp","2015Q1","506.2"
"r_2","0","55 - 64","1000cp","2015Q2","517.9"
"r_2","0","55 - 64","1000cp","2015Q3","545.4"
"r_2","0","55 - 64","1000cp","2015Q4","550.8"
"r_2","0","65+","1000cp","2003Q1","38.3"
"r_2","0","65+","1000cp","2003Q2","57.3"
"r_2","0","65+","1000cp","2003Q3","57.6"
"r_2","0","65+","1000cp","2003Q4","45.6"
"r_2","0","65+","1000cp","2004Q1","43"
"r_2","0","65+","1000cp","2004Q2","47.8"
"r_2","0","65+","1000cp","2004Q3","50.9"
"r_2","0","65+","1000cp","2004Q4","41.2"
"r_2","0","65+","1000cp","2005Q1","35.9"
"r_2","0","65+","1000cp","2005Q2","37.2"
"r_2","0","65+","1000cp","2005Q3","34.6"
"r_2","0","65+","1000cp","2005Q4","31.9"
"r_2","0","65+","1000cp","2006Q1","32.3"
"r_2","0","65+","1000cp","2006Q2","38.4"
"r_2","0","65+","1000cp","2006Q3","42.3"
"r_2","0","65+","1000cp","2006Q4","40"
"r_2","0","65+","1000cp","2007Q1","36.2"
"r_2","0","65+","1000cp","2007Q2","40.9"
"r_2","0","65+","1000cp","2007Q3","49.9"
