RevisionColumn,Units,periods,Indicators,ValueColumn
"r_1","1000BGN","2014","3.1.2.4.1.0.1.1.1.4","1578"
"r_1","1000BGN","2015","3.1.2.4.1.0.1.1.1.4","1508"
"r_1","1000BGN","2016","3.1.2.4.1.0.1.1.1.4","11905"
"r_1","1000BGN","2017","3.1.2.4.1.0.1.1.1.4","7269"
"r_1","1000BGN","2018","3.1.2.4.1.0.1.1.1.4","11904"
"r_1","1000BGN","2019","3.1.2.4.1.0.1.1.1.4","8744"
"r_1","1000BGN","2020","3.1.2.4.1.0.1.1.1.4","12110"
"r_1","1000BGN","2005","3.1.2.4.1.0.1.1.1.5","1"
"r_1","1000BGN","2006","3.1.2.4.1.0.1.1.1.5","19"
"r_1","1000BGN","2007","3.1.2.4.1.0.1.1.1.5","55"
"r_1","1000BGN","2008","3.1.2.4.1.0.1.1.1.5","1"
"r_1","1000BGN","2009","3.1.2.4.1.0.1.1.1.5","8"
"r_1","1000BGN","2010","3.1.2.4.1.0.1.1.1.5","212"
"r_1","1000BGN","2011","3.1.2.4.1.0.1.1.1.5","75"
"r_1","1000BGN","2012","3.1.2.4.1.0.1.1.1.5","177"
"r_1","1000BGN","2013","3.1.2.4.1.0.1.1.1.5","606"
"r_1","1000BGN","2014","3.1.2.4.1.0.1.1.1.5","8857"
"r_1","1000BGN","2015","3.1.2.4.1.0.1.1.1.5","6223"
"r_1","1000BGN","2016","3.1.2.4.1.0.1.1.1.5","9986"
"r_1","1000BGN","2017","3.1.2.4.1.0.1.1.1.5","5324"
"r_1","1000BGN","2018","3.1.2.4.1.0.1.1.1.5","4804"
"r_1","1000BGN","2019","3.1.2.4.1.0.1.1.1.5","3134"
"r_1","1000BGN","2020","3.1.2.4.1.0.1.1.1.5","2510"
"r_1","1000BGN","2005","3.1.2.4.1.0.1.1","221774"
"r_1","1000BGN","2006","3.1.2.4.1.0.1.1","386900"
"r_1","1000BGN","2007","3.1.2.4.1.0.1.1","1071571"
"r_1","1000BGN","2008","3.1.2.4.1.0.1.1","2427277"
"r_1","1000BGN","2009","3.1.2.4.1.0.1.1","1381315"
"r_1","1000BGN","2010","3.1.2.4.1.0.1.1","1867589"
"r_1","1000BGN","2011","3.1.2.4.1.0.1.1","2487295"
"r_1","1000BGN","2012","3.1.2.4.1.0.1.1","2160095"
"r_1","1000BGN","2013","3.1.2.4.1.0.1.1","2703717"
"r_1","1000BGN","2014","3.1.2.4.1.0.1.1","3813028"
"r_1","1000BGN","2015","3.1.2.4.1.0.1.1","5795486"
"r_1","1000BGN","2016","3.1.2.4.1.0.1.1","5112687"
"r_1","1000BGN","2017","3.1.2.4.1.0.1.1","4979425"
"r_1","1000BGN","2018","3.1.2.4.1.0.1.1","6799079"
"r_1","1000BGN","2019","3.1.2.4.1.0.1.1","4762873"
"r_1","1000BGN","2020","3.1.2.4.1.0.1.1","9624811"
"r_1","1000BGN","2005","3.1.2.4.1.0.1.2","81038"
"r_1","1000BGN","2006","3.1.2.4.1.0.1.2","109169"
"r_1","1000BGN","2007","3.1.2.4.1.0.1.2","291613"
"r_1","1000BGN","2008","3.1.2.4.1.0.1.2","0"
"r_1","1000BGN","2009","3.1.2.4.1.0.1.2","233780"
"r_1","1000BGN","2010","3.1.2.4.1.0.1.2","211639"
"r_1","1000BGN","2011","3.1.2.4.1.0.1.2","53148"
"r_1","1000BGN","2012","3.1.2.4.1.0.1.2","492486"
"r_1","1000BGN","2013","3.1.2.4.1.0.1.2","361742"
"r_1","1000BGN","2014","3.1.2.4.1.0.1.2","508384"
"r_1","1000BGN","2015","3.1.2.4.1.0.1.2","212554"
"r_1","1000BGN","2016","3.1.2.4.1.0.1.2","512647"
"r_1","1000BGN","2017","3.1.2.4.1.0.1.2","805039"
"r_1","1000BGN","2018","3.1.2.4.1.0.1.2","11552"
"r_1","1000BGN","2019","3.1.2.4.1.0.1.2","979242"
"r_1","1000BGN","2020","3.1.2.4.1.0.1.2","412070"
"r_1","1000BGN","2005","3.1.2.4.1.0.1.2.1","76897"
"r_1","1000BGN","2006","3.1.2.4.1.0.1.2.1","105185"
"r_1","1000BGN","2007","3.1.2.4.1.0.1.2.1","281959"
"r_1","1000BGN","2008","3.1.2.4.1.0.1.2.1","0"
"r_1","1000BGN","2009","3.1.2.4.1.0.1.2.1","227857"
"r_1","1000BGN","2010","3.1.2.4.1.0.1.2.1","206206"
"r_1","1000BGN","2011","3.1.2.4.1.0.1.2.1","52706"
"r_1","1000BGN","2012","3.1.2.4.1.0.1.2.1","482835"
"r_1","1000BGN","2013","3.1.2.4.1.0.1.2.1","351378"
"r_1","1000BGN","2014","3.1.2.4.1.0.1.2.1","495187"
"r_1","1000BGN","2015","3.1.2.4.1.0.1.2.1","200873"
"r_1","1000BGN","2016","3.1.2.4.1.0.1.2.1","496878"
"r_1","1000BGN","2017","3.1.2.4.1.0.1.2.1","784407"
"r_1","1000BGN","2018","3.1.2.4.1.0.1.2.1","11552"
"r_1","1000BGN","2019","3.1.2.4.1.0.1.2.1","955426"
"r_1","1000BGN","2020","3.1.2.4.1.0.1.2.1","390046"
"r_1","1000BGN","2005","3.1.2.4.1.0.1.2.2","4141"
"r_1","1000BGN","2006","3.1.2.4.1.0.1.2.2","3984"
"r_1","1000BGN","2007","3.1.2.4.1.0.1.2.2","9654"
"r_1","1000BGN","2008","3.1.2.4.1.0.1.2.2","0"
"r_1","1000BGN","2009","3.1.2.4.1.0.1.2.2","5923"
"r_1","1000BGN","2010","3.1.2.4.1.0.1.2.2","5433"
"r_1","1000BGN","2011","3.1.2.4.1.0.1.2.2","442"
"r_1","1000BGN","2012","3.1.2.4.1.0.1.2.2","9651"
"r_1","1000BGN","2013","3.1.2.4.1.0.1.2.2","10364"
"r_1","1000BGN","2014","3.1.2.4.1.0.1.2.2","13197"
"r_1","1000BGN","2015","3.1.2.4.1.0.1.2.2","11681"
"r_1","1000BGN","2016","3.1.2.4.1.0.1.2.2","15769"
"r_1","1000BGN","2017","3.1.2.4.1.0.1.2.2","20632"
"r_1","1000BGN","2018","3.1.2.4.1.0.1.2.2","0"
"r_1","1000BGN","2019","3.1.2.4.1.0.1.2.2","23816"
"r_1","1000BGN","2020","3.1.2.4.1.0.1.2.2","22024"
"r_1","1000BGN","2005","3.1.2.4.1.0.1","302812"
"r_1","1000BGN","2006","3.1.2.4.1.0.1","496069"
"r_1","1000BGN","2007","3.1.2.4.1.0.1","1363184"
"r_1","1000BGN","2008","3.1.2.4.1.0.1","2427277"
"r_1","1000BGN","2009","3.1.2.4.1.0.1","1615095"
"r_1","1000BGN","2010","3.1.2.4.1.0.1","2079228"
"r_1","1000BGN","2011","3.1.2.4.1.0.1","2540443"
"r_1","1000BGN","2012","3.1.2.4.1.0.1","2652581"
"r_1","1000BGN","2013","3.1.2.4.1.0.1","3065459"
