RevisionColumn,PlaceResidence,GenderID,periods,Units,ValueColumn
"r_2","0","2","2007Q2","perc","47.5"
"r_2","0","2","2007Q3","perc","48.4"
"r_2","0","2","2007Q4","perc","47.6"
"r_2","0","2","2008Q1","perc","47.9"
"r_2","0","2","2008Q2","perc","48.7"
"r_2","0","2","2008Q3","perc","48.8"
"r_2","0","2","2008Q4","perc","47.8"
"r_2","0","2","2009Q1","perc","47.4"
"r_2","0","2","2009Q2","perc","48.1"
"r_2","0","2","2009Q3","perc","47.9"
"r_2","0","2","2009Q4","perc","46.6"
"r_2","0","2","2010Q1","perc","46.8"
"r_2","0","2","2010Q2","perc","47.8"
"r_2","0","2","2010Q3","perc","48.2"
"r_2","0","2","2010Q4","perc","48.3"
"r_2","0","2","2011Q1","perc","46.5"
"r_2","0","2","2011Q2","perc","46.8"
"r_2","0","2","2011Q3","perc","47.7"
"r_2","0","2","2011Q4","perc","47.7"
"r_2","0","2","2012Q1","perc","46.7"
"r_2","0","2","2012Q2","perc","47.5"
"r_2","0","2","2012Q3","perc","48.9"
"r_2","0","2","2012Q4","perc","48.2"
"r_2","0","2","2013Q1","perc","47.6"
"r_2","0","2","2013Q2","perc","48.8"
"r_2","0","2","2013Q3","perc","49.5"
"r_2","0","2","2013Q4","perc","48.4"
"r_2","0","2","2014Q1","perc","47.9"
"r_2","0","2","2014Q2","perc","48.4"
"r_2","0","2","2014Q3","perc","49.5"
"r_2","0","2","2014Q4","perc","48.7"
"r_2","0","2","2015Q1","perc","48"
"r_2","0","2","2015Q2","perc","48.4"
"r_2","0","2","2015Q3","perc","49.3"
"r_2","0","2","2015Q4","perc","48.6"
"r_2","1","0","2003Q1","perc","52.9"
"r_2","1","0","2003Q2","perc","54"
"r_2","1","0","2003Q3","perc","54.2"
"r_2","1","0","2003Q4","perc","52.8"
"r_2","1","0","2004Q1","perc","52.8"
"r_2","1","0","2004Q2","perc","54.5"
"r_2","1","0","2004Q3","perc","54.5"
"r_2","1","0","2004Q4","perc","54.1"
"r_2","1","0","2005Q1","perc","53.2"
"r_2","1","0","2005Q2","perc","54.1"
"r_2","1","0","2005Q3","perc","55.2"
"r_2","1","0","2005Q4","perc","54.2"
"r_2","1","0","2006Q1","perc","54"
"r_2","1","0","2006Q2","perc","56.3"
"r_2","1","0","2006Q3","perc","56.8"
"r_2","1","0","2006Q4","perc","56"
"r_2","1","0","2007Q1","perc","56"
"r_2","1","0","2007Q2","perc","56.9"
"r_2","1","0","2007Q3","perc","57.7"
"r_2","1","0","2007Q4","perc","57.5"
"r_2","1","0","2008Q1","perc","57.6"
"r_2","1","0","2008Q2","perc","58"
"r_2","1","0","2008Q3","perc","58.6"
"r_2","1","0","2008Q4","perc","58.2"
"r_2","1","0","2009Q1","perc","57.7"
"r_2","1","0","2009Q2","perc","57.7"
"r_2","1","0","2009Q3","perc","57.6"
"r_2","1","0","2009Q4","perc","56.7"
"r_2","1","0","2010Q1","perc","57.6"
"r_2","1","0","2010Q2","perc","58.1"
"r_2","1","0","2010Q3","perc","58.3"
"r_2","1","0","2010Q4","perc","58.1"
"r_2","1","0","2011Q1","perc","56.1"
"r_2","1","0","2011Q2","perc","55.8"
"r_2","1","0","2011Q3","perc","56.9"
"r_2","1","0","2011Q4","perc","56.6"
"r_2","1","0","2012Q1","perc","55.8"
"r_2","1","0","2012Q2","perc","56.5"
"r_2","1","0","2012Q3","perc","57.8"
"r_2","1","0","2012Q4","perc","57.4"
"r_2","1","0","2013Q1","perc","57"
"r_2","1","0","2013Q2","perc","57.7"
"r_2","1","0","2013Q3","perc","58.4"
"r_2","1","0","2013Q4","perc","58"
"r_2","1","0","2014Q1","perc","57.7"
"r_2","1","0","2014Q2","perc","58"
"r_2","1","0","2014Q3","perc","58.9"
"r_2","1","0","2014Q4","perc","57.9"
"r_2","1","0","2015Q1","perc","57.6"
"r_2","1","0","2015Q2","perc","58.2"
"r_2","1","0","2015Q3","perc","58.7"
"r_2","1","0","2015Q4","perc","58"
"r_2","1","1","2003Q1","perc","57.8"
"r_2","1","1","2003Q2","perc","59.1"
"r_2","1","1","2003Q3","perc","59.1"
"r_2","1","1","2003Q4","perc","57.7"
"r_2","1","1","2004Q1","perc","58"
"r_2","1","1","2004Q2","perc","59.7"
"r_2","1","1","2004Q3","perc","59.5"
"r_2","1","1","2004Q4","perc","59.3"
